2023-04-20 06:39:42,477 INFO Tickers: ['GILD']
2023-04-20 06:40:13,665 INFO Negative OS: -1.7887140464626787 --- ticker GILD --- day 2017-02-24 --- time 46800
2023-04-20 06:41:09,261 INFO Negative OS: -0.06394830061324286 --- ticker GILD --- day 2017-06-08 --- time 50400
2023-04-20 06:42:13,846 INFO Negative OS: -0.5171134639925836 --- ticker GILD --- day 2017-09-28 --- time 41400
2023-04-20 06:43:21,314 INFO Negative OS: -2.684264849780188 --- ticker GILD --- day 2018-01-30 --- time 43200
2023-04-20 06:43:39,062 INFO Negative OS: -2.4307541661879877 --- ticker GILD --- day 2018-02-16 --- time 36000
2023-04-20 06:43:50,783 INFO Negative OS: -0.4529381007210098 --- ticker GILD --- day 2018-03-09 --- time 41400
2023-04-20 06:45:18,369 INFO Negative OS: -0.27136317246492436 --- ticker GILD --- day 2018-08-09 --- time 48600
2023-04-20 06:46:59,352 INFO Negative OS: -0.06934979493966131 --- ticker GILD --- day 2019-01-30 --- time 50400
2023-04-20 06:50:56,810 INFO t_ofi_add_10: 1.726078374321241 , std 1.6110034220165175 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_1: 0.9022183017402445 , std 1.1567532689214066 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_2: 1.6949326034036964 , std 1.3132980124843965 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_3: 1.9503651496352132 , std 1.253896993061289 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_4: 1.8542011918216543 , std 1.268445632407213 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_5: 1.5600149213188834 , std 1.2070719970248498 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_6: 1.6627166732671195 , std 1.3102121634008013 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_7: 1.4170659559062082 , std 1.2522915338275056 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_8: 1.3344983917285005 , std 1.2587854688987055 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_9: 1.2502341889931932 , std 1.2656502095834867 
2023-04-20 06:50:56,810 INFO t_ofi_cancel_10: 1.4868884784356544 , std 1.512001604861636 
2023-04-20 06:50:56,810 INFO t_ofi_trade_1: 0.5259261452033567 , std 0.9906406255619999 
2023-04-20 06:50:56,810 INFO t_ofi_trade_2: 1.2889920482839485 , std 1.1822592999527601 
2023-04-20 06:50:56,810 INFO t_ofi_trade_3: 1.5506374355081576 , std 1.2719126777203211 
2023-04-20 06:50:56,810 INFO t_ofi_trade_4: 1.5243270742707413 , std 1.2846915338837568 
2023-04-20 06:50:56,810 INFO t_ofi_trade_5: 1.3871452219994924 , std 1.2689164963757968 
2023-04-20 06:50:56,810 INFO t_ofi_trade_6: 1.5868693786071921 , std 1.3506828358558365 
2023-04-20 06:50:56,810 INFO t_ofi_trade_7: 1.4571408174694584 , std 1.279149529803702 
2023-04-20 06:50:56,810 INFO t_ofi_trade_8: 1.339146665408944 , std 1.2846497682618367 
2023-04-20 06:50:56,810 INFO t_ofi_trade_9: 1.2976426943326096 , std 1.3486758257668352 
2023-04-20 06:50:56,810 INFO t_ofi_trade_10: 1.5311478464034443 , std 1.5776689064774931 
2023-04-20 06:50:56,811 INFO p_intercept: 0.49859143622586466 , std 0.2896918655164732 
2023-04-20 06:50:56,811 INFO p_ofi_add_1: 0.381735941143422 , std 0.3609966286826781 
2023-04-20 06:50:56,811 INFO p_ofi_add_2: 0.24169315693441798 , std 0.3108608607227902 
2023-04-20 06:50:56,811 INFO p_ofi_add_3: 0.18285250283045218 , std 0.27866161856679583 
2023-04-20 06:50:56,811 INFO p_ofi_add_4: 0.1958748556815998 , std 0.28671153280984557 
2023-04-20 06:50:56,811 INFO p_ofi_add_5: 0.25006540432319424 , std 0.3100453766941362 
2023-04-20 06:50:56,811 INFO p_ofi_add_6: 0.21333751925511213 , std 0.29627389120048164 
2023-04-20 06:50:56,811 INFO p_ofi_add_7: 0.26404994464846404 , std 0.32196423504131616 
2023-04-20 06:50:56,811 INFO p_ofi_add_8: 0.32882927015279156 , std 0.3551070917351006 
2023-04-20 06:50:56,811 INFO p_ofi_add_9: 0.35640438109603617 , std 0.363310696866189 
2023-04-20 06:50:56,811 INFO p_ofi_add_10: 0.3381821086325798 , std 0.37266875815222583 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_1: 0.5323192711963486 , std 0.39498060891854925 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_2: 0.3002880414575053 , std 0.35493540726449035 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_3: 0.21539315536415882 , std 0.30149430209830747 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_4: 0.23883328522368424 , std 0.3140047951083494 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_5: 0.30940255514236636 , std 0.3438892243691799 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_6: 0.3013483295848024 , std 0.3522003826077423 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_7: 0.37300791329487654 , std 0.37732534832853976 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_8: 0.40176987305549194 , std 0.385007824758078 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_9: 0.43315399642840074 , std 0.3909099094219397 
2023-04-20 06:50:56,811 INFO p_ofi_cancel_10: 0.4070451114749106 , std 0.4063670422209176 
2023-04-20 06:50:56,811 INFO p_ofi_trade_1: 0.6926233470630793 , std 0.3842880713732996 
2023-04-20 06:50:56,811 INFO p_ofi_trade_2: 0.40221127120078465 , std 0.38030012883619607 
2023-04-20 06:50:56,811 INFO p_ofi_trade_3: 0.3229588017320315 , std 0.35783752991143597 
2023-04-20 06:50:56,811 INFO p_ofi_trade_4: 0.33032902438964756 , std 0.3582845470035631 
2023-04-20 06:50:56,811 INFO p_ofi_trade_5: 0.3727645921500112 , std 0.3718150008675764 
2023-04-20 06:50:56,811 INFO p_ofi_trade_6: 0.3296525649662231 , std 0.3635111651194417 
2023-04-20 06:50:56,811 INFO p_ofi_trade_7: 0.36268744399648883 , std 0.3744548555039433 
2023-04-20 06:50:56,811 INFO p_ofi_trade_8: 0.40562000816704696 , std 0.3893892347338883 
2023-04-20 06:50:56,811 INFO p_ofi_trade_9: 0.42941066046440424 , std 0.3943562933794332 
2023-04-20 06:50:56,811 INFO p_ofi_trade_10: 0.40289595153395374 , std 0.4050128015177865 
