2023-05-09 07:22:52,796 INFO Starting...
2023-05-09 07:22:52,796 INFO Tickers: ['CME']
2023-05-09 07:24:10,303 INFO ofi_9_10: -1.756830973043273e-07 , std 6.488861842133456e-06 
2023-05-09 07:24:10,304 INFO ofi_10_10: -2.1924394867049955e-07 , std 6.041544254419402e-06 
2023-05-09 07:24:10,304 INFO ofi_1_20: -1.0485416056901921e-06 , std 1.1021457125763715e-05 
2023-05-09 07:24:10,304 INFO ofi_2_20: -8.273095145019262e-07 , std 9.699495569219922e-06 
2023-05-09 07:24:10,304 INFO ofi_3_20: -7.805214241479556e-07 , std 1.0413515581862123e-05 
2023-05-09 07:24:10,304 INFO ofi_4_20: -8.53322522862543e-07 , std 1.0449487406277439e-05 
2023-05-09 07:24:10,304 INFO ofi_5_20: -7.114330024897555e-07 , std 9.366162369207551e-06 
2023-05-09 07:24:10,304 INFO ofi_6_20: -5.735520110042144e-07 , std 8.644261812935397e-06 
2023-05-09 07:24:10,304 INFO ofi_7_20: -3.142390798705581e-07 , std 7.014211544651109e-06 
2023-05-09 07:24:10,304 INFO ofi_8_20: -2.4794443428663825e-07 , std 6.299808061210067e-06 
2023-05-09 07:24:10,304 INFO ofi_9_20: -2.2359286599133874e-07 , std 6.6875767703171575e-06 
2023-05-09 07:24:10,304 INFO ofi_10_20: -3.123798424347523e-07 , std 7.815246782856217e-06 
2023-05-09 07:24:10,304 INFO ofi_1_30: -1.2218133140780775e-06 , std 1.1982762848492249e-05 
2023-05-09 07:24:10,304 INFO ofi_2_30: -9.326930490448653e-07 , std 1.0437627960487217e-05 
2023-05-09 07:24:10,304 INFO ofi_3_30: -9.081997605789195e-07 , std 1.0247273145030945e-05 
2023-05-09 07:24:10,304 INFO ofi_4_30: -1.0574418020953107e-06 , std 1.013191828890912e-05 
2023-05-09 07:24:10,304 INFO ofi_5_30: -9.87737156402844e-07 , std 1.0125052570059858e-05 
2023-05-09 07:24:10,304 INFO ofi_6_30: -8.222463169324488e-07 , std 9.130352862792272e-06 
2023-05-09 07:24:10,304 INFO ofi_7_30: -4.5135818262990903e-07 , std 8.44732708742205e-06 
2023-05-09 07:24:10,304 INFO ofi_8_30: -3.3967850828654904e-07 , std 7.425655861709238e-06 
2023-05-09 07:24:10,304 INFO ofi_9_30: -2.80003611004936e-07 , std 6.941256076157573e-06 
2023-05-09 07:24:10,304 INFO ofi_10_30: -3.411322941547047e-07 , std 8.593850049396533e-06 
2023-05-09 07:24:10,304 INFO used_intercept: 0.9877415531718292 , std 0.11003716331100022 
2023-05-09 07:24:10,304 INFO used_ofi_1_1: 0.017852838375316378 , std 0.13241644360600088 
2023-05-09 07:24:10,304 INFO used_ofi_2_1: 0.009546623277489856 , std 0.09723931952398446 
2023-05-09 07:24:10,304 INFO used_ofi_3_1: 0.006719296131131734 , std 0.08169545391656682 
