2023-05-09 06:17:06,731 INFO Starting...
2023-05-09 06:17:06,731 INFO Tickers: ['ADBE']
2023-05-09 06:18:08,184 INFO in_r2: 0.09680271836960322 , std 0.1599741394799224 
2023-05-09 06:18:08,184 INFO os_r2: -0.09176010820638936 , std 0.03851355048831339 
2023-05-09 06:18:08,184 INFO intercept: 2.8378609741952623e-06 , std 0.0003954624313691481 
2023-05-09 06:18:08,184 INFO ofi_1_1: -1.2640211578372493e-07 , std 7.700302199256036e-06 
2023-05-09 06:18:08,184 INFO ofi_2_1: -1.4107800442243055e-07 , std 6.11442173871913e-06 
2023-05-09 06:18:08,184 INFO ofi_3_1: -8.35357968535885e-08 , std 4.825462416721513e-06 
2023-05-09 06:18:08,184 INFO ofi_4_1: -1.0798727219765569e-07 , std 6.21277512091857e-06 
2023-05-09 06:18:08,184 INFO ofi_5_1: -1.280782896324463e-07 , std 5.302983080979923e-06 
2023-05-09 06:18:08,185 INFO ofi_6_1: -1.2361118052043618e-07 , std 5.776785286851578e-06 
2023-05-09 06:18:08,185 INFO ofi_7_1: -8.874722426533065e-08 , std 5.552797858341093e-06 
2023-05-09 06:18:08,185 INFO ofi_8_1: -7.24667358043321e-08 , std 4.5878921455572294e-06 
2023-05-09 06:18:08,185 INFO ofi_9_1: -6.341628372223977e-08 , std 4.581561428742169e-06 
2023-05-09 06:18:08,185 INFO ofi_10_1: -1.0407588940906373e-07 , std 5.779456281927006e-06 
2023-05-09 06:18:08,185 INFO ofi_1_2: -1.44830317254786e-07 , std 7.79588688055465e-06 
2023-05-09 06:18:08,185 INFO ofi_2_2: -1.7371183905313267e-07 , std 6.262681844582294e-06 
2023-05-09 06:18:08,185 INFO ofi_3_2: -1.2976457603435478e-07 , std 6.172368403400169e-06 
2023-05-09 06:18:08,185 INFO ofi_4_2: -1.6015345892825585e-07 , std 5.9377898067888035e-06 
2023-05-09 06:18:08,185 INFO ofi_5_2: -1.1920447115200049e-07 , std 5.9150201389372455e-06 
2023-05-09 06:18:08,185 INFO ofi_6_2: -1.2879128940026274e-07 , std 5.182338771453237e-06 
2023-05-09 06:18:08,185 INFO ofi_7_2: -1.1650553961279167e-07 , std 5.116221792185628e-06 
2023-05-09 06:18:08,185 INFO ofi_8_2: -8.764998831154031e-08 , std 4.902274219389766e-06 
2023-05-09 06:18:08,185 INFO ofi_9_2: -9.689990153585123e-08 , std 4.654273101447816e-06 
2023-05-09 06:18:08,185 INFO ofi_10_2: -1.346354521162244e-07 , std 6.159220468023409e-06 
2023-05-09 06:18:08,185 INFO ofi_1_3: -1.8805131145067668e-07 , std 7.876042071899072e-06 
2023-05-09 06:18:08,185 INFO ofi_2_3: -1.438483260797898e-07 , std 6.79275135701803e-06 
2023-05-09 06:18:08,185 INFO ofi_3_3: -1.8186847826012354e-07 , std 5.9912646682551186e-06 
2023-05-09 06:18:08,185 INFO ofi_4_3: -2.17250111953617e-07 , std 6.11160243329126e-06 
2023-05-09 06:18:08,185 INFO ofi_5_3: -2.2957146359464513e-07 , std 5.7052995790069835e-06 
2023-05-09 06:18:08,185 INFO ofi_6_3: -2.5548775075521983e-07 , std 6.1918928759628e-06 
2023-05-09 06:18:08,185 INFO ofi_7_3: -1.5839733681105119e-07 , std 5.383657131016758e-06 
2023-05-09 06:18:08,185 INFO ofi_8_3: -1.400847358372456e-07 , std 5.615085830187155e-06 
2023-05-09 06:18:08,185 INFO ofi_9_3: -1.565573831186691e-07 , std 5.0438007135704126e-06 
2023-05-09 06:18:08,185 INFO ofi_10_3: -1.8551679929784168e-07 , std 5.778835723950111e-06 
2023-05-09 06:18:08,185 INFO ofi_1_5: -4.206178350441625e-07 , std 8.956689316619444e-06 
2023-05-09 06:18:08,185 INFO ofi_2_5: -2.4751321437760087e-07 , std 6.548834117221585e-06 
2023-05-09 06:18:08,185 INFO ofi_3_5: -2.68000081099345e-07 , std 6.249795434659748e-06 
2023-05-09 06:18:08,185 INFO ofi_4_5: -2.919498457164309e-07 , std 5.996122571178525e-06 
2023-05-09 06:18:08,185 INFO ofi_5_5: -3.757666415466898e-07 , std 6.791588806062604e-06 
2023-05-09 06:18:08,185 INFO ofi_6_5: -3.678993728238182e-07 , std 6.7936757975367724e-06 
2023-05-09 06:18:08,185 INFO ofi_7_5: -2.6220182303052585e-07 , std 5.950436082308035e-06 
2023-05-09 06:18:08,185 INFO ofi_8_5: -2.0770063173750537e-07 , std 5.282771114423353e-06 
2023-05-09 06:18:08,185 INFO ofi_9_5: -2.2529010612240956e-07 , std 5.650274921171648e-06 
2023-05-09 06:18:08,185 INFO ofi_10_5: -2.754553489288532e-07 , std 6.4141439796735976e-06 
2023-05-09 06:18:08,185 INFO ofi_1_10: -5.093674517991973e-07 , std 9.2073124437187e-06 
2023-05-09 06:18:08,185 INFO ofi_2_10: -3.2998344959130387e-07 , std 7.75288015771341e-06 
2023-05-09 06:18:08,185 INFO ofi_3_10: -4.3819595934103537e-07 , std 7.222247881423407e-06 
2023-05-09 06:18:08,185 INFO ofi_4_10: -4.63490342084378e-07 , std 6.726677760981162e-06 
2023-05-09 06:18:08,185 INFO ofi_5_10: -4.147990045284302e-07 , std 6.715962976562381e-06 
2023-05-09 06:18:08,185 INFO ofi_6_10: -4.6160982012113794e-07 , std 6.624456729426304e-06 
2023-05-09 06:18:08,185 INFO ofi_7_10: -3.8442861587924875e-07 , std 6.394457800220094e-06 
2023-05-09 06:18:08,185 INFO ofi_8_10: -3.00416592425912e-07 , std 6.401264424539407e-06 
2023-05-09 06:18:08,185 INFO ofi_9_10: -3.1242946633640847e-07 , std 6.370508257993249e-06 
2023-05-09 06:18:08,185 INFO ofi_10_10: -3.529222590685557e-07 , std 7.467498570671215e-06 
2023-05-09 06:18:08,185 INFO ofi_1_20: -7.753356219972885e-07 , std 9.963402770285617e-06 
2023-05-09 06:18:08,185 INFO ofi_2_20: -5.617946289610998e-07 , std 8.983855811063821e-06 
2023-05-09 06:18:08,185 INFO ofi_3_20: -6.254816690996826e-07 , std 8.3039398372565e-06 
2023-05-09 06:18:08,185 INFO ofi_4_20: -5.982506383792888e-07 , std 7.792544791827892e-06 
2023-05-09 06:18:08,185 INFO ofi_5_20: -6.296833323915691e-07 , std 6.584702485124297e-06 
2023-05-09 06:18:08,185 INFO ofi_6_20: -7.323006096728746e-07 , std 7.291773748418965e-06 
2023-05-09 06:18:08,185 INFO ofi_7_20: -4.455478887598102e-07 , std 6.767288472753616e-06 
2023-05-09 06:18:08,185 INFO ofi_8_20: -3.571207411773284e-07 , std 6.577926171517348e-06 
2023-05-09 06:18:08,185 INFO ofi_9_20: -3.753092937241162e-07 , std 6.870247847205333e-06 
2023-05-09 06:18:08,186 INFO ofi_10_20: -5.023340736173167e-07 , std 8.043799981524186e-06 
2023-05-09 06:18:08,186 INFO ofi_1_30: -7.99202575934148e-07 , std 1.0260354177953636e-05 
2023-05-09 06:18:08,186 INFO ofi_2_30: -5.197395264821107e-07 , std 9.006410108214378e-06 
2023-05-09 06:18:08,186 INFO ofi_3_30: -6.751235131611322e-07 , std 7.913034521112572e-06 
2023-05-09 06:18:08,186 INFO ofi_4_30: -7.415127567870979e-07 , std 8.361827332792293e-06 
2023-05-09 06:18:08,186 INFO ofi_5_30: -8.365169360711288e-07 , std 8.01129980426838e-06 
2023-05-09 06:18:08,186 INFO ofi_6_30: -1.0005089260492225e-06 , std 8.345335491563962e-06 
2023-05-09 06:18:08,186 INFO ofi_7_30: -5.498667264377263e-07 , std 7.211209218013888e-06 
2023-05-09 06:18:08,186 INFO ofi_8_30: -3.908479710173579e-07 , std 7.200297108873143e-06 
2023-05-09 06:18:08,186 INFO ofi_9_30: -4.205441271087583e-07 , std 6.472797274698354e-06 
2023-05-09 06:18:08,186 INFO ofi_10_30: -5.937502962176697e-07 , std 8.118484326887636e-06 
2023-05-09 06:18:08,186 INFO used_intercept: 0.9899775962045335 , std 0.09960901172899543 
2023-05-09 06:18:08,186 INFO used_ofi_1_1: 0.011821296784396416 , std 0.10808123670060235 
2023-05-09 06:18:08,186 INFO used_ofi_2_1: 0.006431207169214549 , std 0.07993651695915448 
2023-05-09 06:18:08,186 INFO used_ofi_3_1: 0.00433579335793358 , std 0.06570383743656742 
2023-05-09 06:18:08,186 INFO used_ofi_4_1: 0.005271481286241434 , std 0.07241334663782804 
2023-05-09 06:18:08,186 INFO used_ofi_5_1: 0.0063257775434897206 , std 0.07928279814663457 
2023-05-09 06:18:08,186 INFO used_ofi_6_1: 0.006450975224037954 , std 0.08005847951776753 
2023-05-09 06:18:08,186 INFO used_ofi_7_1: 0.0041710595677385345 , std 0.06444890867827718 
2023-05-09 06:18:08,186 INFO used_ofi_8_1: 0.003867949393779652 , std 0.06207244446021771 
2023-05-09 06:18:08,186 INFO used_ofi_9_1: 0.0039602003162888776 , std 0.06280539092899386 
2023-05-09 06:18:08,186 INFO used_ofi_10_1: 0.004974960463890353 , std 0.0703577304371956 
2023-05-09 06:18:08,186 INFO used_ofi_1_2: 0.016783078545071165 , std 0.12845780170788043 
2023-05-09 06:18:08,186 INFO used_ofi_2_2: 0.008249868212967843 , std 0.0904533464689754 
2023-05-09 06:18:08,186 INFO used_ofi_3_2: 0.007656826568265683 , std 0.08716765211458424 
2023-05-09 06:18:08,186 INFO used_ofi_4_2: 0.007518450184501845 , std 0.08638242350921285 
2023-05-09 06:18:08,186 INFO used_ofi_5_2: 0.008572746441750132 , std 0.09219140122698857 
2023-05-09 06:18:08,186 INFO used_ofi_6_2: 0.009034001054296257 , std 0.09461705913442477 
2023-05-09 06:18:08,186 INFO used_ofi_7_2: 0.006773853452820242 , std 0.0820241937614748 
2023-05-09 06:18:08,186 INFO used_ofi_8_2: 0.004988139167105957 , std 0.07045039130306899 
2023-05-09 06:18:08,186 INFO used_ofi_9_2: 0.0055152872957301 , std 0.07405990076806516 
2023-05-09 06:18:08,186 INFO used_ofi_10_2: 0.00658276225619399 , std 0.08086673912847243 
2023-05-09 06:18:08,186 INFO used_ofi_1_3: 0.022127042698998418 , std 0.14709669160248 
2023-05-09 06:18:08,186 INFO used_ofi_2_3: 0.011122825513969425 , std 0.10487663355845867 
2023-05-09 06:18:08,186 INFO used_ofi_3_3: 0.00923168160253031 , std 0.0956371144343022 
2023-05-09 06:18:08,186 INFO used_ofi_4_3: 0.009949920927780706 , std 0.09925180099782381 
2023-05-09 06:18:08,186 INFO used_ofi_5_3: 0.01253294675803901 , std 0.11124689660210377 
2023-05-09 06:18:08,186 INFO used_ofi_6_3: 0.012585661570901423 , std 0.11147763315447703 
2023-05-09 06:18:08,186 INFO used_ofi_7_3: 0.008500263574064313 , std 0.09180418886540935 
2023-05-09 06:18:08,186 INFO used_ofi_8_3: 0.007202161307327359 , std 0.08455938847833866 
2023-05-09 06:18:08,186 INFO used_ofi_9_3: 0.007340537691091197 , std 0.08536190132311293 
