2023-05-09 06:57:05,568 INFO Starting...
2023-05-09 06:57:05,568 INFO Tickers: ['DHR']
2023-05-09 06:58:24,457 INFO ofi_9_10: -2.735359847861097e-07 , std 8.838473905423395e-06 
2023-05-09 06:58:24,457 INFO ofi_10_10: -2.110372353357485e-07 , std 8.449689732930282e-06 
2023-05-09 06:58:24,457 INFO ofi_1_20: -6.923711257305146e-07 , std 1.3709252174112697e-05 
2023-05-09 06:58:24,457 INFO ofi_2_20: -9.646440989850042e-07 , std 1.2422552404748672e-05 
2023-05-09 06:58:24,457 INFO ofi_3_20: -1.1968510385167542e-06 , std 1.1154943604393924e-05 
2023-05-09 06:58:24,457 INFO ofi_4_20: -1.3519638798436186e-06 , std 1.1539296526276033e-05 
2023-05-09 06:58:24,457 INFO ofi_5_20: -1.1381888592278236e-06 , std 1.1141765216217088e-05 
2023-05-09 06:58:24,457 INFO ofi_6_20: -7.900818747508451e-07 , std 9.408428056397657e-06 
2023-05-09 06:58:24,457 INFO ofi_7_20: -4.81585161385631e-07 , std 9.4457122355137e-06 
2023-05-09 06:58:24,457 INFO ofi_8_20: -3.051307186630385e-07 , std 1.0037133919018631e-05 
2023-05-09 06:58:24,457 INFO ofi_9_20: -2.4337142340977936e-07 , std 8.937131042591962e-06 
2023-05-09 06:58:24,457 INFO ofi_10_20: -2.677020053467718e-07 , std 9.060205392237988e-06 
2023-05-09 06:58:24,457 INFO ofi_1_30: -8.668299999228253e-07 , std 1.408987518323527e-05 
2023-05-09 06:58:24,457 INFO ofi_2_30: -1.2221301680261152e-06 , std 1.2526628917514474e-05 
2023-05-09 06:58:24,457 INFO ofi_3_30: -1.5385218025777953e-06 , std 1.1936804106543726e-05 
2023-05-09 06:58:24,457 INFO ofi_4_30: -1.5195182982750838e-06 , std 1.175177111207487e-05 
2023-05-09 06:58:24,457 INFO ofi_5_30: -1.4023671694770298e-06 , std 1.1941259240887054e-05 
2023-05-09 06:58:24,457 INFO ofi_6_30: -1.0924642219053855e-06 , std 1.1743452931269353e-05 
2023-05-09 06:58:24,457 INFO ofi_7_30: -5.958756369110863e-07 , std 9.668008984627468e-06 
2023-05-09 06:58:24,458 INFO ofi_8_30: -4.374183020675273e-07 , std 9.80154012930434e-06 
2023-05-09 06:58:24,458 INFO ofi_9_30: -3.3103401292692463e-07 , std 8.659057106395809e-06 
2023-05-09 06:58:24,458 INFO ofi_10_30: -3.0591788788596305e-07 , std 9.11854711608645e-06 
2023-05-09 06:58:24,458 INFO used_intercept: 0.985898517536459 , std 0.11790941716364935 
2023-05-09 06:58:24,458 INFO used_ofi_1_1: 0.008572375557430397 , std 0.09218942420219775 
2023-05-09 06:58:24,458 INFO used_ofi_2_1: 0.007748784701297658 , std 0.08768546650928302 
2023-05-09 06:58:24,458 INFO used_ofi_3_1: 0.009747499096058817 , std 0.09824706284378759 
2023-05-09 06:58:24,458 INFO used_ofi_4_1: 0.008984170985496765 , std 0.09435812448962795 
2023-05-09 06:58:24,458 INFO used_ofi_5_1: 0.009295528504278654 , std 0.09596416859487085 
2023-05-09 06:58:24,458 INFO used_ofi_6_1: 0.006749427503917079 , std 0.08187718077881312 
2023-05-09 06:58:24,458 INFO used_ofi_7_1: 0.0040175163713792135 , std 0.06325642997818413 
2023-05-09 06:58:24,458 INFO used_ofi_8_1: 0.0030583343377124264 , std 0.05521757807792004 
2023-05-09 06:58:24,458 INFO used_ofi_9_1: 0.002792173878108553 , std 0.052767202343339766 
2023-05-09 06:58:24,458 INFO used_ofi_10_1: 0.0026013418504680407 , std 0.05093696959031863 
2023-05-09 06:58:24,458 INFO used_ofi_1_2: 0.012173074605279017 , std 0.109658063360308 
2023-05-09 06:58:24,458 INFO used_ofi_2_2: 0.010571089952191555 , std 0.10227092455538979 
2023-05-09 06:58:24,458 INFO used_ofi_3_2: 0.012142943232493672 , std 0.1095239341977182 
2023-05-09 06:58:24,458 INFO used_ofi_4_2: 0.012750592583664778 , std 0.11219632334631191 
2023-05-09 06:58:24,458 INFO used_ofi_5_2: 0.011158651721505765 , std 0.10504349676807176 
2023-05-09 06:58:24,458 INFO used_ofi_6_2: 0.009009280462817886 , std 0.09448869418274428 
2023-05-09 06:58:24,458 INFO used_ofi_7_2: 0.005584347756217106 , std 0.07451954653884267 
2023-05-09 06:58:24,458 INFO used_ofi_8_2: 0.0043740709493391185 , std 0.06599195748475162 
2023-05-09 06:58:24,458 INFO used_ofi_9_2: 0.0036408742115624122 , std 0.06022971232322127 
2023-05-09 06:58:24,458 INFO used_ofi_10_2: 0.00362580852516974 , std 0.060105424361770764 
2023-05-09 06:58:24,458 INFO used_ofi_1_3: 0.015537744566309108 , std 0.12367830472682442 
2023-05-09 06:58:24,458 INFO used_ofi_2_3: 0.013920694226828975 , std 0.11716189013101531 
2023-05-09 06:58:24,458 INFO used_ofi_3_3: 0.01779257562974569 , std 0.13219682251175882 
2023-05-09 06:58:24,458 INFO used_ofi_4_3: 0.017330561247037083 , std 0.13049985783095616 
2023-05-09 06:58:24,458 INFO used_ofi_5_3: 0.015472459925274195 , std 0.12342229502458207 
2023-05-09 06:58:24,458 INFO used_ofi_6_3: 0.011605600417821703 , std 0.10710233637397254 
2023-05-09 06:58:24,458 INFO used_ofi_7_3: 0.007733719014904986 , std 0.08760084819853906 
2023-05-09 06:58:24,458 INFO used_ofi_8_3: 0.005940902334177012 , std 0.07684795386757402 
2023-05-09 06:58:24,458 INFO used_ofi_9_3: 0.004359005262946447 , std 0.06587870927745966 
2023-05-09 06:58:24,458 INFO used_ofi_10_3: 0.004524727813265839 , std 0.06711374413249269 
2023-05-09 06:58:24,458 INFO used_ofi_1_5: 0.024185448555702864 , std 0.1536245834294183 
2023-05-09 06:58:24,458 INFO used_ofi_2_5: 0.022086296251657225 , std 0.14696425337319702 
2023-05-09 06:58:24,458 INFO used_ofi_3_5: 0.02739443975734201 , std 0.16322985152147682 
2023-05-09 06:58:24,458 INFO used_ofi_4_5: 0.027540074725804508 , std 0.16365090592447576 
2023-05-09 06:58:24,458 INFO used_ofi_5_5: 0.022257040697440843 , std 0.14751835423713655 
2023-05-09 06:58:24,458 INFO used_ofi_6_5: 0.01821441484874051 , std 0.1337260256661301 
2023-05-09 06:58:24,458 INFO used_ofi_7_5: 0.011259089630790246 , std 0.10550982196684852 
2023-05-09 06:58:24,458 INFO used_ofi_8_5: 0.007979791892651963 , std 0.08897255090196038 
2023-05-09 06:58:24,458 INFO used_ofi_9_5: 0.006980434695271384 , std 0.08325688095729045 
2023-05-09 06:58:24,458 INFO used_ofi_10_5: 0.006759471294845527 , std 0.08193766437151895 
2023-05-09 06:58:24,458 INFO used_ofi_1_10: 0.03198947410710699 , std 0.17597200815316538 
2023-05-09 06:58:24,458 INFO used_ofi_2_10: 0.032265678357639306 , std 0.17670485097404848 
2023-05-09 06:58:24,458 INFO used_ofi_3_10: 0.03989895946325981 , std 0.1957218242736588 
2023-05-09 06:58:24,458 INFO used_ofi_4_10: 0.04168675424852356 , std 0.19987238120547512 
2023-05-09 06:58:24,458 INFO used_ofi_5_10: 0.036293238519946966 , std 0.18701882086485633 
2023-05-09 06:58:24,458 INFO used_ofi_6_10: 0.025797476999718773 , std 0.1585306506016037 
2023-05-09 06:58:24,458 INFO used_ofi_7_10: 0.015748664175806518 , std 0.12450158132523531 
2023-05-09 06:58:24,458 INFO used_ofi_8_10: 0.011545337672251015 , std 0.10682716344771455 
