2023-05-09 06:24:40,579 INFO Starting...
2023-05-09 06:24:40,579 INFO Tickers: ['CRM']
2023-05-09 06:26:01,449 INFO ofi_9_10: -3.4100284379429343e-07 , std 8.361276618146768e-06 
2023-05-09 06:26:01,449 INFO ofi_10_10: -4.279472719063353e-07 , std 9.40359648755847e-06 
2023-05-09 06:26:01,449 INFO ofi_1_20: -7.740905039890311e-07 , std 1.2128017085753176e-05 
2023-05-09 06:26:01,449 INFO ofi_2_20: -8.84334764985587e-07 , std 1.0910333652438447e-05 
2023-05-09 06:26:01,449 INFO ofi_3_20: -1.0099396054946203e-06 , std 1.0480496628881509e-05 
2023-05-09 06:26:01,449 INFO ofi_4_20: -1.0704339785333228e-06 , std 9.812338401270364e-06 
2023-05-09 06:26:01,449 INFO ofi_5_20: -9.031300189015887e-07 , std 9.297521149747915e-06 
2023-05-09 06:26:01,449 INFO ofi_6_20: -8.743079571684817e-07 , std 9.78006969566648e-06 
2023-05-09 06:26:01,449 INFO ofi_7_20: -6.313705042096498e-07 , std 8.74764301803977e-06 
2023-05-09 06:26:01,449 INFO ofi_8_20: -4.684558456679735e-07 , std 8.092162134345597e-06 
2023-05-09 06:26:01,449 INFO ofi_9_20: -4.296510683606513e-07 , std 8.06333278816108e-06 
2023-05-09 06:26:01,449 INFO ofi_10_20: -4.1829997696333835e-07 , std 9.46479331596299e-06 
2023-05-09 06:26:01,449 INFO ofi_1_30: -8.888422789881403e-07 , std 1.2288121403358788e-05 
2023-05-09 06:26:01,449 INFO ofi_2_30: -9.704270747550238e-07 , std 1.1919891224878177e-05 
2023-05-09 06:26:01,449 INFO ofi_3_30: -1.1727781887696746e-06 , std 1.118341162861151e-05 
2023-05-09 06:26:01,449 INFO ofi_4_30: -1.3261250118909127e-06 , std 1.1351374576798227e-05 
2023-05-09 06:26:01,449 INFO ofi_5_30: -1.2948862218165503e-06 , std 1.1334794873547449e-05 
2023-05-09 06:26:01,449 INFO ofi_6_30: -1.1251292907038888e-06 , std 1.0683730339368336e-05 
2023-05-09 06:26:01,449 INFO ofi_7_30: -7.795405339038016e-07 , std 9.068367385085561e-06 
