2023-05-09 07:12:15,908 INFO Starting...
2023-05-09 07:12:15,908 INFO Tickers: ['MDLZ']
2023-05-09 07:13:31,047 INFO in_r2: 0.09432726523693168 , std 0.15899756729112824 
2023-05-09 07:13:31,047 INFO os_r2: -0.0903181433220405 , std 0.03947927063064372 
2023-05-09 07:13:31,047 INFO intercept: -5.42380636041394e-06 , std 0.0002258094072664013 
2023-05-09 07:13:31,047 INFO ofi_1_1: -2.8936509781797443e-07 , std 2.4438074602600006e-05 
2023-05-09 07:13:31,047 INFO ofi_2_1: -2.6847026860675113e-07 , std 1.66959015710935e-05 
2023-05-09 07:13:31,047 INFO ofi_3_1: -3.684243840343336e-07 , std 1.6664765399294948e-05 
2023-05-09 07:13:31,047 INFO ofi_4_1: -3.349986894056593e-07 , std 1.6888753207272003e-05 
2023-05-09 07:13:31,047 INFO ofi_5_1: -1.6115999367079472e-07 , std 1.4013239447197661e-05 
2023-05-09 07:13:31,047 INFO ofi_6_1: -1.3898750965607275e-07 , std 1.1492633405398913e-05 
2023-05-09 07:13:31,048 INFO ofi_7_1: -8.056210399039287e-08 , std 8.398041376315534e-06 
2023-05-09 07:13:31,048 INFO ofi_8_1: -2.2691732072957892e-08 , std 1.3972070521517893e-05 
2023-05-09 07:13:31,048 INFO ofi_9_1: -9.852301837607461e-08 , std 1.0606445383181619e-05 
2023-05-09 07:13:31,048 INFO ofi_10_1: -7.009343005396327e-08 , std 1.150518284934787e-05 
2023-05-09 07:13:31,048 INFO ofi_1_2: -5.93354799839514e-07 , std 2.3304383905457363e-05 
2023-05-09 07:13:31,048 INFO ofi_2_2: -5.003757986103298e-07 , std 1.822041804035154e-05 
2023-05-09 07:13:31,048 INFO ofi_3_2: -4.350844823615472e-07 , std 1.750718482067325e-05 
2023-05-09 07:13:31,048 INFO ofi_4_2: -4.395481868665115e-07 , std 1.6039701122645598e-05 
2023-05-09 07:13:31,048 INFO ofi_5_2: -3.027149550808012e-07 , std 1.6163027744351783e-05 
2023-05-09 07:13:31,048 INFO ofi_6_2: -2.2568155558960385e-07 , std 1.4667716372769336e-05 
2023-05-09 07:13:31,048 INFO ofi_7_2: -9.785296661685434e-08 , std 1.0572289957995643e-05 
2023-05-09 07:13:31,048 INFO ofi_8_2: -1.0228550789375177e-07 , std 7.744524456604419e-06 
2023-05-09 07:13:31,048 INFO ofi_9_2: -1.5366857857230695e-07 , std 1.2877090140702132e-05 
2023-05-09 07:13:31,048 INFO ofi_10_2: -2.4616565145179536e-08 , std 8.644775131341355e-06 
2023-05-09 07:13:31,048 INFO ofi_1_3: -1.127074993250841e-06 , std 2.3672721250116902e-05 
2023-05-09 07:13:31,048 INFO ofi_2_3: -4.867794084948183e-07 , std 1.852448234031849e-05 
2023-05-09 07:13:31,048 INFO ofi_3_3: -7.776735511502374e-07 , std 2.0221906102723304e-05 
2023-05-09 07:13:31,048 INFO ofi_4_3: -5.479417339853584e-07 , std 2.0278308912813367e-05 
2023-05-09 07:13:31,048 INFO ofi_5_3: -3.070173929559516e-07 , std 1.589303788421458e-05 
2023-05-09 07:13:31,048 INFO ofi_6_3: -2.602544133454848e-07 , std 1.6682650339653997e-05 
2023-05-09 07:13:31,048 INFO ofi_7_3: -1.49846342769347e-07 , std 1.0628287568318923e-05 
2023-05-09 07:13:31,048 INFO ofi_8_3: -8.452316920788277e-08 , std 1.0659441558457938e-05 
2023-05-09 07:13:31,048 INFO ofi_9_3: -8.626886931915949e-08 , std 1.1789038927318307e-05 
2023-05-09 07:13:31,048 INFO ofi_10_3: -1.1604357789575377e-07 , std 1.2406246386220065e-05 
2023-05-09 07:13:31,048 INFO ofi_1_5: -1.992723720178285e-06 , std 2.5279723629478895e-05 
2023-05-09 07:13:31,048 INFO ofi_2_5: -1.0764494586274115e-06 , std 2.0511511880464418e-05 
2023-05-09 07:13:31,048 INFO ofi_3_5: -1.092963702570294e-06 , std 2.0165289530212167e-05 
2023-05-09 07:13:31,048 INFO ofi_4_5: -9.288950413352391e-07 , std 2.0214673761573846e-05 
2023-05-09 07:13:31,048 INFO ofi_5_5: -4.464820695380813e-07 , std 1.5857250047833033e-05 
2023-05-09 07:13:31,048 INFO ofi_6_5: -3.2956266844656295e-07 , std 1.5283169196923967e-05 
2023-05-09 07:13:31,048 INFO ofi_7_5: -1.435504900884195e-07 , std 1.1109308490696257e-05 
2023-05-09 07:13:31,048 INFO ofi_8_5: -1.1563219786088667e-07 , std 9.678695893281928e-06 
2023-05-09 07:13:31,048 INFO ofi_9_5: -1.4339412730278752e-07 , std 1.1298472185188211e-05 
2023-05-09 07:13:31,048 INFO ofi_10_5: -1.2505646598339315e-07 , std 1.0033554754564987e-05 
2023-05-09 07:13:31,048 INFO ofi_1_10: -2.677750162389845e-06 , std 2.6697749422694944e-05 
2023-05-09 07:13:31,048 INFO ofi_2_10: -1.276707219435654e-06 , std 2.2137359743727424e-05 
2023-05-09 07:13:31,048 INFO ofi_3_10: -1.5505789258808822e-06 , std 2.205540140520789e-05 
2023-05-09 07:13:31,048 INFO ofi_4_10: -1.170037025672676e-06 , std 2.2328699333476393e-05 
2023-05-09 07:13:31,048 INFO ofi_5_10: -5.122766662672262e-07 , std 1.644684654542954e-05 
2023-05-09 07:13:31,048 INFO ofi_6_10: -3.5804971945976323e-07 , std 1.556806417821231e-05 
2023-05-09 07:13:31,048 INFO ofi_7_10: -1.83933519604663e-07 , std 1.1404368259926127e-05 
2023-05-09 07:13:31,048 INFO ofi_8_10: -1.9102860368540829e-07 , std 1.537611595167394e-05 
2023-05-09 07:13:31,048 INFO ofi_9_10: -1.9763219424895306e-07 , std 1.2259692325581181e-05 
2023-05-09 07:13:31,048 INFO ofi_10_10: -1.1441965932963233e-07 , std 1.385241727740397e-05 
2023-05-09 07:13:31,048 INFO ofi_1_20: -3.77278115249326e-06 , std 2.9769809847626818e-05 
2023-05-09 07:13:31,048 INFO ofi_2_20: -1.737288300679694e-06 , std 2.4924162541188544e-05 
2023-05-09 07:13:31,048 INFO ofi_3_20: -1.8353812437593098e-06 , std 2.4039093293872158e-05 
2023-05-09 07:13:31,048 INFO ofi_4_20: -1.5109119651853316e-06 , std 2.1281718536395793e-05 
2023-05-09 07:13:31,048 INFO ofi_5_20: -8.406575776064609e-07 , std 1.9263515839231967e-05 
2023-05-09 07:13:31,048 INFO ofi_6_20: -5.170025181626328e-07 , std 1.6969920270444572e-05 
2023-05-09 07:13:31,048 INFO ofi_7_20: -1.768599846426666e-07 , std 1.1458559905227003e-05 
2023-05-09 07:13:31,048 INFO ofi_8_20: -1.9249595803982086e-07 , std 1.4051190475543553e-05 
2023-05-09 07:13:31,048 INFO ofi_9_20: -2.322793594313206e-07 , std 1.4634278022882237e-05 
2023-05-09 07:13:31,048 INFO ofi_10_20: -1.8097172061788857e-07 , std 2.0582402361075485e-05 
2023-05-09 07:13:31,048 INFO ofi_1_30: -4.849278265308996e-06 , std 3.0410542436918234e-05 
2023-05-09 07:13:31,048 INFO ofi_2_30: -2.219438012892592e-06 , std 2.5295509068437728e-05 
