2023-05-09 07:02:12,408 INFO Starting...
2023-05-09 07:02:12,408 INFO Tickers: ['LOW']
2023-05-09 07:03:30,166 INFO ofi_6_20: -1.0253999394006456e-06 , std 1.1232195658292104e-05 
2023-05-09 07:03:30,166 INFO ofi_7_20: -5.209017968718687e-07 , std 1.0028119949666373e-05 
2023-05-09 07:03:30,166 INFO ofi_8_20: -2.750114089952964e-07 , std 1.0129972495567012e-05 
2023-05-09 07:03:30,166 INFO ofi_9_20: -2.2866465704112537e-07 , std 8.916962517931273e-06 
2023-05-09 07:03:30,166 INFO ofi_10_20: -1.8907188037136339e-07 , std 8.029405735234451e-06 
2023-05-09 07:03:30,166 INFO ofi_1_30: -8.540823696089702e-07 , std 1.4330432660755976e-05 
2023-05-09 07:03:30,166 INFO ofi_2_30: -1.1067343637745637e-06 , std 1.3531124665650586e-05 
2023-05-09 07:03:30,166 INFO ofi_3_30: -1.615144887951486e-06 , std 1.2793994293127364e-05 
2023-05-09 07:03:30,166 INFO ofi_4_30: -1.8189834281762054e-06 , std 1.2789276244293429e-05 
2023-05-09 07:03:30,166 INFO ofi_5_30: -1.6664021299895715e-06 , std 1.2617499078509208e-05 
2023-05-09 07:03:30,166 INFO ofi_6_30: -1.1388960792146505e-06 , std 1.264592091340918e-05 
2023-05-09 07:03:30,166 INFO ofi_7_30: -5.784248092839299e-07 , std 1.0278699467092539e-05 
2023-05-09 07:03:30,166 INFO ofi_8_30: -3.5602587605749015e-07 , std 8.978673800844128e-06 
2023-05-09 07:03:30,166 INFO ofi_9_30: -2.227158073148085e-07 , std 7.971001565076792e-06 
2023-05-09 07:03:30,167 INFO ofi_10_30: -2.3289718138193427e-07 , std 8.090257475958203e-06 
2023-05-09 07:03:30,167 INFO used_intercept: 0.9895470208255894 , std 0.1017040530204666 
2023-05-09 07:03:30,167 INFO used_ofi_1_1: 0.007765644307370832 , std 0.0877800608103129 
2023-05-09 07:03:30,167 INFO used_ofi_2_1: 0.005645914748696517 , std 0.07492688699890694 
2023-05-09 07:03:30,167 INFO used_ofi_3_1: 0.008288042113300047 , std 0.09066063352540733 
2023-05-09 07:03:30,167 INFO used_ofi_4_1: 0.012030218703850674 , std 0.10902060604210653 
2023-05-09 07:03:30,167 INFO used_ofi_5_1: 0.011658512572708734 , std 0.10734333541166273 
2023-05-09 07:03:30,167 INFO used_ofi_6_1: 0.008403572397303624 , std 0.09128500626207406 
2023-05-09 07:03:30,167 INFO used_ofi_7_1: 0.004149044112476266 , std 0.06427930884374063 
2023-05-09 07:03:30,167 INFO used_ofi_8_1: 0.002707427090344682 , std 0.05196245691742404 
2023-05-09 07:03:30,167 INFO used_ofi_9_1: 0.0022704212334615885 , std 0.04759481506303219 
2023-05-09 07:03:30,167 INFO used_ofi_10_1: 0.0018685767673621925 , std 0.04318663205468408 
2023-05-09 07:03:30,167 INFO used_ofi_1_2: 0.010824685305552487 , std 0.10347710613265254 
2023-05-09 07:03:30,167 INFO used_ofi_2_2: 0.00804693543364041 , std 0.08934305940456276 
2023-05-09 07:03:30,167 INFO used_ofi_3_2: 0.012256256216031585 , std 0.11002745293606764 
2023-05-09 07:03:30,167 INFO used_ofi_4_2: 0.01677700645964979 , std 0.12843495830147905 
2023-05-09 07:03:30,167 INFO used_ofi_5_2: 0.01517465165107845 , std 0.1222472150944424 
2023-05-09 07:03:30,167 INFO used_ofi_6_2: 0.010578555570066605 , std 0.10230664559117172 
2023-05-09 07:03:30,167 INFO used_ofi_7_2: 0.005475130850604274 , std 0.07379128534436187 
2023-05-09 07:03:30,167 INFO used_ofi_8_2: 0.003114294612270321 , std 0.055718899678101196 
2023-05-09 07:03:30,167 INFO used_ofi_9_2: 0.002998764328266744 , std 0.05467880522442183 
2023-05-09 07:03:30,167 INFO used_ofi_10_2: 0.0020443837212806783 , std 0.04516861982041116 
2023-05-09 07:03:30,167 INFO used_ofi_1_3: 0.013501974060939713 , std 0.11541087798555828 
2023-05-09 07:03:30,167 INFO used_ofi_2_3: 0.011784088968364794 , std 0.1079130400625914 
2023-05-09 07:03:30,167 INFO used_ofi_3_3: 0.017565626224369857 , std 0.13136618666809044 
2023-05-09 07:03:30,167 INFO used_ofi_4_3: 0.021800062285892246 , std 0.1460302008840071 
2023-05-09 07:03:30,167 INFO used_ofi_5_3: 0.020363468319586905 , std 0.14124021197089762 
2023-05-09 07:03:30,167 INFO used_ofi_6_3: 0.013722988517294381 , std 0.11633859249384351 
2023-05-09 07:03:30,167 INFO used_ofi_7_3: 0.007996704875377986 , std 0.08906602936313089 
2023-05-09 07:03:30,167 INFO used_ofi_8_3: 0.003943098823600326 , std 0.0626701746867491 
2023-05-09 07:03:30,167 INFO used_ofi_9_3: 0.0033101937894937762 , std 0.05743897985314304 
2023-05-09 07:03:30,167 INFO used_ofi_10_3: 0.0027124501461709247 , std 0.05201050624994399 
2023-05-09 07:03:30,167 INFO used_ofi_1_5: 0.019409087712600838 , std 0.13795787410208016 
2023-05-09 07:03:30,167 INFO used_ofi_2_5: 0.0174048884379301 , std 0.13077445582526165 
2023-05-09 07:03:30,167 INFO used_ofi_3_5: 0.028641464321234465 , std 0.16679667515502195 
2023-05-09 07:03:30,167 INFO used_ofi_4_5: 0.03338322902120734 , std 0.17963515536031624 
2023-05-09 07:03:30,167 INFO used_ofi_5_5: 0.03188133532916085 , std 0.17568413641188682 
2023-05-09 07:03:30,167 INFO used_ofi_6_5: 0.022292321756864006 , std 0.14763256465818253 
2023-05-09 07:03:30,167 INFO used_ofi_7_5: 0.010809616138073758 , std 0.10340584285726438 
2023-05-09 07:03:30,167 INFO used_ofi_8_5: 0.005073286384504877 , std 0.07104609876527827 
2023-05-09 07:03:30,167 INFO used_ofi_9_5: 0.004073698275082629 , std 0.06369539431894757 
2023-05-09 07:03:30,167 INFO used_ofi_10_5: 0.0037471996463768697 , std 0.06109957562198826 
2023-05-09 07:03:30,167 INFO used_ofi_1_10: 0.02807385901286907 , std 0.16518388981070348 
2023-05-09 07:03:30,167 INFO used_ofi_2_10: 0.02582353000271245 , std 0.1586085599862487 
2023-05-09 07:03:30,167 INFO used_ofi_3_10: 0.04087260525813484 , std 0.19799503882054098 
2023-05-09 07:03:30,167 INFO used_ofi_4_10: 0.05346540621452467 , std 0.22495967761543517 
2023-05-09 07:03:30,167 INFO used_ofi_5_10: 0.04769391507017209 , std 0.21311782078336688 
2023-05-09 07:03:30,167 INFO used_ofi_6_10: 0.03326267568137752 , std 0.17932169441507353 
2023-05-09 07:03:30,167 INFO used_ofi_7_10: 0.015335389437518209 , std 0.12288293318568641 
2023-05-09 07:03:30,167 INFO used_ofi_8_10: 0.007745552084065862 , std 0.08766731721102732 
2023-05-09 07:03:30,167 INFO used_ofi_9_10: 0.005892044484182397 , std 0.07653318427962352 
2023-05-09 07:03:30,167 INFO used_ofi_10_10: 0.004837202760671482 , std 0.06938158422898424 
2023-05-09 07:03:30,167 INFO used_ofi_1_20: 0.037833656483258156 , std 0.1907937916190277 
2023-05-09 07:03:30,167 INFO used_ofi_2_20: 0.03566369636632141 , std 0.18545025513008132 
2023-05-09 07:03:30,167 INFO used_ofi_3_20: 0.057147306135160385 , std 0.2321238711047501 
2023-05-09 07:03:30,167 INFO used_ofi_4_20: 0.06949397735606433 , std 0.2542922815724047 
2023-05-09 07:03:30,168 INFO used_ofi_5_20: 0.06475221265609146 , std 0.24608812163985438 
2023-05-09 07:03:30,168 INFO used_ofi_6_20: 0.04274620508132328 , std 0.20228437169605742 
2023-05-09 07:03:30,168 INFO used_ofi_7_20: 0.021553932550406364 , std 0.14522176332085662 
2023-05-09 07:03:30,168 INFO used_ofi_8_20: 0.012055333982981887 , std 0.10913295975799725 
2023-05-09 07:03:30,168 INFO used_ofi_9_20: 0.007685275414150953 , std 0.08732818534676877 
2023-05-09 07:03:30,168 INFO used_ofi_10_20: 0.006168312554625732 , std 0.07829600548466173 
2023-05-09 07:03:30,168 INFO used_ofi_1_30: 0.042610582574014726 , std 0.20197752554855655 
2023-05-09 07:03:30,168 INFO used_ofi_2_30: 0.04271606674636582 , std 0.2022162317621556 
2023-05-09 07:03:30,168 INFO used_ofi_3_30: 0.0660582071709145 , std 0.2483838167761319 
2023-05-09 07:03:30,168 INFO used_ofi_4_30: 0.08233793110376629 , std 0.2748788755166859 
2023-05-09 07:03:30,168 INFO used_ofi_5_30: 0.07501431570910479 , std 0.2634144417980904 
2023-05-09 07:03:30,168 INFO used_ofi_6_30: 0.049467053776835676 , std 0.2168411039620379 
2023-05-09 07:03:30,168 INFO used_ofi_7_30: 0.02328186375463377 , std 0.15079727641686516 
2023-05-09 07:03:30,168 INFO used_ofi_8_30: 0.012467224560733767 , std 0.11095851870174728 
2023-05-09 07:03:30,168 INFO used_ofi_9_30: 0.009146984659587507 , std 0.09520145656041602 
2023-05-09 07:03:30,168 INFO used_ofi_10_30: 0.006514903406636461 , std 0.08045159687811461 
2023-05-09 07:03:30,807 INFO Grouping by horizont:
2023-05-09 07:03:30,807 INFO 1: 0.06478737404687517
2023-05-09 07:03:30,807 INFO 2: 0.08729066414844136
2023-05-09 07:03:30,807 INFO 3: 0.11670065601109092
2023-05-09 07:03:30,807 INFO 5: 0.17671612702303577
2023-05-09 07:03:30,807 INFO 10: 0.2630021800062286
2023-05-09 07:03:30,807 INFO 20: 0.3550999085803839
2023-05-09 07:03:30,807 INFO 30: 0.4096151334625933
2023-05-09 07:03:30,808 INFO Grouping by level:
2023-05-09 07:03:30,808 INFO 1: 0.16001948945660582
2023-05-09 07:03:30,808 INFO 2: 0.1470851207040315
2023-05-09 07:03:30,808 INFO 3: 0.23082950743914565
2023-05-09 07:03:30,808 INFO 4: 0.2892878311449553
2023-05-09 07:03:30,808 INFO 5: 0.2665384113079033
2023-05-09 07:03:30,808 INFO 6: 0.18047337278106512
2023-05-09 07:03:30,808 INFO 7: 0.08860168171909062
2023-05-09 07:03:30,808 INFO 8: 0.04710621753850172
2023-05-09 07:03:30,808 INFO 9: 0.03537738218422559
2023-05-09 07:03:30,808 INFO 10: 0.02789302900312434
2023-05-09 07:03:30,808 INFO Grouping by level and horizont:
2023-05-09 07:03:30,808 INFO 1_1: 0.007765644307370832
2023-05-09 07:03:30,808 INFO 2_1: 0.005645914748696517
2023-05-09 07:03:30,808 INFO 3_1: 0.008288042113300047
2023-05-09 07:03:30,808 INFO 4_1: 0.012030218703850674
2023-05-09 07:03:30,808 INFO 5_1: 0.011658512572708734
2023-05-09 07:03:30,808 INFO 6_1: 0.008403572397303624
2023-05-09 07:03:30,808 INFO 7_1: 0.004149044112476266
2023-05-09 07:03:30,808 INFO 8_1: 0.002707427090344682
2023-05-09 07:03:30,808 INFO 9_1: 0.0022704212334615885
2023-05-09 07:03:30,808 INFO 10_1: 0.0018685767673621925
2023-05-09 07:03:30,808 INFO 1_2: 0.010824685305552487
2023-05-09 07:03:30,808 INFO 2_2: 0.00804693543364041
2023-05-09 07:03:30,808 INFO 3_2: 0.012256256216031585
2023-05-09 07:03:30,808 INFO 4_2: 0.01677700645964979
2023-05-09 07:03:30,808 INFO 5_2: 0.01517465165107845
2023-05-09 07:03:30,808 INFO 6_2: 0.010578555570066605
2023-05-09 07:03:30,808 INFO 7_2: 0.005475130850604274
2023-05-09 07:03:30,808 INFO 8_2: 0.003114294612270321
2023-05-09 07:03:30,808 INFO 9_2: 0.002998764328266744
2023-05-09 07:03:30,808 INFO 10_2: 0.0020443837212806783
2023-05-09 07:03:30,808 INFO 1_3: 0.013501974060939713
2023-05-09 07:03:30,808 INFO 2_3: 0.011784088968364794
2023-05-09 07:03:30,808 INFO 3_3: 0.017565626224369857
2023-05-09 07:03:30,808 INFO 4_3: 0.021800062285892246
2023-05-09 07:03:30,808 INFO 5_3: 0.020363468319586905
2023-05-09 07:03:30,808 INFO 6_3: 0.013722988517294381
2023-05-09 07:03:30,808 INFO 7_3: 0.007996704875377986
2023-05-09 07:03:30,808 INFO 8_3: 0.003943098823600326
2023-05-09 07:03:30,808 INFO 9_3: 0.0033101937894937762
2023-05-09 07:03:30,808 INFO 10_3: 0.0027124501461709247
2023-05-09 07:03:30,808 INFO 1_5: 0.019409087712600838
2023-05-09 07:03:30,808 INFO 2_5: 0.0174048884379301
2023-05-09 07:03:30,808 INFO 3_5: 0.028641464321234465
2023-05-09 07:03:30,808 INFO 4_5: 0.03338322902120734
2023-05-09 07:03:30,808 INFO 5_5: 0.03188133532916085
2023-05-09 07:03:30,808 INFO 6_5: 0.022292321756864006
2023-05-09 07:03:30,809 INFO 7_5: 0.010809616138073758
2023-05-09 07:03:30,809 INFO 8_5: 0.005073286384504877
2023-05-09 07:03:30,809 INFO 9_5: 0.004073698275082629
2023-05-09 07:03:30,809 INFO 10_5: 0.0037471996463768697
2023-05-09 07:03:30,809 INFO 1_10: 0.02807385901286907
2023-05-09 07:03:30,809 INFO 2_10: 0.02582353000271245
2023-05-09 07:03:30,809 INFO 3_10: 0.04087260525813484
2023-05-09 07:03:30,809 INFO 4_10: 0.05346540621452467
2023-05-09 07:03:30,809 INFO 5_10: 0.04769391507017209
2023-05-09 07:03:30,809 INFO 6_10: 0.03326267568137752
2023-05-09 07:03:30,809 INFO 7_10: 0.015335389437518209
2023-05-09 07:03:30,809 INFO 8_10: 0.007745552084065862
2023-05-09 07:03:30,809 INFO 9_10: 0.005892044484182397
2023-05-09 07:03:30,809 INFO 10_10: 0.004837202760671482
2023-05-09 07:03:30,809 INFO 1_20: 0.037833656483258156
2023-05-09 07:03:30,809 INFO 2_20: 0.03566369636632141
2023-05-09 07:03:30,809 INFO 3_20: 0.057147306135160385
2023-05-09 07:03:30,809 INFO 4_20: 0.06949397735606433
2023-05-09 07:03:30,809 INFO 5_20: 0.06475221265609146
2023-05-09 07:03:30,809 INFO 6_20: 0.04274620508132328
2023-05-09 07:03:30,809 INFO 7_20: 0.021553932550406364
2023-05-09 07:03:30,809 INFO 8_20: 0.012055333982981887
2023-05-09 07:03:30,809 INFO 9_20: 0.007685275414150953
2023-05-09 07:03:30,809 INFO 10_20: 0.006168312554625732
2023-05-09 07:03:30,809 INFO 1_30: 0.042610582574014726
2023-05-09 07:03:30,809 INFO 2_30: 0.04271606674636582
2023-05-09 07:03:30,809 INFO 3_30: 0.0660582071709145
2023-05-09 07:03:30,809 INFO 4_30: 0.08233793110376629
2023-05-09 07:03:30,809 INFO 5_30: 0.07501431570910479
2023-05-09 07:03:30,809 INFO 6_30: 0.049467053776835676
2023-05-09 07:03:30,809 INFO 7_30: 0.02328186375463377
2023-05-09 07:03:30,809 INFO 8_30: 0.012467224560733767
2023-05-09 07:03:30,809 INFO 9_30: 0.009146984659587507
2023-05-09 07:03:30,809 INFO 10_30: 0.006514903406636461
2023-05-09 07:03:30,817 INFO Non empty regressions: 0.48589525923991117 --- 96733 / 199082
