2023-05-09 05:58:59,287 INFO Starting...
2023-05-09 05:58:59,287 INFO Tickers: ['INTC']
2023-05-09 06:00:15,902 INFO ofi_9_10: -2.437245348792355e-07 , std 1.4317040510449887e-05 
2023-05-09 06:00:15,902 INFO ofi_10_10: -1.8663887249008762e-07 , std 1.6117756140772583e-05 
2023-05-09 06:00:15,902 INFO ofi_1_20: -4.073999822261256e-06 , std 3.108826010156566e-05 
2023-05-09 06:00:15,902 INFO ofi_2_20: -1.8300051123481851e-06 , std 2.6064091548428624e-05 
2023-05-09 06:00:15,902 INFO ofi_3_20: -2.3179523259517773e-06 , std 2.6645164410983542e-05 
2023-05-09 06:00:15,902 INFO ofi_4_20: -1.861142024410439e-06 , std 2.4105779400465375e-05 
2023-05-09 06:00:15,902 INFO ofi_5_20: -5.615673522413086e-07 , std 1.888247061353418e-05 
2023-05-09 06:00:15,902 INFO ofi_6_20: -3.946871625211065e-07 , std 1.4184384328813002e-05 
2023-05-09 06:00:15,902 INFO ofi_7_20: -2.798183950757999e-07 , std 1.5684529236553224e-05 
2023-05-09 06:00:15,902 INFO ofi_8_20: -2.8683557425591256e-07 , std 1.470041054289835e-05 
2023-05-09 06:00:15,902 INFO ofi_9_20: -2.5998942201079915e-07 , std 1.5201252796428687e-05 
2023-05-09 06:00:15,902 INFO ofi_10_20: -2.849268804229668e-07 , std 1.617870895483814e-05 
2023-05-09 06:00:15,902 INFO ofi_1_30: -5.244212841256879e-06 , std 3.338904289091944e-05 
2023-05-09 06:00:15,902 INFO ofi_2_30: -2.235972313435953e-06 , std 2.6855405381435376e-05 
2023-05-09 06:00:15,902 INFO ofi_3_30: -3.117655185442935e-06 , std 3.138100294792296e-05 
2023-05-09 06:00:15,902 INFO ofi_4_30: -2.057984103679635e-06 , std 2.342620734805364e-05 
2023-05-09 06:00:15,902 INFO ofi_5_30: -8.675955765226796e-07 , std 2.0500385501753516e-05 
2023-05-09 06:00:15,902 INFO ofi_6_30: -5.578398765880546e-07 , std 1.8692789747222964e-05 
2023-05-09 06:00:15,902 INFO ofi_7_30: -4.3902155303954875e-07 , std 1.6508947947278767e-05 
2023-05-09 06:00:15,903 INFO ofi_8_30: -4.4611814700354444e-07 , std 1.570042734327644e-05 
2023-05-09 06:00:15,903 INFO ofi_9_30: -2.9537765947537386e-07 , std 1.9437066036218852e-05 
2023-05-09 06:00:15,903 INFO ofi_10_30: -3.832294574313211e-07 , std 1.6808791042892657e-05 
2023-05-09 06:00:15,903 INFO used_intercept: 0.9840587425793296 , std 0.1252482883416708 
2023-05-09 06:00:15,903 INFO used_ofi_1_1: 0.031124124838025975 , std 0.1736531418981325 
2023-05-09 06:00:15,903 INFO used_ofi_2_1: 0.006489005856177112 , std 0.08029258159491207 
2023-05-09 06:00:15,903 INFO used_ofi_3_1: 0.009602925075085632 , std 0.09752286349922218 
2023-05-09 06:00:15,903 INFO used_ofi_4_1: 0.006976183540425703 , std 0.08323170311627655 
2023-05-09 06:00:15,903 INFO used_ofi_5_1: 0.002651853786425321 , std 0.051427827660914714 
2023-05-09 06:00:15,903 INFO used_ofi_6_1: 0.0022500577581790605 , std 0.04738137818029272 
