2023-05-09 07:42:07,071 INFO Starting...
2023-05-09 07:42:07,071 INFO Tickers: ['AGN']
2023-05-09 07:43:00,403 INFO ofi_9_10: -4.3094196140125103e-07 , std 1.2071135934050264e-05 
2023-05-09 07:43:00,403 INFO ofi_10_10: -4.6117179959540784e-07 , std 1.004230965764884e-05 
2023-05-09 07:43:00,403 INFO ofi_1_20: -1.3154679293646712e-06 , std 1.6540526087642506e-05 
2023-05-09 07:43:00,403 INFO ofi_2_20: -1.1416320461893532e-06 , std 1.4580576788271238e-05 
2023-05-09 07:43:00,403 INFO ofi_3_20: -1.1591986642293025e-06 , std 1.4052581643148068e-05 
2023-05-09 07:43:00,403 INFO ofi_4_20: -1.0201520223186712e-06 , std 1.2948065970659525e-05 
2023-05-09 07:43:00,403 INFO ofi_5_20: -9.757744929542407e-07 , std 1.2307760675616288e-05 
2023-05-09 07:43:00,403 INFO ofi_6_20: -8.417594553999319e-07 , std 1.141058516952504e-05 
2023-05-09 07:43:00,403 INFO ofi_7_20: -7.504810834417031e-07 , std 1.0272407433494909e-05 
2023-05-09 07:43:00,403 INFO ofi_8_20: -5.990849396893673e-07 , std 1.0840534939789171e-05 
2023-05-09 07:43:00,403 INFO ofi_9_20: -4.6080357884900855e-07 , std 1.0625005963732775e-05 
2023-05-09 07:43:00,403 INFO ofi_10_20: -6.107295367255751e-07 , std 1.1542111904977244e-05 
2023-05-09 07:43:00,403 INFO ofi_1_30: -1.5865455114364598e-06 , std 1.681443251686245e-05 
2023-05-09 07:43:00,403 INFO ofi_2_30: -1.1835715300149315e-06 , std 1.46392366224206e-05 
2023-05-09 07:43:00,403 INFO ofi_3_30: -1.2146760405268641e-06 , std 1.4877063352346369e-05 
2023-05-09 07:43:00,403 INFO ofi_4_30: -1.2704050800274491e-06 , std 1.4608964447435109e-05 
2023-05-09 07:43:00,403 INFO ofi_5_30: -1.1407363625491885e-06 , std 1.2875196626897474e-05 
2023-05-09 07:43:00,403 INFO ofi_6_30: -9.843819006981434e-07 , std 1.0774738809119008e-05 
2023-05-09 07:43:00,403 INFO ofi_7_30: -8.075627933601758e-07 , std 1.1525641625236617e-05 
2023-05-09 07:43:00,403 INFO ofi_8_30: -6.15761123626014e-07 , std 1.0768506703617467e-05 
2023-05-09 07:43:00,403 INFO ofi_9_30: -6.073255447155648e-07 , std 1.097462017897882e-05 
2023-05-09 07:43:00,403 INFO ofi_10_30: -6.391800695575215e-07 , std 1.387507156164174e-05 
2023-05-09 07:43:00,403 INFO used_intercept: 0.9893960455453517 , std 0.10242807527515144 
2023-05-09 07:43:00,403 INFO used_ofi_1_1: 0.010322904085864686 , std 0.10107592065916947 
2023-05-09 07:43:00,403 INFO used_ofi_2_1: 0.008431511063509787 , std 0.0914353360834623 
2023-05-09 07:43:00,403 INFO used_ofi_3_1: 0.006897127969069268 , std 0.08276205407581154 
2023-05-09 07:43:00,403 INFO used_ofi_4_1: 0.0060463809068052165 , std 0.07752304292747442 
2023-05-09 07:43:00,403 INFO used_ofi_5_1: 0.005917249656282995 , std 0.07669573529726548 
2023-05-09 07:43:00,403 INFO used_ofi_6_1: 0.006236279804632014 , std 0.07872349470666526 
2023-05-09 07:43:00,403 INFO used_ofi_7_1: 0.005013330902627441 , std 0.07062717193749303 
2023-05-09 07:43:00,403 INFO used_ofi_8_1: 0.004990543034888225 , std 0.07046727974815797 
2023-05-09 07:43:00,403 INFO used_ofi_9_1: 0.004481613988712409 , std 0.06679467886567453 
2023-05-09 07:43:00,403 INFO used_ofi_10_1: 0.005598219507933976 , std 0.07461152354881224 
2023-05-09 07:43:00,403 INFO used_ofi_1_2: 0.014272801160662063 , std 0.11861318774778068 
2023-05-09 07:43:00,403 INFO used_ofi_2_2: 0.01074068166108364 , std 0.10307919003629636 
2023-05-09 07:43:00,403 INFO used_ofi_3_2: 0.009198702610730048 , std 0.09546772481320269 
2023-05-09 07:43:00,403 INFO used_ofi_4_2: 0.009889934598819589 , std 0.09895516051450103 
2023-05-09 07:43:00,404 INFO used_ofi_5_2: 0.00916831878707776 , std 0.09531138818470895 
2023-05-09 07:43:00,404 INFO used_ofi_6_2: 0.008271995989335278 , std 0.09057356165950249 
2023-05-09 07:43:00,404 INFO used_ofi_7_2: 0.007649127604463383 , std 0.08712415538387744 
2023-05-09 07:43:00,404 INFO used_ofi_8_2: 0.0068439562776777645 , std 0.08244462711509465 
2023-05-09 07:43:00,404 INFO used_ofi_9_2: 0.00585648200897842 , std 0.07630323471162237 
2023-05-09 07:43:00,404 INFO used_ofi_10_2: 0.007618743780811096 , std 0.08695227727905375 
2023-05-09 07:43:00,404 INFO used_ofi_1_3: 0.021830777294168584 , std 0.14613074439316662 
2023-05-09 07:43:00,404 INFO used_ofi_2_3: 0.01380944784996468 , std 0.11669938731648845 
2023-05-09 07:43:00,404 INFO used_ofi_3_3: 0.013596761084398666 , std 0.11580971104537152 
2023-05-09 07:43:00,404 INFO used_ofi_4_3: 0.013953771012313045 , std 0.11729903361430123 
2023-05-09 07:43:00,404 INFO used_ofi_5_3: 0.012761205933960759 , std 0.11224240534250772 
2023-05-09 07:43:00,404 INFO used_ofi_6_3: 0.01187247909213135 , std 0.1083121569000371 
2023-05-09 07:43:00,404 INFO used_ofi_7_3: 0.010930580558910436 , std 0.10397645390931354 
2023-05-09 07:43:00,404 INFO used_ofi_8_3: 0.008606218049510441 , std 0.09236964360868086 
2023-05-09 07:43:00,404 INFO used_ofi_9_3: 0.008537854446292794 , std 0.09200521445954415 
2023-05-09 07:43:00,404 INFO used_ofi_10_3: 0.010231752614907823 , std 0.1006333138346102 
2023-05-09 07:43:00,404 INFO used_ofi_1_5: 0.030042005636199288 , std 0.17070291014963354 
2023-05-09 07:43:00,404 INFO used_ofi_2_5: 0.020486293097554863 , std 0.14165664436473122 
2023-05-09 07:43:00,404 INFO used_ofi_3_5: 0.020653404127642442 , std 0.14222109908724062 
2023-05-09 07:43:00,404 INFO used_ofi_4_5: 0.02041033353842414 , std 0.14139926387104856 
2023-05-09 07:43:00,404 INFO used_ofi_5_5: 0.019529202652507804 , std 0.1383756224783292 
2023-05-09 07:43:00,404 INFO used_ofi_6_5: 0.018108758896763364 , std 0.13334478522980292 
2023-05-09 07:43:00,404 INFO used_ofi_7_5: 0.016665527273279707 , std 0.12801479396531978 
2023-05-09 07:43:00,404 INFO used_ofi_8_5: 0.013581569172572522 , std 0.11574588610997434 
2023-05-09 07:43:00,404 INFO used_ofi_9_5: 0.01163700445882612 , std 0.10724544086370938 
2023-05-09 07:43:00,404 INFO used_ofi_10_5: 0.012624478727525465 , std 0.11164721789809061 
2023-05-09 07:43:00,404 INFO used_ofi_1_10: 0.04527949319782148 , std 0.20791647528170995 
2023-05-09 07:43:00,404 INFO used_ofi_2_10: 0.031728307848901245 , std 0.17527584639632068 
2023-05-09 07:43:00,404 INFO used_ofi_3_10: 0.030026813724373144 , std 0.17066107986865356 
2023-05-09 07:43:00,404 INFO used_ofi_4_10: 0.028689925483672492 , std 0.1669335606144367 
2023-05-09 07:43:00,404 INFO used_ofi_5_10: 0.029844510782459418 , std 0.17015820861367537 
2023-05-09 07:43:00,404 INFO used_ofi_6_10: 0.02846964276219341 , std 0.16631031899189685 
2023-05-09 07:43:00,404 INFO used_ofi_7_10: 0.024018412597133287 , std 0.15310626523250823 
2023-05-09 07:43:00,404 INFO used_ofi_8_10: 0.018883546399896697 , std 0.13611376886729587 
2023-05-09 07:43:00,404 INFO used_ofi_9_10: 0.017212436099020883 , std 0.13006217029773876 
2023-05-09 07:43:00,404 INFO used_ofi_10_10: 0.019278536107376433 , std 0.13750226962829745 
2023-05-09 07:43:00,404 INFO used_ofi_1_20: 0.057790032586650865 , std 0.23334597643903077 
2023-05-09 07:43:00,404 INFO used_ofi_2_20: 0.03965088986623522 , std 0.19513763552695546 
2023-05-09 07:43:00,404 INFO used_ofi_3_20: 0.0402509703833679 , std 0.19654727107381856 
2023-05-09 07:43:00,404 INFO used_ofi_4_20: 0.03983319280814894 , std 0.19556714846532322 
2023-05-09 07:43:00,404 INFO used_ofi_5_20: 0.040167414868324106 , std 0.19635170906085855 
2023-05-09 07:43:00,404 INFO used_ofi_6_20: 0.03740248691596594 , std 0.18974599044108134 
2023-05-09 07:43:00,404 INFO used_ofi_7_20: 0.031325722185508435 , std 0.1741965020173045 
2023-05-09 07:43:00,404 INFO used_ofi_8_20: 0.02475522032070126 , std 0.15537824618515553 
2023-05-09 07:43:00,404 INFO used_ofi_9_20: 0.0218535651619078 , std 0.14620529009451758 
2023-05-09 07:43:00,404 INFO used_ofi_10_20: 0.023714574360610412 , std 0.15215844808457232 
2023-05-09 07:43:00,404 INFO used_ofi_1_30: 0.06544675614702733 , std 0.24731251132293908 
2023-05-09 07:43:00,404 INFO used_ofi_2_30: 0.045826402023562654 , std 0.20910844770390666 
2023-05-09 07:43:00,404 INFO used_ofi_3_30: 0.042719656055116254 , std 0.20222434829082478 
2023-05-09 07:43:00,404 INFO used_ofi_4_30: 0.04465662481294959 , std 0.2065488094210786 
2023-05-09 07:43:00,404 INFO used_ofi_5_30: 0.04675310864495742 , std 0.21110958167972915 
2023-05-09 07:43:00,404 INFO used_ofi_6_30: 0.04174737369824306 , std 0.2000113258981658 
2023-05-09 07:43:00,404 INFO used_ofi_7_30: 0.03579974021830777 , std 0.18579052402802854 
2023-05-09 07:43:00,404 INFO used_ofi_8_30: 0.02843166298262805 , std 0.16620259782166555 
2023-05-09 07:43:00,404 INFO used_ofi_9_30: 0.025864229884009753 , std 0.15873018457910534 
2023-05-09 07:43:00,404 INFO used_ofi_10_30: 0.02770245121497315 , std 0.16411893678565914 
2023-05-09 07:43:00,816 INFO Grouping by horizont:
2023-05-09 07:43:00,816 INFO 1: 0.06393516092032601
2023-05-09 07:43:00,816 INFO 2: 0.08951074447963904
2023-05-09 07:43:00,816 INFO 3: 0.12613084793655857
2023-05-09 07:43:00,816 INFO 5: 0.18373857758129575
2023-05-09 07:43:00,816 INFO 10: 0.2734316250028485
2023-05-09 07:43:00,816 INFO 20: 0.3567440694574208
2023-05-09 07:43:00,817 INFO 30: 0.4049480056817751
2023-05-09 07:43:00,817 INFO Grouping by level:
2023-05-09 07:43:00,817 INFO 1: 0.24498477010839428
2023-05-09 07:43:00,817 INFO 2: 0.1706735334108121
2023-05-09 07:43:00,817 INFO 3: 0.1633434359546977
2023-05-09 07:43:00,817 INFO 4: 0.163480163161133
2023-05-09 07:43:00,817 INFO 5: 0.16414101132557027
2023-05-09 07:43:00,817 INFO 6: 0.15210901715926442
2023-05-09 07:43:00,817 INFO 7: 0.1314024413402305
2023-05-09 07:43:00,817 INFO 8: 0.10609271623787496
2023-05-09 07:43:00,817 INFO 9: 0.09544318604774818
2023-05-09 07:43:00,817 INFO 10: 0.10676875631413836
2023-05-09 07:43:00,817 INFO Grouping by level and horizont:
2023-05-09 07:43:00,817 INFO 1_1: 0.010322904085864686
2023-05-09 07:43:00,817 INFO 2_1: 0.008431511063509787
2023-05-09 07:43:00,817 INFO 3_1: 0.006897127969069268
2023-05-09 07:43:00,817 INFO 4_1: 0.0060463809068052165
2023-05-09 07:43:00,817 INFO 5_1: 0.005917249656282995
2023-05-09 07:43:00,817 INFO 6_1: 0.006236279804632014
2023-05-09 07:43:00,817 INFO 7_1: 0.005013330902627441
2023-05-09 07:43:00,817 INFO 8_1: 0.004990543034888225
2023-05-09 07:43:00,817 INFO 9_1: 0.004481613988712409
2023-05-09 07:43:00,817 INFO 10_1: 0.005598219507933976
2023-05-09 07:43:00,817 INFO 1_2: 0.014272801160662063
2023-05-09 07:43:00,817 INFO 2_2: 0.01074068166108364
2023-05-09 07:43:00,817 INFO 3_2: 0.009198702610730048
2023-05-09 07:43:00,817 INFO 4_2: 0.009889934598819589
2023-05-09 07:43:00,817 INFO 5_2: 0.00916831878707776
2023-05-09 07:43:00,817 INFO 6_2: 0.008271995989335278
2023-05-09 07:43:00,817 INFO 7_2: 0.007649127604463383
