2023-05-09 05:43:11,495 INFO Starting...
2023-05-09 05:43:11,495 INFO Tickers: ['JPM']
2023-05-09 05:44:35,557 INFO ofi_9_10: -1.474416142443874e-07 , std 7.122707957666301e-06 
2023-05-09 05:44:35,557 INFO ofi_10_10: -9.243544112537488e-08 , std 6.602305078190637e-06 
2023-05-09 05:44:35,557 INFO ofi_1_20: -7.720415923021109e-07 , std 1.3887263407992984e-05 
2023-05-09 05:44:35,557 INFO ofi_2_20: -8.203171794569794e-07 , std 1.1727822370208208e-05 
2023-05-09 05:44:35,557 INFO ofi_3_20: -1.0859446070411355e-06 , std 1.130672697451593e-05 
2023-05-09 05:44:35,557 INFO ofi_4_20: -1.1289524645523272e-06 , std 1.0503596360302494e-05 
2023-05-09 05:44:35,557 INFO ofi_5_20: -1.013763064215963e-06 , std 1.0525796100999725e-05 
2023-05-09 05:44:35,557 INFO ofi_6_20: -7.293505064862403e-07 , std 9.799966240486308e-06 
2023-05-09 05:44:35,557 INFO ofi_7_20: -3.8100963290406636e-07 , std 9.517584268627675e-06 
2023-05-09 05:44:35,557 INFO ofi_8_20: -1.5992819626463967e-07 , std 7.547141664177955e-06 
2023-05-09 05:44:35,557 INFO ofi_9_20: -1.1211029598701036e-07 , std 6.887747979703815e-06 
2023-05-09 05:44:35,557 INFO ofi_10_20: -9.041133366399891e-08 , std 8.50875140375884e-06 
2023-05-09 05:44:35,557 INFO ofi_1_30: -9.801196447607381e-07 , std 1.4402866400415516e-05 
2023-05-09 05:44:35,557 INFO ofi_2_30: -1.2130648996284935e-06 , std 1.3551736884215965e-05 
2023-05-09 05:44:35,557 INFO ofi_3_30: -1.2742042096892599e-06 , std 1.145184831427955e-05 
2023-05-09 05:44:35,557 INFO ofi_4_30: -1.3622350249392292e-06 , std 1.1011995259729186e-05 
2023-05-09 05:44:35,557 INFO ofi_5_30: -1.242738335679533e-06 , std 1.0791708410304903e-05 
2023-05-09 05:44:35,557 INFO ofi_6_30: -9.465556295933136e-07 , std 1.0121432529649196e-05 
2023-05-09 05:44:35,557 INFO ofi_7_30: -5.395838555538275e-07 , std 9.194529894528466e-06 
2023-05-09 05:44:35,557 INFO ofi_8_30: -2.0965139622370456e-07 , std 7.812174035398667e-06 
2023-05-09 05:44:35,557 INFO ofi_9_30: -1.7701963918750617e-07 , std 7.564683096478741e-06 
2023-05-09 05:44:35,557 INFO ofi_10_30: -1.477721800747231e-07 , std 8.866793289117648e-06 
2023-05-09 05:44:35,557 INFO used_intercept: 0.9883743120003214 , std 0.1071938961798326 
2023-05-09 05:44:35,557 INFO used_ofi_1_1: 0.00819071150214937 , std 0.09013114748652618 
2023-05-09 05:44:35,557 INFO used_ofi_2_1: 0.005584347756217106 , std 0.07451954653884267 
2023-05-09 05:44:35,557 INFO used_ofi_3_1: 0.008261018038648508 , std 0.09051394157594526 
2023-05-09 05:44:35,557 INFO used_ofi_4_1: 0.008984170985496765 , std 0.09435812448962795 
2023-05-09 05:44:35,557 INFO used_ofi_5_1: 0.007748784701297658 , std 0.08768546650928304 
2023-05-09 05:44:35,557 INFO used_ofi_6_1: 0.0062020408983166605 , std 0.07850844277536186 
2023-05-09 05:44:35,557 INFO used_ofi_7_1: 0.003249166365352939 , std 0.05690878037072311 
2023-05-09 05:44:35,557 INFO used_ofi_8_1: 0.0019886706038327105 , std 0.04455014919236705 
2023-05-09 05:44:35,557 INFO used_ofi_9_1: 0.0015517656984452212 , std 0.03936188158183435 
2023-05-09 05:44:35,557 INFO used_ofi_10_1: 0.0014362621027680688 , std 0.0378708232540596 
2023-05-09 05:44:35,557 INFO used_ofi_1_2: 0.010932666425615684 , std 0.1039862646239488 
2023-05-09 05:44:35,557 INFO used_ofi_2_2: 0.008627616407536861 , std 0.09248340739106267 
2023-05-09 05:44:35,557 INFO used_ofi_3_2: 0.011796432445462215 , std 0.10796886878643244 
2023-05-09 05:44:35,557 INFO used_ofi_4_2: 0.013006709252340203 , std 0.1133028453604114 
2023-05-09 05:44:35,557 INFO used_ofi_5_2: 0.011555381463179462 , std 0.10687307716361438 
2023-05-09 05:44:35,557 INFO used_ofi_6_2: 0.008622594512072637 , std 0.09245672163749379 
2023-05-09 05:44:35,557 INFO used_ofi_7_2: 0.004549837290586959 , std 0.06729885787452966 
2023-05-09 05:44:35,557 INFO used_ofi_8_2: 0.0022397653770439116 , std 0.04727313008570204 
2023-05-09 05:44:35,557 INFO used_ofi_9_2: 0.0018982764854766783 , std 0.04352784203083544 
2023-05-09 05:44:35,557 INFO used_ofi_10_2: 0.00183801373990599 , std 0.042832644622973114 
2023-05-09 05:44:35,557 INFO used_ofi_1_3: 0.014874854365031538 , std 0.12105202630543051 
2023-05-09 05:44:35,557 INFO used_ofi_2_3: 0.011480053031216101 , std 0.10652821886062196 
2023-05-09 05:44:35,557 INFO used_ofi_3_3: 0.016014824635410388 , std 0.12553226687711586 
2023-05-09 05:44:35,558 INFO used_ofi_4_3: 0.019861596561005987 , std 0.1395245983439975 
2023-05-09 05:44:35,558 INFO used_ofi_5_3: 0.01614037202201599 , std 0.12601531816809777 
2023-05-09 05:44:35,558 INFO used_ofi_6_3: 0.012303643887348841 , std 0.11023730872278288 
2023-05-09 05:44:35,558 INFO used_ofi_7_3: 0.006006186975211924 , std 0.07726650434198973 
2023-05-09 05:44:35,558 INFO used_ofi_8_3: 0.002716845446145193 , std 0.05205251383907364 
2023-05-09 05:44:35,558 INFO used_ofi_9_3: 0.002104174199509863 , std 0.04582299259594446 
2023-05-09 05:44:35,558 INFO used_ofi_10_3: 0.0019786268129042624 , std 0.04443773001447665 
2023-05-09 05:44:35,558 INFO used_ofi_1_5: 0.02111707042706199 , std 0.14377461446180437 
2023-05-09 05:44:35,558 INFO used_ofi_2_5: 0.01966574263790125 , std 0.1388488430070668 
2023-05-09 05:44:35,558 INFO used_ofi_3_5: 0.027881563617371742 , std 0.16463347784585666 
2023-05-09 05:44:35,558 INFO used_ofi_4_5: 0.03011630709895143 , std 0.17090732911631695 
2023-05-09 05:44:35,558 INFO used_ofi_5_5: 0.02530533124422482 , std 0.1570508562690598 
2023-05-09 05:44:35,558 INFO used_ofi_6_5: 0.018962677272909886 , std 0.1363931601787764 
2023-05-09 05:44:35,558 INFO used_ofi_7_5: 0.00925033144510064 , std 0.09573276770916224 
2023-05-09 05:44:35,558 INFO used_ofi_8_5: 0.004509662126873167 , std 0.06700242588425148 
2023-05-09 05:44:35,558 INFO used_ofi_9_5: 0.0031838817243180265 , std 0.056335997563579016 
2023-05-09 05:44:35,558 INFO used_ofi_10_5: 0.002445663091077096 , std 0.04939313538460622 
2023-05-09 05:44:35,558 INFO used_ofi_1_10: 0.03291852476798843 , std 0.17842336028415048 
2023-05-09 05:44:35,558 INFO used_ofi_2_10: 0.03120605841468804 , std 0.17387420836026002 
2023-05-09 05:44:35,558 INFO used_ofi_3_10: 0.042650958177654574 , std 0.20206893364439407 
2023-05-09 05:44:35,558 INFO used_ofi_4_10: 0.04978204973685268 , std 0.2174943614461079 
2023-05-09 05:44:35,558 INFO used_ofi_5_10: 0.03863344180627536 , std 0.1927197420620848 
2023-05-09 05:44:35,558 INFO used_ofi_6_10: 0.0274547025029127 , std 0.1634042282604378 
2023-05-09 05:44:35,558 INFO used_ofi_7_10: 0.014779438351211281 , std 0.12066899582425479 
2023-05-09 05:44:35,558 INFO used_ofi_8_10: 0.006016230766140372 , std 0.077330690760583 
2023-05-09 05:44:35,558 INFO used_ofi_9_10: 0.004092844803342574 , std 0.0638442904632695 
2023-05-09 05:44:35,558 INFO used_ofi_10_10: 0.002395444136434856 , std 0.048884619092553795 
2023-05-09 05:44:35,558 INFO used_ofi_1_20: 0.0450614680004821 , std 0.20743898404620964 
2023-05-09 05:44:35,558 INFO used_ofi_2_20: 0.04309288497850629 , std 0.20306621639932015 
2023-05-09 05:44:35,558 INFO used_ofi_3_20: 0.050706078502269894 , std 0.21939683704463822 
2023-05-09 05:44:35,558 INFO used_ofi_4_20: 0.06073480374432526 , std 0.23884322757504248 
2023-05-09 05:44:35,558 INFO used_ofi_5_20: 0.04936523241332209 , std 0.21662942146001488 
2023-05-09 05:44:35,558 INFO used_ofi_6_20: 0.037372946044755134 , std 0.18967395432344142 
2023-05-09 05:44:35,558 INFO used_ofi_7_20: 0.02050439918042666 , std 0.14171791980789292 
2023-05-09 05:44:35,558 INFO used_ofi_8_20: 0.007899441565224378 , std 0.08852706020297965 
2023-05-09 05:44:35,558 INFO used_ofi_9_20: 0.0060011650797477 , std 0.07723439063936036 
2023-05-09 05:44:35,558 INFO used_ofi_10_20: 0.003716202643525772 , std 0.06084728820118466 
2023-05-09 05:44:35,558 INFO used_ofi_1_30: 0.055090193242537465 , std 0.2281562268513339 
2023-05-09 05:44:35,558 INFO used_ofi_2_30: 0.0581083524165361 , std 0.23394822460529968 
2023-05-09 05:44:35,558 INFO used_ofi_3_30: 0.06409445180989112 , std 0.24492111598855795 
2023-05-09 05:44:35,558 INFO used_ofi_4_30: 0.07112008356434052 , std 0.25702532419616114 
2023-05-09 05:44:35,558 INFO used_ofi_5_30: 0.05754087822907878 , std 0.232873196314443 
2023-05-09 05:44:35,558 INFO used_ofi_6_30: 0.04406713269856575 , std 0.2052442947180085 
2023-05-09 05:44:35,558 INFO used_ofi_7_30: 0.026445301514603673 , std 0.1604554378710967 
2023-05-09 05:44:35,558 INFO used_ofi_8_30: 0.008712988630428669 , std 0.09293585131452065 
2023-05-09 05:44:35,558 INFO used_ofi_9_30: 0.006674099071953718 , std 0.0814220822230153 
