2023-05-09 07:18:55,799 INFO Starting...
2023-05-09 07:18:55,799 INFO Tickers: ['TJX']
2023-05-09 07:20:15,831 INFO ofi_9_10: -1.5885550244984125e-07 , std 1.0811103352263461e-05 
2023-05-09 07:20:15,831 INFO ofi_10_10: -2.2034609485191557e-07 , std 1.0868937722305846e-05 
2023-05-09 07:20:15,831 INFO ofi_1_20: -1.844185812893527e-06 , std 2.1180738422822516e-05 
2023-05-09 07:20:15,831 INFO ofi_2_20: -1.4069023163129356e-06 , std 1.7764173606049144e-05 
2023-05-09 07:20:15,831 INFO ofi_3_20: -1.9999712754059033e-06 , std 1.837540105332009e-05 
2023-05-09 07:20:15,831 INFO ofi_4_20: -1.8873628200601048e-06 , std 1.6653077568037918e-05 
2023-05-09 07:20:15,831 INFO ofi_5_20: -1.2516332468057184e-06 , std 1.6662910758883533e-05 
2023-05-09 07:20:15,831 INFO ofi_6_20: -1.0239900815445873e-06 , std 1.527155983022282e-05 
2023-05-09 07:20:15,831 INFO ofi_7_20: -4.986382671425035e-07 , std 1.2107352059089932e-05 
2023-05-09 07:20:15,831 INFO ofi_8_20: -1.6553222337158853e-07 , std 1.2461277502151901e-05 
2023-05-09 07:20:15,831 INFO ofi_9_20: -2.076182816447003e-07 , std 1.0823689633821023e-05 
2023-05-09 07:20:15,831 INFO ofi_10_20: -2.0302504202010292e-07 , std 1.0973697099827981e-05 
2023-05-09 07:20:15,831 INFO ofi_1_30: -1.972479232070022e-06 , std 2.2031817004600783e-05 
2023-05-09 07:20:15,831 INFO ofi_2_30: -1.7323678294723774e-06 , std 1.9670059037990432e-05 
2023-05-09 07:20:15,831 INFO ofi_3_30: -2.2245873872114926e-06 , std 1.9408493005037715e-05 
2023-05-09 07:20:15,831 INFO ofi_4_30: -2.1149468717090913e-06 , std 1.8002173526900807e-05 
2023-05-09 07:20:15,831 INFO ofi_5_30: -1.593051246030799e-06 , std 1.675807822465876e-05 
2023-05-09 07:20:15,831 INFO ofi_6_30: -1.1858759012426054e-06 , std 1.659775427173014e-05 
2023-05-09 07:20:15,831 INFO ofi_7_30: -4.602049695751049e-07 , std 1.3489994850238797e-05 
2023-05-09 07:20:15,831 INFO ofi_8_30: -2.000424632010811e-07 , std 1.3248665839513927e-05 
2023-05-09 07:20:15,831 INFO ofi_9_30: -1.947591150985853e-07 , std 1.3081347325861125e-05 
2023-05-09 07:20:15,831 INFO ofi_10_30: -2.0267762706511683e-07 , std 1.1655997079283866e-05 
2023-05-09 07:20:15,831 INFO used_intercept: 0.9877315093809007 , std 0.11008167312058963 
2023-05-09 07:20:15,831 INFO used_ofi_1_1: 0.01771724719778233 , std 0.13192174327803208 
2023-05-09 07:20:15,831 INFO used_ofi_2_1: 0.007819091237796795 , std 0.0880792430145253 
2023-05-09 07:20:15,831 INFO used_ofi_3_1: 0.008848579807962718 , std 0.09364978613614036 
2023-05-09 07:20:15,831 INFO used_ofi_4_1: 0.009772608573379936 , std 0.09837227604895313 
2023-05-09 07:20:15,831 INFO used_ofi_5_1: 0.008035032742758427 , std 0.08927749431733188 
2023-05-09 07:20:15,831 INFO used_ofi_6_1: 0.005393515728576594 , std 0.07324223997572842 
2023-05-09 07:20:15,831 INFO used_ofi_7_1: 0.0025661885822184727 , std 0.050592521763388736 
2023-05-09 07:20:15,831 INFO used_ofi_8_1: 0.002104174199509863 , std 0.04582299259594446 
