2023-05-09 06:20:42,206 INFO Starting...
2023-05-09 06:20:42,206 INFO Tickers: ['MCD']
2023-05-09 06:22:01,824 INFO ofi_9_10: -1.7600607754532061e-07 , std 5.888335328257111e-06 
2023-05-09 06:22:01,824 INFO ofi_10_10: -1.8251162358153804e-07 , std 6.4987119243202485e-06 
2023-05-09 06:22:01,824 INFO ofi_1_20: -2.2277596945102644e-07 , std 8.256733339236086e-06 
2023-05-09 06:22:01,824 INFO ofi_2_20: -3.536080779284955e-07 , std 7.637468355771724e-06 
2023-05-09 06:22:01,824 INFO ofi_3_20: -5.469492933817241e-07 , std 7.419651517301884e-06 
2023-05-09 06:22:01,824 INFO ofi_4_20: -7.012035541417263e-07 , std 7.320941884569725e-06 
2023-05-09 06:22:01,824 INFO ofi_5_20: -8.899675076920112e-07 , std 7.2040950821035506e-06 
2023-05-09 06:22:01,824 INFO ofi_6_20: -8.026092154233306e-07 , std 7.117286578298641e-06 
2023-05-09 06:22:01,824 INFO ofi_7_20: -4.794584677510947e-07 , std 6.315442775296188e-06 
2023-05-09 06:22:01,824 INFO ofi_8_20: -3.8674141202642035e-07 , std 6.8362563855322905e-06 
2023-05-09 06:22:01,824 INFO ofi_9_20: -2.1229893687570093e-07 , std 6.274614850722638e-06 
2023-05-09 06:22:01,824 INFO ofi_10_20: -1.5404993879846272e-07 , std 5.804572280342595e-06 
2023-05-09 06:22:01,824 INFO ofi_1_30: -3.1930480247920255e-07 , std 8.611989035291517e-06 
2023-05-09 06:22:01,824 INFO ofi_2_30: -4.6822901406198357e-07 , std 8.15603986544273e-06 
2023-05-09 06:22:01,824 INFO ofi_3_30: -6.329721296459742e-07 , std 8.05478198074489e-06 
2023-05-09 06:22:01,824 INFO ofi_4_30: -9.904101441528408e-07 , std 8.033455696526885e-06 
2023-05-09 06:22:01,824 INFO ofi_5_30: -1.1751998739707597e-06 , std 8.554384898537555e-06 
2023-05-09 06:22:01,824 INFO ofi_6_30: -9.580028410841974e-07 , std 8.070475532725285e-06 
2023-05-09 06:22:01,824 INFO ofi_7_30: -6.590513520081485e-07 , std 7.317746470683456e-06 
2023-05-09 06:22:01,824 INFO ofi_8_30: -4.2453392227982103e-07 , std 6.47769705826364e-06 
2023-05-09 06:22:01,824 INFO ofi_9_30: -2.670219670129587e-07 , std 7.6102877769310674e-06 
2023-05-09 06:22:01,824 INFO ofi_10_30: -2.340032352382338e-07 , std 7.194679002943689e-06 
2023-05-09 06:22:01,824 INFO used_intercept: 0.9848052417896048 , std 0.12232692889680002 
2023-05-09 06:22:01,824 INFO used_ofi_1_1: 0.003904208706837641 , std 0.06236157359473136 
2023-05-09 06:22:01,824 INFO used_ofi_2_1: 0.004029826747598183 , std 0.06335287873477041 
2023-05-09 06:22:01,824 INFO used_ofi_3_1: 0.006250753708244563 , std 0.0788142232488745 
2023-05-09 06:22:01,824 INFO used_ofi_4_1: 0.008225469309000281 , std 0.09032060099250322 
2023-05-09 06:22:01,824 INFO used_ofi_5_1: 0.010134863528560517 , std 0.10016061136903054 
2023-05-09 06:22:01,824 INFO used_ofi_6_1: 0.010029344374321663 , std 0.09964314640627783 
2023-05-09 06:22:01,824 INFO used_ofi_7_1: 0.0071401294368292 , std 0.08419707826554629 
2023-05-09 06:22:01,824 INFO used_ofi_8_1: 0.0053463038147686616 , std 0.07292270462818048 
2023-05-09 06:22:01,824 INFO used_ofi_9_1: 0.004095148128793665 , std 0.06386217887448646 
2023-05-09 06:22:01,824 INFO used_ofi_10_1: 0.0033012421111870403 , std 0.057361519433417774 
2023-05-09 06:22:01,824 INFO used_ofi_1_2: 0.006084937894440648 , std 0.07776831890468927 
2023-05-09 06:22:01,824 INFO used_ofi_2_2: 0.005150339671182217 , std 0.07158081916584683 
2023-05-09 06:22:01,824 INFO used_ofi_3_2: 0.008687743698999075 , std 0.09280229958583773 
2023-05-09 06:22:01,825 INFO used_ofi_4_2: 0.012797965992684006 , std 0.11240185967827271 
2023-05-09 06:22:01,825 INFO used_ofi_5_2: 0.014903324355830687 , std 0.12116606488194451 
2023-05-09 06:22:01,825 INFO used_ofi_6_2: 0.013978775575833099 , std 0.11740259541097717 
2023-05-09 06:22:01,825 INFO used_ofi_7_2: 0.0091801664187804 , std 0.09537238050559449 
2023-05-09 06:22:01,825 INFO used_ofi_8_2: 0.007516983559110825 , std 0.08637406160001328 
2023-05-09 06:22:01,825 INFO used_ofi_9_2: 0.005210636330747276 , std 0.07199642768760109 
2023-05-09 06:22:01,825 INFO used_ofi_10_2: 0.004487076415966555 , std 0.06683518954266407 
2023-05-09 06:22:01,825 INFO used_ofi_1_3: 0.008647545925955702 , std 0.0925892319625462 
2023-05-09 06:22:01,825 INFO used_ofi_2_3: 0.00735116774530691 , std 0.08542322914809103 
2023-05-09 06:22:01,825 INFO used_ofi_3_3: 0.0108031515054066 , std 0.1033752553707019 
2023-05-09 06:22:01,825 INFO used_ofi_4_3: 0.017169473811150863 , std 0.12990259035215218 
2023-05-09 06:22:01,825 INFO used_ofi_5_3: 0.021083731961249345 , std 0.14366352427751294 
2023-05-09 06:22:01,825 INFO used_ofi_6_3: 0.018757285846364113 , std 0.13566668741456725 
2023-05-09 06:22:01,825 INFO used_ofi_7_3: 0.013506451742573462 , std 0.11542975138108456 
2023-05-09 06:22:01,825 INFO used_ofi_8_3: 0.010285605177473168 , std 0.10089505192826013 
2023-05-09 06:22:01,825 INFO used_ofi_9_3: 0.006748201149656309 , std 0.081869792542183 
2023-05-09 06:22:01,825 INFO used_ofi_10_3: 0.005260883547051494 , std 0.07234090579579341 
2023-05-09 06:22:01,825 INFO used_ofi_1_5: 0.01217992523214214 , std 0.10968853474033449 
2023-05-09 06:22:01,825 INFO used_ofi_2_5: 0.01146641476062226 , std 0.10646565687187419 
2023-05-09 06:22:01,825 INFO used_ofi_3_5: 0.01698355911082526 , std 0.12920958877248376 
2023-05-09 06:22:01,825 INFO used_ofi_4_5: 0.025616030871889697 , std 0.15798686601822345 
2023-05-09 06:22:01,825 INFO used_ofi_5_5: 0.031952204847851426 , std 0.17587285593067617 
2023-05-09 06:22:01,825 INFO used_ofi_6_5: 0.02773143867829722 , std 0.16420233246555624 
2023-05-09 06:22:01,825 INFO used_ofi_7_5: 0.018380431724082484 , std 0.13432271384140074 
2023-05-09 06:22:01,825 INFO used_ofi_8_5: 0.013009004301161716 , std 0.11331270938537333 
2023-05-09 06:22:01,825 INFO used_ofi_9_5: 0.009396229448888531 , std 0.09647766747300836 
2023-05-09 06:22:01,825 INFO used_ofi_10_5: 0.006878843912047273 , std 0.08265304240305352 
2023-05-09 06:22:01,825 INFO used_ofi_1_10: 0.01842062949712586 , std 0.1344667613429262 
2023-05-09 06:22:01,825 INFO used_ofi_2_10: 0.016812718575390923 , std 0.12856924620412005 
2023-05-09 06:22:01,825 INFO used_ofi_3_10: 0.023782007476785785 , std 0.15236936567814374 
2023-05-09 06:22:01,825 INFO used_ofi_4_10: 0.039645053664027013 , std 0.19512386677186216 
2023-05-09 06:22:01,825 INFO used_ofi_5_10: 0.04955380471921855 , std 0.2170212550813125 
2023-05-09 06:22:01,825 INFO used_ofi_6_10: 0.04423764923423242 , std 0.20562266320729686 
2023-05-09 06:22:01,825 INFO used_ofi_7_10: 0.027118422639385777 , std 0.16242848824309555 
2023-05-09 06:22:01,825 INFO used_ofi_8_10: 0.019646661574948748 , std 0.13878281688994562 
2023-05-09 06:22:01,825 INFO used_ofi_9_10: 0.01196888692366443 , std 0.10874572483308467 
