2023-05-09 06:42:06,133 INFO Starting...
2023-05-09 06:42:06,133 INFO Tickers: ['UTX']
2023-05-09 06:43:27,827 INFO ofi_7_20: -4.946062706429814e-07 , std 8.431855326540381e-06 
2023-05-09 06:43:27,827 INFO ofi_8_20: -4.436053473941271e-07 , std 8.014967413339639e-06 
2023-05-09 06:43:27,827 INFO ofi_9_20: -3.0324556011673094e-07 , std 7.5541250550206525e-06 
2023-05-09 06:43:27,827 INFO ofi_10_20: -3.2951500788203727e-07 , std 9.4495652733534e-06 
2023-05-09 06:43:27,827 INFO ofi_1_30: -4.228443985310304e-07 , std 1.2111348533120513e-05 
2023-05-09 06:43:27,827 INFO ofi_2_30: -7.088532782874876e-07 , std 1.1783433922329565e-05 
2023-05-09 06:43:27,827 INFO ofi_3_30: -1.0012387695506146e-06 , std 1.0603747887766726e-05 
2023-05-09 06:43:27,827 INFO ofi_4_30: -1.3735782526378217e-06 , std 1.0605677191535418e-05 
2023-05-09 06:43:27,827 INFO ofi_5_30: -1.2929144273970542e-06 , std 9.92748737839893e-06 
2023-05-09 06:43:27,827 INFO ofi_6_30: -1.13580935796619e-06 , std 9.990511061033744e-06 
2023-05-09 06:43:27,827 INFO ofi_7_30: -7.205621282982473e-07 , std 8.907808848847873e-06 
2023-05-09 06:43:27,827 INFO ofi_8_30: -4.845915132898377e-07 , std 8.673226074323778e-06 
2023-05-09 06:43:27,827 INFO ofi_9_30: -3.9535810940800114e-07 , std 8.122825212855695e-06 
2023-05-09 06:43:27,827 INFO ofi_10_30: -3.5244294031630896e-07 , std 8.298480765481393e-06 
2023-05-09 06:43:27,827 INFO used_intercept: 0.9866116266923788 , std 0.11493095652519822 
2023-05-09 06:43:27,827 INFO used_ofi_1_1: 0.004755735004620144 , std 0.06879765976532905 
2023-05-09 06:43:27,827 INFO used_ofi_2_1: 0.0048561729139046245 , std 0.06951683607972159 
2023-05-09 06:43:27,827 INFO used_ofi_3_1: 0.007000522277128279 , std 0.08337574566368632 
2023-05-09 06:43:27,827 INFO used_ofi_4_1: 0.009807761841629504 , std 0.09854729650927711 
2023-05-09 06:43:27,827 INFO used_ofi_5_1: 0.009591820336667872 , std 0.0974670063113511 
2023-05-09 06:43:27,827 INFO used_ofi_6_1: 0.008587441243823069 , std 0.09226969760819073 
2023-05-09 06:43:27,827 INFO used_ofi_7_1: 0.005770157888393395 , std 0.07574208319247899 
2023-05-09 06:43:27,827 INFO used_ofi_8_1: 0.0045448153951227355 , std 0.06726187663265862 
2023-05-09 06:43:27,827 INFO used_ofi_9_1: 0.0036006990478486198 , std 0.05989769623462526 
2023-05-09 06:43:27,827 INFO used_ofi_10_1: 0.0036408742115624122 , std 0.060229712323221274 
2023-05-09 06:43:27,827 INFO used_ofi_1_2: 0.007070828813627416 , std 0.08379040633339709 
2023-05-09 06:43:27,827 INFO used_ofi_2_2: 0.007693543851191194 , std 0.08737478603236172 
2023-05-09 06:43:27,827 INFO used_ofi_3_2: 0.010073922301233378 , std 0.0998620968671402 
2023-05-09 06:43:27,827 INFO used_ofi_4_2: 0.013719818408260014 , std 0.11632534113899853 
2023-05-09 06:43:27,827 INFO used_ofi_5_2: 0.012981599775019084 , std 0.11319486667822136 
2023-05-09 06:43:27,827 INFO used_ofi_6_2: 0.013197541279980716 , std 0.11411996400342897 
2023-05-09 06:43:27,827 INFO used_ofi_7_2: 0.007196376200233016 , std 0.08452566692915078 
