2023-05-09 06:04:11,300 INFO Starting...
2023-05-09 06:04:11,301 INFO Tickers: ['CVX']
2023-05-09 06:05:33,480 INFO ofi_9_10: -1.4478820497680153e-07 , std 6.510195340446262e-06 
2023-05-09 06:05:33,480 INFO ofi_10_10: -8.398588739784939e-08 , std 5.615809077886926e-06 
2023-05-09 06:05:33,480 INFO ofi_1_20: -4.7021519849188816e-07 , std 1.3118166649995695e-05 
2023-05-09 06:05:33,480 INFO ofi_2_20: -5.97404139062807e-07 , std 1.0489655078268952e-05 
2023-05-09 06:05:33,480 INFO ofi_3_20: -9.690786747115391e-07 , std 1.0384560834578901e-05 
2023-05-09 06:05:33,480 INFO ofi_4_20: -1.2533810416496068e-06 , std 1.1336786619977683e-05 
2023-05-09 06:05:33,480 INFO ofi_5_20: -1.1057222888894403e-06 , std 9.655492977953798e-06 
2023-05-09 06:05:33,480 INFO ofi_6_20: -7.219673503820988e-07 , std 9.001275829916278e-06 
2023-05-09 06:05:33,480 INFO ofi_7_20: -4.400092081460214e-07 , std 1.0117109093272395e-05 
2023-05-09 06:05:33,480 INFO ofi_8_20: -3.2626229346544356e-07 , std 8.478799403581724e-06 
2023-05-09 06:05:33,480 INFO ofi_9_20: -1.9894787875065407e-07 , std 7.0916641583392486e-06 
2023-05-09 06:05:33,480 INFO ofi_10_20: -1.8134882602565729e-07 , std 7.413913603413302e-06 
2023-05-09 06:05:33,480 INFO ofi_1_30: -5.148376652208912e-07 , std 1.3087944375319543e-05 
2023-05-09 06:05:33,480 INFO ofi_2_30: -8.167641270415823e-07 , std 1.0692994105380581e-05 
2023-05-09 06:05:33,480 INFO ofi_3_30: -1.2124334600775383e-06 , std 1.0706497862545043e-05 
2023-05-09 06:05:33,480 INFO ofi_4_30: -1.4766608423043064e-06 , std 1.0620255426073431e-05 
2023-05-09 06:05:33,480 INFO ofi_5_30: -1.2106211972721415e-06 , std 1.0022329853919618e-05 
2023-05-09 06:05:33,480 INFO ofi_6_30: -9.591672815797835e-07 , std 9.914625640938852e-06 
2023-05-09 06:05:33,480 INFO ofi_7_30: -6.510556987857669e-07 , std 1.0234453115357325e-05 
2023-05-09 06:05:33,480 INFO ofi_8_30: -3.468474866128823e-07 , std 8.51343548120859e-06 
