2023-05-09 07:03:30,820 INFO Starting...
2023-05-09 07:03:30,820 INFO Tickers: ['USB']
2023-05-09 07:04:50,374 INFO ofi_9_10: -1.1090737643918267e-07 , std 1.5771712881037688e-05 
2023-05-09 07:04:50,374 INFO ofi_10_10: -3.951673770207543e-08 , std 1.0478021111858447e-05 
2023-05-09 07:04:50,374 INFO ofi_1_20: -3.4737724570477757e-06 , std 3.264970437008421e-05 
2023-05-09 07:04:50,374 INFO ofi_2_20: -1.999774367636865e-06 , std 2.742674919809025e-05 
2023-05-09 07:04:50,374 INFO ofi_3_20: -1.727679933071934e-06 , std 2.3030774510585503e-05 
2023-05-09 07:04:50,374 INFO ofi_4_20: -1.4963432548827343e-06 , std 2.239492213289053e-05 
2023-05-09 07:04:50,374 INFO ofi_5_20: -8.293387799618729e-07 , std 1.927310778599968e-05 
2023-05-09 07:04:50,374 INFO ofi_6_20: -7.466481335960339e-07 , std 1.8987687005762683e-05 
2023-05-09 07:04:50,374 INFO ofi_7_20: -2.0460803545703065e-07 , std 1.6313629159709257e-05 
2023-05-09 07:04:50,374 INFO ofi_8_20: -1.6626816360053858e-07 , std 1.5393881056966154e-05 
2023-05-09 07:04:50,374 INFO ofi_9_20: -1.8382336807923094e-07 , std 1.3457758685364865e-05 
2023-05-09 07:04:50,374 INFO ofi_10_20: -1.1321972833747293e-07 , std 1.468341619414744e-05 
2023-05-09 07:04:50,374 INFO ofi_1_30: -4.230128907657764e-06 , std 3.333303825787855e-05 
2023-05-09 07:04:50,374 INFO ofi_2_30: -2.6501863676791928e-06 , std 2.711498592291442e-05 
2023-05-09 07:04:50,374 INFO ofi_3_30: -2.3280013051676896e-06 , std 2.4221193590066474e-05 
2023-05-09 07:04:50,374 INFO ofi_4_30: -2.0190401204903663e-06 , std 2.3724172619374102e-05 
2023-05-09 07:04:50,374 INFO ofi_5_30: -1.0472591025204136e-06 , std 2.0782195340563832e-05 
2023-05-09 07:04:50,374 INFO ofi_6_30: -9.10328321728475e-07 , std 2.0870639264091584e-05 
2023-05-09 07:04:50,374 INFO ofi_7_30: -3.180521377945462e-07 , std 1.678669412491333e-05 
2023-05-09 07:04:50,374 INFO ofi_8_30: -2.3131566224041775e-07 , std 1.6882108560671922e-05 
2023-05-09 07:04:50,374 INFO ofi_9_30: -2.504418325464236e-07 , std 1.4263676434655378e-05 
2023-05-09 07:04:50,374 INFO ofi_10_30: -1.9029799343311397e-07 , std 1.6448666683052808e-05 
2023-05-09 07:04:50,374 INFO used_intercept: 0.9814892933188702 , std 0.13478894768969338 
2023-05-09 07:04:50,374 INFO used_ofi_1_1: 0.029654292716242817 , std 0.16963170587995102 
2023-05-09 07:04:50,374 INFO used_ofi_2_1: 0.008592463139287293 , std 0.09229643934891138 
2023-05-09 07:04:50,374 INFO used_ofi_3_1: 0.007502711823550681 , std 0.08629264823172038 
2023-05-09 07:04:50,374 INFO used_ofi_4_1: 0.006513398417098549 , std 0.0804423648220183 
2023-05-09 07:04:50,374 INFO used_ofi_5_1: 0.003997428789522317 , std 0.06309872702832457 
2023-05-09 07:04:50,374 INFO used_ofi_6_1: 0.0028172833554296734 , std 0.0530032665967381 
2023-05-09 07:04:50,374 INFO used_ofi_7_1: 0.0014011088345185006 , std 0.037405156443361315 
2023-05-09 07:04:50,374 INFO used_ofi_8_1: 0.0008738098107749789 , std 0.02954735634857325 
2023-05-09 07:04:50,374 INFO used_ofi_9_1: 0.0006729339922060182 , std 0.025932241554639118 
2023-05-09 07:04:50,374 INFO used_ofi_10_1: 0.0005624522919930898 , std 0.0237094061379091 
2023-05-09 07:04:50,374 INFO used_ofi_1_2: 0.03856313526977623 , std 0.19255134345919578 
2023-05-09 07:04:50,374 INFO used_ofi_2_2: 0.012404081796633321 , std 0.11068071445114433 
2023-05-09 07:04:50,374 INFO used_ofi_3_2: 0.008923908239926078 , std 0.09404399024739146 
2023-05-09 07:04:50,374 INFO used_ofi_4_2: 0.00820075529307782 , std 0.09018593518781558 
2023-05-09 07:04:50,374 INFO used_ofi_5_2: 0.005117311478044273 , std 0.07135211700630158 
2023-05-09 07:04:50,374 INFO used_ofi_6_2: 0.003254188260817163 , std 0.05695259888346029 
2023-05-09 07:04:50,374 INFO used_ofi_7_2: 0.0012554738660560043 , std 0.035410417272713046 
2023-05-09 07:04:50,374 INFO used_ofi_8_2: 0.0010545980474870435 , std 0.03245744707220949 
2023-05-09 07:04:50,375 INFO used_ofi_9_2: 0.000893897392631875 , std 0.029884750962377468 
2023-05-09 07:04:50,375 INFO used_ofi_10_2: 0.0006578683058133461 , std 0.02564050535979259 
2023-05-09 07:04:50,375 INFO used_ofi_1_3: 0.05158993210397332 , std 0.2211976740598344 
2023-05-09 07:04:50,375 INFO used_ofi_2_3: 0.017586677915712508 , std 0.13144347330925754 
2023-05-09 07:04:50,375 INFO used_ofi_3_3: 0.012504519705917802 , std 0.11112226011399386 
2023-05-09 07:04:50,375 INFO used_ofi_4_3: 0.010596199429512676 , std 0.10239101516814195 
2023-05-09 07:04:50,375 INFO used_ofi_5_3: 0.006734361817524406 , std 0.08178636920927031 
2023-05-09 07:04:50,375 INFO used_ofi_6_3: 0.003997428789522317 , std 0.06309872702832456 
2023-05-09 07:04:50,375 INFO used_ofi_7_3: 0.0019585392310473666 , std 0.044212027267790104 
2023-05-09 07:04:50,375 INFO used_ofi_8_3: 0.0010596199429512676 , std 0.03253455314781145 
2023-05-09 07:04:50,375 INFO used_ofi_9_3: 0.0010797075248081636 , std 0.03284115948728114 
2023-05-09 07:04:50,375 INFO used_ofi_10_3: 0.0007583062150978265 , std 0.02752691749509869 
2023-05-09 07:04:50,375 INFO used_ofi_1_5: 0.0737716443694508 , std 0.26139890752732325 
2023-05-09 07:04:50,375 INFO used_ofi_2_5: 0.02648045478285324 , std 0.160559148905774 
2023-05-09 07:04:50,375 INFO used_ofi_3_5: 0.019911815515648225 , std 0.13969729817902357 
2023-05-09 07:04:50,375 INFO used_ofi_4_5: 0.01696898477361295 , std 0.12915509408988032 
2023-05-09 07:04:50,375 INFO used_ofi_5_5: 0.009169981117673054 , std 0.09531994840522404 
2023-05-09 07:04:50,375 INFO used_ofi_6_5: 0.005609457233538227 , std 0.07468595064055442 
2023-05-09 07:04:50,375 INFO used_ofi_7_5: 0.0022899843316861518 , std 0.04779895713764876 
2023-05-09 07:04:50,375 INFO used_ofi_8_5: 0.001511590534731429 , std 0.03884978286666143 
2023-05-09 07:04:50,375 INFO used_ofi_9_5: 0.001210276806877988 , std 0.03476797430004688 
2023-05-09 07:04:50,375 INFO used_ofi_10_5: 0.0010646418384154916 , std 0.03261147614217097 
2023-05-09 07:04:50,375 INFO used_ofi_1_10: 0.11101402113213611 , std 0.3141494998312264 
2023-05-09 07:04:50,375 INFO used_ofi_2_10: 0.042450082359085616 , std 0.2016136723210816 
2023-05-09 07:04:50,375 INFO used_ofi_3_10: 0.030327226708448837 , std 0.17148611030816224 
2023-05-09 07:04:50,375 INFO used_ofi_4_10: 0.024833273070587764 , std 0.15561677807739557 
2023-05-09 07:04:50,375 INFO used_ofi_5_10: 0.012439235064882889 , std 0.11083546587570008 
2023-05-09 07:04:50,375 INFO used_ofi_6_10: 0.00815053633843558 , std 0.08991165161329995 
2023-05-09 07:04:50,375 INFO used_ofi_7_10: 0.0028574585191434654 , std 0.05337877340249437 
