2023-05-09 07:31:38,741 INFO Starting...
2023-05-09 07:31:38,741 INFO Tickers: ['SPGI']
2023-05-09 07:32:54,406 INFO ofi_6_20: -5.303519752779544e-07 , std 1.0973808657125787e-05 
2023-05-09 07:32:54,406 INFO ofi_7_20: -3.8758967259342527e-07 , std 1.1133471570261422e-05 
2023-05-09 07:32:54,407 INFO ofi_8_20: -4.045616308437097e-07 , std 1.1889383049969291e-05 
2023-05-09 07:32:54,407 INFO ofi_9_20: -3.6708667771601225e-07 , std 1.1947305120886808e-05 
2023-05-09 07:32:54,407 INFO ofi_10_20: -7.622795308668318e-07 , std 1.7076965785776067e-05 
2023-05-09 07:32:54,407 INFO ofi_1_30: -1.9299207866312163e-06 , std 1.70139187871696e-05 
2023-05-09 07:32:54,407 INFO ofi_2_30: -1.5986242098806816e-06 , std 1.7199304890066687e-05 
2023-05-09 07:32:54,407 INFO ofi_3_30: -1.2446802113755143e-06 , std 1.846126020873711e-05 
2023-05-09 07:32:54,407 INFO ofi_4_30: -1.08273954421256e-06 , std 1.486090914394973e-05 
2023-05-09 07:32:54,407 INFO ofi_5_30: -8.378572066509936e-07 , std 1.2155216824354962e-05 
2023-05-09 07:32:54,407 INFO ofi_6_30: -7.056525953348836e-07 , std 1.3800193919848437e-05 
2023-05-09 07:32:54,407 INFO ofi_7_30: -6.14667383148091e-07 , std 1.4133299008506718e-05 
2023-05-09 07:32:54,407 INFO ofi_8_30: -3.993327688284654e-07 , std 1.2979940111739789e-05 
2023-05-09 07:32:54,407 INFO ofi_9_30: -5.339334224215931e-07 , std 1.3704253098322895e-05 
2023-05-09 07:32:54,407 INFO ofi_10_30: -7.484978608607826e-07 , std 1.7319059085865213e-05 
2023-05-09 07:32:54,407 INFO used_intercept: 0.9857277730906754 , std 0.11861083613386003 
2023-05-09 07:32:54,407 INFO used_ofi_1_1: 0.01798842955285043 , std 0.13290916430055744 
2023-05-09 07:32:54,407 INFO used_ofi_2_1: 0.011354505644610501 , std 0.10595084164921491 
2023-05-09 07:32:54,407 INFO used_ofi_3_1: 0.007954682415330842 , std 0.08883358285582131 
2023-05-09 07:32:54,407 INFO used_ofi_4_1: 0.006317544493993813 , std 0.0792315159867601 
2023-05-09 07:32:54,407 INFO used_ofi_5_1: 0.004595034349764975 , std 0.06763076229859794 
2023-05-09 07:32:54,407 INFO used_ofi_6_1: 0.004464465067695151 , std 0.06666733547513716 
2023-05-09 07:32:54,407 INFO used_ofi_7_1: 0.003615764734241292 , std 0.060022420641189636 
2023-05-09 07:32:54,407 INFO used_ofi_8_1: 0.0039823631031296455 , std 0.0629801864656217 
2023-05-09 07:32:54,407 INFO used_ofi_9_1: 0.005011851673295569 , std 0.07061680406320053 
2023-05-09 07:32:54,407 INFO used_ofi_10_1: 0.007598127837370937 , std 0.08683545526303128 
2023-05-09 07:32:54,407 INFO used_ofi_1_2: 0.02508938973926319 , std 0.15639665041737483 
2023-05-09 07:32:54,407 INFO used_ofi_2_2: 0.01504057691535093 , std 0.12171424715868043 
2023-05-09 07:32:54,407 INFO used_ofi_3_2: 0.010008637660198466 , std 0.09954127200505991 
2023-05-09 07:32:54,407 INFO used_ofi_4_2: 0.008050098429151099 , std 0.08936047417304853 
2023-05-09 07:32:54,407 INFO used_ofi_5_2: 0.006513398417098549 , std 0.08044236482201832 
2023-05-09 07:32:54,407 INFO used_ofi_6_2: 0.005619501024466675 , std 0.07475240620008625 
2023-05-09 07:32:54,407 INFO used_ofi_7_2: 0.005087180105258929 , std 0.07114281906022268 
2023-05-09 07:32:54,407 INFO used_ofi_8_2: 0.004042625848700333 , std 0.06345299854969624 
2023-05-09 07:32:54,407 INFO used_ofi_9_2: 0.005262946446506769 , std 0.07235501255067248 
2023-05-09 07:32:54,407 INFO used_ofi_10_2: 0.007929572938009723 , std 0.08869438996368659 
2023-05-09 07:32:54,407 INFO used_ofi_1_3: 0.03209995580731991 , std 0.17626556284336434 
2023-05-09 07:32:54,407 INFO used_ofi_2_3: 0.020398939375677955 , std 0.14136061208139053 
2023-05-09 07:32:54,407 INFO used_ofi_3_3: 0.01409143867261259 , std 0.11786801953349599 
2023-05-09 07:32:54,407 INFO used_ofi_4_3: 0.011701016431641958 , std 0.10753651773285393 
2023-05-09 07:32:54,407 INFO used_ofi_5_3: 0.009265397131493311 , std 0.09580996580465431 
2023-05-09 07:32:54,407 INFO used_ofi_6_3: 0.00773874091036921 , std 0.0876290636689186 
2023-05-09 07:32:54,407 INFO used_ofi_7_3: 0.005443734683218834 , std 0.0735805710491401 
2023-05-09 07:32:54,407 INFO used_ofi_8_3: 0.005237836969185649 , std 0.07218311459801303 
2023-05-09 07:32:54,407 INFO used_ofi_9_3: 0.006031296452533044 , std 0.0774268681765878 
2023-05-09 07:32:54,407 INFO used_ofi_10_3: 0.00860250693021574 , std 0.09234989878029827 
2023-05-09 07:32:54,407 INFO used_ofi_1_5: 0.04683419709935318 , std 0.21128358923828444 
2023-05-09 07:32:54,407 INFO used_ofi_2_5: 0.028383753163794143 , std 0.16606660025462963 
2023-05-09 07:32:54,407 INFO used_ofi_3_5: 0.021046763890562856 , std 0.14354022997159283 
2023-05-09 07:32:54,407 INFO used_ofi_4_5: 0.017345626933429753 , std 0.1305555673256259 
2023-05-09 07:32:54,407 INFO used_ofi_5_5: 0.013920694226828975 , std 0.11716189013101531 
2023-05-09 07:32:54,407 INFO used_ofi_6_5: 0.009370856936242015 , std 0.09634855461563756 
2023-05-09 07:32:54,407 INFO used_ofi_7_5: 0.007487646137158009 , std 0.0862066197718175 
2023-05-09 07:32:54,407 INFO used_ofi_8_5: 0.006528464103491222 , std 0.08053473325181285 
2023-05-09 07:32:54,407 INFO used_ofi_9_5: 0.007643324896548953 , std 0.0870913570974454 
2023-05-09 07:32:54,407 INFO used_ofi_10_5: 0.011138564139648869 , std 0.10494997155100043 
2023-05-09 07:32:54,407 INFO used_ofi_1_10: 0.07195371821140172 , std 0.2584112626163107 
2023-05-09 07:32:54,407 INFO used_ofi_2_10: 0.041626491502952875 , std 0.19973414006650808 
2023-05-09 07:32:54,408 INFO used_ofi_3_10: 0.029498613956851875 , std 0.1691994259194649 
2023-05-09 07:32:54,408 INFO used_ofi_4_10: 0.025747258045076535 , std 0.15838035467897144 
2023-05-09 07:32:54,408 INFO used_ofi_5_10: 0.0201779759752521 , std 0.14060876665697006 
2023-05-09 07:32:54,408 INFO used_ofi_6_10: 0.016532079868225462 , std 0.12750988276779204 
2023-05-09 07:32:54,408 INFO used_ofi_7_10: 0.01228857820095617 , std 0.11017063604588634 
2023-05-09 07:32:54,408 INFO used_ofi_8_10: 0.009692258245952353 , std 0.09797100783418593 
2023-05-09 07:32:54,408 INFO used_ofi_9_10: 0.009305572295207103 , std 0.09601551238974762 
2023-05-09 07:32:54,408 INFO used_ofi_10_10: 0.013066971997910891 , std 0.11356155265192841 
2023-05-09 07:32:54,408 INFO used_ofi_1_20: 0.08681350689004058 , std 0.2815615774772784 
2023-05-09 07:32:54,408 INFO used_ofi_2_20: 0.054588003696115064 , std 0.2271742801212056 
2023-05-09 07:32:54,408 INFO used_ofi_3_20: 0.03874894540195251 , std 0.19299602232219457 
2023-05-09 07:32:54,408 INFO used_ofi_4_20: 0.03455566268932546 , std 0.18265149565614572 
2023-05-09 07:32:54,408 INFO used_ofi_5_20: 0.028032220481298463 , std 0.16506488147448664 
2023-05-09 07:32:54,408 INFO used_ofi_6_20: 0.02101663251777751 , std 0.14343965168456804 
2023-05-09 07:32:54,408 INFO used_ofi_7_20: 0.013544052067012173 , std 0.11558810804152057 
2023-05-09 07:32:54,408 INFO used_ofi_8_20: 0.010857337993652324 , std 0.10363134759976789 
2023-05-09 07:32:54,408 INFO used_ofi_9_20: 0.011138564139648869 , std 0.1049499715510004 
2023-05-09 07:32:54,408 INFO used_ofi_10_20: 0.013734884094652686 , std 0.11638830290694653 
2023-05-09 07:32:54,408 INFO used_ofi_1_30: 0.10166827367321522 , std 0.30221157456577247 
2023-05-09 07:32:54,408 INFO used_ofi_2_30: 0.06000160700654855 , std 0.23748981907269257 
2023-05-09 07:32:54,408 INFO used_ofi_3_30: 0.04527238760997951 , std 0.20790093441365598 
2023-05-09 07:32:54,408 INFO used_ofi_4_30: 0.039637820899120164 , std 0.19510680165870545 
2023-05-09 07:32:54,408 INFO used_ofi_5_30: 0.03317966333212808 , std 0.17910548085777472 
2023-05-09 07:32:54,408 INFO used_ofi_6_30: 0.024803141697802417 , std 0.15552474356102042 
