2023-05-09 06:19:26,824 INFO Starting...
2023-05-09 06:19:26,824 INFO Tickers: ['ABT']
2023-05-09 06:20:41,568 INFO ofi_9_10: -4.434766265334545e-08 , std 5.00249020581359e-06 
2023-05-09 06:20:41,568 INFO ofi_10_10: -9.65902736594605e-08 , std 1.0545835580146566e-05 
2023-05-09 06:20:41,568 INFO ofi_1_20: -1.6473399047208803e-06 , std 1.899320083452114e-05 
2023-05-09 06:20:41,568 INFO ofi_2_20: -1.4264537770394236e-06 , std 1.6984993352772507e-05 
2023-05-09 06:20:41,568 INFO ofi_3_20: -2.0312838516337622e-06 , std 1.7994045150752793e-05 
2023-05-09 06:20:41,568 INFO ofi_4_20: -1.9800483073226256e-06 , std 1.7566877860591817e-05 
2023-05-09 06:20:41,568 INFO ofi_5_20: -1.035848468649979e-06 , std 1.3684868832324978e-05 
2023-05-09 06:20:41,568 INFO ofi_6_20: -5.505506435677809e-07 , std 1.1898098917735533e-05 
2023-05-09 06:20:41,568 INFO ofi_7_20: -2.689967372192325e-07 , std 1.0504326212756426e-05 
2023-05-09 06:20:41,568 INFO ofi_8_20: -1.097966546609115e-07 , std 7.550924141412606e-06 
2023-05-09 06:20:41,568 INFO ofi_9_20: -7.604634690210751e-08 , std 9.355470325089465e-06 
2023-05-09 06:20:41,568 INFO ofi_10_20: -6.440313174652894e-08 , std 9.22455176818337e-06 
2023-05-09 06:20:41,568 INFO ofi_1_30: -2.1066228674390874e-06 , std 2.1748092703510537e-05 
2023-05-09 06:20:41,568 INFO ofi_2_30: -1.8316028258773213e-06 , std 1.90645836832691e-05 
2023-05-09 06:20:41,568 INFO ofi_3_30: -2.342852929629217e-06 , std 1.8412274817471056e-05 
2023-05-09 06:20:41,568 INFO ofi_4_30: -2.213488377232231e-06 , std 1.8170421070869372e-05 
2023-05-09 06:20:41,568 INFO ofi_5_30: -1.3218079603455582e-06 , std 1.5547915109673184e-05 
2023-05-09 06:20:41,568 INFO ofi_6_30: -6.463710257469887e-07 , std 1.3116544283341683e-05 
2023-05-09 06:20:41,568 INFO ofi_7_30: -3.959005660674989e-07 , std 1.1650204879591239e-05 
2023-05-09 06:20:41,568 INFO ofi_8_30: -1.202293544630824e-07 , std 9.226128773848628e-06 
2023-05-09 06:20:41,568 INFO ofi_9_30: -1.0922950718146841e-07 , std 8.747206053845032e-06 
2023-05-09 06:20:41,568 INFO ofi_10_30: -1.197921185348767e-07 , std 9.598438437307646e-06 
2023-05-09 06:20:41,568 INFO used_intercept: 0.9859035394319232 , std 0.1178887202726769 
2023-05-09 06:20:41,568 INFO used_ofi_1_1: 0.014734241292033264 , std 0.12048710896017636 
2023-05-09 06:20:41,568 INFO used_ofi_2_1: 0.007095938290948536 , std 0.08393798872214886 
2023-05-09 06:20:41,568 INFO used_ofi_3_1: 0.011344461853682054 , std 0.10590450905854956 
2023-05-09 06:20:41,568 INFO used_ofi_4_1: 0.012117833755172553 , std 0.10941202795056199 
2023-05-09 06:20:41,568 INFO used_ofi_5_1: 0.006744405608452854 , std 0.08184692175910786 
2023-05-09 06:20:41,568 INFO used_ofi_6_1: 0.0036810493752762042 , std 0.060559881528723145 
2023-05-09 06:20:41,568 INFO used_ofi_7_1: 0.0015969627576232373 , std 0.03993009476039347 
2023-05-09 06:20:41,568 INFO used_ofi_8_1: 0.0008788317062392029 , std 0.029632066432689296 
2023-05-09 06:20:41,569 INFO used_ofi_9_1: 0.0007532843196336025 , std 0.027435686292990674 
2023-05-09 06:20:41,569 INFO used_ofi_10_1: 0.0006327588284922261 , std 0.025146738252846853 
2023-05-09 06:20:41,569 INFO used_ofi_1_2: 0.017812663211602586 , std 0.13227007311146619 
2023-05-09 06:20:41,569 INFO used_ofi_2_2: 0.010355148447229923 , std 0.10123200752660075 
2023-05-09 06:20:41,569 INFO used_ofi_3_2: 0.015196255674741874 , std 0.12233286348406033 
2023-05-09 06:20:41,569 INFO used_ofi_4_2: 0.017546502751998715 , std 0.13129593669711495 
2023-05-09 06:20:41,569 INFO used_ofi_5_2: 0.010299907597123459 , std 0.10096444671573342 
2023-05-09 06:20:41,569 INFO used_ofi_6_2: 0.004519705917801615 , std 0.06707665895241208 
2023-05-09 06:20:41,569 INFO used_ofi_7_2: 0.0020891085131171908 , std 0.04565899844212105 
2023-05-09 06:20:41,569 INFO used_ofi_8_2: 0.0013006709252340203 , std 0.03604135375340765 
2023-05-09 06:20:41,569 INFO used_ofi_9_2: 0.0009340725563456671 , std 0.030548323436895015 
2023-05-09 06:20:41,569 INFO used_ofi_10_2: 0.0008637660198465309 , std 0.02937720082154679 
2023-05-09 06:20:41,569 INFO used_ofi_1_3: 0.024813185488730866 , std 0.15555542843190237 
2023-05-09 06:20:41,569 INFO used_ofi_2_3: 0.014247117432003535 , std 0.11850796208222568 
2023-05-09 06:20:41,569 INFO used_ofi_3_3: 0.022061186774336106 , std 0.14688257491085846 
2023-05-09 06:20:41,569 INFO used_ofi_4_3: 0.023813828291350286 , std 0.1524687832753327 
2023-05-09 06:20:41,569 INFO used_ofi_5_3: 0.014111526254469486 , std 0.11795079940907101 
2023-05-09 06:20:41,569 INFO used_ofi_6_3: 0.006066449720782612 , std 0.07765080752038467 
2023-05-09 06:20:41,569 INFO used_ofi_7_3: 0.0025260134185046803 , std 0.05019594281128918 
2023-05-09 06:20:41,569 INFO used_ofi_8_3: 0.0014412839982322929 , std 0.037936877819197676 
2023-05-09 06:20:41,569 INFO used_ofi_9_3: 0.0010746856293439395 , std 0.032764778042007565 
2023-05-09 06:20:41,569 INFO used_ofi_10_3: 0.0009742477200594592 , std 0.03119773327406044 
2023-05-09 06:20:41,569 INFO used_ofi_1_5: 0.03644389538387369 , std 0.18739193652108663 
2023-05-09 06:20:41,569 INFO used_ofi_2_5: 0.022924952794182635 , std 0.14966428877179466 
2023-05-09 06:20:41,569 INFO used_ofi_3_5: 0.03534912217267285 , std 0.1846606664514517 
2023-05-09 06:20:41,569 INFO used_ofi_4_5: 0.03454561889839701 , std 0.18262589934980122 
2023-05-09 06:20:41,569 INFO used_ofi_5_5: 0.01963058936965168 , std 0.13872717589085348 
2023-05-09 06:20:41,569 INFO used_ofi_6_5: 0.008943995821782973 , std 0.09414882240645873 
2023-05-09 06:20:41,569 INFO used_ofi_7_5: 0.003545458197742156 , std 0.05943810161765111 
2023-05-09 06:20:41,569 INFO used_ofi_8_5: 0.0016873568759792697 , std 0.041042778935549126 
2023-05-09 06:20:41,569 INFO used_ofi_9_5: 0.001220320597806436 , std 0.03491176614617206 
2023-05-09 06:20:41,569 INFO used_ofi_10_5: 0.0009591820336667872 , std 0.03095580726605394 
2023-05-09 06:20:41,569 INFO used_ofi_1_10: 0.052760033747137516 , std 0.22355404846734137 
2023-05-09 06:20:41,569 INFO used_ofi_2_10: 0.03635350126551766 , std 0.18716817093527324 
2023-05-09 06:20:41,569 INFO used_ofi_3_10: 0.052468763810212524 , std 0.2229703851062752 
2023-05-09 06:20:41,569 INFO used_ofi_4_10: 0.05429673375919007 , std 0.22660229138795948 
2023-05-09 06:20:41,569 INFO used_ofi_5_10: 0.029789883893776868 , std 0.17000719605761444 
2023-05-09 06:20:41,569 INFO used_ofi_6_10: 0.01322767265276606 , std 0.11424841937181156 
2023-05-09 06:20:41,569 INFO used_ofi_7_10: 0.005132377164436945 , std 0.07145653132554723 
2023-05-09 06:20:41,569 INFO used_ofi_8_10: 0.0021292836768309832 , std 0.04609500870869389 
2023-05-09 06:20:41,569 INFO used_ofi_9_10: 0.0013308022980193645 , std 0.03645588105179945 
2023-05-09 06:20:41,569 INFO used_ofi_10_10: 0.0012454300751275561 , std 0.03526866851832549 
2023-05-09 06:20:41,569 INFO used_ofi_1_20: 0.06741894660720743 , std 0.2507461510085089 
2023-05-09 06:20:41,569 INFO used_ofi_2_20: 0.04740167128681049 , std 0.2124964772555716 
2023-05-09 06:20:41,569 INFO used_ofi_3_20: 0.0690661283194729 , std 0.2535665558358022 
2023-05-09 06:20:41,569 INFO used_ofi_4_20: 0.06990980675746254 , std 0.2549949522570923 
2023-05-09 06:20:41,569 INFO used_ofi_5_20: 0.03794544212767667 , std 0.19106434923714002 
2023-05-09 06:20:41,569 INFO used_ofi_6_20: 0.017049335101040536 , std 0.12945522497625567 
2023-05-09 06:20:41,569 INFO used_ofi_7_20: 0.007196376200233016 , std 0.08452566692915078 
2023-05-09 06:20:41,569 INFO used_ofi_8_20: 0.0033797356474227634 , std 0.058037169420779834 
