2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,156 INFO ofi_9_10: -2.001093798159128e-07 , std 8.125778303321124e-06 
2023-05-09 06:51:52,156 INFO ofi_10_10: -2.1099470469215695e-07 , std 8.851720006278357e-06 
2023-05-09 06:51:52,156 INFO ofi_1_20: -8.982558749303736e-07 , std 1.4145730945393797e-05 
2023-05-09 06:51:52,156 INFO ofi_2_20: -1.0396392111050397e-06 , std 1.3125361420272649e-05 
2023-05-09 06:51:52,156 INFO ofi_3_20: -1.142900181266817e-06 , std 1.1981815886147508e-05 
2023-05-09 06:51:52,156 INFO ofi_4_20: -1.3239852337149134e-06 , std 1.2726698741434914e-05 
2023-05-09 06:51:52,156 INFO ofi_5_20: -1.0614631028868686e-06 , std 1.1978840949372773e-05 
2023-05-09 06:51:52,156 INFO ofi_6_20: -9.048794595835168e-07 , std 1.0883526675249412e-05 
2023-05-09 06:51:52,156 INFO ofi_7_20: -7.002148543135364e-07 , std 1.0425009186176513e-05 
2023-05-09 06:51:52,156 INFO ofi_8_20: -3.8698486161926663e-07 , std 9.274821697072368e-06 
2023-05-09 06:51:52,156 INFO ofi_9_20: -2.9005018660286524e-07 , std 9.086779047902429e-06 
2023-05-09 06:51:52,156 INFO ofi_10_20: -2.709956989004602e-07 , std 9.3438514789042e-06 
2023-05-09 06:51:52,156 INFO ofi_1_30: -1.1185114809730466e-06 , std 1.4421178102777499e-05 
2023-05-09 06:51:52,156 INFO ofi_2_30: -1.3122406847298166e-06 , std 1.3907650878476166e-05 
2023-05-09 06:51:52,156 INFO ofi_3_30: -1.4990632154479701e-06 , std 1.3585162615810928e-05 
2023-05-09 06:51:52,156 INFO ofi_4_30: -1.587852031627397e-06 , std 1.2896884492212223e-05 
2023-05-09 06:51:52,156 INFO ofi_5_30: -1.3482812564283914e-06 , std 1.1639312133962255e-05 
2023-05-09 06:51:52,156 INFO ofi_6_30: -1.1689729154576598e-06 , std 1.1958424166766106e-05 
2023-05-09 06:51:52,156 INFO ofi_7_30: -6.94637396711386e-07 , std 9.794705923093236e-06 
2023-05-09 06:51:52,156 INFO ofi_8_30: -4.3151459942335616e-07 , std 1.0017125760131464e-05 
2023-05-09 06:51:52,156 INFO ofi_9_30: -3.2903866279413733e-07 , std 9.617216656952061e-06 
2023-05-09 06:51:52,156 INFO ofi_10_30: -2.627939871993237e-07 , std 9.928917402219217e-06 
2023-05-09 06:51:52,156 INFO used_intercept: 0.9880780201679322 , std 0.1085350000182042 
2023-05-09 06:51:52,156 INFO used_ofi_1_1: 0.009019324253746333 , std 0.09454086970063326 
2023-05-09 06:51:52,156 INFO used_ofi_2_1: 0.0073269454823028405 , std 0.08528341780324122 
2023-05-09 06:51:52,156 INFO used_ofi_3_1: 0.00898919288096099 , std 0.09438425341289651 
2023-05-09 06:51:52,156 INFO used_ofi_4_1: 0.00975252099152304 , std 0.09827211876128927 
2023-05-09 06:51:52,156 INFO used_ofi_5_1: 0.009185046804065726 , std 0.09539749325465975 
2023-05-09 06:51:52,156 INFO used_ofi_6_1: 0.007331967377767064 , std 0.0853124236681764 
2023-05-09 06:51:52,156 INFO used_ofi_7_1: 0.004404202322124463 , std 0.06621786257521647 
2023-05-09 06:51:52,156 INFO used_ofi_8_1: 0.003389779438351211 , std 0.058123049074446737 
2023-05-09 06:51:52,156 INFO used_ofi_9_1: 0.002691735968824073 , std 0.05181206931109981 
2023-05-09 06:51:52,156 INFO used_ofi_10_1: 0.0026314732232533846 , std 0.051230348153498674 
2023-05-09 06:51:52,156 INFO used_ofi_1_2: 0.012936402715841067 , std 0.11300023097593494 
2023-05-09 06:51:52,156 INFO used_ofi_2_2: 0.010656462175083363 , std 0.10267863453023897 
2023-05-09 06:51:52,156 INFO used_ofi_3_2: 0.013092081475232012 , std 0.11366916414700119 
2023-05-09 06:51:52,156 INFO used_ofi_4_2: 0.01325278213008718 , std 0.11435534922293589 
2023-05-09 06:51:52,156 INFO used_ofi_5_2: 0.01280081153830702 , std 0.1124141928862533 
