2023-05-09 07:06:56,640 INFO Starting...
2023-05-09 07:06:56,640 INFO Tickers: ['FIS']
2023-05-09 07:08:12,333 INFO ofi_9_10: -2.8843655685306653e-07 , std 9.349237087969738e-06 
2023-05-09 07:08:12,333 INFO ofi_10_10: -3.4295051716077994e-07 , std 1.1450616518279852e-05 
2023-05-09 07:08:12,333 INFO ofi_1_20: -1.4251831486388752e-06 , std 1.5976165749233255e-05 
2023-05-09 07:08:12,333 INFO ofi_2_20: -1.1755480393066258e-06 , std 1.3242314989958358e-05 
2023-05-09 07:08:12,333 INFO ofi_3_20: -1.379598601177056e-06 , std 1.2914125140892923e-05 
2023-05-09 07:08:12,333 INFO ofi_4_20: -1.2954658086957285e-06 , std 1.2416925154974227e-05 
2023-05-09 07:08:12,333 INFO ofi_5_20: -1.0170213521655961e-06 , std 1.2704857981897338e-05 
2023-05-09 07:08:12,333 INFO ofi_6_20: -7.609007280639715e-07 , std 1.1462615157285706e-05 
2023-05-09 07:08:12,334 INFO ofi_7_20: -5.096759759414125e-07 , std 9.941776111146001e-06 
2023-05-09 07:08:12,334 INFO ofi_8_20: -4.0961500950900464e-07 , std 9.116278004813149e-06 
2023-05-09 07:08:12,334 INFO ofi_9_20: -2.671027914866705e-07 , std 9.31746680703904e-06 
2023-05-09 07:08:12,334 INFO ofi_10_20: -4.833109155422165e-07 , std 1.215881292787915e-05 
2023-05-09 07:08:12,334 INFO ofi_1_30: -1.6246249529077137e-06 , std 1.662150728333105e-05 
2023-05-09 07:08:12,334 INFO ofi_2_30: -1.2301518695046477e-06 , std 1.3638829547643651e-05 
2023-05-09 07:08:12,334 INFO ofi_3_30: -1.5019944775144003e-06 , std 1.4000159115033572e-05 
2023-05-09 07:08:12,334 INFO ofi_4_30: -1.6081971684668621e-06 , std 1.4229305834618924e-05 
2023-05-09 07:08:12,334 INFO ofi_5_30: -1.4092121798861665e-06 , std 1.3308911552133777e-05 
2023-05-09 07:08:12,334 INFO ofi_6_30: -9.44367957204667e-07 , std 1.2339054754553944e-05 
2023-05-09 07:08:12,334 INFO ofi_7_30: -5.854333881127587e-07 , std 1.1033165909411946e-05 
2023-05-09 07:08:12,334 INFO ofi_8_30: -4.508400569544624e-07 , std 9.41649218624536e-06 
2023-05-09 07:08:12,334 INFO ofi_9_30: -4.620008573900595e-07 , std 1.0243281479836088e-05 
2023-05-09 07:08:12,334 INFO ofi_10_30: -5.51841062993052e-07 , std 1.2599109279829644e-05 
2023-05-09 07:08:12,334 INFO used_intercept: 0.9855101579568569 , std 0.11949847915646383 
2023-05-09 07:08:12,334 INFO used_ofi_1_1: 0.014314055397905628 , std 0.1187819987033865 
2023-05-09 07:08:12,334 INFO used_ofi_2_1: 0.009713467768262977 , std 0.09807709371804352 
2023-05-09 07:08:12,334 INFO used_ofi_3_1: 0.008909871675748977 , std 0.09397066490384465 
2023-05-09 07:08:12,334 INFO used_ofi_4_1: 0.008101253107656765 , std 0.08964163544772287 
2023-05-09 07:08:12,334 INFO used_ofi_5_1: 0.007232364832626001 , std 0.0847352213164856 
2023-05-09 07:08:12,334 INFO used_ofi_6_1: 0.006062128022902489 , std 0.07762331239219587 
2023-05-09 07:08:12,334 INFO used_ofi_7_1: 0.004680947238894051 , std 0.06825713128927073 
2023-05-09 07:08:12,334 INFO used_ofi_8_1: 0.0036061374651565757 , std 0.05994274966782028 
2023-05-09 07:08:12,334 INFO used_ofi_9_1: 0.004600587629642651 , std 0.06767142841040545 
2023-05-09 07:08:12,334 INFO used_ofi_10_1: 0.006489038447050551 , std 0.0802927819114723 
2023-05-09 07:08:12,334 INFO used_ofi_1_2: 0.019246126415710305 , std 0.13738891161116606 
2023-05-09 07:08:12,334 INFO used_ofi_2_2: 0.013138796112603903 , std 0.11386908337786565 
2023-05-09 07:08:12,334 INFO used_ofi_3_2: 0.011697345621656915 , std 0.10751984806101811 
2023-05-09 07:08:12,334 INFO used_ofi_4_2: 0.011215187966148515 , std 0.1053062558684548 
2023-05-09 07:08:12,334 INFO used_ofi_5_2: 0.009567815976494814 , std 0.09734614976430628 
2023-05-09 07:08:12,334 INFO used_ofi_6_2: 0.007840084377589714 , std 0.08819647076012728 
2023-05-09 07:08:12,334 INFO used_ofi_7_2: 0.005730644634740463 , std 0.07548380188365439 
2023-05-09 07:08:12,334 INFO used_ofi_8_2: 0.004685969714472263 , std 0.06829356779600342 
2023-05-09 07:08:12,334 INFO used_ofi_9_2: 0.005077722809572838 , std 0.07107699726804714 
2023-05-09 07:08:12,334 INFO used_ofi_10_2: 0.007096757992014264 , std 0.08394280206198175 
2023-05-09 07:08:12,334 INFO used_ofi_1_3: 0.025303231963034578 , std 0.15704451093642033 
2023-05-09 07:08:12,334 INFO used_ofi_2_3: 0.018000552472313604 , std 0.13295312174975468 
2023-05-09 07:08:12,334 INFO used_ofi_3_3: 0.016694708821978353 , std 0.12812492153881583 
2023-05-09 07:08:12,334 INFO used_ofi_4_3: 0.015268325757766004 , std 0.12261812258520656 
2023-05-09 07:08:12,334 INFO used_ofi_5_3: 0.013224178197433515 , std 0.11423352970313068 
2023-05-09 07:08:12,334 INFO used_ofi_6_3: 0.010130333241254614 , std 0.10013845210345398 
2023-05-09 07:08:12,334 INFO used_ofi_7_3: 0.0072876120639863385 , std 0.08505588030460433 
2023-05-09 07:08:12,334 INFO used_ofi_8_3: 0.0060922628763717636 , std 0.07781482641127553 
2023-05-09 07:08:12,334 INFO used_ofi_9_3: 0.005836116621882926 , std 0.07617123055759771 
2023-05-09 07:08:12,334 INFO used_ofi_10_3: 0.007950578840310389 , std 0.08881085033043203 
2023-05-09 07:08:12,334 INFO used_ofi_1_5: 0.035800205921498705 , std 0.18579168758983003 
2023-05-09 07:08:12,334 INFO used_ofi_2_5: 0.02518269254915748 , std 0.15667968772349555 
2023-05-09 07:08:12,334 INFO used_ofi_3_5: 0.024665377564601593 , std 0.15510318086421454 
2023-05-09 07:08:12,334 INFO used_ofi_4_5: 0.02350016323045629 , std 0.15148566123101617 
2023-05-09 07:08:12,334 INFO used_ofi_5_5: 0.01978353130257904 , std 0.13925567561783223 
2023-05-09 07:08:12,334 INFO used_ofi_6_5: 0.01472087591974084 , std 0.12043326671603835 
2023-05-09 07:08:12,334 INFO used_ofi_7_5: 0.008869691871123277 , std 0.09376044175042372 
2023-05-09 07:08:12,334 INFO used_ofi_8_5: 0.00801587102282715 , std 0.08917183879775357 
2023-05-09 07:08:12,334 INFO used_ofi_9_5: 0.00809120815650034 , std 0.08958649734791801 
2023-05-09 07:08:12,334 INFO used_ofi_10_5: 0.010542176238668039 , std 0.10213245693128557 
2023-05-09 07:08:12,335 INFO used_ofi_1_10: 0.051937419954295475 , std 0.22190070834223724 
2023-05-09 07:08:12,335 INFO used_ofi_2_10: 0.03688506064639261 , std 0.1884795823093434 
2023-05-09 07:08:12,335 INFO used_ofi_3_10: 0.03673438637904623 , std 0.18810893449382243 
2023-05-09 07:08:12,335 INFO used_ofi_4_10: 0.035694733934356244 , std 0.1855279491174086 
2023-05-09 07:08:12,335 INFO used_ofi_5_10: 0.028100750860098944 , std 0.16526069908238195 
2023-05-09 07:08:12,335 INFO used_ofi_6_10: 0.01966299188870194 , std 0.13883932670063903 
2023-05-09 07:08:12,335 INFO used_ofi_7_10: 0.013259335526481002 , std 0.11438323980320368 
2023-05-09 07:08:12,335 INFO used_ofi_8_10: 0.010195625423771377 , std 0.10045732748779215 
2023-05-09 07:08:12,335 INFO used_ofi_9_10: 0.009572838452073027 , std 0.09737144969673368 
2023-05-09 07:08:12,335 INFO used_ofi_10_10: 0.012259862886416714 , std 0.11004343982456648 
2023-05-09 07:08:12,335 INFO used_ofi_1_20: 0.06648250922879888 , std 0.24912363435740403 
2023-05-09 07:08:12,335 INFO used_ofi_2_20: 0.0478893046382562 , std 0.21353200963677668 
2023-05-09 07:08:12,335 INFO used_ofi_3_20: 0.050606463926069156 , std 0.21919272281480656 
2023-05-09 07:08:12,335 INFO used_ofi_4_20: 0.04962205871273951 , std 0.21716286515389535 
2023-05-09 07:08:12,335 INFO used_ofi_5_20: 0.03885387107305191 , std 0.193246598354772 
2023-05-09 07:08:12,335 INFO used_ofi_6_20: 0.026799929685341905 , std 0.16149827693880406 
2023-05-09 07:08:12,335 INFO used_ofi_7_20: 0.017126641721704628 , std 0.12974328446991387 
2023-05-09 07:08:12,335 INFO used_ofi_8_20: 0.012937897089475403 , std 0.1130066719639931 
2023-05-09 07:08:12,335 INFO used_ofi_9_20: 0.011817885035534015 , std 0.10806582544366612 
2023-05-09 07:08:12,335 INFO used_ofi_10_20: 0.014826347906883303 , std 0.12085746693782454 
2023-05-09 07:08:12,335 INFO used_ofi_1_30: 0.0769393033826373 , std 0.26649511623598626 
2023-05-09 07:08:12,335 INFO used_ofi_2_30: 0.051555711810351325 , std 0.2211282894386861 
2023-05-09 07:08:12,335 INFO used_ofi_3_30: 0.0553627482986364 , std 0.2286869353493072 
2023-05-09 07:08:12,335 INFO used_ofi_4_30: 0.05857211019311419 , std 0.23482209883364868 
2023-05-09 07:08:12,335 INFO used_ofi_5_30: 0.048085181185806486 , std 0.21394624683815947 
2023-05-09 07:08:12,335 INFO used_ofi_6_30: 0.03272142839205444 , std 0.1779065387107458 
2023-05-09 07:08:12,335 INFO used_ofi_7_30: 0.019517340096933778 , std 0.1383344264182796 
2023-05-09 07:08:12,335 INFO used_ofi_8_30: 0.014761055724366541 , std 0.1205950536227282 
2023-05-09 07:08:12,335 INFO used_ofi_9_30: 0.013962482107430752 , std 0.11733512347473127 
2023-05-09 07:08:12,335 INFO used_ofi_10_30: 0.01652896712789734 , std 0.12749807988194264 
2023-05-09 07:08:12,951 INFO Grouping by horizont:
2023-05-09 07:08:12,952 INFO 1: 0.07370985158584666
2023-05-09 07:08:12,952 INFO 2: 0.09529645162100399
2023-05-09 07:08:12,952 INFO 3: 0.1257879008563321
2023-05-09 07:08:12,952 INFO 5: 0.17917179377715275
2023-05-09 07:08:12,952 INFO 10: 0.2543030059516336
2023-05-09 07:08:12,952 INFO 20: 0.3369629090178549
2023-05-09 07:08:12,952 INFO 30: 0.3880063283192286
2023-05-09 07:08:12,952 INFO Grouping by level:
2023-05-09 07:08:12,952 INFO 1: 0.2900228522638809
2023-05-09 07:08:12,952 INFO 2: 0.2023655859973381
2023-05-09 07:08:12,952 INFO 3: 0.20467090228773765
2023-05-09 07:08:12,952 INFO 4: 0.20197383290223753
2023-05-09 07:08:12,952 INFO 5: 0.16484769342809072
2023-05-09 07:08:12,952 INFO 6: 0.11793777152758594
2023-05-09 07:08:12,952 INFO 7: 0.07647221315386353
2023-05-09 07:08:12,952 INFO 8: 0.060294819316441074
2023-05-09 07:08:12,952 INFO 9: 0.05895884081263655
2023-05-09 07:08:12,952 INFO 10: 0.0756937294392406
2023-05-09 07:08:12,952 INFO Grouping by level and horizont:
2023-05-09 07:08:12,952 INFO 1_1: 0.014314055397905628
