2023-05-09 07:13:31,678 INFO Starting...
2023-05-09 07:13:31,678 INFO Tickers: ['CHTR']
2023-05-09 07:14:50,030 INFO ofi_7_20: -2.6218808867192947e-07 , std 6.175298186794946e-06 
2023-05-09 07:14:50,030 INFO ofi_8_20: -2.2677049417748798e-07 , std 5.478766422096818e-06 
2023-05-09 07:14:50,030 INFO ofi_9_20: -2.2223149602251996e-07 , std 6.015370361374489e-06 
2023-05-09 07:14:50,030 INFO ofi_10_20: -2.166165531556796e-07 , std 7.856225856561393e-06 
2023-05-09 07:14:50,030 INFO ofi_1_30: -1.1725931137959777e-06 , std 1.0663844135790052e-05 
2023-05-09 07:14:50,030 INFO ofi_2_30: -9.812027442153334e-07 , std 9.355801958971653e-06 
2023-05-09 07:14:50,030 INFO ofi_3_30: -8.085316747531388e-07 , std 8.878258435296899e-06 
2023-05-09 07:14:50,030 INFO ofi_4_30: -7.913321192475355e-07 , std 8.74736964911232e-06 
2023-05-09 07:14:50,030 INFO ofi_5_30: -6.1080484146289e-07 , std 8.46795981430919e-06 
2023-05-09 07:14:50,030 INFO ofi_6_30: -4.856993724321648e-07 , std 8.46515637817079e-06 
2023-05-09 07:14:50,030 INFO ofi_7_30: -3.594407824027853e-07 , std 6.879500882067513e-06 
2023-05-09 07:14:50,030 INFO ofi_8_30: -2.638171413373897e-07 , std 6.257141142676741e-06 
2023-05-09 07:14:50,030 INFO ofi_9_30: -2.5871391886531307e-07 , std 7.046157318045409e-06 
2023-05-09 07:14:50,030 INFO ofi_10_30: -2.3335644318003623e-07 , std 7.613721997224774e-06 
2023-05-09 07:14:50,030 INFO used_intercept: 0.9894787591464487 , std 0.10203207507667832 
2023-05-09 07:14:50,030 INFO used_ofi_1_1: 0.021916322236228223 , std 0.14641037209113988 
2023-05-09 07:14:50,030 INFO used_ofi_2_1: 0.008718317003229193 , std 0.09296401428434767 
2023-05-09 07:14:50,030 INFO used_ofi_3_1: 0.005664897223296388 , std 0.07505202304232628 
2023-05-09 07:14:50,030 INFO used_ofi_4_1: 0.004203474269414075 , std 0.06469779805743352 
2023-05-09 07:14:50,030 INFO used_ofi_5_1: 0.0036962449967607633 , std 0.06068428766727582 
2023-05-09 07:14:50,030 INFO used_ofi_6_1: 0.0027169409554994198 , std 0.0520534262786202 
2023-05-09 07:14:50,030 INFO used_ofi_7_1: 0.002234822042878451 , std 0.04722105053167619 
2023-05-09 07:14:50,030 INFO used_ofi_8_1: 0.0018882990744321293 , std 0.04341351634039367 
2023-05-09 07:14:50,030 INFO used_ofi_9_1: 0.0019234535784774082 , std 0.043814996346101066 
2023-05-09 07:14:50,030 INFO used_ofi_10_1: 0.0024507711391565934 , std 0.04944456350277623 
2023-05-09 07:14:50,030 INFO used_ofi_1_2: 0.033457043707092675 , std 0.17982677757629523 
