2023-05-09 05:49:52,350 INFO Starting...
2023-05-09 05:49:52,350 INFO Tickers: ['PG']
2023-05-09 05:51:11,136 INFO in_r2: 0.10079991959571037 , std 0.1625941621202786 
2023-05-09 05:51:11,137 INFO os_r2: -0.09415741647044432 , std 0.12729528931159043 
2023-05-09 05:51:11,137 INFO intercept: 4.57951679800016e-07 , std 0.00018177641042510734 
2023-05-09 05:51:11,137 INFO ofi_1_1: -9.883966023936405e-08 , std 1.1590971677885477e-05 
2023-05-09 05:51:11,137 INFO ofi_2_1: -1.0442742948246694e-07 , std 8.746392472859271e-06 
2023-05-09 05:51:11,137 INFO ofi_3_1: -1.8019770702025905e-07 , std 9.127444625663245e-06 
2023-05-09 05:51:11,137 INFO ofi_4_1: -2.3522887567427715e-07 , std 9.165971533529698e-06 
2023-05-09 05:51:11,137 INFO ofi_5_1: -1.9193674312959252e-07 , std 8.471999943144222e-06 
2023-05-09 05:51:11,137 INFO ofi_6_1: -1.653602827945148e-07 , std 8.101939756779526e-06 
2023-05-09 05:51:11,137 INFO ofi_7_1: -7.218939944625813e-08 , std 6.207929224983534e-06 
2023-05-09 05:51:11,137 INFO ofi_8_1: -8.657838054983301e-08 , std 7.492646688245441e-06 
2023-05-09 05:51:11,137 INFO ofi_9_1: -4.3100621478237824e-08 , std 4.989074809211673e-06 
2023-05-09 05:51:11,137 INFO ofi_10_1: -1.9552791790510653e-08 , std 5.635404049116622e-06 
2023-05-09 05:51:11,137 INFO ofi_1_2: -9.13367425527312e-08 , std 1.1479948458586861e-05 
2023-05-09 05:51:11,137 INFO ofi_2_2: -1.614377525205265e-07 , std 8.996660498784025e-06 
2023-05-09 05:51:11,137 INFO ofi_3_2: -2.39667618865798e-07 , std 9.478031977030627e-06 
2023-05-09 05:51:11,137 INFO ofi_4_2: -3.952652627638808e-07 , std 9.500798022483743e-06 
2023-05-09 05:51:11,137 INFO ofi_5_2: -2.6846945021732085e-07 , std 9.572954956236565e-06 
2023-05-09 05:51:11,137 INFO ofi_6_2: -1.9861239375661652e-07 , std 8.747813990844442e-06 
2023-05-09 05:51:11,137 INFO ofi_7_2: -9.879452001638286e-08 , std 6.079742637144662e-06 
2023-05-09 05:51:11,137 INFO ofi_8_2: -7.93263496426802e-08 , std 7.958015209639882e-06 
2023-05-09 05:51:11,137 INFO ofi_9_2: -4.3156939634608034e-08 , std 7.8003593642383e-06 
2023-05-09 05:51:11,137 INFO ofi_10_2: -4.618207213306368e-08 , std 6.252187948582777e-06 
2023-05-09 05:51:11,137 INFO ofi_1_3: -1.6179823098514034e-07 , std 1.2527132234469748e-05 
2023-05-09 05:51:11,137 INFO ofi_2_3: -2.9689074872314847e-07 , std 1.0677203909955193e-05 
2023-05-09 05:51:11,137 INFO ofi_3_3: -4.3725093656233367e-07 , std 9.958197050542157e-06 
2023-05-09 05:51:11,137 INFO ofi_4_3: -5.342625506856161e-07 , std 1.1224629058644106e-05 
2023-05-09 05:51:11,137 INFO ofi_5_3: -4.4748354195145264e-07 , std 9.425996372681439e-06 
2023-05-09 05:51:11,137 INFO ofi_6_3: -2.6532707419964173e-07 , std 9.531253943932926e-06 
2023-05-09 05:51:11,137 INFO ofi_7_3: -1.3185139905583538e-07 , std 9.057834335478018e-06 
2023-05-09 05:51:11,137 INFO ofi_8_3: -7.068049210381798e-08 , std 7.651980402979192e-06 
2023-05-09 05:51:11,137 INFO ofi_9_3: -4.017613114932042e-08 , std 6.512446583496452e-06 
2023-05-09 05:51:11,137 INFO ofi_10_3: -5.2527644088273265e-08 , std 5.476516399937931e-06 
2023-05-09 05:51:11,137 INFO ofi_1_5: -3.9211691908996076e-07 , std 1.382593387270042e-05 
2023-05-09 05:51:11,137 INFO ofi_2_5: -4.82691449440226e-07 , std 9.896520321805888e-06 
2023-05-09 05:51:11,137 INFO ofi_3_5: -6.78592221217176e-07 , std 1.0855825789795767e-05 
2023-05-09 05:51:11,137 INFO ofi_4_5: -7.820639046145017e-07 , std 1.0259061921783793e-05 
2023-05-09 05:51:11,137 INFO ofi_5_5: -5.975287542860239e-07 , std 1.0101171582748959e-05 
2023-05-09 05:51:11,137 INFO ofi_6_5: -3.291191979378645e-07 , std 9.346450990287148e-06 
2023-05-09 05:51:11,137 INFO ofi_7_5: -1.3649933808104027e-07 , std 6.865666163192195e-06 
2023-05-09 05:51:11,137 INFO ofi_8_5: -8.875103555547925e-08 , std 6.959596290152214e-06 
2023-05-09 05:51:11,137 INFO ofi_9_5: -6.262213805365737e-08 , std 6.914949027003562e-06 
2023-05-09 05:51:11,137 INFO ofi_10_5: -6.26330024430535e-08 , std 6.026954478766418e-06 
2023-05-09 05:51:11,137 INFO ofi_1_10: -7.728010259717984e-07 , std 1.5013817705895933e-05 
2023-05-09 05:51:11,137 INFO ofi_2_10: -6.997520838432974e-07 , std 1.2330764028392746e-05 
2023-05-09 05:51:11,138 INFO ofi_3_10: -8.576111172328453e-07 , std 1.1068841662721104e-05 
2023-05-09 05:51:11,138 INFO ofi_4_10: -1.0787886054796377e-06 , std 1.1235864763123109e-05 
2023-05-09 05:51:11,138 INFO ofi_5_10: -7.878024072722616e-07 , std 1.0877909159036254e-05 
2023-05-09 05:51:11,138 INFO ofi_6_10: -4.886116631598933e-07 , std 9.800080754752143e-06 
2023-05-09 05:51:11,138 INFO ofi_7_10: -2.2689152078839052e-07 , std 7.597489834300431e-06 
2023-05-09 05:51:11,138 INFO ofi_8_10: -1.3410030124480782e-07 , std 7.3054679195364835e-06 
2023-05-09 05:51:11,138 INFO ofi_9_10: -1.089890269994564e-07 , std 6.66241472053876e-06 
2023-05-09 05:51:11,138 INFO ofi_10_10: -7.375068577577748e-08 , std 6.004005382792052e-06 
2023-05-09 05:51:11,138 INFO ofi_1_20: -9.202335005083327e-07 , std 1.3629303829630838e-05 
2023-05-09 05:51:11,138 INFO ofi_2_20: -9.221563654028415e-07 , std 1.2320718476665563e-05 
2023-05-09 05:51:11,138 INFO ofi_3_20: -1.3818016819473393e-06 , std 1.2861219366707109e-05 
2023-05-09 05:51:11,138 INFO ofi_4_20: -1.4984516755414038e-06 , std 1.230670793798385e-05 
2023-05-09 05:51:11,138 INFO ofi_5_20: -1.0219234556318152e-06 , std 1.1708420519502724e-05 
2023-05-09 05:51:11,138 INFO ofi_6_20: -6.534436598510374e-07 , std 1.040145248861906e-05 
2023-05-09 05:51:11,138 INFO ofi_7_20: -2.6791982952285925e-07 , std 1.0010019488259003e-05 
2023-05-09 05:51:11,138 INFO ofi_8_20: -1.5189706860181258e-07 , std 7.417944704937851e-06 
2023-05-09 05:51:11,138 INFO ofi_9_20: -1.0241112424116937e-07 , std 6.773277068527337e-06 
2023-05-09 05:51:11,138 INFO ofi_10_20: -8.558668945607267e-08 , std 7.823230699185234e-06 
2023-05-09 05:51:11,138 INFO ofi_1_30: -1.1643005006007383e-06 , std 1.5392757316128544e-05 
2023-05-09 05:51:11,138 INFO ofi_2_30: -1.2600466383743212e-06 , std 1.3653988964542837e-05 
2023-05-09 05:51:11,138 INFO ofi_3_30: -1.630169516392092e-06 , std 1.3589138961531795e-05 
2023-05-09 05:51:11,138 INFO ofi_4_30: -1.7219488405696804e-06 , std 1.3138389494609603e-05 
2023-05-09 05:51:11,138 INFO ofi_5_30: -1.2765653613740506e-06 , std 1.2404822701328719e-05 
2023-05-09 05:51:11,138 INFO ofi_6_30: -8.285473204347013e-07 , std 1.1487317341535808e-05 
2023-05-09 05:51:11,138 INFO ofi_7_30: -3.3024315793010813e-07 , std 8.71117973562413e-06 
2023-05-09 05:51:11,138 INFO ofi_8_30: -1.9555614111838957e-07 , std 8.985842405212349e-06 
2023-05-09 05:51:11,138 INFO ofi_9_30: -1.346288419952017e-07 , std 8.416189748810843e-06 
2023-05-09 05:51:11,138 INFO ofi_10_30: -8.049585678979668e-08 , std 8.396141062294758e-06 
2023-05-09 05:51:11,138 INFO used_intercept: 0.9831163874492789 , std 0.12883538402922654 
2023-05-09 05:51:11,138 INFO used_ofi_1_1: 0.013167409907195372 , std 0.11399135591583806 
2023-05-09 05:51:11,138 INFO used_ofi_2_1: 0.006704230444739063 , std 0.08160443455402958 
2023-05-09 05:51:11,138 INFO used_ofi_3_1: 0.008647703989393758 , std 0.09259007076952463 
2023-05-09 05:51:11,138 INFO used_ofi_4_1: 0.010726768711582499 , std 0.10301313093286074 
2023-05-09 05:51:11,138 INFO used_ofi_5_1: 0.010154272628660962 , std 0.10025549050323272 
2023-05-09 05:51:11,138 INFO used_ofi_6_1: 0.006679120967417942 , std 0.08145250340241571 
2023-05-09 05:51:11,138 INFO used_ofi_7_1: 0.0029227431601783777 , std 0.05398333754593179 
2023-05-09 05:51:11,138 INFO used_ofi_8_1: 0.00176268530794263 , std 0.0419473270715524 
2023-05-09 05:51:11,138 INFO used_ofi_9_1: 0.001210276806877988 , std 0.03476797430004688 
2023-05-09 05:51:11,138 INFO used_ofi_10_1: 0.0010194447792374753 , std 0.03191246639762526 
2023-05-09 05:51:11,138 INFO used_ofi_1_2: 0.01779257562974569 , std 0.13219682251175882 
2023-05-09 05:51:11,138 INFO used_ofi_2_2: 0.008918886344461854 , std 0.09401776327288597 
2023-05-09 05:51:11,138 INFO used_ofi_3_2: 0.012037483427744968 , std 0.10905311742665469 
2023-05-09 05:51:11,138 INFO used_ofi_4_2: 0.015567875939094452 , std 0.1237962728753956 
2023-05-09 05:51:11,138 INFO used_ofi_5_2: 0.013318066771122091 , std 0.11463287429268283 
2023-05-09 05:51:11,138 INFO used_ofi_6_2: 0.00893897392631875 , std 0.09412262571487978 
2023-05-09 05:51:11,138 INFO used_ofi_7_2: 0.003605720943312844 , std 0.05993930029447957 
2023-05-09 05:51:11,138 INFO used_ofi_8_2: 0.0019384516491904704 , std 0.04398515720551901 
2023-05-09 05:51:11,138 INFO used_ofi_9_2: 0.0016270941304085814 , std 0.04030442525454706 
2023-05-09 05:51:11,138 INFO used_ofi_10_2: 0.0013860431481258287 , std 0.03720379056651838 
2023-05-09 05:51:11,138 INFO used_ofi_1_3: 0.02111707042706199 , std 0.14377461446180437 
2023-05-09 05:51:11,138 INFO used_ofi_2_3: 0.013061950102446667 , std 0.11354001744745272 
2023-05-09 05:51:11,138 INFO used_ofi_3_3: 0.018179261580490942 , std 0.1335993114835515 
2023-05-09 05:51:11,138 INFO used_ofi_4_3: 0.021036720099634407 , std 0.1435067124112459 
2023-05-09 05:51:11,138 INFO used_ofi_5_3: 0.01856594753123619 , std 0.1349861219663102 
2023-05-09 05:51:11,138 INFO used_ofi_6_3: 0.011274155317182918 , std 0.10557958485932285 
2023-05-09 05:51:11,138 INFO used_ofi_7_3: 0.004605078140693423 , std 0.06770429377824962 
2023-05-09 05:51:11,139 INFO used_ofi_8_3: 0.0024607287774697684 , std 0.049544662591983625 
2023-05-09 05:51:11,139 INFO used_ofi_9_3: 0.0016823349805150456 , std 0.04098176093737775 
