2023-05-09 05:57:39,788 INFO Starting...
2023-05-09 05:57:39,788 INFO Tickers: ['MA']
2023-05-09 05:58:58,656 INFO ofi_9_10: -2.8485238082061485e-07 , std 6.298813732534184e-06 
2023-05-09 05:58:58,656 INFO ofi_10_10: -2.975626478653377e-07 , std 6.2805964012425145e-06 
2023-05-09 05:58:58,656 INFO ofi_1_20: -6.184131672197937e-07 , std 9.966280577933148e-06 
2023-05-09 05:58:58,656 INFO ofi_2_20: -5.615046042703878e-07 , std 8.449683418272543e-06 
2023-05-09 05:58:58,656 INFO ofi_3_20: -6.802896941849196e-07 , std 8.199474400897872e-06 
2023-05-09 05:58:58,656 INFO ofi_4_20: -7.593170064436165e-07 , std 8.189739429364024e-06 
2023-05-09 05:58:58,656 INFO ofi_5_20: -8.146523055316261e-07 , std 8.019496150162337e-06 
2023-05-09 05:58:58,656 INFO ofi_6_20: -7.157480742820491e-07 , std 7.205198498729478e-06 
2023-05-09 05:58:58,656 INFO ofi_7_20: -5.908765802995463e-07 , std 7.259831319122184e-06 
2023-05-09 05:58:58,656 INFO ofi_8_20: -4.3945686403459547e-07 , std 7.243404421865178e-06 
2023-05-09 05:58:58,656 INFO ofi_9_20: -3.9072757606153234e-07 , std 6.636660501531111e-06 
2023-05-09 05:58:58,656 INFO ofi_10_20: -4.099609948521032e-07 , std 7.37245617160955e-06 
2023-05-09 05:58:58,656 INFO ofi_1_30: -6.6662599725915e-07 , std 1.0590689379211895e-05 
2023-05-09 05:58:58,656 INFO ofi_2_30: -6.054018720242092e-07 , std 8.986595822376949e-06 
2023-05-09 05:58:58,656 INFO ofi_3_30: -7.913320755041852e-07 , std 8.997949994590076e-06 
2023-05-09 05:58:58,656 INFO ofi_4_30: -9.318960556973325e-07 , std 9.457922630131721e-06 
2023-05-09 05:58:58,656 INFO ofi_5_30: -9.7265657241562e-07 , std 8.449562743725582e-06 
2023-05-09 05:58:58,656 INFO ofi_6_30: -8.741071088825185e-07 , std 8.17690350903671e-06 
2023-05-09 05:58:58,656 INFO ofi_7_30: -6.565175900024558e-07 , std 7.720082738094434e-06 
2023-05-09 05:58:58,656 INFO ofi_8_30: -5.392656961129565e-07 , std 7.4324324215376634e-06 
2023-05-09 05:58:58,656 INFO ofi_9_30: -4.094516923432631e-07 , std 6.26981916347246e-06 
2023-05-09 05:58:58,656 INFO ofi_10_30: -4.620101509674225e-07 , std 7.647443395525579e-06 
2023-05-09 05:58:58,656 INFO used_intercept: 0.9876963561126512 , std 0.11023730872278288 
2023-05-09 05:58:58,656 INFO used_ofi_1_1: 0.007347033064159737 , std 0.08539938038015193 
2023-05-09 05:58:58,656 INFO used_ofi_2_1: 0.005509019324253747 , std 0.07401803854695654 
2023-05-09 05:58:58,656 INFO used_ofi_3_1: 0.006016230766140372 , std 0.07733069076058299 
2023-05-09 05:58:58,656 INFO used_ofi_4_1: 0.006895062472379575 , std 0.0827497467420992 
2023-05-09 05:58:58,656 INFO used_ofi_5_1: 0.007834156924189466 , std 0.08816338757940646 
2023-05-09 05:58:58,656 INFO used_ofi_6_1: 0.008903820658069182 , std 0.0939390368045049 
2023-05-09 05:58:58,656 INFO used_ofi_7_1: 0.007090916395484312 , std 0.08390849361153235 
2023-05-09 05:58:58,656 INFO used_ofi_8_1: 0.004931501345867984 , std 0.07005127864888468 
2023-05-09 05:58:58,656 INFO used_ofi_9_1: 0.00470049415451368 , std 0.06839882681170095 
2023-05-09 05:58:58,656 INFO used_ofi_10_1: 0.005252902655578321 , std 0.07228630346939412 
2023-05-09 05:58:58,656 INFO used_ofi_1_2: 0.010520870997549316 , std 0.10203030074934723 
2023-05-09 05:58:58,656 INFO used_ofi_2_2: 0.00840163111164678 , std 0.09127455125231014 
2023-05-09 05:58:58,656 INFO used_ofi_3_2: 0.007924551042545499 , std 0.08866652431058517 
2023-05-09 05:58:58,656 INFO used_ofi_4_2: 0.010194447792374753 , std 0.10045158548566217 
2023-05-09 05:58:58,656 INFO used_ofi_5_2: 0.011013016753043269 , std 0.10436345248716361 
2023-05-09 05:58:58,656 INFO used_ofi_6_2: 0.011188783094291109 , std 0.10518362147768072 
2023-05-09 05:58:58,656 INFO used_ofi_7_2: 0.008873689285283837 , std 0.09378137834214251 
2023-05-09 05:58:58,656 INFO used_ofi_8_2: 0.007286770318589048 , std 0.08505100409115214 
2023-05-09 05:58:58,656 INFO used_ofi_9_2: 0.005935880438712788 , std 0.07681566091709488 
2023-05-09 05:58:58,656 INFO used_ofi_10_2: 0.006468201357920533 , std 0.08016460396655077 
2023-05-09 05:58:58,656 INFO used_ofi_1_3: 0.0146790004419268 , std 0.12026440615557336 
2023-05-09 05:58:58,656 INFO used_ofi_2_3: 0.010480695833835523 , std 0.10183737451777784 
2023-05-09 05:58:58,656 INFO used_ofi_3_3: 0.011304286689968262 , std 0.10571896609596249 
2023-05-09 05:58:58,656 INFO used_ofi_4_3: 0.01322767265276606 , std 0.11424841937181156 
2023-05-09 05:58:58,656 INFO used_ofi_5_3: 0.015306737374954802 , std 0.12276987075780832 
2023-05-09 05:58:58,656 INFO used_ofi_6_3: 0.01530171547949058 , std 0.1227500427000956 
2023-05-09 05:58:58,656 INFO used_ofi_7_3: 0.012057571009601864 , std 0.10914296125243385 
2023-05-09 05:58:58,657 INFO used_ofi_8_3: 0.009144871640351935 , std 0.09519056131273426 
2023-05-09 05:58:58,657 INFO used_ofi_9_3: 0.007964726206259291 , std 0.08888919699670268 
2023-05-09 05:58:58,657 INFO used_ofi_10_3: 0.008532200393716605 , std 0.09197500720390331 
2023-05-09 05:58:58,657 INFO used_ofi_1_5: 0.022337391024868425 , std 0.14777832042309372 
2023-05-09 05:58:58,657 INFO used_ofi_2_5: 0.016346269736049173 , std 0.12680326968089384 
2023-05-09 05:58:58,657 INFO used_ofi_3_5: 0.0176268530794263 , std 0.1315908322412417 
2023-05-09 05:58:58,657 INFO used_ofi_4_5: 0.021373187095737416 , std 0.14462494241695661 
2023-05-09 05:58:58,657 INFO used_ofi_5_5: 0.024039813587240368 , std 0.1531727813612167 
2023-05-09 05:58:58,657 INFO used_ofi_6_5: 0.0241302077055964 , std 0.15345338308972267 
2023-05-09 05:58:58,657 INFO used_ofi_7_5: 0.017872925957173276 , std 0.13248956364522707 
