2023-05-09 07:09:35,197 INFO Starting...
2023-05-09 07:09:35,197 INFO Tickers: ['UPS']
2023-05-09 07:10:52,523 INFO ofi_9_10: -3.002628886968538e-07 , std 7.483441345822444e-06 
2023-05-09 07:10:52,523 INFO ofi_10_10: -2.2626733371809716e-07 , std 8.26057221519045e-06 
2023-05-09 07:10:52,523 INFO ofi_1_20: -6.253506827300266e-07 , std 1.1496247603026957e-05 
2023-05-09 07:10:52,523 INFO ofi_2_20: -7.64664333497883e-07 , std 1.0814172402736945e-05 
2023-05-09 07:10:52,523 INFO ofi_3_20: -9.254943927799541e-07 , std 1.032056201610976e-05 
2023-05-09 07:10:52,523 INFO ofi_4_20: -1.1672178694694665e-06 , std 1.0219042425406033e-05 
2023-05-09 07:10:52,523 INFO ofi_5_20: -1.0988790291429868e-06 , std 1.0151467056501823e-05 
2023-05-09 07:10:52,523 INFO ofi_6_20: -9.092515024783065e-07 , std 9.51251915744809e-06 
2023-05-09 07:10:52,523 INFO ofi_7_20: -6.452140066757267e-07 , std 9.170484409085881e-06 
2023-05-09 07:10:52,523 INFO ofi_8_20: -4.4011046166648747e-07 , std 7.843417447153262e-06 
2023-05-09 07:10:52,524 INFO ofi_9_20: -3.313333209728822e-07 , std 7.817393937169845e-06 
2023-05-09 07:10:52,524 INFO ofi_10_20: -3.4301328250456884e-07 , std 8.685982191818883e-06 
2023-05-09 07:10:52,524 INFO ofi_1_30: -6.714631381785679e-07 , std 1.2256263118834857e-05 
2023-05-09 07:10:52,524 INFO ofi_2_30: -8.264813081567711e-07 , std 1.0718526834494802e-05 
2023-05-09 07:10:52,524 INFO ofi_3_30: -1.171641740190966e-06 , std 1.09911836865741e-05 
2023-05-09 07:10:52,524 INFO ofi_4_30: -1.5064610649561758e-06 , std 1.1043675341156901e-05 
2023-05-09 07:10:52,524 INFO ofi_5_30: -1.4856400913699699e-06 , std 1.1038687337930682e-05 
2023-05-09 07:10:52,524 INFO ofi_6_30: -1.1683138042719304e-06 , std 1.0571475918081739e-05 
2023-05-09 07:10:52,524 INFO ofi_7_30: -7.171070310954386e-07 , std 8.981645905818237e-06 
2023-05-09 07:10:52,524 INFO ofi_8_30: -4.927513568102491e-07 , std 8.47368881313624e-06 
