2023-05-09 06:15:48,714 INFO Starting...
2023-05-09 06:15:48,714 INFO Tickers: ['WMT']
2023-05-09 06:17:06,083 INFO ofi_7_20: -3.9200721379811127e-07 , std 9.706590435081149e-06 
2023-05-09 06:17:06,083 INFO ofi_8_20: -1.7450889876463855e-07 , std 6.836091501187906e-06 
2023-05-09 06:17:06,083 INFO ofi_9_20: -1.5023797993618208e-07 , std 6.9925852491505245e-06 
2023-05-09 06:17:06,083 INFO ofi_10_20: -1.0073241362170303e-07 , std 8.119018633309122e-06 
2023-05-09 06:17:06,083 INFO ofi_1_30: -9.723069851926276e-07 , std 1.4466602967985329e-05 
2023-05-09 06:17:06,083 INFO ofi_2_30: -1.2813886217709794e-06 , std 1.3818325246204371e-05 
2023-05-09 06:17:06,083 INFO ofi_3_30: -1.3670718745784937e-06 , std 1.2494780029624215e-05 
2023-05-09 06:17:06,083 INFO ofi_4_30: -1.941287586168532e-06 , std 1.3650571684998743e-05 
2023-05-09 06:17:06,083 INFO ofi_5_30: -1.4986696412779846e-06 , std 1.3249042705555795e-05 
2023-05-09 06:17:06,083 INFO ofi_6_30: -9.868172356535672e-07 , std 1.2494304185648037e-05 
2023-05-09 06:17:06,083 INFO ofi_7_30: -4.1979892819867863e-07 , std 9.362305014136267e-06 
2023-05-09 06:17:06,083 INFO ofi_8_30: -1.5962877359996093e-07 , std 8.004169712345443e-06 
2023-05-09 06:17:06,083 INFO ofi_9_30: -1.5010777073776696e-07 , std 9.197458204268353e-06 
2023-05-09 06:17:06,083 INFO ofi_10_30: -1.0448445501950747e-07 , std 8.334345987549922e-06 
2023-05-09 06:17:06,083 INFO used_intercept: 0.9854164155718934 , std 0.1198787032518071 
2023-05-09 06:17:06,083 INFO used_ofi_1_1: 0.010330038969908802 , std 0.1011104804893586 
2023-05-09 06:17:06,083 INFO used_ofi_2_1: 0.006257281748423125 , std 0.07885510873458977 
2023-05-09 06:17:06,083 INFO used_ofi_3_1: 0.008798360853320477 , std 0.09338602518372452 
2023-05-09 06:17:06,083 INFO used_ofi_4_1: 0.012233337350849706 , std 0.1099258059243143 
2023-05-09 06:17:06,083 INFO used_ofi_5_1: 0.010480695833835523 , std 0.10183737451777786 
2023-05-09 06:17:06,083 INFO used_ofi_6_1: 0.007517777509943353 , std 0.08637858838424221 
2023-05-09 06:17:06,083 INFO used_ofi_7_1: 0.0035052830340283636 , std 0.05910157379359468 
2023-05-09 06:17:06,083 INFO used_ofi_8_1: 0.0016873568759792697 , std 0.04104277893554913 
2023-05-09 06:17:06,083 INFO used_ofi_9_1: 0.0014011088345185006 , std 0.037405156443361315 
2023-05-09 06:17:06,083 INFO used_ofi_10_1: 0.0014161745209111728 , std 0.03760543804607912 
2023-05-09 06:17:06,083 INFO used_ofi_1_2: 0.013528986380619501 , std 0.11552468527605912 
2023-05-09 06:17:06,083 INFO used_ofi_2_2: 0.00865272588485798 , std 0.09261671673957943 
2023-05-09 06:17:06,083 INFO used_ofi_3_2: 0.012660198465308746 , std 0.11180303144426693 
2023-05-09 06:17:06,083 INFO used_ofi_4_2: 0.016547145554618135 , std 0.12756699231624305 
2023-05-09 06:17:06,084 INFO used_ofi_5_2: 0.015648226266522035 , std 0.12411027065168201 
2023-05-09 06:17:06,084 INFO used_ofi_6_2: 0.010641396488690691 , std 0.10260680859212594 
2023-05-09 06:17:06,084 INFO used_ofi_7_2: 0.004494596440480495 , std 0.06689091898993252 
2023-05-09 06:17:06,084 INFO used_ofi_8_2: 0.0024506849865413203 , std 0.04944369656122063 
2023-05-09 06:17:06,084 INFO used_ofi_9_2: 0.0016773130850508216 , std 0.04092065133725927 
2023-05-09 06:17:06,084 INFO used_ofi_10_2: 0.0014211964163753966 , std 0.03767196062221183 
2023-05-09 06:17:06,084 INFO used_ofi_1_3: 0.01681330601422201 , std 0.12857145388885566 
2023-05-09 06:17:06,084 INFO used_ofi_2_3: 0.011776344863605319 , std 0.10787799852267725 
2023-05-09 06:17:06,084 INFO used_ofi_3_3: 0.016848459282471577 , std 0.12870349141448523 
2023-05-09 06:17:06,084 INFO used_ofi_4_3: 0.02390422240970632 , std 0.15275081198047233 
2023-05-09 06:17:06,084 INFO used_ofi_5_3: 0.020248282511751235 , std 0.14084846313352356 
2023-05-09 06:17:06,084 INFO used_ofi_6_3: 0.013333132457514765 , std 0.11469681789999725 
2023-05-09 06:17:06,084 INFO used_ofi_7_3: 0.005574303965288659 , std 0.07445287839023568 
2023-05-09 06:17:06,084 INFO used_ofi_8_3: 0.002977984010284842 , std 0.05448959186412877 
2023-05-09 06:17:06,084 INFO used_ofi_9_3: 0.00235024707725684 , std 0.04842234418047814 
2023-05-09 06:17:06,084 INFO used_ofi_10_3: 0.001797838576192198 , std 0.04236279443858907 
2023-05-09 06:17:06,084 INFO used_ofi_1_5: 0.026043549877465752 , std 0.1592648215622198 
2023-05-09 06:17:06,084 INFO used_ofi_2_5: 0.018023582821099997 , std 0.13303658625878426 
2023-05-09 06:17:06,084 INFO used_ofi_3_5: 0.02717849825238038 , std 0.16260328251645395 
2023-05-09 06:17:06,084 INFO used_ofi_4_5: 0.036263107147161626 , std 0.18694409380131563 
2023-05-09 06:17:06,084 INFO used_ofi_5_5: 0.027625446948696317 , std 0.16389716785100678 
2023-05-09 06:17:06,084 INFO used_ofi_6_5: 0.01950504198304608 , std 0.1382917037290585 
2023-05-09 06:17:06,084 INFO used_ofi_7_5: 0.008316258888754972 , std 0.09081353823549755 
2023-05-09 06:17:06,084 INFO used_ofi_8_5: 0.0036910931662046524 , std 0.06064213879344173 
2023-05-09 06:17:06,084 INFO used_ofi_9_5: 0.0024607287774697684 , std 0.04954466259198362 
2023-05-09 06:17:06,084 INFO used_ofi_10_5: 0.0021795026314732234 , std 0.04663424063660333 
2023-05-09 06:17:06,084 INFO used_ofi_1_10: 0.0340836045156884 , std 0.18144396495586881 
2023-05-09 06:17:06,084 INFO used_ofi_2_10: 0.028197943031617854 , std 0.16553796857640693 
2023-05-09 06:17:06,084 INFO used_ofi_3_10: 0.04176208268048692 , std 0.20004502275906566 
2023-05-09 06:17:06,084 INFO used_ofi_4_10: 0.05647121449519907 , std 0.23082940980004324 
