2023-05-09 06:54:33,283 INFO Starting...
2023-05-09 06:54:33,283 INFO Tickers: ['GE']
2023-05-09 06:55:46,521 INFO in_r2: 0.08704170540052829 , std 0.15968944165560384 
2023-05-09 06:55:46,521 INFO os_r2: -0.10258443694619229 , std 0.045981622434591043 
2023-05-09 06:55:46,521 INFO intercept: -3.4565664853523263e-06 , std 0.000358894689867203 
2023-05-09 06:55:46,521 INFO ofi_1_1: 5.80734094144121e-07 , std 7.482208901866983e-05 
2023-05-09 06:55:46,521 INFO ofi_2_1: -1.7944711691008342e-06 , std 6.697281022957906e-05 
2023-05-09 06:55:46,521 INFO ofi_3_1: -9.764576104253112e-07 , std 5.422985648872078e-05 
2023-05-09 06:55:46,521 INFO ofi_4_1: -5.764211873090971e-07 , std 4.5044275116936425e-05 
2023-05-09 06:55:46,521 INFO ofi_5_1: -3.0835304733458905e-07 , std 4.36903804792967e-05 
2023-05-09 06:55:46,521 INFO ofi_6_1: -5.184578354098189e-07 , std 6.020123650061963e-05 
2023-05-09 06:55:46,521 INFO ofi_7_1: -5.726295845191754e-07 , std 5.123962856881409e-05 
2023-05-09 06:55:46,521 INFO ofi_8_1: -5.14774248595627e-07 , std 5.149229052924682e-05 
2023-05-09 06:55:46,521 INFO ofi_9_1: -2.9685835573899446e-07 , std 3.596053544007318e-05 
2023-05-09 06:55:46,521 INFO ofi_10_1: -1.2852432736332905e-07 , std 4.74710929198701e-05 
2023-05-09 06:55:46,521 INFO ofi_1_2: -4.131889358428168e-07 , std 7.514677663462849e-05 
2023-05-09 06:55:46,521 INFO ofi_2_2: -2.7445423007765067e-06 , std 6.578738939407857e-05 
2023-05-09 06:55:46,521 INFO ofi_3_2: -1.0117530637523648e-06 , std 5.302180740288263e-05 
2023-05-09 06:55:46,521 INFO ofi_4_2: -8.214244590386962e-07 , std 5.3960019902826354e-05 
2023-05-09 06:55:46,521 INFO ofi_5_2: -8.407106258608234e-07 , std 5.8743021550510525e-05 
2023-05-09 06:55:46,521 INFO ofi_6_2: -7.944276023114925e-07 , std 5.887951215261997e-05 
2023-05-09 06:55:46,521 INFO ofi_7_2: -7.323231576437198e-07 , std 4.8788842561139986e-05 
2023-05-09 06:55:46,521 INFO ofi_8_2: -7.235663963710644e-07 , std 4.155634408615594e-05 
2023-05-09 06:55:46,521 INFO ofi_9_2: -5.060195304419703e-07 , std 4.606992262998981e-05 
2023-05-09 06:55:46,521 INFO ofi_10_2: -3.930013461861988e-07 , std 4.6669875526853894e-05 
2023-05-09 06:55:46,521 INFO ofi_1_3: -9.3414200161212e-07 , std 7.383299015882702e-05 
2023-05-09 06:55:46,521 INFO ofi_2_3: -2.0361156952397287e-06 , std 6.616081573194932e-05 
2023-05-09 06:55:46,521 INFO ofi_3_3: -1.5904841719235873e-06 , std 5.554236043602449e-05 
2023-05-09 06:55:46,521 INFO ofi_4_3: -1.004810492859705e-06 , std 5.6655515956813026e-05 
2023-05-09 06:55:46,521 INFO ofi_5_3: -9.848801264359045e-07 , std 5.273238916519114e-05 
2023-05-09 06:55:46,521 INFO ofi_6_3: -8.895250207798568e-07 , std 5.772927956782898e-05 
2023-05-09 06:55:46,521 INFO ofi_7_3: -7.787048196984981e-07 , std 4.661948711522299e-05 
2023-05-09 06:55:46,521 INFO ofi_8_3: -3.825428844351013e-07 , std 4.480370627194941e-05 
2023-05-09 06:55:46,521 INFO ofi_9_3: -4.702786066560816e-07 , std 4.475255637293492e-05 
2023-05-09 06:55:46,521 INFO ofi_10_3: -6.486813544126722e-07 , std 5.3059057123470594e-05 
2023-05-09 06:55:46,521 INFO ofi_1_5: -3.0700928834953387e-06 , std 7.591268895562996e-05 
2023-05-09 06:55:46,521 INFO ofi_2_5: -2.586295822802815e-06 , std 6.559925482528402e-05 
2023-05-09 06:55:46,521 INFO ofi_3_5: -1.7437274453486494e-06 , std 6.7842812464306e-05 
2023-05-09 06:55:46,521 INFO ofi_4_5: -1.135545554180168e-06 , std 5.054033208798712e-05 
2023-05-09 06:55:46,521 INFO ofi_5_5: -1.3497417385515745e-06 , std 5.471722328019599e-05 
2023-05-09 06:55:46,521 INFO ofi_6_5: -1.3628944824497497e-06 , std 6.189573224200995e-05 
2023-05-09 06:55:46,522 INFO ofi_7_5: -1.0380145752647292e-06 , std 6.005112468282155e-05 
2023-05-09 06:55:46,522 INFO ofi_8_5: -9.406110125189206e-07 , std 5.889315959098482e-05 
2023-05-09 06:55:46,522 INFO ofi_9_5: -5.205059289682653e-07 , std 5.579172518499901e-05 
2023-05-09 06:55:46,522 INFO ofi_10_5: -6.792481966998755e-07 , std 4.90130470810788e-05 
2023-05-09 06:55:46,522 INFO ofi_1_10: -6.245046771239814e-06 , std 7.971770690112089e-05 
2023-05-09 06:55:46,522 INFO ofi_2_10: -2.8661716510134068e-06 , std 7.095746434006774e-05 
2023-05-09 06:55:46,522 INFO ofi_3_10: -2.190367020045279e-06 , std 6.259484402630001e-05 
2023-05-09 06:55:46,522 INFO ofi_4_10: -1.7240310412491054e-06 , std 6.519854484953784e-05 
2023-05-09 06:55:46,522 INFO ofi_5_10: -1.73457569546312e-06 , std 6.587877871164578e-05 
2023-05-09 06:55:46,522 INFO ofi_6_10: -1.2307949707068508e-06 , std 5.718834581912689e-05 
2023-05-09 06:55:46,522 INFO ofi_7_10: -1.2749931879617149e-06 , std 5.5952532547901735e-05 
2023-05-09 06:55:46,522 INFO ofi_8_10: -1.0345876640254942e-06 , std 6.284918572646697e-05 
2023-05-09 06:55:46,522 INFO ofi_9_10: -9.115402153274341e-07 , std 4.787334274614973e-05 
2023-05-09 06:55:46,522 INFO ofi_10_10: -4.667669792635808e-07 , std 4.354247148028875e-05 
2023-05-09 06:55:46,522 INFO ofi_1_20: -1.0526723449174418e-05 , std 8.656082362268432e-05 
2023-05-09 06:55:46,522 INFO ofi_2_20: -3.4865554723864715e-06 , std 7.615254962702205e-05 
2023-05-09 06:55:46,522 INFO ofi_3_20: -2.8414845771014594e-06 , std 6.766482918183559e-05 
2023-05-09 06:55:46,522 INFO ofi_4_20: -1.817204655866301e-06 , std 6.445857840901812e-05 
2023-05-09 06:55:46,522 INFO ofi_5_20: -1.6489301909883418e-06 , std 6.682739133672655e-05 
2023-05-09 06:55:46,522 INFO ofi_6_20: -2.0113128427692655e-06 , std 6.847108891877698e-05 
2023-05-09 06:55:46,522 INFO ofi_7_20: -1.1198794111443059e-06 , std 5.6336301057973395e-05 
2023-05-09 06:55:46,522 INFO ofi_8_20: -1.4960167508993024e-06 , std 7.006627254282596e-05 
2023-05-09 06:55:46,522 INFO ofi_9_20: -1.2683923026516149e-06 , std 6.170552198280498e-05 
2023-05-09 06:55:46,522 INFO ofi_10_20: -1.0800159551736686e-06 , std 6.43858487994385e-05 
2023-05-09 06:55:46,522 INFO ofi_1_30: -1.487035745883266e-05 , std 9.638061733849079e-05 
2023-05-09 06:55:46,522 INFO ofi_2_30: -5.30038599144654e-06 , std 8.367099272798508e-05 
2023-05-09 06:55:46,522 INFO ofi_3_30: -3.775307547459073e-06 , std 7.453336148300977e-05 
2023-05-09 06:55:46,522 INFO ofi_4_30: -3.015169723231247e-06 , std 7.050838295488045e-05 
2023-05-09 06:55:46,522 INFO ofi_5_30: -2.430667744659658e-06 , std 7.505762631076293e-05 
2023-05-09 06:55:46,522 INFO ofi_6_30: -2.5172055553388608e-06 , std 7.341650363467364e-05 
2023-05-09 06:55:46,522 INFO ofi_7_30: -1.95613958997285e-06 , std 6.434410613382028e-05 
2023-05-09 06:55:46,522 INFO ofi_8_30: -2.3642682498920564e-06 , std 7.831864143460658e-05 
2023-05-09 06:55:46,522 INFO ofi_9_30: -1.5490539735505669e-06 , std 5.664329132938747e-05 
2023-05-09 06:55:46,522 INFO ofi_10_30: -1.506708788185144e-06 , std 6.480209926035132e-05 
2023-05-09 06:55:46,522 INFO used_intercept: 0.9461964826984471 , std 0.22562956106754797 
2023-05-09 06:55:46,522 INFO used_ofi_1_1: 0.049097979089859134 , std 0.216072597844222 
2023-05-09 06:55:46,522 INFO used_ofi_2_1: 0.006929699359986282 , std 0.08295588361753786 
2023-05-09 06:55:46,522 INFO used_ofi_3_1: 0.004130584989686146 , std 0.06413675434046477 
2023-05-09 06:55:46,522 INFO used_ofi_4_1: 0.002965548197723387 , std 0.05437603995888599 
2023-05-09 06:55:46,522 INFO used_ofi_5_1: 0.002723462630562294 , std 0.05211569228037006 
2023-05-09 06:55:46,522 INFO used_ofi_6_1: 0.0024359860195584965 , std 0.04929555752470006 
2023-05-09 06:55:46,522 INFO used_ofi_7_1: 0.0023905949757157914 , std 0.04883523350387375 
2023-05-09 06:55:46,522 INFO used_ofi_8_1: 0.0022392914962401085 , std 0.04726814011398137 
