2023-05-09 06:55:47,144 INFO Starting...
2023-05-09 06:55:47,145 INFO Tickers: ['CVS']
2023-05-09 06:57:04,923 INFO ofi_6_20: -1.068556313481657e-06 , std 1.5677960466805487e-05 
2023-05-09 06:57:04,923 INFO ofi_7_20: -5.598592767610871e-07 , std 1.2912798269873891e-05 
2023-05-09 06:57:04,923 INFO ofi_8_20: -4.956449837969192e-07 , std 1.392729096511458e-05 
2023-05-09 06:57:04,923 INFO ofi_9_20: -3.127974332805735e-07 , std 1.1297114648285352e-05 
2023-05-09 06:57:04,923 INFO ofi_10_20: -3.6520306306594713e-07 , std 1.245231131632858e-05 
2023-05-09 06:57:04,923 INFO ofi_1_30: -1.9763856291491694e-06 , std 2.1286831566253108e-05 
2023-05-09 06:57:04,923 INFO ofi_2_30: -1.6785297709992248e-06 , std 1.698405989925181e-05 
2023-05-09 06:57:04,923 INFO ofi_3_30: -1.918254655711027e-06 , std 1.64434488459224e-05 
2023-05-09 06:57:04,923 INFO ofi_4_30: -1.9884071801001486e-06 , std 1.6646223876269285e-05 
2023-05-09 06:57:04,923 INFO ofi_5_30: -1.6056615376085907e-06 , std 1.547591457834329e-05 
2023-05-09 06:57:04,923 INFO ofi_6_30: -1.0649972298001638e-06 , std 1.4115707415257674e-05 
2023-05-09 06:57:04,923 INFO ofi_7_30: -6.739330548377674e-07 , std 1.3886639290905658e-05 
2023-05-09 06:57:04,923 INFO ofi_8_30: -5.115355618866874e-07 , std 1.172325295824412e-05 
2023-05-09 06:57:04,923 INFO ofi_9_30: -5.040906135703438e-07 , std 1.2968739782724524e-05 
2023-05-09 06:57:04,923 INFO ofi_10_30: -3.375966546331057e-07 , std 1.2050469085428661e-05 
2023-05-09 06:57:04,923 INFO used_intercept: 0.9900415812944438 , std 0.09929374906025583 
2023-05-09 06:57:04,923 INFO used_ofi_1_1: 0.017546502751998715 , std 0.13129593669711492 
2023-05-09 06:57:04,923 INFO used_ofi_2_1: 0.007547908882728697 , std 0.08655020481909169 
2023-05-09 06:57:04,923 INFO used_ofi_3_1: 0.008019967056365755 , std 0.08919443471865586 
2023-05-09 06:57:04,923 INFO used_ofi_4_1: 0.008180667711220923 , std 0.09007632534145425 
2023-05-09 06:57:04,923 INFO used_ofi_5_1: 0.0075679964645855935 , std 0.08666442115480616 
2023-05-09 06:57:04,923 INFO used_ofi_6_1: 0.005182596119079185 , std 0.07180345964189813 
2023-05-09 06:57:04,923 INFO used_ofi_7_1: 0.0031889036197822506 , std 0.05638026705759728 
2023-05-09 06:57:04,923 INFO used_ofi_8_1: 0.002410509822827528 , std 0.049037733075883314 
2023-05-09 06:57:04,923 INFO used_ofi_9_1: 0.002470772568398216 , std 0.04964542125225111 
2023-05-09 06:57:04,923 INFO used_ofi_10_1: 0.002762042505323209 , std 0.05248250781471858 
2023-05-09 06:57:04,923 INFO used_ofi_1_2: 0.02346731750431883 , std 0.1513823058136925 
2023-05-09 06:57:04,923 INFO used_ofi_2_2: 0.011203848780683782 , std 0.10525361064202665 
2023-05-09 06:57:04,923 INFO used_ofi_3_2: 0.011148607930577318 , std 0.10499674505329958 
2023-05-09 06:57:04,923 INFO used_ofi_4_2: 0.011379615121931622 , std 0.1060665804181898 
2023-05-09 06:57:04,923 INFO used_ofi_5_2: 0.011228958258004901 , std 0.10537015115508225 
2023-05-09 06:57:04,924 INFO used_ofi_6_2: 0.007291792214053273 , std 0.08508009156295229 
2023-05-09 06:57:04,924 INFO used_ofi_7_2: 0.004117954280663694 , std 0.06403902508007174 
2023-05-09 06:57:04,924 INFO used_ofi_8_2: 0.003289341529066731 , std 0.05725837721566939 
2023-05-09 06:57:04,924 INFO used_ofi_9_2: 0.0024958820457193364 , std 0.049896418894878544 
2023-05-09 06:57:04,924 INFO used_ofi_10_2: 0.0028825679964645857 , std 0.0536121142859554 
2023-05-09 06:57:04,924 INFO used_ofi_1_3: 0.02977984010284842 , std 0.16997941412505574 
2023-05-09 06:57:04,924 INFO used_ofi_2_3: 0.015095817765457395 , std 0.12193413817077439 
2023-05-09 06:57:04,924 INFO used_ofi_3_3: 0.01521634325659877 , std 0.12241244280912024 
2023-05-09 06:57:04,924 INFO used_ofi_4_3: 0.016125306335623316 , std 0.125957456433534 
2023-05-09 06:57:04,924 INFO used_ofi_5_3: 0.01310212526616046 , std 0.11371217867788086 
2023-05-09 06:57:04,924 INFO used_ofi_6_3: 0.009144871640351935 , std 0.09519056131273425 
2023-05-09 06:57:04,924 INFO used_ofi_7_3: 0.005529106906110642 , std 0.07415211313867894 
2023-05-09 06:57:04,924 INFO used_ofi_8_3: 0.004102888594271022 , std 0.06392225668305228 
2023-05-09 06:57:04,924 INFO used_ofi_9_3: 0.0036458961070266363 , std 0.060271083851241664 
2023-05-09 06:57:04,924 INFO used_ofi_10_3: 0.0037664215981680123 , std 0.06125549499035059 
2023-05-09 06:57:04,924 INFO used_ofi_1_5: 0.045578723233297175 , std 0.20856966035768404 
2023-05-09 06:57:04,924 INFO used_ofi_2_5: 0.024371258687879153 , std 0.1541988989514764 
2023-05-09 06:57:04,924 INFO used_ofi_3_5: 0.02575227994054076 , std 0.15839539140519454 
2023-05-09 06:57:04,924 INFO used_ofi_4_5: 0.026565827005745047 , std 0.16081070810504464 
2023-05-09 06:57:04,924 INFO used_ofi_5_5: 0.01966574263790125 , std 0.13884884300706676 
2023-05-09 06:57:04,924 INFO used_ofi_6_5: 0.013604314812582861 , std 0.11584143227301275 
2023-05-09 06:57:04,924 INFO used_ofi_7_5: 0.007578040255514042 , std 0.08672147116717896 
2023-05-09 06:57:04,924 INFO used_ofi_8_5: 0.005654654292716243 , std 0.07498452625406196 
2023-05-09 06:57:04,924 INFO used_ofi_9_5: 0.005112289582580049 , std 0.07131727755462833 
2023-05-09 06:57:04,924 INFO used_ofi_10_5: 0.004549837290586959 , std 0.06729885787452966 
2023-05-09 06:57:04,924 INFO used_ofi_1_10: 0.06410449560081957 , std 0.24493899086218202 
2023-05-09 06:57:04,924 INFO used_ofi_2_10: 0.035052830340283635 , std 0.18391337478666125 
2023-05-09 06:57:04,924 INFO used_ofi_3_10: 0.03942187939415853 , std 0.19459649230957615 
2023-05-09 06:57:04,924 INFO used_ofi_4_10: 0.03774456630910771 , std 0.19057784242467715 
2023-05-09 06:57:04,924 INFO used_ofi_5_10: 0.029297738138282913 , std 0.1686397956541205 
2023-05-09 06:57:04,924 INFO used_ofi_6_10: 0.01898778675023101 , std 0.13648168633395014 
2023-05-09 06:57:04,924 INFO used_ofi_7_10: 0.010761921979832069 , std 0.10317995452185506 
2023-05-09 06:57:04,924 INFO used_ofi_8_10: 0.007658390582941626 , std 0.08717648557163069 
2023-05-09 06:57:04,924 INFO used_ofi_9_10: 0.00602627455706882 , std 0.07739482264358286 
2023-05-09 06:57:04,924 INFO used_ofi_10_10: 0.0063727853441002775 , std 0.07957495178169005 
2023-05-09 06:57:04,924 INFO used_ofi_1_20: 0.08404142059378893 , std 0.2774499238031375 
2023-05-09 06:57:04,924 INFO used_ofi_2_20: 0.04934514483146519 , std 0.21658763010159865 
2023-05-09 06:57:04,924 INFO used_ofi_3_20: 0.05320196054798923 , std 0.22443598628972009 
2023-05-09 06:57:04,924 INFO used_ofi_4_20: 0.052117231127716844 , std 0.22226341432475338 
2023-05-09 06:57:04,924 INFO used_ofi_5_20: 0.03785504800932064 , std 0.19084560081262728 
2023-05-09 06:57:04,924 INFO used_ofi_6_20: 0.027645534530553212 , std 0.16395505161803708 
2023-05-09 06:57:04,924 INFO used_ofi_7_20: 0.014995379856172913 , std 0.12153402173524086 
2023-05-09 06:57:04,924 INFO used_ofi_8_20: 0.01049073962476397 , std 0.10188564180928232 
2023-05-09 06:57:04,924 INFO used_ofi_9_20: 0.008592463139287293 , std 0.09229643934891141 
2023-05-09 06:57:04,924 INFO used_ofi_10_20: 0.008185689606685148 , std 0.09010374072339147 
2023-05-09 06:57:04,924 INFO used_ofi_1_30: 0.09135832228516332 , std 0.2881179953324741 
2023-05-09 06:57:04,924 INFO used_ofi_2_30: 0.05831425013056928 , std 0.23433672004677095 
2023-05-09 06:57:04,924 INFO used_ofi_3_30: 0.0610160298903218 , std 0.23935971671679668 
2023-05-09 06:57:04,924 INFO used_ofi_4_30: 0.062246394279056684 , std 0.24160252622502296 
2023-05-09 06:57:04,924 INFO used_ofi_5_30: 0.046603189907998874 , std 0.21078741091060887 
2023-05-09 06:57:04,924 INFO used_ofi_6_30: 0.031025270177975975 , std 0.1733859936337407 
2023-05-09 06:57:04,924 INFO used_ofi_7_30: 0.01846550962195171 , std 0.13462739162723653 
2023-05-09 06:57:04,924 INFO used_ofi_8_30: 0.012981599775019084 , std 0.11319486667822136 
2023-05-09 06:57:04,924 INFO used_ofi_9_30: 0.01096279779840103 , std 0.10412787745283393 
2023-05-09 06:57:04,924 INFO used_ofi_10_30: 0.008984170985496765 , std 0.09435812448962795 
2023-05-09 06:57:05,554 INFO Grouping by horizont:
2023-05-09 06:57:05,554 INFO 1: 0.06487786750231007
2023-05-09 06:57:05,554 INFO 2: 0.08850588566148407
2023-05-09 06:57:05,554 INFO 3: 0.1155086175726166
2023-05-09 06:57:05,554 INFO 5: 0.17843296773934356
2023-05-09 06:57:05,554 INFO 10: 0.25542866899682615
2023-05-09 06:57:05,554 INFO 20: 0.34647061186774347
2023-05-09 06:57:05,554 INFO 30: 0.4019575348519545
2023-05-09 06:57:05,554 INFO Grouping by level:
2023-05-09 06:57:05,554 INFO 1: 0.35587662207223497
2023-05-09 06:57:05,554 INFO 2: 0.20093105941906714
2023-05-09 06:57:05,554 INFO 3: 0.21377706801655216
2023-05-09 06:57:05,554 INFO 4: 0.21435960789040215
2023-05-09 06:57:05,554 INFO 5: 0.16532079868225463
2023-05-09 06:57:05,554 INFO 6: 0.11288216624482746
2023-05-09 06:57:05,554 INFO 7: 0.06463681652002731
2023-05-09 06:57:05,554 INFO 8: 0.0465881242216062
2023-05-09 06:57:05,554 INFO 9: 0.03930637579848138
2023-05-09 06:57:05,554 INFO 10: 0.03750351532682496
2023-05-09 06:57:05,554 INFO Grouping by level and horizont:
2023-05-09 06:57:05,554 INFO 1_1: 0.017546502751998715
2023-05-09 06:57:05,554 INFO 2_1: 0.007547908882728697
2023-05-09 06:57:05,554 INFO 3_1: 0.008019967056365755
2023-05-09 06:57:05,554 INFO 4_1: 0.008180667711220923
2023-05-09 06:57:05,554 INFO 5_1: 0.0075679964645855935
2023-05-09 06:57:05,554 INFO 6_1: 0.005182596119079185
2023-05-09 06:57:05,554 INFO 7_1: 0.0031889036197822506
2023-05-09 06:57:05,554 INFO 8_1: 0.002410509822827528
2023-05-09 06:57:05,555 INFO 9_1: 0.002470772568398216
2023-05-09 06:57:05,555 INFO 10_1: 0.002762042505323209
2023-05-09 06:57:05,555 INFO 1_2: 0.02346731750431883
2023-05-09 06:57:05,555 INFO 2_2: 0.011203848780683782
2023-05-09 06:57:05,555 INFO 3_2: 0.011148607930577318
2023-05-09 06:57:05,555 INFO 4_2: 0.011379615121931622
2023-05-09 06:57:05,555 INFO 5_2: 0.011228958258004901
2023-05-09 06:57:05,555 INFO 6_2: 0.007291792214053273
2023-05-09 06:57:05,555 INFO 7_2: 0.004117954280663694
2023-05-09 06:57:05,555 INFO 8_2: 0.003289341529066731
2023-05-09 06:57:05,555 INFO 9_2: 0.0024958820457193364
2023-05-09 06:57:05,555 INFO 10_2: 0.0028825679964645857
2023-05-09 06:57:05,555 INFO 1_3: 0.02977984010284842
2023-05-09 06:57:05,555 INFO 2_3: 0.015095817765457395
2023-05-09 06:57:05,555 INFO 3_3: 0.01521634325659877
2023-05-09 06:57:05,555 INFO 4_3: 0.016125306335623316
2023-05-09 06:57:05,555 INFO 5_3: 0.01310212526616046
2023-05-09 06:57:05,555 INFO 6_3: 0.009144871640351935
2023-05-09 06:57:05,555 INFO 7_3: 0.005529106906110642
2023-05-09 06:57:05,555 INFO 8_3: 0.004102888594271022
2023-05-09 06:57:05,555 INFO 9_3: 0.0036458961070266363
2023-05-09 06:57:05,555 INFO 10_3: 0.0037664215981680123
2023-05-09 06:57:05,555 INFO 1_5: 0.045578723233297175
2023-05-09 06:57:05,555 INFO 2_5: 0.024371258687879153
2023-05-09 06:57:05,555 INFO 3_5: 0.02575227994054076
2023-05-09 06:57:05,555 INFO 4_5: 0.026565827005745047
2023-05-09 06:57:05,555 INFO 5_5: 0.01966574263790125
2023-05-09 06:57:05,555 INFO 6_5: 0.013604314812582861
2023-05-09 06:57:05,555 INFO 7_5: 0.007578040255514042
2023-05-09 06:57:05,555 INFO 8_5: 0.005654654292716243
2023-05-09 06:57:05,555 INFO 9_5: 0.005112289582580049
2023-05-09 06:57:05,555 INFO 10_5: 0.004549837290586959
2023-05-09 06:57:05,555 INFO 1_10: 0.06410449560081957
2023-05-09 06:57:05,555 INFO 2_10: 0.035052830340283635
2023-05-09 06:57:05,555 INFO 3_10: 0.03942187939415853
2023-05-09 06:57:05,555 INFO 4_10: 0.03774456630910771
2023-05-09 06:57:05,555 INFO 5_10: 0.029297738138282913
2023-05-09 06:57:05,555 INFO 6_10: 0.01898778675023101
2023-05-09 06:57:05,555 INFO 7_10: 0.010761921979832069
2023-05-09 06:57:05,555 INFO 8_10: 0.007658390582941626
2023-05-09 06:57:05,555 INFO 9_10: 0.00602627455706882
2023-05-09 06:57:05,555 INFO 10_10: 0.0063727853441002775
2023-05-09 06:57:05,555 INFO 1_20: 0.08404142059378893
2023-05-09 06:57:05,555 INFO 2_20: 0.04934514483146519
2023-05-09 06:57:05,555 INFO 3_20: 0.05320196054798923
2023-05-09 06:57:05,555 INFO 4_20: 0.052117231127716844
2023-05-09 06:57:05,555 INFO 5_20: 0.03785504800932064
2023-05-09 06:57:05,555 INFO 6_20: 0.027645534530553212
2023-05-09 06:57:05,555 INFO 7_20: 0.014995379856172913
2023-05-09 06:57:05,555 INFO 8_20: 0.01049073962476397
2023-05-09 06:57:05,555 INFO 9_20: 0.008592463139287293
2023-05-09 06:57:05,555 INFO 10_20: 0.008185689606685148
2023-05-09 06:57:05,556 INFO 1_30: 0.09135832228516332
2023-05-09 06:57:05,556 INFO 2_30: 0.05831425013056928
2023-05-09 06:57:05,556 INFO 3_30: 0.0610160298903218
2023-05-09 06:57:05,556 INFO 4_30: 0.062246394279056684
2023-05-09 06:57:05,556 INFO 5_30: 0.046603189907998874
2023-05-09 06:57:05,556 INFO 6_30: 0.031025270177975975
2023-05-09 06:57:05,556 INFO 7_30: 0.01846550962195171
2023-05-09 06:57:05,556 INFO 8_30: 0.012981599775019084
2023-05-09 06:57:05,556 INFO 9_30: 0.01096279779840103
2023-05-09 06:57:05,556 INFO 10_30: 0.008984170985496765
2023-05-09 06:57:05,565 INFO Non empty regressions: 0.4821421397292194 --- 96008 / 199128
