2023-05-09 06:22:02,475 INFO Starting...
2023-05-09 06:22:02,475 INFO Tickers: ['BMY']
2023-05-09 06:23:19,482 INFO ofi_9_10: -1.862997003279002e-07 , std 1.1702310992215286e-05 
2023-05-09 06:23:19,482 INFO ofi_10_10: -1.1843175140259491e-07 , std 1.2484039206956396e-05 
2023-05-09 06:23:19,482 INFO ofi_1_20: -2.846638253959225e-06 , std 2.6541989335512638e-05 
2023-05-09 06:23:19,482 INFO ofi_2_20: -1.8032422720975273e-06 , std 2.204592411623879e-05 
2023-05-09 06:23:19,482 INFO ofi_3_20: -1.8799625237543808e-06 , std 2.03917005573665e-05 
2023-05-09 06:23:19,482 INFO ofi_4_20: -1.6025906320839522e-06 , std 1.8752888809691898e-05 
2023-05-09 06:23:19,482 INFO ofi_5_20: -9.605191737248865e-07 , std 1.745787427790933e-05 
2023-05-09 06:23:19,482 INFO ofi_6_20: -7.495220094807373e-07 , std 1.6868977535302113e-05 
2023-05-09 06:23:19,482 INFO ofi_7_20: -4.071587527952703e-07 , std 1.5140482191098123e-05 
2023-05-09 06:23:19,482 INFO ofi_8_20: -2.124237284470029e-07 , std 1.108254169152802e-05 
2023-05-09 06:23:19,482 INFO ofi_9_20: -2.524224941982437e-07 , std 1.3652617754448968e-05 
2023-05-09 06:23:19,482 INFO ofi_10_20: -1.461083745750845e-07 , std 1.5748472218375817e-05 
2023-05-09 06:23:19,482 INFO ofi_1_30: -3.957773875481813e-06 , std 2.7513026829364443e-05 
2023-05-09 06:23:19,482 INFO ofi_2_30: -2.144440523983814e-06 , std 2.265935853261977e-05 
2023-05-09 06:23:19,482 INFO ofi_3_30: -2.2841241979943683e-06 , std 2.1601265464864153e-05 
2023-05-09 06:23:19,482 INFO ofi_4_30: -2.0427875220386764e-06 , std 1.9993576017162106e-05 
2023-05-09 06:23:19,482 INFO ofi_5_30: -1.4915863146945117e-06 , std 1.8838841017865848e-05 
2023-05-09 06:23:19,482 INFO ofi_6_30: -9.141562669943522e-07 , std 1.7876840824187192e-05 
2023-05-09 06:23:19,482 INFO ofi_7_30: -5.090777729815122e-07 , std 1.5842378605447122e-05 
2023-05-09 06:23:19,482 INFO ofi_8_30: -3.3715497415429527e-07 , std 1.3075837928753128e-05 
2023-05-09 06:23:19,482 INFO ofi_9_30: -2.7986859434969725e-07 , std 1.4047024935061268e-05 
2023-05-09 06:23:19,482 INFO ofi_10_30: -2.642790252172345e-07 , std 1.8608651419712692e-05 
2023-05-09 06:23:19,482 INFO used_intercept: 0.9880579325860753 , std 0.10862529373864079 
2023-05-09 06:23:19,482 INFO used_ofi_1_1: 0.02530533124422482 , std 0.1570508562690598 
2023-05-09 06:23:19,482 INFO used_ofi_2_1: 0.008567353661966173 , std 0.0921626503156076 
2023-05-09 06:23:19,482 INFO used_ofi_3_1: 0.008291149411433852 , std 0.09067748481773816 
2023-05-09 06:23:19,482 INFO used_ofi_4_1: 0.0077538065967618815 , std 0.08771365389733739 
2023-05-09 06:23:19,482 INFO used_ofi_5_1: 0.004670362781728336 , std 0.06818027935712336 
2023-05-09 06:23:19,482 INFO used_ofi_6_1: 0.0033244947973162992 , std 0.057562509775538055 
2023-05-09 06:23:19,482 INFO used_ofi_7_1: 0.002063999035796071 , std 0.04538434690260845 
2023-05-09 06:23:19,482 INFO used_ofi_8_1: 0.0016321160258728055 , std 0.04036647399948248 
2023-05-09 06:23:19,482 INFO used_ofi_9_1: 0.0014211964163753966 , std 0.037671960622211835 
2023-05-09 06:23:19,482 INFO used_ofi_10_1: 0.0012755614479129003 , std 0.03569221751174194 
2023-05-09 06:23:19,482 INFO used_ofi_1_2: 0.033300188823269454 , std 0.1794193028846229 
2023-05-09 06:23:19,482 INFO used_ofi_2_2: 0.011635731790607047 , std 0.10723964535704185 
2023-05-09 06:23:19,482 INFO used_ofi_3_2: 0.01174119159535575 , std 0.10771878209150387 
2023-05-09 06:23:19,482 INFO used_ofi_4_2: 0.009817805632557953 , std 0.098597242989443 
2023-05-09 06:23:19,482 INFO used_ofi_5_2: 0.006985456590735607 , std 0.08328661349193255 
2023-05-09 06:23:19,482 INFO used_ofi_6_2: 0.004228435980876622 , std 0.06488879957305611 
2023-05-09 06:23:19,482 INFO used_ofi_7_2: 0.0022899843316861518 , std 0.04779895713764876 
2023-05-09 06:23:19,482 INFO used_ofi_8_2: 0.0017325539351572858 , std 0.041587885159251096 
2023-05-09 06:23:19,482 INFO used_ofi_9_2: 0.0013960869390542766 , std 0.037338155823672906 
2023-05-09 06:23:19,482 INFO used_ofi_10_2: 0.0017476196215499577 , std 0.04176799548946934 
2023-05-09 06:23:19,482 INFO used_ofi_1_3: 0.04216885621308907 , std 0.20097423660451827 
2023-05-09 06:23:19,482 INFO used_ofi_2_3: 0.017636896870354746 , std 0.13162764428166 
2023-05-09 06:23:19,482 INFO used_ofi_3_3: 0.016200634767586677 , std 0.1262464819340085 
2023-05-09 06:23:19,482 INFO used_ofi_4_3: 0.0134034389940139 , std 0.11499472517097316 
2023-05-09 06:23:19,482 INFO used_ofi_5_3: 0.00845185006628902 , std 0.0915446136959788 
2023-05-09 06:23:19,482 INFO used_ofi_6_3: 0.005935880438712788 , std 0.07681566091709487 
2023-05-09 06:23:19,482 INFO used_ofi_7_3: 0.003208991201639147 , std 0.05655699406003601 
2023-05-09 06:23:19,483 INFO used_ofi_8_3: 0.0022196777951870154 , std 0.04706113923050066 
2023-05-09 06:23:19,483 INFO used_ofi_9_3: 0.002079064722188743 , std 0.045549338217691956 
2023-05-09 06:23:19,483 INFO used_ofi_10_3: 0.0016823349805150456 , std 0.04098176093737775 
2023-05-09 06:23:19,483 INFO used_ofi_1_5: 0.06348178056325579 , std 0.24382748840066093 
2023-05-09 06:23:19,483 INFO used_ofi_2_5: 0.02710316982041702 , std 0.1623840755927214 
2023-05-09 06:23:19,483 INFO used_ofi_3_5: 0.02635490739624764 , std 0.1601884086080602 
2023-05-09 06:23:19,483 INFO used_ofi_4_5: 0.020820778594672774 , std 0.14278401091643414 
2023-05-09 06:23:19,483 INFO used_ofi_5_5: 0.012524607287774698 , std 0.11121034799002169 
2023-05-09 06:23:19,483 INFO used_ofi_6_5: 0.007427383391587321 , std 0.08586161754556977 
2023-05-09 06:23:19,483 INFO used_ofi_7_5: 0.004519705917801615 , std 0.06707665895241208 
2023-05-09 06:23:19,483 INFO used_ofi_8_5: 0.0025461010003615765 , std 0.05039462640061471 
2023-05-09 06:23:19,483 INFO used_ofi_9_5: 0.0021292836768309832 , std 0.04609500870869389 
2023-05-09 06:23:19,483 INFO used_ofi_10_5: 0.00181290426258487 , std 0.04253960085284737 
2023-05-09 06:23:19,483 INFO used_ofi_1_10: 0.09126792816680727 , std 0.2879897453989391 
2023-05-09 06:23:19,483 INFO used_ofi_2_10: 0.04226427222690932 , std 0.20119145985861087 
2023-05-09 06:23:19,483 INFO used_ofi_3_10: 0.03726748624000643 , std 0.18941652702274256 
2023-05-09 06:23:19,483 INFO used_ofi_4_10: 0.028449037804829054 , std 0.1662518873661543 
2023-05-09 06:23:19,483 INFO used_ofi_5_10: 0.02091619460849303 , std 0.14310383437068583 
