2023-05-09 06:47:26,827 INFO Starting...
2023-05-09 06:47:26,827 INFO Tickers: ['NEE']
2023-05-09 06:48:45,479 INFO in_r2: 0.10183284003483671 , std 0.16368602209217678 
2023-05-09 06:48:45,480 INFO os_r2: -0.08935171278895426 , std 0.037061768272472304 
2023-05-09 06:48:45,480 INFO intercept: 1.959897532807539e-06 , std 0.00020135187365867896 
2023-05-09 06:48:45,480 INFO ofi_1_1: -2.1527273482406053e-07 , std 8.065954542115162e-06 
2023-05-09 06:48:45,480 INFO ofi_2_1: -2.4891408537669415e-07 , std 8.100014894832243e-06 
2023-05-09 06:48:45,480 INFO ofi_3_1: -2.483366981637374e-07 , std 8.078588361358526e-06 
2023-05-09 06:48:45,480 INFO ofi_4_1: -2.4252080868902646e-07 , std 7.284002466801329e-06 
2023-05-09 06:48:45,480 INFO ofi_5_1: -1.916674611210905e-07 , std 6.795096950541606e-06 
2023-05-09 06:48:45,480 INFO ofi_6_1: -1.916221625756799e-07 , std 7.004657286554758e-06 
2023-05-09 06:48:45,480 INFO ofi_7_1: -1.5938524114799595e-07 , std 6.693138339201325e-06 
2023-05-09 06:48:45,480 INFO ofi_8_1: -1.8678665596988884e-07 , std 6.8070580571007616e-06 
2023-05-09 06:48:45,480 INFO ofi_9_1: -9.869918928901066e-08 , std 6.281384755891105e-06 
2023-05-09 06:48:45,480 INFO ofi_10_1: -1.450743895695388e-07 , std 7.244133793970553e-06 
2023-05-09 06:48:45,480 INFO ofi_1_2: -2.5328481399060185e-07 , std 9.118028178463807e-06 
2023-05-09 06:48:45,480 INFO ofi_2_2: -2.4619251203089597e-07 , std 8.911341491994489e-06 
2023-05-09 06:48:45,480 INFO ofi_3_2: -3.033088100841109e-07 , std 8.596192400373591e-06 
2023-05-09 06:48:45,480 INFO ofi_4_2: -3.5925977221218273e-07 , std 8.088992322969173e-06 
2023-05-09 06:48:45,480 INFO ofi_5_2: -2.549644700690754e-07 , std 6.8386021182845085e-06 
2023-05-09 06:48:45,480 INFO ofi_6_2: -2.337684712628711e-07 , std 6.877635636935104e-06 
2023-05-09 06:48:45,480 INFO ofi_7_2: -1.8176580835217312e-07 , std 6.532770479779792e-06 
2023-05-09 06:48:45,480 INFO ofi_8_2: -1.0947238687145644e-07 , std 6.405676456622033e-06 
2023-05-09 06:48:45,480 INFO ofi_9_2: -1.1179580525247553e-07 , std 6.8808970983886195e-06 
2023-05-09 06:48:45,480 INFO ofi_10_2: -1.476498578083589e-07 , std 8.19685800464724e-06 
2023-05-09 06:48:45,480 INFO ofi_1_3: -3.8630803003894146e-07 , std 9.198070119772651e-06 
2023-05-09 06:48:45,480 INFO ofi_2_3: -2.951511386071416e-07 , std 8.162539525051623e-06 
2023-05-09 06:48:45,480 INFO ofi_3_3: -3.4370612139540076e-07 , std 8.248540835733948e-06 
2023-05-09 06:48:45,480 INFO ofi_4_3: -3.330186944875041e-07 , std 8.565390229226494e-06 
2023-05-09 06:48:45,480 INFO ofi_5_3: -3.237966211737527e-07 , std 7.068004426594319e-06 
2023-05-09 06:48:45,480 INFO ofi_6_3: -3.0607996494477645e-07 , std 6.423099600708188e-06 
2023-05-09 06:48:45,480 INFO ofi_7_3: -2.1291728568262497e-07 , std 5.988271451280211e-06 
2023-05-09 06:48:45,480 INFO ofi_8_3: -1.7262572246906395e-07 , std 6.300892970365845e-06 
2023-05-09 06:48:45,480 INFO ofi_9_3: -1.7090776009143283e-07 , std 6.891215061066299e-06 
2023-05-09 06:48:45,480 INFO ofi_10_3: -1.4683441105317102e-07 , std 6.597087644148738e-06 
2023-05-09 06:48:45,480 INFO ofi_1_5: -4.185242534333728e-07 , std 9.61993191339499e-06 
2023-05-09 06:48:45,480 INFO ofi_2_5: -4.3985587735759454e-07 , std 8.926465052237719e-06 
