2023-05-09 06:51:52,794 INFO Starting...
2023-05-09 06:51:52,794 INFO Tickers: ['QCOM']
2023-05-09 06:53:12,088 INFO ofi_6_20: -8.834626035000914e-07 , std 1.587436957918613e-05 
2023-05-09 06:53:12,088 INFO ofi_7_20: -4.866432251406569e-07 , std 1.2942893631313387e-05 
2023-05-09 06:53:12,088 INFO ofi_8_20: -5.219879682523588e-07 , std 1.431244275488448e-05 
2023-05-09 06:53:12,088 INFO ofi_9_20: -4.1405205306522e-07 , std 1.3820290503885236e-05 
2023-05-09 06:53:12,088 INFO ofi_10_20: -3.9069109791102906e-07 , std 1.3369974103266657e-05 
2023-05-09 06:53:12,088 INFO ofi_1_30: -3.2299677812532018e-06 , std 2.6078102526072095e-05 
2023-05-09 06:53:12,088 INFO ofi_2_30: -1.7330851340379266e-06 , std 2.015661981539987e-05 
2023-05-09 06:53:12,088 INFO ofi_3_30: -1.69283228918314e-06 , std 2.5618586374255633e-05 
2023-05-09 06:53:12,088 INFO ofi_4_30: -1.540876437519459e-06 , std 1.9745131325914734e-05 
2023-05-09 06:53:12,088 INFO ofi_5_30: -1.1136182724424794e-06 , std 1.695658038256609e-05 
2023-05-09 06:53:12,088 INFO ofi_6_30: -9.769769114366511e-07 , std 1.5440570797525278e-05 
2023-05-09 06:53:12,088 INFO ofi_7_30: -6.74699359195129e-07 , std 1.393606894244622e-05 
2023-05-09 06:53:12,088 INFO ofi_8_30: -4.946362307431537e-07 , std 1.4088207745807759e-05 
2023-05-09 06:53:12,088 INFO ofi_9_30: -5.123661156341315e-07 , std 1.3616409411538827e-05 
2023-05-09 06:53:12,088 INFO ofi_10_30: -4.5253528617760174e-07 , std 1.5961831516789744e-05 
2023-05-09 06:53:12,088 INFO used_intercept: 0.988208589450002 , std 0.10794615874239982 
2023-05-09 06:53:12,088 INFO used_ofi_1_1: 0.024095054437346834 , std 0.15334432754102162 
2023-05-09 06:53:12,088 INFO used_ofi_2_1: 0.006779558876702422 , std 0.08205849412546973 
2023-05-09 06:53:12,088 INFO used_ofi_3_1: 0.006297456912136917 , std 0.07910625100822752 
2023-05-09 06:53:12,088 INFO used_ofi_4_1: 0.006744405608452854 , std 0.08184692175910786 
2023-05-09 06:53:12,088 INFO used_ofi_5_1: 0.004605078140693423 , std 0.06770429377824962 
2023-05-09 06:53:12,088 INFO used_ofi_6_1: 0.003907034671166285 , std 0.0623840504555819 
2023-05-09 06:53:12,088 INFO used_ofi_7_1: 0.0027268892370736412 , std 0.0521483778478523 
2023-05-09 06:53:12,088 INFO used_ofi_8_1: 0.0025109477321120085 , std 0.050046407199704254 
2023-05-09 06:53:12,088 INFO used_ofi_9_1: 0.002651560805110281 , std 0.05142499421883374 
2023-05-09 06:53:12,088 INFO used_ofi_10_1: 0.0032441444698887148 , std 0.056864927649186416 
2023-05-09 06:53:12,089 INFO used_ofi_1_2: 0.032275722148567755 , std 0.17673143440926464 
2023-05-09 06:53:12,089 INFO used_ofi_2_2: 0.00906452131292435 , std 0.0947752909058679 
2023-05-09 06:53:12,089 INFO used_ofi_3_2: 0.009310594190671328 , std 0.0960411736001178 
2023-05-09 06:53:12,089 INFO used_ofi_4_2: 0.009767586677915713 , std 0.09834724667424666 
2023-05-09 06:53:12,089 INFO used_ofi_5_2: 0.006814712144951991 , std 0.08226950737261915 
2023-05-09 06:53:12,089 INFO used_ofi_6_2: 0.005564260174360211 , std 0.07438614913458176 
