2023-05-09 07:26:48,625 INFO Starting...
2023-05-09 07:26:48,625 INFO Tickers: ['COP']
2023-05-09 07:27:43,579 INFO ofi_9_10: -1.487380987721409e-07 , std 9.585723540846375e-06 
2023-05-09 07:27:43,579 INFO ofi_10_10: -1.450161102783322e-07 , std 8.552541970223939e-06 
2023-05-09 07:27:43,579 INFO ofi_1_20: -1.7641492079314e-06 , std 2.512161926287004e-05 
2023-05-09 07:27:43,579 INFO ofi_2_20: -1.327459322315185e-06 , std 1.8860576845912907e-05 
2023-05-09 07:27:43,579 INFO ofi_3_20: -1.9797219310351255e-06 , std 1.7373087845453796e-05 
2023-05-09 07:27:43,579 INFO ofi_4_20: -1.9961495316624183e-06 , std 1.785723142217652e-05 
2023-05-09 07:27:43,579 INFO ofi_5_20: -1.1867673117399128e-06 , std 1.5924207524633463e-05 
2023-05-09 07:27:43,579 INFO ofi_6_20: -1.039184104573326e-06 , std 1.6444389065921052e-05 
2023-05-09 07:27:43,579 INFO ofi_7_20: -5.8204680779825e-07 , std 1.529769444982497e-05 
2023-05-09 07:27:43,579 INFO ofi_8_20: -2.1922407077905482e-07 , std 1.271038707286724e-05 
2023-05-09 07:27:43,579 INFO ofi_9_20: -3.154116991511994e-07 , std 1.2108564414948406e-05 
2023-05-09 07:27:43,579 INFO ofi_10_20: -1.488643819132504e-07 , std 1.0453972522789782e-05 
2023-05-09 07:27:43,579 INFO ofi_1_30: -2.399611569763724e-06 , std 2.4307174287040373e-05 
2023-05-09 07:27:43,579 INFO ofi_2_30: -1.5444015871847522e-06 , std 2.1604754648825904e-05 
2023-05-09 07:27:43,579 INFO ofi_3_30: -2.4340976368468623e-06 , std 2.239218571377313e-05 
2023-05-09 07:27:43,579 INFO ofi_4_30: -2.554925636370985e-06 , std 1.9029073286348754e-05 
2023-05-09 07:27:43,579 INFO ofi_5_30: -1.7283814680289744e-06 , std 1.7164783069871164e-05 
2023-05-09 07:27:43,579 INFO ofi_6_30: -1.1900797168902038e-06 , std 1.680724789296144e-05 
2023-05-09 07:27:43,579 INFO ofi_7_30: -7.369623864677801e-07 , std 1.5349624735466225e-05 
2023-05-09 07:27:43,579 INFO ofi_8_30: -4.280470953693814e-07 , std 1.4342358096584347e-05 
2023-05-09 07:27:43,579 INFO ofi_9_30: -2.0555264527040537e-07 , std 1.311192436324213e-05 
2023-05-09 07:27:43,579 INFO ofi_10_30: -2.6575598335425534e-07 , std 1.1937099078904673e-05 
