2023-05-09 07:17:38,909 INFO Starting...
2023-05-09 07:17:38,909 INFO Tickers: ['CI']
2023-05-09 07:18:55,167 INFO ofi_6_20: -6.190681331284515e-07 , std 1.1336106809295291e-05 
2023-05-09 07:18:55,167 INFO ofi_7_20: -4.7100179717328063e-07 , std 1.0872852207052326e-05 
2023-05-09 07:18:55,167 INFO ofi_8_20: -5.471287394904738e-07 , std 1.1879986146757284e-05 
2023-05-09 07:18:55,167 INFO ofi_9_20: -4.4510580717085303e-07 , std 1.1086723866016915e-05 
2023-05-09 07:18:55,167 INFO ofi_10_20: -5.01590801550018e-07 , std 1.470194867724353e-05 
2023-05-09 07:18:55,167 INFO ofi_1_30: -2.075515350166526e-06 , std 1.8014155550018613e-05 
2023-05-09 07:18:55,167 INFO ofi_2_30: -1.5831930154392661e-06 , std 1.5589677344492363e-05 
2023-05-09 07:18:55,167 INFO ofi_3_30: -1.3099673122173336e-06 , std 1.3884525686843195e-05 
2023-05-09 07:18:55,167 INFO ofi_4_30: -1.2784475470083722e-06 , std 1.3896118386768801e-05 
2023-05-09 07:18:55,167 INFO ofi_5_30: -1.0076658220733598e-06 , std 1.263597065317314e-05 
2023-05-09 07:18:55,167 INFO ofi_6_30: -7.024917689543561e-07 , std 1.1129887444378808e-05 
2023-05-09 07:18:55,167 INFO ofi_7_30: -7.221034829719759e-07 , std 1.0770968157545804e-05 
2023-05-09 07:18:55,167 INFO ofi_8_30: -5.603196558364797e-07 , std 1.1448556069190107e-05 
2023-05-09 07:18:55,167 INFO ofi_9_30: -5.65209306455732e-07 , std 1.3407655210664908e-05 
2023-05-09 07:18:55,167 INFO ofi_10_30: -5.302047147407697e-07 , std 1.2392782216630928e-05 
2023-05-09 07:18:55,167 INFO used_intercept: 0.9891755321820721 , std 0.1034760779812734 
2023-05-09 07:18:55,167 INFO used_ofi_1_1: 0.020368082135358588 , std 0.1412558790475139 
2023-05-09 07:18:55,167 INFO used_ofi_2_1: 0.010297057553017288 , std 0.10095062237929561 
2023-05-09 07:18:55,167 INFO used_ofi_3_1: 0.00788603919914007 , std 0.08845252729509598 
2023-05-09 07:18:55,167 INFO used_ofi_4_1: 0.006499703645660669 , std 0.08035830696436587 
2023-05-09 07:18:55,167 INFO used_ofi_5_1: 0.004711531699868398 , std 0.06847870595235818 
2023-05-09 07:18:55,167 INFO used_ofi_6_1: 0.004575911917462805 , std 0.06749053968954781 
2023-05-09 07:18:55,167 INFO used_ofi_7_1: 0.0041941673447655784 , std 0.06462643658016183 
2023-05-09 07:18:55,167 INFO used_ofi_8_1: 0.003867675276011372 , std 0.06207025345502224 
2023-05-09 07:18:55,167 INFO used_ofi_9_1: 0.004746692384195774 , std 0.06873253447680794 
2023-05-09 07:18:55,167 INFO used_ofi_10_1: 0.005665893131611465 , std 0.07505858236492761 
2023-05-09 07:18:55,167 INFO used_ofi_1_2: 0.02681253327707624 , std 0.16153520153929896 
2023-05-09 07:18:55,167 INFO used_ofi_2_2: 0.015068864711732619 , std 0.12182690190607376 
2023-05-09 07:18:55,167 INFO used_ofi_3_2: 0.01058838893744412 , std 0.10235367583606135 
2023-05-09 07:18:55,167 INFO used_ofi_4_2: 0.009081502466270857 , std 0.09486321088401958 
2023-05-09 07:18:55,167 INFO used_ofi_5_2: 0.007283284610670766 , std 0.08503080839290388 
2023-05-09 07:18:55,167 INFO used_ofi_6_2: 0.005997408155269582 , std 0.07721035714649095 
2023-05-09 07:18:55,167 INFO used_ofi_7_2: 0.005254010829490773 , std 0.07229388770632252 
2023-05-09 07:18:55,167 INFO used_ofi_8_2: 0.0051937353706438425 , std 0.07188018143788708 
2023-05-09 07:18:55,168 INFO used_ofi_9_2: 0.005168620596124288 , std 0.07170708442865048 
