2023-05-09 07:32:55,041 INFO Starting...
2023-05-09 07:32:55,042 INFO Tickers: ['FISV']
2023-05-09 07:34:13,750 INFO ofi_6_20: -7.626955413373808e-07 , std 1.0466035256993649e-05 
2023-05-09 07:34:13,750 INFO ofi_7_20: -4.855243288302392e-07 , std 8.762848933695163e-06 
2023-05-09 07:34:13,750 INFO ofi_8_20: -4.017328928266965e-07 , std 8.067190360736174e-06 
2023-05-09 07:34:13,750 INFO ofi_9_20: -3.8868966435534993e-07 , std 7.937945560777586e-06 
2023-05-09 07:34:13,750 INFO ofi_10_20: -4.1455234349579993e-07 , std 1.0000900761080346e-05 
2023-05-09 07:34:13,750 INFO ofi_1_30: -1.3308166294349274e-06 , std 1.5194203880974438e-05 
2023-05-09 07:34:13,750 INFO ofi_2_30: -1.1130951383403342e-06 , std 1.3437904251967365e-05 
2023-05-09 07:34:13,750 INFO ofi_3_30: -1.246222216455002e-06 , std 1.2346850700548023e-05 
2023-05-09 07:34:13,750 INFO ofi_4_30: -1.279025715349344e-06 , std 1.2274467211696655e-05 
2023-05-09 07:34:13,750 INFO ofi_5_30: -1.035352161313163e-06 , std 1.0808014713478087e-05 
2023-05-09 07:34:13,750 INFO ofi_6_30: -1.029952035544842e-06 , std 1.092650206751727e-05 
2023-05-09 07:34:13,750 INFO ofi_7_30: -6.314494678855521e-07 , std 1.0029093256447478e-05 
2023-05-09 07:34:13,750 INFO ofi_8_30: -5.307811287883792e-07 , std 9.782057822019424e-06 
2023-05-09 07:34:13,750 INFO ofi_9_30: -4.040790781735361e-07 , std 9.034674165928742e-06 
2023-05-09 07:34:13,750 INFO ofi_10_30: -5.192037063658367e-07 , std 1.0276804185294578e-05 
2023-05-09 07:34:13,750 INFO used_intercept: 0.9863153348599896 , std 0.11617829005462348 
2023-05-09 07:34:13,750 INFO used_ofi_1_1: 0.012660198465308746 , std 0.11180303144426694 
2023-05-09 07:34:13,750 INFO used_ofi_2_1: 0.009340725563456671 , std 0.09619499160249902 
2023-05-09 07:34:13,751 INFO used_ofi_3_1: 0.007060785022698968 , std 0.08373129843470838 
2023-05-09 07:34:13,751 INFO used_ofi_4_1: 0.00590072717046322 , std 0.07658921979836968 
2023-05-09 07:34:13,751 INFO used_ofi_5_1: 0.0054889317423968504 , std 0.07388371519302586 
2023-05-09 07:34:13,751 INFO used_ofi_6_1: 0.00563958860632357 , std 0.07488513635345134 
2023-05-09 07:34:13,751 INFO used_ofi_7_1: 0.003671005584347756 , std 0.06047751071553329 
2023-05-09 07:34:13,751 INFO used_ofi_8_1: 0.003289341529066731 , std 0.05725837721566939 
2023-05-09 07:34:13,751 INFO used_ofi_9_1: 0.0032792977381382827 , std 0.0571711810660137 
2023-05-09 07:34:13,751 INFO used_ofi_10_1: 0.004143063757984814 , std 0.06423315951035016 
2023-05-09 07:34:13,751 INFO used_ofi_1_2: 0.01802860471656422 , std 0.1330547786760705 
2023-05-09 07:34:13,751 INFO used_ofi_2_2: 0.012594913824273834 , std 0.11151807911739223 
2023-05-09 07:34:13,751 INFO used_ofi_3_2: 0.009245309549636415 , std 0.09570702064617734 
2023-05-09 07:34:13,751 INFO used_ofi_4_2: 0.008994214776425214 , std 0.09441037483762445 
2023-05-09 07:34:13,751 INFO used_ofi_5_2: 0.007653368687477401 , std 0.08714811894247027 
2023-05-09 07:34:13,751 INFO used_ofi_6_2: 0.00827608372504118 , std 0.09059575135301483 
2023-05-09 07:34:13,751 INFO used_ofi_7_2: 0.0052478807601140974 , std 0.07225192390270119 
2023-05-09 07:34:13,751 INFO used_ofi_8_2: 0.004675384677192559 , std 0.06821675347971957 
2023-05-09 07:34:13,751 INFO used_ofi_9_2: 0.004916435659475312 , std 0.06994472331692757 
2023-05-09 07:34:13,751 INFO used_ofi_10_2: 0.0058103330521071875 , std 0.07600377018234541 
2023-05-09 07:34:13,751 INFO used_ofi_1_3: 0.024361214896950704 , std 0.15416791529269408 
2023-05-09 07:34:13,751 INFO used_ofi_2_3: 0.017596721706640953 , std 0.13148032967641962 
2023-05-09 07:34:13,751 INFO used_ofi_3_3: 0.013016753043268652 , std 0.11334600647344928 
2023-05-09 07:34:13,751 INFO used_ofi_4_3: 0.011861717086497128 , std 0.10826364465626045 
2023-05-09 07:34:13,751 INFO used_ofi_5_3: 0.010390301715479491 , std 0.10140189024737552 
2023-05-09 07:34:13,751 INFO used_ofi_6_3: 0.01016431641958941 , std 0.10030455169787598 
2023-05-09 07:34:13,751 INFO used_ofi_7_3: 0.006136756257281748 , std 0.07809671235026773 
2023-05-09 07:34:13,751 INFO used_ofi_8_3: 0.005835442529428307 , std 0.07616685722749789 
2023-05-09 07:34:13,751 INFO used_ofi_9_3: 0.005102245791651601 , std 0.07124754648079591 
2023-05-09 07:34:13,751 INFO used_ofi_10_3: 0.007301836004981721 , std 0.08513823580470806 
2023-05-09 07:34:13,751 INFO used_ofi_1_5: 0.03635350126551766 , std 0.18716817093527321 
2023-05-09 07:34:13,751 INFO used_ofi_2_5: 0.02532039693061749 , std 0.15709638579513363 
2023-05-09 07:34:13,751 INFO used_ofi_3_5: 0.02106685147241975 , std 0.14360723951618443 
2023-05-09 07:34:13,751 INFO used_ofi_4_5: 0.017546502751998715 , std 0.13129593669711492 
2023-05-09 07:34:13,751 INFO used_ofi_5_5: 0.013975935076935439 , std 0.11739083573968083 
2023-05-09 07:34:13,751 INFO used_ofi_6_5: 0.016356313526977622 , std 0.1268415725808571 
2023-05-09 07:34:13,751 INFO used_ofi_7_5: 0.01028986380619501 , std 0.10091571983117878 
2023-05-09 07:34:13,751 INFO used_ofi_8_5: 0.008125426861114459 , std 0.08977418503912546 
2023-05-09 07:34:13,751 INFO used_ofi_9_5: 0.00781406934233257 , std 0.08805117638422437 
2023-05-09 07:34:13,751 INFO used_ofi_10_5: 0.009285484713350207 , std 0.09591279626300311 
2023-05-09 07:34:13,751 INFO used_ofi_1_10: 0.052257844200715116 , std 0.22254653877382344 
2023-05-09 07:34:13,751 INFO used_ofi_2_10: 0.03694106303483187 , std 0.18861712779248985 
2023-05-09 07:34:13,751 INFO used_ofi_3_10: 0.029086818528785505 , std 0.16804991971631228 
2023-05-09 07:34:13,751 INFO used_ofi_4_10: 0.02682194367442047 , std 0.16156276493037214 
2023-05-09 07:34:13,751 INFO used_ofi_5_10: 0.0245068498654132 , std 0.15461650680017094 
2023-05-09 07:34:13,751 INFO used_ofi_6_10: 0.02548109758547266 , std 0.15758112593617385 
2023-05-09 07:34:13,751 INFO used_ofi_7_10: 0.015643204371057814 , std 0.12409067059236617 
2023-05-09 07:34:13,751 INFO used_ofi_8_10: 0.011208870676148005 , std 0.10527692954447995 
2023-05-09 07:34:13,751 INFO used_ofi_9_10: 0.010430476879193283 , std 0.10159567919584915 
2023-05-09 07:34:13,751 INFO used_ofi_10_10: 0.014006066449720782 , std 0.11751551621946264 
2023-05-09 07:34:13,751 INFO used_ofi_1_20: 0.0689204933510104 , std 0.2533188878612563 
2023-05-09 07:34:13,751 INFO used_ofi_2_20: 0.04654794905789241 , std 0.2106685489018146 
2023-05-09 07:34:13,751 INFO used_ofi_3_20: 0.04108412679281668 , std 0.19848481382334632 
2023-05-09 07:34:13,751 INFO used_ofi_4_20: 0.040215338877505925 , std 0.1964639035458506 
2023-05-09 07:34:13,751 INFO used_ofi_5_20: 0.03298883130448756 , std 0.1786073019606187 
2023-05-09 07:34:13,751 INFO used_ofi_6_20: 0.03635350126551766 , std 0.18716817093527324 
2023-05-09 07:34:13,751 INFO used_ofi_7_20: 0.019786268129042626 , std 0.1392651130849656 
2023-05-09 07:34:13,751 INFO used_ofi_8_20: 0.015598007311879795 , std 0.123914121389688 
2023-05-09 07:34:13,751 INFO used_ofi_9_20: 0.015372022015989716 , std 0.12302732605047402 
2023-05-09 07:34:13,752 INFO used_ofi_10_20: 0.017882969748101725 , std 0.13252610739431758 
2023-05-09 07:34:13,752 INFO used_ofi_1_30: 0.08064661925997349 , std 0.27229164890225765 
2023-05-09 07:34:13,752 INFO used_ofi_2_30: 0.053915069703909045 , std 0.22585002759072592 
2023-05-09 07:34:13,752 INFO used_ofi_3_30: 0.047180707886384635 , std 0.2120252076752297 
2023-05-09 07:34:13,752 INFO used_ofi_4_30: 0.04857679482543891 , std 0.21498160346859013 
2023-05-09 07:34:13,752 INFO used_ofi_5_30: 0.03976839018118999 , std 0.19541459854265397 
2023-05-09 07:34:13,752 INFO used_ofi_6_30: 0.04460949740870194 , std 0.20644488404812786 
2023-05-09 07:34:13,752 INFO used_ofi_7_30: 0.02371841227753003 , std 0.15217046098557743 
2023-05-09 07:34:13,752 INFO used_ofi_8_30: 0.018581013217628863 , std 0.13503984288140727 
2023-05-09 07:34:13,752 INFO used_ofi_9_30: 0.016742999477722873 , std 0.12830694231494974 
2023-05-09 07:34:13,752 INFO used_ofi_10_30: 0.020850909967458118 , std 0.1428850920179816 
2023-05-09 07:34:14,370 INFO Grouping by horizont:
2023-05-09 07:34:14,370 INFO 1: 0.060473665180185605
2023-05-09 07:34:14,370 INFO 2: 0.08544252942830743
2023-05-09 07:34:14,370 INFO 3: 0.11176730545176969
2023-05-09 07:34:14,370 INFO 5: 0.1661343457474589
2023-05-09 07:34:14,370 INFO 10: 0.24638423526575873
2023-05-09 07:34:14,370 INFO 20: 0.3347495078542444
2023-05-09 07:34:14,370 INFO 30: 0.39459041420593793
2023-05-09 07:34:14,370 INFO Grouping by level:
2023-05-09 07:34:14,370 INFO 1: 0.2932284761560403
2023-05-09 07:34:14,370 INFO 2: 0.2022568398216223
2023-05-09 07:34:14,370 INFO 3: 0.16774135229601062
2023-05-09 07:34:14,370 INFO 4: 0.15991723916274958
2023-05-09 07:34:14,370 INFO 5: 0.13477260857337994
2023-05-09 07:34:14,370 INFO 6: 0.14688039853762405
2023-05-09 07:34:14,370 INFO 7: 0.08449339118556908
2023-05-09 07:34:14,370 INFO 8: 0.06731348680245872
2023-05-09 07:34:14,370 INFO 9: 0.06365754690450363
2023-05-09 07:34:14,370 INFO 10: 0.07928066369370455
2023-05-09 07:34:14,370 INFO Grouping by level and horizont:
2023-05-09 07:34:14,370 INFO 1_1: 0.012660198465308746
2023-05-09 07:34:14,370 INFO 2_1: 0.009340725563456671
2023-05-09 07:34:14,370 INFO 3_1: 0.007060785022698968
2023-05-09 07:34:14,370 INFO 4_1: 0.00590072717046322
2023-05-09 07:34:14,370 INFO 5_1: 0.0054889317423968504
2023-05-09 07:34:14,371 INFO 6_1: 0.00563958860632357
