2023-05-09 07:05:35,142 INFO Starting...
2023-05-09 07:05:35,142 INFO Tickers: ['AXP']
2023-05-09 07:06:55,998 INFO in_r2: 0.09867356954157908 , std 0.16064352300871643 
2023-05-09 07:06:55,998 INFO os_r2: -0.09227800921625057 , std 0.07234179979887465 
2023-05-09 07:06:55,998 INFO intercept: -2.2186948431592905e-06 , std 0.00022340583013181467 
2023-05-09 07:06:55,998 INFO ofi_1_1: -8.329503778005291e-08 , std 1.2162518508652465e-05 
2023-05-09 07:06:55,998 INFO ofi_2_1: -8.817705520146215e-08 , std 8.083482526390315e-06 
2023-05-09 07:06:55,998 INFO ofi_3_1: -1.6092781527012591e-07 , std 8.380398523000302e-06 
2023-05-09 07:06:55,998 INFO ofi_4_1: -2.43076182142475e-07 , std 8.557041328833916e-06 
2023-05-09 07:06:55,998 INFO ofi_5_1: -2.511640347046693e-07 , std 8.23397236789157e-06 
2023-05-09 07:06:55,998 INFO ofi_6_1: -1.7350212811641219e-07 , std 7.5637341777098575e-06 
2023-05-09 07:06:55,998 INFO ofi_7_1: -9.708818863233718e-08 , std 8.286115977867885e-06 
2023-05-09 07:06:55,998 INFO ofi_8_1: -8.063318537525959e-08 , std 5.313889232690591e-06 
2023-05-09 07:06:55,998 INFO ofi_9_1: -4.576262765777928e-08 , std 6.018087219866681e-06 
2023-05-09 07:06:55,998 INFO ofi_10_1: -5.5010677030958156e-08 , std 5.0510898609456495e-06 
2023-05-09 07:06:55,998 INFO ofi_1_2: -4.433877943612069e-08 , std 1.1412530342129703e-05 
2023-05-09 07:06:55,998 INFO ofi_2_2: -1.871120271156896e-07 , std 8.988477226917954e-06 
2023-05-09 07:06:55,998 INFO ofi_3_2: -2.5627545189876965e-07 , std 9.457478934590233e-06 
2023-05-09 07:06:55,998 INFO ofi_4_2: -3.231681200718493e-07 , std 8.944564520072011e-06 
2023-05-09 07:06:55,998 INFO ofi_5_2: -2.92183890097834e-07 , std 8.725583082878159e-06 
2023-05-09 07:06:55,998 INFO ofi_6_2: -2.60877828651108e-07 , std 9.228194199810955e-06 
2023-05-09 07:06:55,998 INFO ofi_7_2: -1.6293205046037264e-07 , std 7.401819813018969e-06 
2023-05-09 07:06:55,998 INFO ofi_8_2: -9.090618118053901e-08 , std 5.79887797670354e-06 
2023-05-09 07:06:55,999 INFO ofi_9_2: -7.303490637248334e-08 , std 7.70775529103829e-06 
2023-05-09 07:06:55,999 INFO ofi_10_2: -8.860252559925778e-08 , std 7.650455932128096e-06 
2023-05-09 07:06:55,999 INFO ofi_1_3: -1.0468397447736834e-07 , std 1.1323362749161873e-05 
2023-05-09 07:06:55,999 INFO ofi_2_3: -1.7577302260238563e-07 , std 9.949468998560361e-06 
2023-05-09 07:06:55,999 INFO ofi_3_3: -2.884985324392882e-07 , std 8.426822949413634e-06 
2023-05-09 07:06:55,999 INFO ofi_4_3: -4.47160092430701e-07 , std 9.88513894601877e-06 
2023-05-09 07:06:55,999 INFO ofi_5_3: -4.4767215138386173e-07 , std 9.18799768126873e-06 
2023-05-09 07:06:55,999 INFO ofi_6_3: -3.4184683260462176e-07 , std 9.190304506316185e-06 
2023-05-09 07:06:55,999 INFO ofi_7_3: -1.913787574771664e-07 , std 7.282892900718553e-06 
2023-05-09 07:06:55,999 INFO ofi_8_3: -8.902940020056598e-08 , std 7.863293368321756e-06 
2023-05-09 07:06:55,999 INFO ofi_9_3: -6.216047531866544e-08 , std 6.123094126677141e-06 
2023-05-09 07:06:55,999 INFO ofi_10_3: -6.647337650836558e-08 , std 6.806147173076915e-06 
2023-05-09 07:06:55,999 INFO ofi_1_5: -2.310340358067967e-07 , std 1.1413151629181003e-05 
2023-05-09 07:06:55,999 INFO ofi_2_5: -3.932099659515598e-07 , std 9.711784127289435e-06 
2023-05-09 07:06:55,999 INFO ofi_3_5: -6.18784082392652e-07 , std 1.0388338573280944e-05 
2023-05-09 07:06:55,999 INFO ofi_4_5: -8.028202956525848e-07 , std 1.0437405788470827e-05 
2023-05-09 07:06:55,999 INFO ofi_5_5: -6.052934847828302e-07 , std 9.409558087948141e-06 
2023-05-09 07:06:55,999 INFO ofi_6_5: -5.178551916570207e-07 , std 9.62675118288136e-06 
2023-05-09 07:06:55,999 INFO ofi_7_5: -2.6391531005667866e-07 , std 8.785954771762326e-06 
2023-05-09 07:06:55,999 INFO ofi_8_5: -1.4295768098475352e-07 , std 6.903161439312291e-06 
2023-05-09 07:06:55,999 INFO ofi_9_5: -1.1435289260267716e-07 , std 6.894720214300513e-06 
2023-05-09 07:06:55,999 INFO ofi_10_5: -1.1378624225551727e-07 , std 7.0317518324765025e-06 
2023-05-09 07:06:55,999 INFO ofi_1_10: -1.8457912564169305e-07 , std 1.2192850023401362e-05 
2023-05-09 07:06:55,999 INFO ofi_2_10: -5.202837433988964e-07 , std 1.1197132254634915e-05 
2023-05-09 07:06:55,999 INFO ofi_3_10: -8.87650127323618e-07 , std 1.1340233239936859e-05 
2023-05-09 07:06:55,999 INFO ofi_4_10: -1.0647030663803371e-06 , std 1.1396079375122014e-05 
2023-05-09 07:06:55,999 INFO ofi_5_10: -1.0439973437687718e-06 , std 1.139254441336512e-05 
2023-05-09 07:06:55,999 INFO ofi_6_10: -5.702833116509643e-07 , std 1.0241915611986961e-05 
2023-05-09 07:06:55,999 INFO ofi_7_10: -3.779018761379723e-07 , std 8.230322881369793e-06 
2023-05-09 07:06:55,999 INFO ofi_8_10: -1.935244176646585e-07 , std 6.74930136039186e-06 
2023-05-09 07:06:55,999 INFO ofi_9_10: -1.519145135239874e-07 , std 7.814866998752744e-06 
2023-05-09 07:06:55,999 INFO ofi_10_10: -1.0002917980794745e-07 , std 6.989416539206668e-06 
2023-05-09 07:06:55,999 INFO ofi_1_20: -4.851741829136946e-07 , std 1.3242187679267523e-05 
2023-05-09 07:06:55,999 INFO ofi_2_20: -7.319541035339178e-07 , std 1.2481475325217804e-05 
2023-05-09 07:06:55,999 INFO ofi_3_20: -1.1986881579842194e-06 , std 1.2331304591632614e-05 
2023-05-09 07:06:55,999 INFO ofi_4_20: -1.4182222972167857e-06 , std 1.2026782966018409e-05 
2023-05-09 07:06:55,999 INFO ofi_5_20: -1.389965497340067e-06 , std 1.2689665419726942e-05 
2023-05-09 07:06:55,999 INFO ofi_6_20: -8.342959372945359e-07 , std 1.0955620964381892e-05 
2023-05-09 07:06:55,999 INFO ofi_7_20: -4.226726535802581e-07 , std 9.332461736260309e-06 
2023-05-09 07:06:55,999 INFO ofi_8_20: -2.329480903844428e-07 , std 8.444412339107194e-06 
2023-05-09 07:06:55,999 INFO ofi_9_20: -1.9060167912453788e-07 , std 8.440592948083857e-06 
2023-05-09 07:06:55,999 INFO ofi_10_20: -1.1350842444890794e-07 , std 8.223572504476312e-06 
2023-05-09 07:06:55,999 INFO ofi_1_30: -5.563563552961046e-07 , std 1.4416118707085806e-05 
2023-05-09 07:06:55,999 INFO ofi_2_30: -1.031414575340774e-06 , std 1.3311247181917008e-05 
2023-05-09 07:06:55,999 INFO ofi_3_30: -1.4877660408606552e-06 , std 1.2455325618742158e-05 
2023-05-09 07:06:55,999 INFO ofi_4_30: -1.8385596973657159e-06 , std 1.2614905661317208e-05 
2023-05-09 07:06:55,999 INFO ofi_5_30: -1.5807088356077793e-06 , std 1.266150478676936e-05 
2023-05-09 07:06:55,999 INFO ofi_6_30: -1.0861643774879193e-06 , std 1.099096912215874e-05 
2023-05-09 07:06:55,999 INFO ofi_7_30: -5.945599757336673e-07 , std 1.005886220728452e-05 
2023-05-09 07:06:55,999 INFO ofi_8_30: -2.864198314226665e-07 , std 8.95404197594253e-06 
2023-05-09 07:06:55,999 INFO ofi_9_30: -2.1120075408465644e-07 , std 7.752031262848562e-06 
2023-05-09 07:06:55,999 INFO ofi_10_30: -1.6597637266692492e-07 , std 8.666288706325092e-06 
2023-05-09 07:06:55,999 INFO used_intercept: 0.9864408822465952 , std 0.11565149406364861 
2023-05-09 07:06:55,999 INFO used_ofi_1_1: 0.006111646779960628 , std 0.07793776076843384 
2023-05-09 07:06:55,999 INFO used_ofi_2_1: 0.00470049415451368 , std 0.06839882681170095 
2023-05-09 07:06:56,000 INFO used_ofi_3_1: 0.007969748101723514 , std 0.0889169905975151 
2023-05-09 07:06:56,000 INFO used_ofi_4_1: 0.011158651721505765 , std 0.10504349676807176 
2023-05-09 07:06:56,000 INFO used_ofi_5_1: 0.010711703025189827 , std 0.10294154867442966 
2023-05-09 07:06:56,000 INFO used_ofi_6_1: 0.00798983568358041 , std 0.089028075399448 
2023-05-09 07:06:56,000 INFO used_ofi_7_1: 0.004519705917801615 , std 0.06707665895241206 
2023-05-09 07:06:56,000 INFO used_ofi_8_1: 0.0022397653770439116 , std 0.04727313008570204 
2023-05-09 07:06:56,000 INFO used_ofi_9_1: 0.0017074444578361657 , std 0.04128594302252972 
2023-05-09 07:06:56,000 INFO used_ofi_10_1: 0.0016923787714434935 , std 0.04110370573971963 
2023-05-09 07:06:56,000 INFO used_ofi_1_2: 0.007994857579044634 , std 0.089055824241514 
2023-05-09 07:06:56,000 INFO used_ofi_2_2: 0.0071210477682696555 , std 0.08408530458380752 
2023-05-09 07:06:56,000 INFO used_ofi_3_2: 0.011711060222570407 , std 0.10758211417811857 
2023-05-09 07:06:56,000 INFO used_ofi_4_2: 0.01578883933952031 , std 0.12465773899694763 
2023-05-09 07:06:56,000 INFO used_ofi_5_2: 0.014422883773251375 , std 0.11922610534993863 
2023-05-09 07:06:56,000 INFO used_ofi_6_2: 0.011259089630790246 , std 0.10550982196684854 
2023-05-09 07:06:56,000 INFO used_ofi_7_2: 0.006066449720782612 , std 0.07765080752038467 
2023-05-09 07:06:56,000 INFO used_ofi_8_2: 0.0031587722469969067 , std 0.05611411947886655 
2023-05-09 07:06:56,000 INFO used_ofi_9_2: 0.002164436945080551 , std 0.04647313372036925 
2023-05-09 07:06:56,000 INFO used_ofi_10_2: 0.0022196777951870154 , std 0.047061139230500676 
2023-05-09 07:06:56,000 INFO used_ofi_1_3: 0.009797718050701057 , std 0.09849732367785444 
2023-05-09 07:06:56,000 INFO used_ofi_2_3: 0.010325017074444578 , std 0.1010861568013 
2023-05-09 07:06:56,000 INFO used_ofi_3_3: 0.016220722349443575 , std 0.12632343613085356 
2023-05-09 07:06:56,000 INFO used_ofi_4_3: 0.02230725965208308 , std 0.14768089185435476 
2023-05-09 07:06:56,000 INFO used_ofi_5_3: 0.020137800811538306 , std 0.14047159780543936 
2023-05-09 07:06:56,000 INFO used_ofi_6_3: 0.014483146518822064 , std 0.119471272637971 
2023-05-09 07:06:56,000 INFO used_ofi_7_3: 0.007457514764372665 , std 0.08603429686997989 
2023-05-09 07:06:56,000 INFO used_ofi_8_3: 0.0042585673536619665 , std 0.0651185991691797 
2023-05-09 07:06:56,000 INFO used_ofi_9_3: 0.002721867341609417 , std 0.05210046813402062 
2023-05-09 07:06:56,000 INFO used_ofi_10_3: 0.0022698967498292555 , std 0.04758932988154351 
2023-05-09 07:06:56,000 INFO used_ofi_1_5: 0.014935117110602227 , std 0.12129327841020217 
2023-05-09 07:06:56,000 INFO used_ofi_2_5: 0.015452372343417299 , std 0.12334340895393515 
2023-05-09 07:06:56,000 INFO used_ofi_3_5: 0.027489855771162267 , std 0.163505851885622 
2023-05-09 07:06:56,000 INFO used_ofi_4_5: 0.03405347314290306 , std 0.18136657384923122 
2023-05-09 07:06:56,000 INFO used_ofi_5_5: 0.029970672130488932 , std 0.1705063956059586 
2023-05-09 07:06:56,000 INFO used_ofi_6_5: 0.02158912860069905 , std 0.14533766933235692 
2023-05-09 07:06:56,000 INFO used_ofi_7_5: 0.01115362982604154 , std 0.10502012363230762 
2023-05-09 07:06:56,000 INFO used_ofi_8_5: 0.006242216062030453 , std 0.07876071863984851 
2023-05-09 07:06:56,000 INFO used_ofi_9_5: 0.00423847977180507 , std 0.06496549130907169 
2023-05-09 07:06:56,000 INFO used_ofi_10_5: 0.0031688160379253543 , std 0.05620297717063697 
2023-05-09 07:06:56,000 INFO used_ofi_1_10: 0.020775581535494757 , std 0.14263224301453287 
2023-05-09 07:06:56,000 INFO used_ofi_2_10: 0.022995259330681774 , std 0.1498882162779865 
2023-05-09 07:06:56,000 INFO used_ofi_3_10: 0.04133522156602788 , std 0.19906436402358726 
2023-05-09 07:06:56,000 INFO used_ofi_4_10: 0.05225282230525089 , std 0.22253643491883923 
2023-05-09 07:06:56,000 INFO used_ofi_5_10: 0.04767787553734282 , std 0.21308377629840444 
2023-05-09 07:06:56,000 INFO used_ofi_6_10: 0.03059338716805271 , std 0.17221333232255376 
2023-05-09 07:06:56,000 INFO used_ofi_7_10: 0.01650194849544012 , std 0.12739558152186425 
2023-05-09 07:06:56,000 INFO used_ofi_8_10: 0.007809047446868346 , std 0.08802310051822139 
2023-05-09 07:06:56,000 INFO used_ofi_9_10: 0.005242858864649874 , std 0.07221752762020615 
2023-05-09 07:06:56,000 INFO used_ofi_10_10: 0.0037764653890964605 , std 0.06133680541291189 
2023-05-09 07:06:56,000 INFO used_ofi_1_20: 0.029558876702422562 , std 0.1693669079558151 
2023-05-09 07:06:56,000 INFO used_ofi_2_20: 0.03023181069462858 , std 0.17122455523888136 
2023-05-09 07:06:56,000 INFO used_ofi_3_20: 0.05322707002531035 , std 0.2244859662469596 
2023-05-09 07:06:56,000 INFO used_ofi_4_20: 0.06614338515929452 , std 0.24853256880932878 
2023-05-09 07:06:56,000 INFO used_ofi_5_20: 0.061021051785786026 , std 0.23936892660648848 
2023-05-09 07:06:56,000 INFO used_ofi_6_20: 0.04120465228395806 , std 0.19876324839898388 
2023-05-09 07:06:56,000 INFO used_ofi_7_20: 0.020368808002892612 , std 0.14125834369492624 
2023-05-09 07:06:56,000 INFO used_ofi_8_20: 0.01049073962476397 , std 0.10188564180928232 
2023-05-09 07:06:56,001 INFO used_ofi_9_20: 0.007367120646016632 , std 0.08551518098796067 
2023-05-09 07:06:56,001 INFO used_ofi_10_20: 0.004760756900084368 , std 0.06883380051851465 
2023-05-09 07:06:56,001 INFO used_ofi_1_30: 0.035223574786067254 , std 0.18434444544210596 
2023-05-09 07:06:56,001 INFO used_ofi_2_30: 0.03780985095014262 , std 0.1907361164574518 
2023-05-09 07:06:56,001 INFO used_ofi_3_30: 0.06537001325780402 , std 0.24717761756372392 
