2023-05-09 07:40:48,222 INFO Starting...
2023-05-09 07:40:48,222 INFO Tickers: ['BSX']
2023-05-09 07:42:06,424 INFO in_r2: 0.09238009750960757 , std 0.1584437982360149 
2023-05-09 07:42:06,425 INFO os_r2: -0.09709625883951865 , std 0.04893177110549201 
2023-05-09 07:42:06,425 INFO intercept: -3.3764591256581764e-07 , std 0.00028601549755255534 
2023-05-09 07:42:06,425 INFO ofi_1_1: -3.0816603768836463e-07 , std 3.75635844151538e-05 
2023-05-09 07:42:06,425 INFO ofi_2_1: -2.8696274132291804e-07 , std 2.694666203363885e-05 
2023-05-09 07:42:06,425 INFO ofi_3_1: -3.660650342953088e-07 , std 2.541775023900339e-05 
2023-05-09 07:42:06,425 INFO ofi_4_1: -5.069664525692389e-07 , std 2.463653465526645e-05 
2023-05-09 07:42:06,425 INFO ofi_5_1: -4.1617617405428947e-07 , std 2.2028354878774926e-05 
2023-05-09 07:42:06,425 INFO ofi_6_1: -2.3524432042220488e-07 , std 2.355069333894545e-05 
2023-05-09 07:42:06,425 INFO ofi_7_1: -2.10529823715655e-07 , std 2.0539960526571422e-05 
2023-05-09 07:42:06,425 INFO ofi_8_1: -7.69538283840407e-08 , std 1.8385534816732514e-05 
2023-05-09 07:42:06,425 INFO ofi_9_1: -1.5202792138708918e-07 , std 1.6414553626578482e-05 
2023-05-09 07:42:06,425 INFO ofi_10_1: -5.115760468862794e-08 , std 1.9746251382419286e-05 
2023-05-09 07:42:06,425 INFO ofi_1_2: -6.84096797084027e-07 , std 3.4598389838918955e-05 
2023-05-09 07:42:06,425 INFO ofi_2_2: -5.567947556125365e-07 , std 2.964235033849077e-05 
2023-05-09 07:42:06,425 INFO ofi_3_2: -7.819889037826999e-07 , std 2.6985770042870346e-05 
2023-05-09 07:42:06,425 INFO ofi_4_2: -9.059129999213237e-07 , std 2.5779501108650948e-05 
2023-05-09 07:42:06,425 INFO ofi_5_2: -5.360418923493877e-07 , std 2.4154142877649202e-05 
2023-05-09 07:42:06,425 INFO ofi_6_2: -4.7310751571652006e-07 , std 2.3226910287921813e-05 
2023-05-09 07:42:06,425 INFO ofi_7_2: -2.0011833566973065e-07 , std 2.025643755008581e-05 
2023-05-09 07:42:06,425 INFO ofi_8_2: -2.3499477745827977e-07 , std 2.3889578727238642e-05 
2023-05-09 07:42:06,425 INFO ofi_9_2: -1.411692229809198e-07 , std 1.5456689002009393e-05 
2023-05-09 07:42:06,425 INFO ofi_10_2: -1.4367607397178324e-07 , std 1.5760167583461456e-05 
2023-05-09 07:42:06,425 INFO ofi_1_3: -9.717327791405841e-07 , std 4.0236143609523544e-05 
2023-05-09 07:42:06,425 INFO ofi_2_3: -6.452062715159063e-07 , std 3.2977531405103074e-05 
2023-05-09 07:42:06,425 INFO ofi_3_3: -8.679854768598905e-07 , std 3.0959759109023084e-05 
2023-05-09 07:42:06,425 INFO ofi_4_3: -8.679919537959111e-07 , std 2.4030257654459714e-05 
2023-05-09 07:42:06,425 INFO ofi_5_3: -7.031872966545772e-07 , std 2.8755983792409504e-05 
2023-05-09 07:42:06,425 INFO ofi_6_3: -4.438895130342205e-07 , std 2.4694518977330668e-05 
2023-05-09 07:42:06,425 INFO ofi_7_3: -2.786901986091043e-07 , std 2.185863026509947e-05 
2023-05-09 07:42:06,425 INFO ofi_8_3: -2.2663158629112842e-07 , std 1.9299132888089245e-05 
2023-05-09 07:42:06,425 INFO ofi_9_3: -6.257464056578842e-08 , std 1.7551944116172853e-05 
2023-05-09 07:42:06,425 INFO ofi_10_3: -3.3460243411792184e-07 , std 2.3855131003728306e-05 
2023-05-09 07:42:06,425 INFO ofi_1_5: -2.3061505406878185e-06 , std 4.081230587782571e-05 
2023-05-09 07:42:06,425 INFO ofi_2_5: -1.2485462828935755e-06 , std 3.308876053016617e-05 
2023-05-09 07:42:06,425 INFO ofi_3_5: -1.3957447543144476e-06 , std 3.037105903584863e-05 
2023-05-09 07:42:06,425 INFO ofi_4_5: -1.2029296407967856e-06 , std 2.6975992182398837e-05 
