2023-05-09 05:53:43,819 INFO Starting...
2023-05-09 05:53:43,819 INFO Tickers: ['T']
2023-05-09 05:54:54,729 INFO used_ofi_7_10: 0.005594419641736179 , std 0.07458633997327081 
2023-05-09 05:54:54,729 INFO used_ofi_8_10: 0.0064682338407147195 , std 0.08016480394597464 
2023-05-09 05:54:54,729 INFO used_ofi_9_10: 0.005930888327549754 , std 0.07678354570606837 
2023-05-09 05:54:54,729 INFO used_ofi_10_10: 0.0075379029463608655 , std 0.08649325387295882 
2023-05-09 05:54:54,729 INFO used_ofi_1_20: 0.16539193579976597 , std 0.3715339060868766 
2023-05-09 05:54:54,729 INFO used_ofi_2_20: 0.03850306588257745 , std 0.19240732782360281 
2023-05-09 05:54:54,729 INFO used_ofi_3_20: 0.035670702616922866 , std 0.185467796643347 
2023-05-09 05:54:54,729 INFO used_ofi_4_20: 0.015608129485202911 , std 0.12395368400808444 
2023-05-09 05:54:54,729 INFO used_ofi_5_20: 0.008778317355255692 , std 0.0932805365532709 
2023-05-09 05:54:54,729 INFO used_ofi_6_20: 0.007663450963455483 , std 0.08720505996091164 
2023-05-09 05:54:54,729 INFO used_ofi_7_20: 0.00824599376277451 , std 0.09043228046244768 
2023-05-09 05:54:54,729 INFO used_ofi_8_20: 0.007834196266704164 , std 0.0881636072059153 
2023-05-09 05:54:54,729 INFO used_ofi_9_20: 0.0064180146338768725 , std 0.07985501688708238 
2023-05-09 05:54:54,729 INFO used_ofi_10_20: 0.00924535597884767 , std 0.0957072587198696 
2023-05-09 05:54:54,729 INFO used_ofi_1_30: 0.19278149120912785 , std 0.39448293734496653 
2023-05-09 05:54:54,729 INFO used_ofi_2_30: 0.0494960502593822 , std 0.21690133994077332 
2023-05-09 05:54:54,729 INFO used_ofi_3_30: 0.04265117236738363 , std 0.20206941842612247 
2023-05-09 05:54:54,729 INFO used_ofi_4_30: 0.017390911327946488 , std 0.13072286537224462 
2023-05-09 05:54:54,729 INFO used_ofi_5_30: 0.010390353894750586 , std 0.10140214218985923 
2023-05-09 05:54:54,729 INFO used_ofi_6_30: 0.008783339275939476 , std 0.09330697844804114 
2023-05-09 05:54:54,729 INFO used_ofi_7_30: 0.008492067876279962 , std 0.09176030001838821 
2023-05-09 05:54:54,729 INFO used_ofi_8_30: 0.00853224324175024 , std 0.09197523616177261 
2023-05-09 05:54:54,729 INFO used_ofi_9_30: 0.008150577269782602 , std 0.08991187552237973 
2023-05-09 05:54:54,729 INFO used_ofi_10_30: 0.010214586670818121 , std 0.10054973341567079 
2023-05-09 05:54:55,324 INFO Grouping by horizont:
2023-05-09 05:54:55,324 INFO 1: 0.07294841985265685
2023-05-09 05:54:55,324 INFO 2: 0.09734993245516678
2023-05-09 05:54:55,324 INFO 3: 0.12220843983990116
2023-05-09 05:54:55,324 INFO 5: 0.1711721665068022
2023-05-09 05:54:55,324 INFO 10: 0.23369507901992195
2023-05-09 05:54:55,324 INFO 20: 0.30335916274538366
2023-05-09 05:54:55,324 INFO 30: 0.3568827933931612
2023-05-09 05:54:55,324 INFO Grouping by level:
2023-05-09 05:54:55,324 INFO 1: 0.724361839429108
2023-05-09 05:54:55,324 INFO 2: 0.16503537943121727
2023-05-09 05:54:55,324 INFO 3: 0.15633741280690214
2023-05-09 05:54:55,324 INFO 4: 0.07115559416854571
2023-05-09 05:54:55,324 INFO 5: 0.04400206903132172
2023-05-09 05:54:55,324 INFO 6: 0.040828215159169776
2023-05-09 05:54:55,324 INFO 7: 0.038342364420696336
2023-05-09 05:54:55,324 INFO 8: 0.038086246465823315
2023-05-09 05:54:55,324 INFO 9: 0.03415910449110367
2023-05-09 05:54:55,324 INFO 10: 0.04530776840910575
2023-05-09 05:54:55,324 INFO Grouping by level and horizont:
2023-05-09 05:54:55,324 INFO 1_1: 0.03734300220462318
2023-05-09 05:54:55,324 INFO 2_1: 0.006930250543622914
2023-05-09 05:54:55,324 INFO 3_1: 0.007643363280720344
2023-05-09 05:54:55,325 INFO 4_1: 0.004429334043098123
2023-05-09 05:54:55,325 INFO 5_1: 0.0030231962516384017
2023-05-09 05:54:55,325 INFO 6_1: 0.00287253863112486
2023-05-09 05:54:55,325 INFO 7_1: 0.0026314864383031934
2023-05-09 05:54:55,325 INFO 8_1: 0.002621442596935624
2023-05-09 05:54:55,325 INFO 9_1: 0.0021845354974463532
2023-05-09 05:54:55,325 INFO 10_1: 0.003269270365143853
2023-05-09 05:54:55,325 INFO 1_2: 0.047773531464844046
2023-05-09 05:54:55,325 INFO 2_2: 0.009702350761072079
2023-05-09 05:54:55,325 INFO 3_2: 0.011038181662958816
2023-05-09 05:54:55,325 INFO 4_2: 0.005880669120711907
2023-05-09 05:54:55,325 INFO 5_2: 0.004258588739849443
2023-05-09 05:54:55,325 INFO 6_2: 0.0036810678612142
2023-05-09 05:54:55,325 INFO 7_2: 0.003927141974719652
2023-05-09 05:54:55,325 INFO 8_2: 0.00341490606497361
2023-05-09 05:54:55,325 INFO 9_2: 0.003359664937451978
2023-05-09 05:54:55,325 INFO 10_2: 0.004313829867371075
2023-05-09 05:54:55,325 INFO 1_3: 0.06311549915380636
2023-05-09 05:54:55,325 INFO 2_3: 0.012534714026726661
2023-05-09 05:54:55,325 INFO 3_3: 0.0136395365771593
2023-05-09 05:54:55,325 INFO 4_3: 0.006704264112852602
2023-05-09 05:54:55,325 INFO 5_3: 0.004630210870449512
2023-05-09 05:54:55,325 INFO 6_3: 0.004966679556263088
2023-05-09 05:54:55,325 INFO 7_3: 0.003897010450616943
2023-05-09 05:54:55,325 INFO 8_3: 0.004117974960703471
2023-05-09 05:54:55,325 INFO 9_3: 0.00377648435420611
2023-05-09 05:54:55,325 INFO 10_3: 0.004826065777117116
2023-05-09 05:54:55,325 INFO 1_5: 0.08969652533307888
2023-05-09 05:54:55,325 INFO 2_5: 0.019751214049325304
2023-05-09 05:54:55,325 INFO 3_5: 0.018827180643508915
2023-05-09 05:54:55,325 INFO 4_5: 0.009757591888593712
2023-05-09 05:54:55,325 INFO 5_5: 0.006146830916952497
2023-05-09 05:54:55,325 INFO 6_5: 0.006101633630798436
2023-05-09 05:54:55,325 INFO 7_5: 0.005554244276265901
2023-05-09 05:54:55,325 INFO 8_5: 0.005097249494041491
2023-05-09 05:54:55,325 INFO 9_5: 0.004338939470789998
2023-05-09 05:54:55,325 INFO 10_5: 0.005900756803447046
2023-05-09 05:54:55,325 INFO 1_10: 0.12825985426386174
2023-05-09 05:54:55,325 INFO 2_10: 0.028117733908510648
2023-05-09 05:54:55,325 INFO 3_10: 0.026867275658248254
2023-05-09 05:54:55,325 INFO 4_10: 0.01138469419013996
2023-05-09 05:54:55,325 INFO 5_10: 0.006774571002425588
2023-05-09 05:54:55,325 INFO 6_10: 0.006759505240374233
2023-05-09 05:54:55,325 INFO 7_10: 0.005594419641736179
2023-05-09 05:54:55,325 INFO 8_10: 0.0064682338407147195
2023-05-09 05:54:55,325 INFO 9_10: 0.005930888327549754
2023-05-09 05:54:55,325 INFO 10_10: 0.0075379029463608655
2023-05-09 05:54:55,325 INFO 1_20: 0.16539193579976597
2023-05-09 05:54:55,325 INFO 2_20: 0.03850306588257745
2023-05-09 05:54:55,325 INFO 3_20: 0.035670702616922866
2023-05-09 05:54:55,325 INFO 4_20: 0.015608129485202911
2023-05-09 05:54:55,325 INFO 5_20: 0.008778317355255692
2023-05-09 05:54:55,325 INFO 6_20: 0.007663450963455483
2023-05-09 05:54:55,326 INFO 7_20: 0.00824599376277451
2023-05-09 05:54:55,326 INFO 8_20: 0.007834196266704164
2023-05-09 05:54:55,326 INFO 9_20: 0.0064180146338768725
2023-05-09 05:54:55,326 INFO 10_20: 0.00924535597884767
2023-05-09 05:54:55,326 INFO 1_30: 0.19278149120912785
2023-05-09 05:54:55,326 INFO 2_30: 0.0494960502593822
2023-05-09 05:54:55,326 INFO 3_30: 0.04265117236738363
2023-05-09 05:54:55,326 INFO 4_30: 0.017390911327946488
2023-05-09 05:54:55,326 INFO 5_30: 0.010390353894750586
2023-05-09 05:54:55,326 INFO 6_30: 0.008783339275939476
2023-05-09 05:54:55,326 INFO 7_30: 0.008492067876279962
2023-05-09 05:54:55,326 INFO 8_30: 0.00853224324175024
2023-05-09 05:54:55,326 INFO 9_30: 0.008150577269782602
2023-05-09 05:54:55,326 INFO 10_30: 0.010214586670818121
2023-05-09 05:54:55,334 INFO Non empty regressions: 0.4512045076760058 --- 89847 / 199127
