2023-05-09 06:30:08,633 INFO Starting...
2023-05-09 06:30:08,633 INFO Tickers: ['ABBV']
2023-05-09 06:31:27,383 INFO in_r2: 0.10124382774909331 , std 0.16527309342327834 
2023-05-09 06:31:27,383 INFO os_r2: -0.09116479586584607 , std 0.04207243008382136 
2023-05-09 06:31:27,383 INFO intercept: 4.1567894575342075e-06 , std 0.0003104148646343595 
2023-05-09 06:31:27,383 INFO ofi_1_1: -2.409850024055046e-07 , std 1.7094355845936992e-05 
2023-05-09 06:31:27,383 INFO ofi_2_1: -2.3461495011978567e-07 , std 1.2144631691979672e-05 
2023-05-09 06:31:27,383 INFO ofi_3_1: -1.974247096119114e-07 , std 1.4681273350976156e-05 
2023-05-09 06:31:27,383 INFO ofi_4_1: -2.7269627286588814e-07 , std 1.0409171981427661e-05 
2023-05-09 06:31:27,383 INFO ofi_5_1: -2.1756881532142833e-07 , std 1.2847290144740018e-05 
2023-05-09 06:31:27,383 INFO ofi_6_1: -2.638875105134555e-07 , std 1.1543624906945319e-05 
2023-05-09 06:31:27,383 INFO ofi_7_1: -1.4786018851255242e-07 , std 1.0177146495868168e-05 
2023-05-09 06:31:27,383 INFO ofi_8_1: -1.25259194104678e-07 , std 1.2545578292459911e-05 
2023-05-09 06:31:27,383 INFO ofi_9_1: -1.39966105480015e-07 , std 9.4297477924365e-06 
2023-05-09 06:31:27,383 INFO ofi_10_1: -8.015782424817967e-08 , std 1.3482864642977954e-05 
2023-05-09 06:31:27,383 INFO ofi_1_2: -3.2462643445429373e-07 , std 1.5484169887054592e-05 
2023-05-09 06:31:27,383 INFO ofi_2_2: -3.6376119041582626e-07 , std 1.486471405850588e-05 
2023-05-09 06:31:27,383 INFO ofi_3_2: -4.193935589569907e-07 , std 1.2497851901099183e-05 
2023-05-09 06:31:27,384 INFO ofi_4_2: -5.315120017165535e-07 , std 1.2528063552634488e-05 
2023-05-09 06:31:27,384 INFO ofi_5_2: -3.302297885669726e-07 , std 1.099060141431755e-05 
2023-05-09 06:31:27,384 INFO ofi_6_2: -2.493366680965073e-07 , std 1.1074055834163062e-05 
2023-05-09 06:31:27,384 INFO ofi_7_2: -2.3442454147244288e-07 , std 1.1327268710294406e-05 
2023-05-09 06:31:27,384 INFO ofi_8_2: -1.8949669915950031e-07 , std 1.0949282587415327e-05 
2023-05-09 06:31:27,384 INFO ofi_9_2: -1.0167118130203558e-07 , std 1.0330215882425239e-05 
2023-05-09 06:31:27,384 INFO ofi_10_2: -1.966290495803819e-07 , std 1.1752062793170424e-05 
2023-05-09 06:31:27,384 INFO ofi_1_3: -4.89041693059728e-07 , std 1.74235241593328e-05 
2023-05-09 06:31:27,384 INFO ofi_2_3: -3.949567183364264e-07 , std 1.5119445027644764e-05 
2023-05-09 06:31:27,384 INFO ofi_3_3: -6.310484220451392e-07 , std 1.4702140359557618e-05 
2023-05-09 06:31:27,384 INFO ofi_4_3: -7.064901111395542e-07 , std 1.4283672611433828e-05 
2023-05-09 06:31:27,384 INFO ofi_5_3: -6.065359384736648e-07 , std 1.235615276430382e-05 
2023-05-09 06:31:27,384 INFO ofi_6_3: -3.8223060822030065e-07 , std 1.141080474487809e-05 
2023-05-09 06:31:27,384 INFO ofi_7_3: -2.3071397632124966e-07 , std 1.147326068316025e-05 
2023-05-09 06:31:27,384 INFO ofi_8_3: -1.5099614547807252e-07 , std 1.1749309431182658e-05 
2023-05-09 06:31:27,384 INFO ofi_9_3: -1.430164904049506e-07 , std 1.040533432733303e-05 
2023-05-09 06:31:27,384 INFO ofi_10_3: -8.32504456862759e-08 , std 1.1051477373894227e-05 
2023-05-09 06:31:27,384 INFO ofi_1_5: -8.116634083657227e-07 , std 1.7188729703880367e-05 
2023-05-09 06:31:27,384 INFO ofi_2_5: -7.269610197489328e-07 , std 1.594507524293464e-05 
2023-05-09 06:31:27,384 INFO ofi_3_5: -8.859316095044211e-07 , std 1.4836609471752245e-05 
2023-05-09 06:31:27,384 INFO ofi_4_5: -1.0755564424430362e-06 , std 1.4871738549110117e-05 
2023-05-09 06:31:27,384 INFO ofi_5_5: -7.61591208044126e-07 , std 1.2799788770678217e-05 
2023-05-09 06:31:27,384 INFO ofi_6_5: -5.269179584058446e-07 , std 1.2835163491884417e-05 
2023-05-09 06:31:27,384 INFO ofi_7_5: -3.3786740553143864e-07 , std 1.1188555580138438e-05 
2023-05-09 06:31:27,384 INFO ofi_8_5: -2.139831919603152e-07 , std 1.1468189554345111e-05 
2023-05-09 06:31:27,384 INFO ofi_9_5: -1.3829067958600678e-07 , std 9.47273746620224e-06 
2023-05-09 06:31:27,384 INFO ofi_10_5: -2.1554466540316258e-07 , std 1.0368010887802732e-05 
2023-05-09 06:31:27,384 INFO ofi_1_10: -1.0225106720559733e-06 , std 1.7667044692878517e-05 
2023-05-09 06:31:27,384 INFO ofi_2_10: -8.770328364375263e-07 , std 1.6733839779981652e-05 
2023-05-09 06:31:27,384 INFO ofi_3_10: -1.3307259353307147e-06 , std 1.6203530588718788e-05 
2023-05-09 06:31:27,384 INFO ofi_4_10: -1.3294477992716748e-06 , std 1.527646683198236e-05 
2023-05-09 06:31:27,384 INFO ofi_5_10: -1.0620830618757743e-06 , std 1.3553231365343248e-05 
2023-05-09 06:31:27,384 INFO ofi_6_10: -7.788540753872962e-07 , std 1.3671239852347177e-05 
2023-05-09 06:31:27,384 INFO ofi_7_10: -4.5293016271217416e-07 , std 1.1072107606850744e-05 
2023-05-09 06:31:27,384 INFO ofi_8_10: -4.10573357795634e-07 , std 1.2784837375588611e-05 
2023-05-09 06:31:27,384 INFO ofi_9_10: -2.4062357751235413e-07 , std 1.3144276438679327e-05 
2023-05-09 06:31:27,384 INFO ofi_10_10: -3.0169957663186684e-07 , std 1.1571796407729183e-05 
2023-05-09 06:31:27,384 INFO ofi_1_20: -1.4274776998117773e-06 , std 2.0424062246095823e-05 
2023-05-09 06:31:27,384 INFO ofi_2_20: -1.352155536817934e-06 , std 1.86311519229092e-05 
2023-05-09 06:31:27,384 INFO ofi_3_20: -1.6904564890199794e-06 , std 1.709530623827761e-05 
2023-05-09 06:31:27,384 INFO ofi_4_20: -1.9151835339647652e-06 , std 1.6819076674764864e-05 
2023-05-09 06:31:27,384 INFO ofi_5_20: -1.3536457547189065e-06 , std 1.6451131984322647e-05 
2023-05-09 06:31:27,384 INFO ofi_6_20: -1.1062417468493167e-06 , std 1.534072390729942e-05 
2023-05-09 06:31:27,384 INFO ofi_7_20: -7.279056998098873e-07 , std 1.469965702979314e-05 
2023-05-09 06:31:27,384 INFO ofi_8_20: -3.1184811778093714e-07 , std 1.3118591184363115e-05 
2023-05-09 06:31:27,384 INFO ofi_9_20: -3.1297902966779046e-07 , std 1.0283995839642175e-05 
2023-05-09 06:31:27,384 INFO ofi_10_20: -2.873412177707935e-07 , std 1.333940740901082e-05 
2023-05-09 06:31:27,384 INFO ofi_1_30: -1.6014038691603192e-06 , std 2.1770756929691577e-05 
2023-05-09 06:31:27,384 INFO ofi_2_30: -1.8119284036639694e-06 , std 2.0705569348864064e-05 
2023-05-09 06:31:27,384 INFO ofi_3_30: -2.040120281139131e-06 , std 1.920744663165296e-05 
