2023-05-09 06:23:20,147 INFO Starting...
2023-05-09 06:23:20,148 INFO Tickers: ['AMGN']
2023-05-09 06:24:39,934 INFO ofi_9_10: -2.2654267908289985e-07 , std 5.159949942590161e-06 
2023-05-09 06:24:39,934 INFO ofi_10_10: -2.7797348804600775e-07 , std 6.9028284886709215e-06 
2023-05-09 06:24:39,934 INFO ofi_1_20: -8.531951366507845e-07 , std 1.0030906580339657e-05 
2023-05-09 06:24:39,934 INFO ofi_2_20: -5.991856682897902e-07 , std 8.260192585617591e-06 
2023-05-09 06:24:39,934 INFO ofi_3_20: -5.883467351029572e-07 , std 7.623410777445793e-06 
2023-05-09 06:24:39,934 INFO ofi_4_20: -6.614899179392799e-07 , std 7.353106493974463e-06 
2023-05-09 06:24:39,934 INFO ofi_5_20: -6.382951567845899e-07 , std 7.124135382256059e-06 
2023-05-09 06:24:39,934 INFO ofi_6_20: -6.976302084257967e-07 , std 7.765185534761363e-06 
2023-05-09 06:24:39,934 INFO ofi_7_20: -4.102736360914328e-07 , std 6.5258394308828975e-06 
2023-05-09 06:24:39,934 INFO ofi_8_20: -3.247810417606656e-07 , std 6.2355041473331005e-06 
2023-05-09 06:24:39,935 INFO ofi_9_20: -2.7569428035690995e-07 , std 6.391449472648196e-06 
2023-05-09 06:24:39,935 INFO ofi_10_20: -3.4075439716041924e-07 , std 7.494245695264946e-06 
2023-05-09 06:24:39,935 INFO ofi_1_30: -1.0417595935028396e-06 , std 1.018508519688633e-05 
2023-05-09 06:24:39,935 INFO ofi_2_30: -7.101507187145921e-07 , std 8.714539886511863e-06 
2023-05-09 06:24:39,935 INFO ofi_3_30: -7.296333757000142e-07 , std 8.449290251626924e-06 
2023-05-09 06:24:39,935 INFO ofi_4_30: -8.865033112587363e-07 , std 8.219606308509418e-06 
2023-05-09 06:24:39,935 INFO ofi_5_30: -8.039413259244735e-07 , std 7.929127106924405e-06 
2023-05-09 06:24:39,935 INFO ofi_6_30: -7.697585398098486e-07 , std 7.907793330294523e-06 
2023-05-09 06:24:39,935 INFO ofi_7_30: -4.79502777441075e-07 , std 6.599174040527401e-06 
2023-05-09 06:24:39,935 INFO ofi_8_30: -3.7732312979003696e-07 , std 6.971217194673418e-06 
2023-05-09 06:24:39,935 INFO ofi_9_30: -3.874737497087505e-07 , std 6.998493258518087e-06 
2023-05-09 06:24:39,935 INFO ofi_10_30: -4.3940493529874025e-07 , std 7.605550301668464e-06 
2023-05-09 06:24:39,935 INFO used_intercept: 0.9892380780201679 , std 0.10317995452185506 
2023-05-09 06:24:39,935 INFO used_ofi_1_1: 0.012760636374593227 , std 0.11223993288446245 
2023-05-09 06:24:39,935 INFO used_ofi_2_1: 0.007422361496123096 , std 0.08583280285499224 
2023-05-09 06:24:39,935 INFO used_ofi_3_1: 0.006111646779960628 , std 0.07793776076843384 
2023-05-09 06:24:39,935 INFO used_ofi_4_1: 0.006232172271102005 , std 0.07869772741245652 
2023-05-09 06:24:39,935 INFO used_ofi_5_1: 0.00656361737174079 , std 0.08074983776292169 
2023-05-09 06:24:39,935 INFO used_ofi_6_1: 0.0064079386123498455 , std 0.0797927122931048 
2023-05-09 06:24:39,935 INFO used_ofi_7_1: 0.004675384677192559 , std 0.06821675347971957 
2023-05-09 06:24:39,935 INFO used_ofi_8_1: 0.004032582057771885 , std 0.06337444547859351 
2023-05-09 06:24:39,935 INFO used_ofi_9_1: 0.004027560162307662 , std 0.06333513181044667 
2023-05-09 06:24:39,935 INFO used_ofi_10_1: 0.0052127274918645295 , std 0.07201079755120122 
2023-05-09 06:24:39,935 INFO used_ofi_1_2: 0.01795327628460086 , std 0.1327816107570986 
2023-05-09 06:24:39,935 INFO used_ofi_2_2: 0.010154272628660962 , std 0.10025549050323274 
2023-05-09 06:24:39,935 INFO used_ofi_3_2: 0.008316258888754972 , std 0.09081353823549755 
2023-05-09 06:24:39,935 INFO used_ofi_4_2: 0.009621951709453217 , std 0.09761849084448175 
2023-05-09 06:24:39,935 INFO used_ofi_5_2: 0.009662126873167007 , std 0.09782009086815362 
2023-05-09 06:24:39,935 INFO used_ofi_6_2: 0.008959061508175646 , std 0.0942273671767835 
2023-05-09 06:24:39,935 INFO used_ofi_7_2: 0.006021252661604596 , std 0.07736276351055277 
