2023-05-09 05:44:36,192 INFO Starting...
2023-05-09 05:44:36,192 INFO Tickers: ['GOOG']
2023-05-09 05:45:51,087 INFO ofi_8_20: -1.8351613418628854e-07 , std 3.1320854024460427e-06 
2023-05-09 05:45:51,087 INFO ofi_9_20: -1.6479456081261467e-07 , std 3.0241704627965455e-06 
2023-05-09 05:45:51,087 INFO ofi_10_20: -2.359019769894408e-07 , std 3.952339710556654e-06 
2023-05-09 05:45:51,087 INFO ofi_1_30: -5.410427815865052e-07 , std 4.3966174128998595e-06 
2023-05-09 05:45:51,087 INFO ofi_2_30: -3.153018477253959e-07 , std 3.7942833848541104e-06 
2023-05-09 05:45:51,087 INFO ofi_3_30: -2.8070928855223567e-07 , std 4.0855612014980745e-06 
2023-05-09 05:45:51,087 INFO ofi_4_30: -2.1811144846721554e-07 , std 3.581576078339175e-06 
2023-05-09 05:45:51,087 INFO ofi_5_30: -2.164285807600066e-07 , std 3.201551440580458e-06 
2023-05-09 05:45:51,087 INFO ofi_6_30: -2.0646444931498858e-07 , std 3.2390186541259283e-06 
2023-05-09 05:45:51,087 INFO ofi_7_30: -1.9973525333161165e-07 , std 3.0736663854324673e-06 
2023-05-09 05:45:51,087 INFO ofi_8_30: -2.0058294070444642e-07 , std 3.2493166067026048e-06 
2023-05-09 05:45:51,087 INFO ofi_9_30: -2.2056264881668204e-07 , std 3.4721092098815047e-06 
2023-05-09 05:45:51,087 INFO ofi_10_30: -2.6424496693481373e-07 , std 3.7249064208479343e-06 
2023-05-09 05:45:51,087 INFO used_intercept: 0.9873849985938693 , std 0.11160583831347735 
2023-05-09 05:45:51,087 INFO used_ofi_1_1: 0.027464746293841148 , std 0.1634332708014377 
2023-05-09 05:45:51,087 INFO used_ofi_2_1: 0.0056044353380740024 , std 0.07465270016962113 
2023-05-09 05:45:51,087 INFO used_ofi_3_1: 0.002947852637499498 , std 0.054214046171883225 
2023-05-09 05:45:51,087 INFO used_ofi_4_1: 0.0027871519826443295 , std 0.052719861214441464 
2023-05-09 05:45:51,087 INFO used_ofi_5_1: 0.0028223052508938975 , std 0.05305035196833924 
