2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,093 INFO ofi_7_20: -2.2415913136094963e-07 , std 6.1208960235577075e-06 
2023-05-09 07:30:17,093 INFO ofi_8_20: -2.432169566176195e-07 , std 6.408984251282727e-06 
2023-05-09 07:30:17,093 INFO ofi_9_20: -2.393832013593644e-07 , std 7.612435674327535e-06 
2023-05-09 07:30:17,093 INFO ofi_10_20: -3.1753470004628417e-07 , std 7.736730909129533e-06 
2023-05-09 07:30:17,093 INFO ofi_1_30: -1.1172106708169601e-06 , std 1.0617903551991355e-05 
2023-05-09 07:30:17,093 INFO ofi_2_30: -9.638850118337552e-07 , std 9.850400854103787e-06 
2023-05-09 07:30:17,093 INFO ofi_3_30: -8.049884609050287e-07 , std 1.0196965205532106e-05 
2023-05-09 07:30:17,093 INFO ofi_4_30: -6.435454172322407e-07 , std 8.943018472127996e-06 
2023-05-09 07:30:17,093 INFO ofi_5_30: -4.780228614064576e-07 , std 8.02212778413065e-06 
2023-05-09 07:30:17,093 INFO ofi_6_30: -3.570915989010464e-07 , std 7.369367804738839e-06 
2023-05-09 07:30:17,093 INFO ofi_7_30: -2.971400175126669e-07 , std 6.743206334821999e-06 
2023-05-09 07:30:17,093 INFO ofi_8_30: -2.9085843956733367e-07 , std 6.926967175368783e-06 
2023-05-09 07:30:17,093 INFO ofi_9_30: -2.2483874842748803e-07 , std 6.8673782045652384e-06 
2023-05-09 07:30:17,093 INFO ofi_10_30: -3.1772049198146157e-07 , std 8.098968948416486e-06 
2023-05-09 07:30:17,093 INFO used_intercept: 0.9886960235122711 , std 0.1057175321471977 
2023-05-09 07:30:17,093 INFO used_ofi_1_1: 0.02758170263005853 , std 0.16377103623683145 
2023-05-09 07:30:17,093 INFO used_ofi_2_1: 0.009229068803536888 , std 0.09562370570395434 
2023-05-09 07:30:17,093 INFO used_ofi_3_1: 0.0056017483483634355 , std 0.07463490312049076 
2023-05-09 07:30:17,093 INFO used_ofi_4_1: 0.0038533999849280315 , std 0.061956043236186316 
2023-05-09 07:30:17,093 INFO used_ofi_5_1: 0.0030344896882614483 , std 0.05500255958219838 
2023-05-09 07:30:17,093 INFO used_ofi_6_1: 0.0025069707855007663 , std 0.05000685835944316 
2023-05-09 07:30:17,093 INFO used_ofi_7_1: 0.0024567308899997487 , std 0.04950449841513264 
2023-05-09 07:30:17,093 INFO used_ofi_8_1: 0.00193925996633927 , std 0.04399430914473171 
2023-05-09 07:30:17,093 INFO used_ofi_9_1: 0.0022155793915948655 , std 0.047017768976785855 
2023-05-09 07:30:17,093 INFO used_ofi_10_1: 0.00315506543746389 , std 0.05608128921083403 
2023-05-09 07:30:17,093 INFO used_ofi_1_2: 0.03872491145218418 , std 0.1929385723104757 
2023-05-09 07:30:17,093 INFO used_ofi_2_2: 0.013409028109221533 , std 0.11501837276882178 
2023-05-09 07:30:17,093 INFO used_ofi_3_2: 0.007731919917606572 , std 0.08759073770664502 
2023-05-09 07:30:17,093 INFO used_ofi_4_2: 0.005350548870858348 , std 0.07295149414260757 
