2023-05-09 06:44:42,548 INFO Starting...
2023-05-09 06:44:42,548 INFO Tickers: ['IBM']
2023-05-09 06:46:03,290 INFO ofi_9_10: -1.919526536571298e-07 , std 6.0370313815418734e-06 
2023-05-09 06:46:03,290 INFO ofi_10_10: -1.78331439744323e-07 , std 6.495377450155887e-06 
2023-05-09 06:46:03,290 INFO ofi_1_20: -3.3007067948300303e-07 , std 9.204694123214715e-06 
2023-05-09 06:46:03,290 INFO ofi_2_20: -2.8971275933011677e-07 , std 8.821305279916606e-06 
2023-05-09 06:46:03,290 INFO ofi_3_20: -6.173732911921701e-07 , std 7.963970193814167e-06 
2023-05-09 06:46:03,290 INFO ofi_4_20: -8.761375591777058e-07 , std 7.829650947605137e-06 
2023-05-09 06:46:03,290 INFO ofi_5_20: -8.73021494435916e-07 , std 7.827809048443969e-06 
2023-05-09 06:46:03,290 INFO ofi_6_20: -7.803536874085206e-07 , std 8.149448918114246e-06 
2023-05-09 06:46:03,290 INFO ofi_7_20: -5.164136255647152e-07 , std 7.293681763395777e-06 
2023-05-09 06:46:03,290 INFO ofi_8_20: -3.777932457046006e-07 , std 6.451803514863015e-06 
2023-05-09 06:46:03,290 INFO ofi_9_20: -3.022536975576846e-07 , std 6.783848350229689e-06 
2023-05-09 06:46:03,290 INFO ofi_10_20: -2.43122159159924e-07 , std 6.734411025476042e-06 
2023-05-09 06:46:03,290 INFO ofi_1_30: -3.6151468045021966e-07 , std 9.11481589586337e-06 
2023-05-09 06:46:03,290 INFO ofi_2_30: -4.684188378825725e-07 , std 8.394502395089153e-06 
2023-05-09 06:46:03,290 INFO ofi_3_30: -7.024573432697258e-07 , std 8.132541937057184e-06 
2023-05-09 06:46:03,290 INFO ofi_4_30: -9.767998502214853e-07 , std 8.0982356419678e-06 
2023-05-09 06:46:03,290 INFO ofi_5_30: -1.0914687465253353e-06 , std 8.338662829999636e-06 
2023-05-09 06:46:03,290 INFO ofi_6_30: -8.985541290197218e-07 , std 7.866104935871562e-06 
2023-05-09 06:46:03,290 INFO ofi_7_30: -6.873239994361237e-07 , std 7.506275504727746e-06 
2023-05-09 06:46:03,290 INFO ofi_8_30: -4.912546839385157e-07 , std 7.15957741372025e-06 
2023-05-09 06:46:03,290 INFO ofi_9_30: -4.053428351930462e-07 , std 7.643149559194225e-06 
2023-05-09 06:46:03,290 INFO ofi_10_30: -3.0563472214570745e-07 , std 7.008303467035035e-06 
2023-05-09 06:46:03,290 INFO used_intercept: 0.985024707725684 , std 0.1214538303044199 
2023-05-09 06:46:03,290 INFO used_ofi_1_1: 0.0038367281346671487 , std 0.06182238795038415 
2023-05-09 06:46:03,290 INFO used_ofi_2_1: 0.003389779438351211 , std 0.058123049074446737 
2023-05-09 06:46:03,290 INFO used_ofi_3_1: 0.005443734683218834 , std 0.07358057104914009 
2023-05-09 06:46:03,290 INFO used_ofi_4_1: 0.0076835000602627455 , std 0.08731817615529247 
2023-05-09 06:46:03,290 INFO used_ofi_5_1: 0.009235265758707967 , std 0.0956555049386809 
2023-05-09 06:46:03,290 INFO used_ofi_6_1: 0.009586798441203647 , std 0.0974417350874428 
2023-05-09 06:46:03,290 INFO used_ofi_7_1: 0.007095938290948536 , std 0.08393798872214885 
2023-05-09 06:46:03,290 INFO used_ofi_8_1: 0.0052930778192921135 , std 0.0725607410828406 
2023-05-09 06:46:03,290 INFO used_ofi_9_1: 0.003927122253023181 , std 0.06254358451378518 
2023-05-09 06:46:03,290 INFO used_ofi_10_1: 0.003635852316098188 , std 0.06018831193872869 
2023-05-09 06:46:03,290 INFO used_ofi_1_2: 0.006207062793780885 , std 0.07854002269706158 
2023-05-09 06:46:03,290 INFO used_ofi_2_2: 0.0052579245510425456 , std 0.07232066634412386 
