2023-05-09 07:35:35,932 INFO Starting...
2023-05-09 07:35:35,932 INFO Tickers: ['SYK']
2023-05-09 07:36:50,725 INFO ofi_9_10: -2.9183878143386623e-07 , std 1.0474652056405483e-05 
2023-05-09 07:36:50,725 INFO ofi_10_10: -3.195726681828011e-07 , std 1.4593563589320614e-05 
2023-05-09 07:36:50,725 INFO ofi_1_20: -1.7967180263899223e-06 , std 1.8269870689613833e-05 
2023-05-09 07:36:50,725 INFO ofi_2_20: -1.4187815663235589e-06 , std 1.624167454835802e-05 
2023-05-09 07:36:50,725 INFO ofi_3_20: -1.1095328900051925e-06 , std 1.4517858713124925e-05 
2023-05-09 07:36:50,725 INFO ofi_4_20: -9.280315729751994e-07 , std 1.1286219821675379e-05 
2023-05-09 07:36:50,725 INFO ofi_5_20: -8.669344952978725e-07 , std 1.2771669580423798e-05 
2023-05-09 07:36:50,725 INFO ofi_6_20: -5.689057989558847e-07 , std 1.2334396799493046e-05 
2023-05-09 07:36:50,725 INFO ofi_7_20: -4.506522821543626e-07 , std 1.2322676706504332e-05 
2023-05-09 07:36:50,725 INFO ofi_8_20: -5.464426343330428e-07 , std 1.545240430625745e-05 
2023-05-09 07:36:50,725 INFO ofi_9_20: -2.7813276733745093e-07 , std 1.0964876631981677e-05 
2023-05-09 07:36:50,725 INFO ofi_10_20: -5.490298796197209e-07 , std 1.6183893520849294e-05 
2023-05-09 07:36:50,725 INFO ofi_1_30: -2.0504984523687634e-06 , std 1.9264152741507505e-05 
2023-05-09 07:36:50,725 INFO ofi_2_30: -1.6841366413171363e-06 , std 1.7232206153378328e-05 
2023-05-09 07:36:50,725 INFO ofi_3_30: -1.4171207985272882e-06 , std 1.5729403093343763e-05 
2023-05-09 07:36:50,725 INFO ofi_4_30: -1.1668095936860662e-06 , std 1.4618349370785043e-05 
2023-05-09 07:36:50,725 INFO ofi_5_30: -8.917216206603297e-07 , std 1.2242237323980105e-05 
2023-05-09 07:36:50,725 INFO ofi_6_30: -6.561559161666973e-07 , std 1.1808716194128941e-05 
2023-05-09 07:36:50,725 INFO ofi_7_30: -4.0041410799845596e-07 , std 1.0575807104810809e-05 
