2023-05-09 05:52:30,548 INFO Starting...
2023-05-09 05:52:30,548 INFO Tickers: ['BAC']
2023-05-09 05:53:43,172 INFO in_r2: 0.08941626765160843 , std 0.15668019569660488 
2023-05-09 05:53:43,172 INFO os_r2: -0.10212651406424891 , std 0.0778508169504619 
2023-05-09 05:53:43,172 INFO intercept: -3.420067575145089e-06 , std 0.0002718726346351621 
2023-05-09 05:53:43,172 INFO ofi_1_1: -5.270420784249535e-08 , std 3.4064276956525846e-05 
2023-05-09 05:53:43,172 INFO ofi_2_1: -6.37276452286837e-07 , std 2.955751034323202e-05 
2023-05-09 05:53:43,172 INFO ofi_3_1: -5.392885513599231e-07 , std 3.1456607268310546e-05 
2023-05-09 05:53:43,172 INFO ofi_4_1: -4.0382493798933743e-07 , std 2.5531310619671423e-05 
2023-05-09 05:53:43,172 INFO ofi_5_1: -2.8895376894388234e-07 , std 2.2131640927604808e-05 
2023-05-09 05:53:43,172 INFO ofi_6_1: -2.9977720453781406e-07 , std 2.361585954307138e-05 
2023-05-09 05:53:43,172 INFO ofi_7_1: -3.8610209462472826e-08 , std 2.5033234462741115e-05 
2023-05-09 05:53:43,172 INFO ofi_8_1: -1.982856024794717e-07 , std 2.185917436356634e-05 
2023-05-09 05:53:43,172 INFO ofi_9_1: -1.8058887825216662e-07 , std 2.0679810178213007e-05 
2023-05-09 05:53:43,172 INFO ofi_10_1: -6.448962943068534e-08 , std 2.1693426902186294e-05 
2023-05-09 05:53:43,172 INFO ofi_1_2: -7.878193362636873e-07 , std 3.42632049024388e-05 
2023-05-09 05:53:43,172 INFO ofi_2_2: -7.788275097671841e-07 , std 2.7256648321172285e-05 
2023-05-09 05:53:43,172 INFO ofi_3_2: -8.705616238769581e-07 , std 3.235912374048916e-05 
2023-05-09 05:53:43,172 INFO ofi_4_2: -5.779329768377867e-07 , std 2.7177731194908648e-05 
2023-05-09 05:53:43,172 INFO ofi_5_2: -3.2826625232074154e-07 , std 1.8171077630624865e-05 
2023-05-09 05:53:43,172 INFO ofi_6_2: -3.4454346841931113e-07 , std 2.089489214189864e-05 
2023-05-09 05:53:43,172 INFO ofi_7_2: -1.876694487011146e-07 , std 2.4090476073987274e-05 
2023-05-09 05:53:43,172 INFO ofi_8_2: -2.791019136075236e-07 , std 2.2116238769878685e-05 
2023-05-09 05:53:43,172 INFO ofi_9_2: -3.3917730459342515e-07 , std 2.3041510540536552e-05 
2023-05-09 05:53:43,172 INFO ofi_10_2: -2.518194225653303e-07 , std 2.0957364844548205e-05 
2023-05-09 05:53:43,172 INFO ofi_1_3: -1.3523238072700312e-06 , std 3.7960647535383945e-05 
2023-05-09 05:53:43,172 INFO ofi_2_3: -7.862263162667202e-07 , std 3.38836381312793e-05 
2023-05-09 05:53:43,172 INFO ofi_3_3: -8.836151709569749e-07 , std 3.126729391136882e-05 
2023-05-09 05:53:43,172 INFO ofi_4_3: -6.597551627419724e-07 , std 2.7775410465244758e-05 
2023-05-09 05:53:43,173 INFO ofi_5_3: -4.656811617011773e-07 , std 2.7188250880642976e-05 
2023-05-09 05:53:43,173 INFO ofi_6_3: -2.2905150321126304e-07 , std 1.4268635453773214e-05 
2023-05-09 05:53:43,173 INFO ofi_7_3: -2.4291997598737066e-07 , std 2.0300233385098477e-05 
2023-05-09 05:53:43,173 INFO ofi_8_3: -3.0291550730281097e-07 , std 1.91805505583778e-05 
2023-05-09 05:53:43,173 INFO ofi_9_3: -3.2054800036159026e-07 , std 2.7298074367012076e-05 
2023-05-09 05:53:43,173 INFO ofi_10_3: -2.400675880728016e-07 , std 2.4376755432850537e-05 
2023-05-09 05:53:43,173 INFO ofi_1_5: -2.9654899711783995e-06 , std 3.839079260911487e-05 
2023-05-09 05:53:43,173 INFO ofi_2_5: -1.401306894970052e-06 , std 3.352520072079403e-05 
2023-05-09 05:53:43,173 INFO ofi_3_5: -1.2435110786414712e-06 , std 3.8154833845799165e-05 
2023-05-09 05:53:43,173 INFO ofi_4_5: -6.351089603381026e-07 , std 2.3964484933938223e-05 
2023-05-09 05:53:43,173 INFO ofi_5_5: -4.5444438593852146e-07 , std 2.1490008473977544e-05 
2023-05-09 05:53:43,173 INFO ofi_6_5: -4.0073220671616024e-07 , std 2.0539317426567756e-05 
2023-05-09 05:53:43,173 INFO ofi_7_5: -2.401183016425738e-07 , std 1.9451811079806698e-05 
2023-05-09 05:53:43,173 INFO ofi_8_5: -3.955771366685848e-07 , std 2.147380770978882e-05 
2023-05-09 05:53:43,173 INFO ofi_9_5: -2.417548624096365e-07 , std 1.902415057158395e-05 
2023-05-09 05:53:43,173 INFO ofi_10_5: -4.0955928172715863e-07 , std 2.6802805002003525e-05 
2023-05-09 05:53:43,173 INFO ofi_1_10: -4.232562212161653e-06 , std 4.095860178096125e-05 
2023-05-09 05:53:43,173 INFO ofi_2_10: -1.9672289626454876e-06 , std 3.6383046594612345e-05 
2023-05-09 05:53:43,173 INFO ofi_3_10: -1.6827490577233155e-06 , std 3.789077604124956e-05 
2023-05-09 05:53:43,173 INFO ofi_4_10: -7.805418195052918e-07 , std 2.7598002601535858e-05 
2023-05-09 05:53:43,173 INFO ofi_5_10: -4.3163075042342613e-07 , std 2.3744843235946937e-05 
2023-05-09 05:53:43,173 INFO ofi_6_10: -4.945796488499665e-07 , std 2.267358248606209e-05 
2023-05-09 05:53:43,173 INFO ofi_7_10: -4.648347141080761e-07 , std 1.9436656995072507e-05 
2023-05-09 05:53:43,173 INFO ofi_8_10: -2.857336718795278e-07 , std 2.1001166148366378e-05 
2023-05-09 05:53:43,173 INFO ofi_9_10: -1.8104549412700794e-07 , std 2.0195822320745588e-05 
2023-05-09 05:53:43,173 INFO ofi_10_10: -5.397583482584504e-07 , std 2.6281255037653514e-05 
2023-05-09 05:53:43,173 INFO ofi_1_20: -6.514949680352965e-06 , std 4.3086429158593286e-05 
2023-05-09 05:53:43,173 INFO ofi_2_20: -2.113369319110863e-06 , std 4.052079796911338e-05 
2023-05-09 05:53:43,173 INFO ofi_3_20: -2.0243083409121524e-06 , std 4.052731590491977e-05 
2023-05-09 05:53:43,173 INFO ofi_4_20: -8.906512066494362e-07 , std 2.9570920827378662e-05 
2023-05-09 05:53:43,173 INFO ofi_5_20: -5.541679051055553e-07 , std 2.5875557589926937e-05 
2023-05-09 05:53:43,173 INFO ofi_6_20: -6.414900703655504e-07 , std 2.4503574759518654e-05 
2023-05-09 05:53:43,173 INFO ofi_7_20: -4.557238454821136e-07 , std 2.4756865314113018e-05 
