2023-05-09 06:18:08,675 INFO Starting...
2023-05-09 06:18:08,675 INFO Tickers: ['MDT']
2023-05-09 06:19:26,183 INFO ofi_9_10: -1.1728279198594836e-07 , std 7.434344402229833e-06 
2023-05-09 06:19:26,183 INFO ofi_10_10: -1.2442854021738916e-07 , std 8.330322903668508e-06 
2023-05-09 06:19:26,183 INFO ofi_1_20: -8.642914011491815e-07 , std 1.567457821065839e-05 
2023-05-09 06:19:26,183 INFO ofi_2_20: -1.110767857381229e-06 , std 1.3402170094093908e-05 
2023-05-09 06:19:26,183 INFO ofi_3_20: -1.4816603953077541e-06 , std 1.3825118050414236e-05 
2023-05-09 06:19:26,183 INFO ofi_4_20: -1.4751690813028222e-06 , std 1.2373076446911838e-05 
2023-05-09 06:19:26,183 INFO ofi_5_20: -1.203381325468015e-06 , std 1.1779506980652087e-05 
2023-05-09 06:19:26,183 INFO ofi_6_20: -9.0249011909486e-07 , std 1.2404198443905882e-05 
2023-05-09 06:19:26,183 INFO ofi_7_20: -4.623652958156295e-07 , std 1.0192731486183616e-05 
2023-05-09 06:19:26,183 INFO ofi_8_20: -2.0949874938710216e-07 , std 8.066354345671022e-06 
2023-05-09 06:19:26,183 INFO ofi_9_20: -1.9301848842374063e-07 , std 8.712268634703362e-06 
2023-05-09 06:19:26,183 INFO ofi_10_20: -1.6100145768073866e-07 , std 8.988012209319482e-06 
2023-05-09 06:19:26,183 INFO ofi_1_30: -1.079210366103234e-06 , std 1.6511947401938284e-05 
2023-05-09 06:19:26,183 INFO ofi_2_30: -1.3952279557809194e-06 , std 1.5579682022453302e-05 
2023-05-09 06:19:26,183 INFO ofi_3_30: -1.8298542111957917e-06 , std 1.3872136498646633e-05 
2023-05-09 06:19:26,183 INFO ofi_4_30: -2.0172910505248674e-06 , std 1.3559018828802733e-05 
2023-05-09 06:19:26,183 INFO ofi_5_30: -1.3810695733487839e-06 , std 1.234173619111963e-05 
2023-05-09 06:19:26,183 INFO ofi_6_30: -9.302001125408656e-07 , std 1.2577334301786628e-05 
2023-05-09 06:19:26,183 INFO ofi_7_30: -5.074207236443257e-07 , std 1.1091262881286629e-05 
2023-05-09 06:19:26,183 INFO ofi_8_30: -3.4363603695814e-07 , std 9.264361647117922e-06 
2023-05-09 06:19:26,183 INFO ofi_9_30: -2.083897243401314e-07 , std 9.599979475580076e-06 
2023-05-09 06:19:26,183 INFO ofi_10_30: -1.8981812334587718e-07 , std 9.136725931322314e-06 
2023-05-09 06:19:26,183 INFO used_intercept: 0.9863906632919529 , std 0.11586251620957524 
2023-05-09 06:19:26,183 INFO used_ofi_1_1: 0.00845185006628902 , std 0.0915446136959788 
2023-05-09 06:19:26,183 INFO used_ofi_2_1: 0.006734361817524406 , std 0.0817863692092703 
2023-05-09 06:19:26,183 INFO used_ofi_3_1: 0.010330038969908802 , std 0.1011104804893586 
2023-05-09 06:19:26,183 INFO used_ofi_4_1: 0.011706038327106183 , std 0.10755931848887156 
2023-05-09 06:19:26,183 INFO used_ofi_5_1: 0.010219557269695874 , std 0.10057394254431554 
2023-05-09 06:19:26,183 INFO used_ofi_6_1: 0.00771363143304809 , std 0.0874878924375435 
2023-05-09 06:19:26,183 INFO used_ofi_7_1: 0.0034751516612430196 , std 0.05884789700723705 
2023-05-09 06:19:26,183 INFO used_ofi_8_1: 0.0019635611265115907 , std 0.044268561691272995 
2023-05-09 06:19:26,183 INFO used_ofi_9_1: 0.0015969627576232373 , std 0.03993009476039347 
2023-05-09 06:19:26,183 INFO used_ofi_10_1: 0.0015266562211241012 , std 0.03904261187352358 
2023-05-09 06:19:26,183 INFO used_ofi_1_2: 0.01115362982604154 , std 0.10502012363230762 
2023-05-09 06:19:26,183 INFO used_ofi_2_2: 0.010465630147442851 , std 0.10176492879700641 
2023-05-09 06:19:26,183 INFO used_ofi_3_2: 0.014960226587923346 , std 0.1213936497859807 
2023-05-09 06:19:26,183 INFO used_ofi_4_2: 0.016662649150295288 , std 0.12800392678972566 
2023-05-09 06:19:26,183 INFO used_ofi_5_2: 0.014844722992246193 , std 0.12093120850934083 
2023-05-09 06:19:26,183 INFO used_ofi_6_2: 0.010184404001446306 , std 0.1004025991525201 
2023-05-09 06:19:26,183 INFO used_ofi_7_2: 0.00462516572255032 , std 0.06785111321554911 
2023-05-09 06:19:26,183 INFO used_ofi_8_2: 0.0029026555783214815 , std 0.05379804986163646 
2023-05-09 06:19:26,183 INFO used_ofi_9_2: 0.0022146558997227913 , std 0.047007990799103665 
2023-05-09 06:19:26,183 INFO used_ofi_10_2: 0.0017225101442288377 , std 0.041467373958714415 
2023-05-09 06:19:26,183 INFO used_ofi_1_3: 0.014307380177574224 , std 0.11875470117022138 
2023-05-09 06:19:26,183 INFO used_ofi_2_3: 0.014834679201317745 , std 0.12089090740958036 
2023-05-09 06:19:26,183 INFO used_ofi_3_3: 0.020258326302679684 , std 0.14088266933194385 
2023-05-09 06:19:26,183 INFO used_ofi_4_3: 0.021885420433088266 , std 0.1463094282866119 
2023-05-09 06:19:26,183 INFO used_ofi_5_3: 0.018174239685026718 , std 0.1335811988900306 
2023-05-09 06:19:26,183 INFO used_ofi_6_3: 0.013016753043268652 , std 0.11334600647344928 
2023-05-09 06:19:26,183 INFO used_ofi_7_3: 0.00602627455706882 , std 0.07739482264358284 
2023-05-09 06:19:26,183 INFO used_ofi_8_3: 0.003289341529066731 , std 0.057258377215669384 
2023-05-09 06:19:26,183 INFO used_ofi_9_3: 0.002691735968824073 , std 0.05181206931109981 
2023-05-09 06:19:26,184 INFO used_ofi_10_3: 0.0025159696275762326 , std 0.05009630250237382 
2023-05-09 06:19:26,184 INFO used_ofi_1_5: 0.02022819492989434 , std 0.14078002365311826 
2023-05-09 06:19:26,184 INFO used_ofi_2_5: 0.02239263187497489 , std 0.14795675690108498 
2023-05-09 06:19:26,184 INFO used_ofi_3_5: 0.03174340122936001 , std 0.17531616499271213 
2023-05-09 06:19:26,184 INFO used_ofi_4_5: 0.036634727411514204 , std 0.18786331243486115 
2023-05-09 06:19:26,184 INFO used_ofi_5_5: 0.02700775380659676 , std 0.16210593771024867 
2023-05-09 06:19:26,184 INFO used_ofi_6_5: 0.01755654654292716 , std 0.13133283754040037 
2023-05-09 06:19:26,184 INFO used_ofi_7_5: 0.007743762805833433 , std 0.08765726976948589 
2023-05-09 06:19:26,184 INFO used_ofi_8_5: 0.004343939576553774 , std 0.06576526260503354 
2023-05-09 06:19:26,184 INFO used_ofi_9_5: 0.0034550640793861234 , std 0.05867816128333829 
2023-05-09 06:19:26,184 INFO used_ofi_10_5: 0.0031989474107106987 , std 0.056468700588681926 
2023-05-09 06:19:26,184 INFO used_ofi_1_10: 0.029614117552529025 , std 0.16952026897723474 
2023-05-09 06:19:26,184 INFO used_ofi_2_10: 0.03361656823751557 , std 0.1802401025783331 
2023-05-09 06:19:26,184 INFO used_ofi_3_10: 0.048355831425013054 , std 0.214517003969869 
2023-05-09 06:19:26,184 INFO used_ofi_4_10: 0.052589289301353905 , std 0.22321213217953098 
2023-05-09 06:19:26,184 INFO used_ofi_5_10: 0.04007974769997188 , std 0.19614627583586305 
2023-05-09 06:19:26,184 INFO used_ofi_6_10: 0.0252802217669037 , std 0.15697494116679855 
2023-05-09 06:19:26,184 INFO used_ofi_7_10: 0.01136454943553895 , std 0.10599715303566479 
2023-05-09 06:19:26,184 INFO used_ofi_8_10: 0.006423004298742517 , std 0.07988585177940369 
2023-05-09 06:19:26,184 INFO used_ofi_9_10: 0.0044192680085171345 , std 0.06633052147229081 
2023-05-09 06:19:26,184 INFO used_ofi_10_10: 0.003907034671166285 , std 0.0623840504555819 
2023-05-09 06:19:26,184 INFO used_ofi_1_20: 0.04019525129564903 , std 0.19641688590579137 
2023-05-09 06:19:26,184 INFO used_ofi_2_20: 0.04601060624322044 , std 0.20950806752092332 
2023-05-09 06:19:26,184 INFO used_ofi_3_20: 0.06513900606644972 , std 0.24677097875383308 
2023-05-09 06:19:26,184 INFO used_ofi_4_20: 0.06700715117914105 , std 0.2500343833755606 
2023-05-09 06:19:26,184 INFO used_ofi_5_20: 0.050259129805953956 , std 0.21847917447002183 
2023-05-09 06:19:26,184 INFO used_ofi_6_20: 0.03457072837571813 , std 0.18268988235611308 
2023-05-09 06:19:26,184 INFO used_ofi_7_20: 0.014759350769354385 , std 0.12058819317918953 
2023-05-09 06:19:26,184 INFO used_ofi_8_20: 0.007342011168695512 , std 0.08537040494629426 
2023-05-09 06:19:26,184 INFO used_ofi_9_20: 0.005408581414969266 , std 0.07334390678200142 
2023-05-09 06:19:26,184 INFO used_ofi_10_20: 0.005303121610220562 , std 0.07262918498377753 
2023-05-09 06:19:26,184 INFO used_ofi_1_30: 0.04713551082720662 , std 0.2119286541415882 
2023-05-09 06:19:26,184 INFO used_ofi_2_30: 0.053131654011490094 , std 0.22429596820605893 
2023-05-09 06:19:26,184 INFO used_ofi_3_30: 0.07728697119440761 , std 0.26704624183463516 
2023-05-09 06:19:26,184 INFO used_ofi_4_30: 0.08201759672170664 , std 0.2743915278387839 
2023-05-09 06:19:26,184 INFO used_ofi_5_30: 0.058680848499457636 , std 0.23502639536622547 
2023-05-09 06:19:26,184 INFO used_ofi_6_30: 0.03954742678076413 , std 0.19489337550513158 
2023-05-09 06:19:26,184 INFO used_ofi_7_30: 0.01839018118998835 , std 0.13435766604770918 
2023-05-09 06:19:26,184 INFO used_ofi_8_30: 0.009566710859346753 , std 0.09734058199271468 
2023-05-09 06:19:26,184 INFO used_ofi_9_30: 0.006633923908239926 , std 0.08117829119795272 
2023-05-09 06:19:26,184 INFO used_ofi_10_30: 0.005574303965288659 , std 0.07445287839023568 
2023-05-09 06:19:26,810 INFO Grouping by horizont:
2023-05-09 06:19:26,810 INFO 1: 0.06371780965007433
2023-05-09 06:19:26,810 INFO 2: 0.08973625005021896
2023-05-09 06:19:26,810 INFO 3: 0.11700012052549116
2023-05-09 06:19:26,810 INFO 5: 0.17430496966775139
2023-05-09 06:19:26,810 INFO 10: 0.25564963239725197
2023-05-09 06:19:26,810 INFO 20: 0.335994937929372
2023-05-09 06:19:26,810 INFO 30: 0.3979651279578964
2023-05-09 06:19:26,810 INFO Grouping by level:
2023-05-09 06:19:26,810 INFO 1: 0.1710859346751838
2023-05-09 06:19:26,810 INFO 2: 0.18718613153348598
2023-05-09 06:19:26,810 INFO 3: 0.26807380177574225
2023-05-09 06:19:26,810 INFO 4: 0.28850287252420553
2023-05-09 06:19:26,810 INFO 5: 0.219265999758949
2023-05-09 06:19:26,810 INFO 6: 0.14786971194407617
2023-05-09 06:19:26,810 INFO 7: 0.06638443614157727
2023-05-09 06:19:26,810 INFO 8: 0.035831224137238354
2023-05-09 06:19:26,810 INFO 9: 0.026420192037282554
2023-05-09 06:19:26,810 INFO 10: 0.023748543650315375
2023-05-09 06:19:26,810 INFO Grouping by level and horizont:
2023-05-09 06:19:26,810 INFO 1_1: 0.00845185006628902
2023-05-09 06:19:26,810 INFO 2_1: 0.006734361817524406
2023-05-09 06:19:26,810 INFO 3_1: 0.010330038969908802
2023-05-09 06:19:26,810 INFO 4_1: 0.011706038327106183
2023-05-09 06:19:26,810 INFO 5_1: 0.010219557269695874
2023-05-09 06:19:26,810 INFO 6_1: 0.00771363143304809
2023-05-09 06:19:26,810 INFO 7_1: 0.0034751516612430196
2023-05-09 06:19:26,810 INFO 8_1: 0.0019635611265115907
2023-05-09 06:19:26,811 INFO 9_1: 0.0015969627576232373
2023-05-09 06:19:26,811 INFO 10_1: 0.0015266562211241012
2023-05-09 06:19:26,811 INFO 1_2: 0.01115362982604154
2023-05-09 06:19:26,811 INFO 2_2: 0.010465630147442851
2023-05-09 06:19:26,811 INFO 3_2: 0.014960226587923346
2023-05-09 06:19:26,811 INFO 4_2: 0.016662649150295288
2023-05-09 06:19:26,811 INFO 5_2: 0.014844722992246193
2023-05-09 06:19:26,811 INFO 6_2: 0.010184404001446306
2023-05-09 06:19:26,811 INFO 7_2: 0.00462516572255032
2023-05-09 06:19:26,811 INFO 8_2: 0.0029026555783214815
2023-05-09 06:19:26,811 INFO 9_2: 0.0022146558997227913
2023-05-09 06:19:26,811 INFO 10_2: 0.0017225101442288377
2023-05-09 06:19:26,811 INFO 1_3: 0.014307380177574224
2023-05-09 06:19:26,811 INFO 2_3: 0.014834679201317745
2023-05-09 06:19:26,811 INFO 3_3: 0.020258326302679684
2023-05-09 06:19:26,811 INFO 4_3: 0.021885420433088266
2023-05-09 06:19:26,811 INFO 5_3: 0.018174239685026718
2023-05-09 06:19:26,811 INFO 6_3: 0.013016753043268652
2023-05-09 06:19:26,811 INFO 7_3: 0.00602627455706882
2023-05-09 06:19:26,811 INFO 8_3: 0.003289341529066731
2023-05-09 06:19:26,811 INFO 9_3: 0.002691735968824073
2023-05-09 06:19:26,811 INFO 10_3: 0.0025159696275762326
2023-05-09 06:19:26,811 INFO 1_5: 0.02022819492989434
2023-05-09 06:19:26,811 INFO 2_5: 0.02239263187497489
2023-05-09 06:19:26,811 INFO 3_5: 0.03174340122936001
2023-05-09 06:19:26,811 INFO 4_5: 0.036634727411514204
2023-05-09 06:19:26,811 INFO 5_5: 0.02700775380659676
2023-05-09 06:19:26,811 INFO 6_5: 0.01755654654292716
2023-05-09 06:19:26,811 INFO 7_5: 0.007743762805833433
2023-05-09 06:19:26,811 INFO 8_5: 0.004343939576553774
2023-05-09 06:19:26,811 INFO 9_5: 0.0034550640793861234
2023-05-09 06:19:26,811 INFO 10_5: 0.0031989474107106987
2023-05-09 06:19:26,811 INFO 1_10: 0.029614117552529025
2023-05-09 06:19:26,811 INFO 2_10: 0.03361656823751557
2023-05-09 06:19:26,811 INFO 3_10: 0.048355831425013054
2023-05-09 06:19:26,811 INFO 4_10: 0.052589289301353905
2023-05-09 06:19:26,811 INFO 5_10: 0.04007974769997188
2023-05-09 06:19:26,811 INFO 6_10: 0.0252802217669037
2023-05-09 06:19:26,811 INFO 7_10: 0.01136454943553895
2023-05-09 06:19:26,811 INFO 8_10: 0.006423004298742517
2023-05-09 06:19:26,811 INFO 9_10: 0.0044192680085171345
2023-05-09 06:19:26,811 INFO 10_10: 0.003907034671166285
2023-05-09 06:19:26,811 INFO 1_20: 0.04019525129564903
2023-05-09 06:19:26,811 INFO 2_20: 0.04601060624322044
2023-05-09 06:19:26,811 INFO 3_20: 0.06513900606644972
2023-05-09 06:19:26,811 INFO 4_20: 0.06700715117914105
2023-05-09 06:19:26,811 INFO 5_20: 0.050259129805953956
2023-05-09 06:19:26,811 INFO 6_20: 0.03457072837571813
2023-05-09 06:19:26,811 INFO 7_20: 0.014759350769354385
2023-05-09 06:19:26,811 INFO 8_20: 0.007342011168695512
2023-05-09 06:19:26,811 INFO 9_20: 0.005408581414969266
2023-05-09 06:19:26,811 INFO 10_20: 0.005303121610220562
2023-05-09 06:19:26,811 INFO 1_30: 0.04713551082720662
2023-05-09 06:19:26,812 INFO 2_30: 0.053131654011490094
2023-05-09 06:19:26,812 INFO 3_30: 0.07728697119440761
2023-05-09 06:19:26,812 INFO 4_30: 0.08201759672170664
2023-05-09 06:19:26,812 INFO 5_30: 0.058680848499457636
2023-05-09 06:19:26,812 INFO 6_30: 0.03954742678076413
2023-05-09 06:19:26,812 INFO 7_30: 0.01839018118998835
2023-05-09 06:19:26,812 INFO 8_30: 0.009566710859346753
2023-05-09 06:19:26,812 INFO 9_30: 0.006633923908239926
2023-05-09 06:19:26,812 INFO 10_30: 0.005574303965288659
2023-05-09 06:19:26,821 INFO Non empty regressions: 0.4824334096661444 --- 96066 / 199128
