2023-04-20 05:01:04,308 INFO Experiment: individual_price_impact
2023-04-20 05:14:56,327 INFO t_ofi_trade_8: 20934418370.766346 , std 1915563547668.074 
2023-04-20 05:14:56,327 INFO t_ofi_trade_9: 16103472087.956942 , std 1812221940063.1138 
2023-04-20 05:14:56,328 INFO t_ofi_trade_10: 15531253808.555782 , std 1835701399074.7861 
2023-04-20 05:14:56,328 INFO p_intercept: 0.4904874560828846 , std 0.29305350414531744 
2023-04-20 05:14:56,328 INFO p_ofi_add_1: 0.2377326141914236 , std 0.29177786658996746 
2023-04-20 05:14:56,328 INFO p_ofi_add_2: 0.1701098440614508 , std 0.25934133696031475 
2023-04-20 05:14:56,328 INFO p_ofi_add_3: 0.2184560442990893 , std 0.28245923121863054 
2023-04-20 05:14:56,328 INFO p_ofi_add_4: 0.25505741318894937 , std 0.29806059286489317 
2023-04-20 05:14:56,328 INFO p_ofi_add_5: 0.27118590083596344 , std 0.30549687275797127 
2023-04-20 05:14:56,328 INFO p_ofi_add_6: 0.2706297237119726 , std 0.3069600476045318 
2023-04-20 05:14:56,328 INFO p_ofi_add_7: 0.2801787303263632 , std 0.3093837033399397 
2023-04-20 05:14:56,328 INFO p_ofi_add_8: 0.2907463279652486 , std 0.31051418749124954 
2023-04-20 05:14:56,328 INFO p_ofi_add_9: 0.3032370047902331 , std 0.3131088388467885 
2023-04-20 05:14:56,328 INFO p_ofi_add_10: 0.26076774759463117 , std 0.30396504915765654 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_1: 0.2529886115739072 , std 0.2960370646727142 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_2: 0.17789763717675494 , std 0.26327355193081464 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_3: 0.23965043489196403 , std 0.28930559927472455 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_4: 0.27911432500549144 , std 0.3029216302396523 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_5: 0.2984746784406887 , std 0.30940004201369176 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_6: 0.2961950975965947 , std 0.3105565252317788 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_7: 0.3072331798432455 , std 0.3120751900781932 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_8: 0.31472359163448527 , std 0.3131545575317164 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_9: 0.3219799756132502 , std 0.3139625166291936 
2023-04-20 05:14:56,328 INFO p_ofi_cancel_10: 0.2802523194947214 , std 0.30694907545113576 
2023-04-20 05:14:56,328 INFO p_ofi_trade_1: 0.3483226003391525 , std 0.31253473350520716 
2023-04-20 05:14:56,328 INFO p_ofi_trade_2: 0.2895700138161473 , std 0.30722250394441275 
2023-04-20 05:14:56,328 INFO p_ofi_trade_3: 0.29946290338646564 , std 0.30924848162584545 
2023-04-20 05:14:56,328 INFO p_ofi_trade_4: 0.30441959173783023 , std 0.3109247182775956 
2023-04-20 05:14:56,328 INFO p_ofi_trade_5: 0.3057109676068334 , std 0.31185756685319044 
2023-04-20 05:14:56,328 INFO p_ofi_trade_6: 0.3011309395638356 , std 0.311048323181662 
2023-04-20 05:14:56,328 INFO p_ofi_trade_7: 0.30402085400638756 , std 0.3109303415235915 
2023-04-20 05:14:56,328 INFO p_ofi_trade_8: 0.307498954188446 , std 0.3106647820265384 
2023-04-20 05:14:56,328 INFO p_ofi_trade_9: 0.3113053173578119 , std 0.311225285792686 
2023-04-20 05:14:56,328 INFO p_ofi_trade_10: 0.27531359673915146 , std 0.30477842735447563 
