2023-04-20 05:03:10,609 INFO Tickers: ['MRK']
2023-04-20 05:03:25,145 INFO Negative OS: -0.3944617971430131 --- ticker MRK --- day 2017-09-14 --- time 37800
2023-04-20 05:03:29,185 INFO Negative OS: -1.058019800887386 --- ticker MRK --- day 2017-11-22 --- time 48600
2023-04-20 05:03:29,197 INFO Negative OS: -0.8886864819846796 --- ticker MRK --- day 2017-11-22 --- time 52200
2023-04-20 05:03:30,995 INFO Negative OS: -2.3233199372043454 --- ticker MRK --- day 2017-12-26 --- time 52200
2023-04-20 05:03:33,312 INFO Negative OS: -0.11558656206064 --- ticker MRK --- day 2018-02-06 --- time 41400
2023-04-20 05:04:12,183 INFO in_r2: 0.9791459960059985 , std 0.011806436712579353 
2023-04-20 05:04:12,183 INFO os_r2: 0.9484906397610999 , std 0.07283909402951579 
2023-04-20 05:04:12,183 INFO intercept: 1.5479232807589622e-07 , std 2.8459227784823844e-06 
2023-04-20 05:04:12,183 INFO ofi_add_1: 1.7544890715639175e-05 , std 3.705993284768967e-05 
2023-04-20 05:04:12,183 INFO ofi_add_2: 5.8548080140110106e-05 , std 5.2397114972121464e-05 
2023-04-20 05:04:12,183 INFO ofi_add_3: 6.588212873735922e-05 , std 5.481002063152512e-05 
2023-04-20 05:04:12,183 INFO ofi_add_4: 6.356547743954643e-05 , std 5.733997951195252e-05 
2023-04-20 05:04:12,183 INFO ofi_add_5: 5.575485127750169e-05 , std 5.830172094253178e-05 
2023-04-20 05:04:12,183 INFO ofi_add_6: 9.484081614075245e-05 , std 8.029730306595157e-05 
2023-04-20 05:04:12,183 INFO ofi_add_7: 0.00010148144295452186 , std 9.66963603803515e-05 
2023-04-20 05:04:12,183 INFO ofi_add_8: 0.0001052114852563974 , std 0.00012127485962371523 
2023-04-20 05:04:12,183 INFO ofi_add_9: 9.688213559593903e-05 , std 0.0001337047618317207 
2023-04-20 05:04:12,183 INFO ofi_add_10: 0.00012168628354902363 , std 0.00015465849503659132 
2023-04-20 05:04:12,183 INFO ofi_cancel_1: 1.3075011958898069e-05 , std 4.096299917282029e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_2: 5.113842978865057e-05 , std 5.352645009411924e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_3: 6.470943767753823e-05 , std 5.957811415510578e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_4: 6.19553889935401e-05 , std 6.173441148064168e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_5: 5.5366310865919904e-05 , std 6.226693349886052e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_6: 8.92468738360355e-05 , std 8.622295836225346e-05 
2023-04-20 05:04:12,183 INFO ofi_cancel_7: 0.0001052200961105503 , std 0.00010985470209564385 
2023-04-20 05:04:12,183 INFO ofi_cancel_8: 0.00010711085651711228 , std 0.00013799906519627061 
2023-04-20 05:04:12,183 INFO ofi_cancel_9: 0.00010625273404548137 , std 0.0001672074710291928 
2023-04-20 05:04:12,183 INFO ofi_cancel_10: 0.0001303566661066787 , std 0.00018824160210114413 
2023-04-20 05:04:12,183 INFO ofi_trade_1: 1.0012520699780643e-05 , std 0.00011422539768683272 
2023-04-20 05:04:12,183 INFO ofi_trade_2: 6.855694068476027e-05 , std 9.448492589872307e-05 
2023-04-20 05:04:12,183 INFO ofi_trade_3: 7.589405640189935e-05 , std 9.541716258307988e-05 
2023-04-20 05:04:12,183 INFO ofi_trade_4: 6.415920104699158e-05 , std 8.950805395339455e-05 
2023-04-20 05:04:12,183 INFO ofi_trade_5: 6.495051899251936e-05 , std 9.07518313690109e-05 
2023-04-20 05:04:12,183 INFO ofi_trade_6: 8.910453356251622e-05 , std 0.00011808784113354705 
2023-04-20 05:04:12,183 INFO ofi_trade_7: 0.000104547499085521 , std 0.00015768062452644265 
2023-04-20 05:04:12,183 INFO ofi_trade_8: 9.064845776437933e-05 , std 0.00018412619626251373 
2023-04-20 05:04:12,183 INFO ofi_trade_9: 7.78428031645749e-05 , std 0.00020677724374420023 
2023-04-20 05:04:12,183 INFO ofi_trade_10: 9.660875889468668e-05 , std 0.00021316856737071626 
2023-04-20 05:04:12,183 INFO t_intercept: 0.06589032293832829 , std 1.0406471701949087 
2023-04-20 05:04:12,183 INFO t_ofi_add_1: 0.912294631556035 , std 1.6765147452627682 
2023-04-20 05:04:12,183 INFO t_ofi_add_2: 2.0445358490742778 , std 1.8849499171928137 
2023-04-20 05:04:12,183 INFO t_ofi_add_3: 2.16640575415405 , std 1.747911322713304 
2023-04-20 05:04:12,183 INFO t_ofi_add_4: 2.1241155313374986 , std 1.7340941927263382 
