2023-04-20 05:08:34,188 INFO Tickers: ['LLY']
2023-04-20 05:08:36,364 INFO Negative OS: -0.03550960526103575 --- ticker LLY --- day 2017-02-10 --- time 36000
2023-04-20 05:08:52,213 INFO Negative OS: -1.6073978011307957 --- ticker LLY --- day 2017-12-28 --- time 50400
2023-04-20 05:08:53,862 INFO Negative OS: -1.08879998738102 --- ticker LLY --- day 2018-01-31 --- time 48600
2023-04-20 05:08:54,907 INFO Negative OS: -0.4474909793061841 --- ticker LLY --- day 2018-02-20 --- time 52200
2023-04-20 05:08:55,887 INFO Negative OS: -5.7420998187440055 --- ticker LLY --- day 2018-03-09 --- time 36000
2023-04-20 05:08:56,315 INFO Negative OS: -0.05837124260556559 --- ticker LLY --- day 2018-03-16 --- time 52200
2023-04-20 05:08:56,371 INFO Negative OS: -1.4699629550885307 --- ticker LLY --- day 2018-03-19 --- time 43200
2023-04-20 05:08:57,010 INFO Negative OS: -1.4064898799543428 --- ticker LLY --- day 2018-03-29 --- time 52200
2023-04-20 05:09:09,396 INFO Negative OS: -1.3694981435612616 --- ticker LLY --- day 2018-11-05 --- time 50400
2023-04-20 05:09:16,377 INFO Negative OS: -4.131772246294841 --- ticker LLY --- day 2019-03-13 --- time 36000
2023-04-20 05:09:20,239 INFO Negative OS: -0.01029440003340687 --- ticker LLY --- day 2019-05-17 --- time 37800
2023-04-20 05:09:26,729 INFO Negative OS: -1.2870917447523027 --- ticker LLY --- day 2019-09-11 --- time 41400
2023-04-20 05:09:29,008 INFO Negative OS: -6.654296742459915 --- ticker LLY --- day 2019-10-23 --- time 41400
2023-04-20 05:09:29,482 INFO Negative OS: -4.3102370059788235 --- ticker LLY --- day 2019-10-31 --- time 43200
2023-04-20 05:09:31,777 INFO t_ofi_add_3: 1.633365425346395 , std 1.3086649435417503 
2023-04-20 05:09:31,777 INFO t_ofi_add_4: 1.2524228211937307 , std 1.294222384064264 
2023-04-20 05:09:31,777 INFO t_ofi_add_5: 0.9658743967223472 , std 1.290138003764021 
2023-04-20 05:09:31,777 INFO t_ofi_add_6: 0.8976562185611486 , std 1.3079143605709511 
2023-04-20 05:09:31,777 INFO t_ofi_add_7: 0.7598373731476608 , std 1.2895833184186423 
2023-04-20 05:09:31,777 INFO t_ofi_add_8: 0.6976641326662015 , std 1.2916658179327485 
2023-04-20 05:09:31,777 INFO t_ofi_add_9: 0.5836982940603783 , std 1.292698246835085 
2023-04-20 05:09:31,777 INFO t_ofi_add_10: 0.7303658296479438 , std 1.4135773548305244 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_1: 1.9821616040283259 , std 1.5602851843365113 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_2: 2.254545071439943 , std 1.4448841806378474 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_3: 1.4586058117476772 , std 1.300100841910032 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_4: 1.0653856575899185 , std 1.2787611332069306 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_5: 0.7975190076815126 , std 1.2640615582945829 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_6: 0.7168052183714154 , std 1.2990327769677845 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_7: 0.5722796666125498 , std 1.2869935787084865 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_8: 0.5684258788651592 , std 1.281901968625497 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_9: 0.4757296315599397 , std 1.2840311336477312 
2023-04-20 05:09:31,778 INFO t_ofi_cancel_10: 0.7127265108242974 , std 1.3836476264698063 
2023-04-20 05:09:31,778 INFO t_ofi_trade_1: 0.7910572180669707 , std 1.3770821455679347 
2023-04-20 05:09:31,778 INFO t_ofi_trade_2: 0.8733269567840659 , std 1.3249297562702003 
2023-04-20 05:09:31,778 INFO t_ofi_trade_3: 0.7576964098660707 , std 1.284588134358685 
2023-04-20 05:09:31,778 INFO t_ofi_trade_4: 0.6126897107096838 , std 1.2903095681428005 
2023-04-20 05:09:31,778 INFO t_ofi_trade_5: 0.6224202352173757 , std 1.2640995782463365 
2023-04-20 05:09:31,778 INFO t_ofi_trade_6: 0.6543647131098618 , std 1.286135088456787 
2023-04-20 05:09:31,778 INFO t_ofi_trade_7: 0.6041541619489376 , std 1.2779358631199857 
2023-04-20 05:09:31,778 INFO t_ofi_trade_8: 0.6305950889010806 , std 1.2562759832052608 
2023-04-20 05:09:31,778 INFO t_ofi_trade_9: 0.6192603018913364 , std 1.265079961804656 
2023-04-20 05:09:31,778 INFO t_ofi_trade_10: 0.7620094057814308 , std 1.3381349170877128 
2023-04-20 05:09:31,778 INFO p_intercept: 0.5061058409872566 , std 0.2873750851868718 
2023-04-20 05:09:31,778 INFO p_ofi_add_1: 0.16471247725613783 , std 0.25540373182069154 
2023-04-20 05:09:31,778 INFO p_ofi_add_2: 0.16041760977215191 , std 0.24970994320185555 
2023-04-20 05:09:31,778 INFO p_ofi_add_3: 0.23420065776839846 , std 0.27905581209289765 
2023-04-20 05:09:31,778 INFO p_ofi_add_4: 0.30260341653505496 , std 0.29981485983593875 
2023-04-20 05:09:31,778 INFO p_ofi_add_5: 0.3489140317546244 , std 0.3061389918581228 
2023-04-20 05:09:31,778 INFO p_ofi_add_6: 0.3548376339696089 , std 0.3072034138017324 
2023-04-20 05:09:31,778 INFO p_ofi_add_7: 0.37172585771956734 , std 0.30739802298242036 
2023-04-20 05:09:31,778 INFO p_ofi_add_8: 0.38338848260851865 , std 0.3085255215523527 
2023-04-20 05:09:31,778 INFO p_ofi_add_9: 0.3967665709574244 , std 0.3087302176305258 
2023-04-20 05:09:31,778 INFO p_ofi_add_10: 0.366591034898778 , std 0.3094203459457969 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_1: 0.18487676627361718 , std 0.26449142518619817 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_2: 0.15530597682549815 , std 0.2488900861334098 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_3: 0.2631732877055404 , std 0.29107300499339334 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_4: 0.3354269572647358 , std 0.3085582776370014 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_5: 0.37288207836084203 , std 0.3060703089615807 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_6: 0.38154456963510125 , std 0.3064024888471774 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_7: 0.39337436253035707 , std 0.30712250256660956 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_8: 0.4002248020414753 , std 0.3079992259803913 
