2023-04-20 05:03:11,554 INFO Tickers: ['CVX']
2023-04-20 05:03:16,449 INFO Negative OS: -1.0307018321120958 --- ticker CVX --- day 2017-03-27 --- time 45000
2023-04-20 05:03:32,835 INFO Negative OS: -0.26525528416602184 --- ticker CVX --- day 2018-01-02 --- time 39600
2023-04-20 05:03:49,901 INFO Negative OS: -0.09819100819185622 --- ticker CVX --- day 2018-10-19 --- time 46800
2023-04-20 05:04:09,167 INFO Negative OS: -0.8473855933546448 --- ticker CVX --- day 2019-09-23 --- time 50400
2023-04-20 05:04:09,173 INFO Negative OS: -2.7134843963730346 --- ticker CVX --- day 2019-09-23 --- time 52200
2023-04-20 05:04:13,064 INFO Negative OS: -0.05259867792285866 --- ticker CVX --- day 2019-11-27 --- time 37800
2023-04-20 05:04:14,061 INFO t_ofi_cancel_2: 1.755381067162586 , std 1.3837217865673677 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_3: 1.1752203419325071 , std 1.1914971742458143 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_4: 1.0260629553688243 , std 1.1959996536824145 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_5: 0.79118659838729 , std 1.1928188489418434 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_6: 0.779684318616348 , std 1.189518746910481 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_7: 0.6068021719748743 , std 1.189385249415443 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_8: 0.6490577468999154 , std 1.1759504242186412 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_9: 0.6361599678991602 , std 1.1988350826288077 
2023-04-20 05:04:14,062 INFO t_ofi_cancel_10: 0.975556908868641 , std 1.2446391598119748 
2023-04-20 05:04:14,062 INFO t_ofi_trade_1: 0.537542158405106 , std 1.2744580166884139 
2023-04-20 05:04:14,062 INFO t_ofi_trade_2: 0.8785252749398429 , std 1.2197712874346947 
2023-04-20 05:04:14,062 INFO t_ofi_trade_3: 0.6775591921205092 , std 1.1797062661933695 
2023-04-20 05:04:14,062 INFO t_ofi_trade_4: 0.6601688338100181 , std 1.1829749224135724 
2023-04-20 05:04:14,062 INFO t_ofi_trade_5: 0.5482796887216203 , std 1.1779316038600518 
2023-04-20 05:04:14,062 INFO t_ofi_trade_6: 0.6211726713406468 , std 1.1786884621466371 
2023-04-20 05:04:14,062 INFO t_ofi_trade_7: 0.5135663654465293 , std 1.1861177239766703 
2023-04-20 05:04:14,062 INFO t_ofi_trade_8: 0.6167049826207911 , std 1.1777266879254282 
2023-04-20 05:04:14,062 INFO t_ofi_trade_9: 0.6433653874836812 , std 1.2019488465053654 
2023-04-20 05:04:14,062 INFO t_ofi_trade_10: 0.811333460328439 , std 1.2309974480693422 
2023-04-20 05:04:14,062 INFO p_intercept: 0.5140050280887208 , std 0.2851591475423528 
2023-04-20 05:04:14,062 INFO p_ofi_add_1: 0.26879990524948494 , std 0.2972588575386512 
2023-04-20 05:04:14,062 INFO p_ofi_add_2: 0.2253530294783902 , std 0.27862028476344675 
2023-04-20 05:04:14,062 INFO p_ofi_add_3: 0.29858384242202995 , std 0.29775204475455336 
2023-04-20 05:04:14,062 INFO p_ofi_add_4: 0.33538892092563133 , std 0.3030557391325947 
2023-04-20 05:04:14,062 INFO p_ofi_add_5: 0.36774641978122596 , std 0.3046007029016944 
2023-04-20 05:04:14,062 INFO p_ofi_add_6: 0.3689925089031732 , std 0.30579760691475866 
2023-04-20 05:04:14,062 INFO p_ofi_add_7: 0.39328578136815656 , std 0.3043920632082254 
2023-04-20 05:04:14,062 INFO p_ofi_add_8: 0.3876367782762937 , std 0.30743454630567374 
2023-04-20 05:04:14,062 INFO p_ofi_add_9: 0.3927050777416368 , std 0.3069397241864325 
2023-04-20 05:04:14,062 INFO p_ofi_add_10: 0.34125007466180557 , std 0.3046294140160131 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_1: 0.25778817784905506 , std 0.2953336381979523 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_2: 0.22546443463095422 , std 0.283552586109096 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_3: 0.3185936157790245 , std 0.30138491769668874 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_4: 0.34338396733159665 , std 0.3046210483547444 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_5: 0.3816846233134558 , std 0.30551104727842837 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_6: 0.3879983196298764 , std 0.30645853669260575 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_7: 0.4100089961871699 , std 0.30520662032317386 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_8: 0.4139289456116742 , std 0.30821993333126674 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_9: 0.40519695031524083 , std 0.30656035416400834 
2023-04-20 05:04:14,062 INFO p_ofi_cancel_10: 0.35112868909422373 , std 0.305155221456859 
2023-04-20 05:04:14,062 INFO p_ofi_trade_1: 0.4193281695649073 , std 0.3101159666411013 
2023-04-20 05:04:14,062 INFO p_ofi_trade_2: 0.3702635760413353 , std 0.30820664940206144 
2023-04-20 05:04:14,062 INFO p_ofi_trade_3: 0.4051267757558843 , std 0.3055202620251482 
2023-04-20 05:04:14,062 INFO p_ofi_trade_4: 0.4040994395876735 , std 0.3063067962389822 
2023-04-20 05:04:14,062 INFO p_ofi_trade_5: 0.4229137569784217 , std 0.30361593180781105 
2023-04-20 05:04:14,062 INFO p_ofi_trade_6: 0.40743108742095224 , std 0.30262397915691003 
2023-04-20 05:04:14,062 INFO p_ofi_trade_7: 0.41877535502368907 , std 0.30258952843404197 
2023-04-20 05:04:14,062 INFO p_ofi_trade_8: 0.4126334009377472 , std 0.3064400094907951 
2023-04-20 05:04:14,062 INFO p_ofi_trade_9: 0.40575740443835306 , std 0.30503498056048917 
2023-04-20 05:04:14,062 INFO p_ofi_trade_10: 0.38148904185647403 , std 0.3056391602337627 
