2023-04-20 05:12:43,627 INFO Tickers: ['D']
2023-04-20 05:13:04,043 INFO Negative OS: -0.011364643719330214 --- ticker D --- day 2018-02-09 --- time 50400
2023-04-20 05:13:04,577 INFO Negative OS: -3.498346995739259 --- ticker D --- day 2018-02-21 --- time 37800
2023-04-20 05:13:07,787 INFO Negative OS: -7.858069735289249 --- ticker D --- day 2018-04-18 --- time 52200
2023-04-20 05:13:11,491 INFO Negative OS: -0.2603236451002293 --- ticker D --- day 2018-06-28 --- time 46800
2023-04-20 05:13:12,304 INFO Negative OS: -0.3194810414422662 --- ticker D --- day 2018-07-13 --- time 52200
2023-04-20 05:13:20,998 INFO Negative OS: -0.7052448626290331 --- ticker D --- day 2018-12-19 --- time 48600
2023-04-20 05:13:35,271 INFO Negative OS: -11.674886207976272 --- ticker D --- day 2019-09-03 --- time 50400
2023-04-20 05:13:41,245 INFO t_ofi_cancel_9: 0.7301393157289988 , std 1.363801962594312 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_10: 0.8970828787457786 , std 1.437434731147363 
2023-04-20 05:13:41,245 INFO t_ofi_trade_1: 0.35246887403954863 , std 1.38117603649872 
2023-04-20 05:13:41,245 INFO t_ofi_trade_2: 1.1184146961082249 , std 1.3886529249054786 
2023-04-20 05:13:41,245 INFO t_ofi_trade_3: 0.7803417865599181 , std 1.3758280012085906 
2023-04-20 05:13:41,245 INFO t_ofi_trade_4: 0.819508448203355 , std 1.3591940607076591 
2023-04-20 05:13:41,245 INFO t_ofi_trade_5: 0.8273558020048317 , std 1.3498247470106999 
2023-04-20 05:13:41,245 INFO t_ofi_trade_6: 0.7329266980463208 , std 1.3573003664609378 
2023-04-20 05:13:41,245 INFO t_ofi_trade_7: 0.6684437159560997 , std 1.3646369715622917 
2023-04-20 05:13:41,245 INFO t_ofi_trade_8: 0.7106338674015963 , std 1.340717266577858 
2023-04-20 05:13:41,245 INFO t_ofi_trade_9: 0.6437548883136023 , std 1.3650233309790532 
2023-04-20 05:13:41,245 INFO t_ofi_trade_10: 0.8096174264701356 , std 1.378527156565356 
2023-04-20 05:13:41,245 INFO p_intercept: 0.5226817447577754 , std 0.2789441355411975 
2023-04-20 05:13:41,245 INFO p_ofi_add_1: 0.28551685649224123 , std 0.3036289399043164 
2023-04-20 05:13:41,245 INFO p_ofi_add_2: 0.16316895282756896 , std 0.25112496721775246 
2023-04-20 05:13:41,245 INFO p_ofi_add_3: 0.22247800512244686 , std 0.27529315405696997 
2023-04-20 05:13:41,245 INFO p_ofi_add_4: 0.25956894777540124 , std 0.29282004811466966 
2023-04-20 05:13:41,245 INFO p_ofi_add_5: 0.2824553228687166 , std 0.3002232424214912 
2023-04-20 05:13:41,245 INFO p_ofi_add_6: 0.2944982789729867 , std 0.29882014422440195 
2023-04-20 05:13:41,245 INFO p_ofi_add_7: 0.3138647211499045 , std 0.30463946304995915 
2023-04-20 05:13:41,245 INFO p_ofi_add_8: 0.34330585329024965 , std 0.30720329456796 
2023-04-20 05:13:41,245 INFO p_ofi_add_9: 0.36039246188499274 , std 0.30810734918037513 
2023-04-20 05:13:41,245 INFO p_ofi_add_10: 0.3405629701104816 , std 0.3113839877159702 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_1: 0.30564184774402225 , std 0.3058952161737493 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_2: 0.16674674064593487 , std 0.2537564372709966 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_3: 0.24808093228422023 , std 0.2868154667216174 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_4: 0.2840002348817296 , std 0.29910002494137855 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_5: 0.303428025290654 , std 0.30348767180504715 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_6: 0.31962241730721486 , std 0.30643174321562905 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_7: 0.33575596234940613 , std 0.3025616110147898 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_8: 0.35873698233030576 , std 0.31119991985546397 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_9: 0.3737427001658161 , std 0.3095517962353825 
2023-04-20 05:13:41,245 INFO p_ofi_cancel_10: 0.35086458183096775 , std 0.31177737937536915 
2023-04-20 05:13:41,245 INFO p_ofi_trade_1: 0.3984072704756813 , std 0.30529455129942534 
2023-04-20 05:13:41,245 INFO p_ofi_trade_2: 0.3184172932082118 , std 0.30736182914393173 
2023-04-20 05:13:41,245 INFO p_ofi_trade_3: 0.3629552250811234 , std 0.311734320909321 
2023-04-20 05:13:41,246 INFO p_ofi_trade_4: 0.36204986819852164 , std 0.3075839503561356 
2023-04-20 05:13:41,246 INFO p_ofi_trade_5: 0.3626436065838805 , std 0.3102102249697408 
2023-04-20 05:13:41,246 INFO p_ofi_trade_6: 0.3715609903364639 , std 0.3097198908906911 
2023-04-20 05:13:41,246 INFO p_ofi_trade_7: 0.37000323165378857 , std 0.30356337607628214 
2023-04-20 05:13:41,246 INFO p_ofi_trade_8: 0.37014540038758015 , std 0.3048705228378171 
2023-04-20 05:13:41,246 INFO p_ofi_trade_9: 0.37838496046603115 , std 0.30778034417464145 
2023-04-20 05:13:41,246 INFO p_ofi_trade_10: 0.36103349412379065 , std 0.30632539035732337 
