2023-04-20 05:12:25,937 INFO Tickers: ['COP']
2023-04-20 05:12:28,141 INFO Negative OS: -0.17572880350683628 --- ticker COP --- day 2018-01-22 --- time 46800
2023-04-20 05:13:47,983 INFO t_ofi_cancel_8: 1.298375290215196 , std 1.4400972391286184 
2023-04-20 05:13:47,983 INFO t_ofi_cancel_9: 1.132369177505268 , std 1.4603496308490245 
2023-04-20 05:13:47,983 INFO t_ofi_cancel_10: 1.450407248600706 , std 1.5248768804924928 
2023-04-20 05:13:47,983 INFO t_ofi_trade_1: 0.6200476575737824 , std 1.3780689325617068 
2023-04-20 05:13:47,983 INFO t_ofi_trade_2: 1.3125149262058895 , std 1.3755595809700452 
2023-04-20 05:13:47,983 INFO t_ofi_trade_3: 1.25768287731894 , std 1.3933087384551397 
2023-04-20 05:13:47,983 INFO t_ofi_trade_4: 1.3457818583268029 , std 1.3805596147068864 
2023-04-20 05:13:47,983 INFO t_ofi_trade_5: 1.2647753762092406 , std 1.395265854120856 
2023-04-20 05:13:47,983 INFO t_ofi_trade_6: 1.2042677312015502 , std 1.4538962162003601 
2023-04-20 05:13:47,984 INFO t_ofi_trade_7: 1.1447697057170199 , std 1.436392944264066 
2023-04-20 05:13:47,984 INFO t_ofi_trade_8: 1.095451755912819 , std 1.3685793671792865 
2023-04-20 05:13:47,984 INFO t_ofi_trade_9: 1.070207763308341 , std 1.3982821195857469 
2023-04-20 05:13:47,984 INFO t_ofi_trade_10: 1.2507879673038373 , std 1.4677425829952526 
2023-04-20 05:13:47,984 INFO p_intercept: 0.5047889223485315 , std 0.28396699941234255 
2023-04-20 05:13:47,984 INFO p_ofi_add_1: 0.3032927897353091 , std 0.3088162528789346 
2023-04-20 05:13:47,984 INFO p_ofi_add_2: 0.1700478690141888 , std 0.2531287647670806 
2023-04-20 05:13:47,984 INFO p_ofi_add_3: 0.17432686918393014 , std 0.2559733349165172 
2023-04-20 05:13:47,984 INFO p_ofi_add_4: 0.17206246045738194 , std 0.253007649549214 
2023-04-20 05:13:47,984 INFO p_ofi_add_5: 0.21198486990125126 , std 0.272899746190504 
2023-04-20 05:13:47,984 INFO p_ofi_add_6: 0.22662895505890004 , std 0.28028382340215385 
2023-04-20 05:13:47,984 INFO p_ofi_add_7: 0.24940623141753476 , std 0.2910021573242871 
2023-04-20 05:13:47,984 INFO p_ofi_add_8: 0.2755533170141091 , std 0.29513524243099964 
2023-04-20 05:13:47,984 INFO p_ofi_add_9: 0.30071167873411664 , std 0.3021071650030884 
2023-04-20 05:13:47,984 INFO p_ofi_add_10: 0.2713741269400791 , std 0.2998233516353554 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_1: 0.33344427948166233 , std 0.31024325941525444 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_2: 0.18037664866712091 , std 0.2607276939607787 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_3: 0.18220210341134385 , std 0.25812426025795476 
