2023-04-20 05:10:45,928 INFO Tickers: ['CAT']
2023-04-20 05:10:54,320 INFO Negative OS: -0.03583093979317087 --- ticker CAT --- day 2017-05-26 --- time 46800
2023-04-20 05:11:04,245 INFO Negative OS: -0.30370878174859106 --- ticker CAT --- day 2017-11-30 --- time 37800
2023-04-20 05:11:24,719 INFO Negative OS: -0.3811451912825987 --- ticker CAT --- day 2018-11-29 --- time 50400
2023-04-20 05:11:33,582 INFO Negative OS: -0.08639767968802259 --- ticker CAT --- day 2019-05-08 --- time 36000
2023-04-20 05:11:39,753 INFO Negative OS: -0.4812889163702154 --- ticker CAT --- day 2019-08-21 --- time 45000
2023-04-20 05:11:40,689 INFO Negative OS: -48.72675371133742 --- ticker CAT --- day 2019-09-06 --- time 52200
2023-04-20 05:11:42,561 INFO Negative OS: -0.21938486052255834 --- ticker CAT --- day 2019-10-10 --- time 39600
2023-04-20 05:11:43,372 INFO Negative OS: -1.3359412500720733 --- ticker CAT --- day 2019-10-24 --- time 41400
2023-04-20 05:11:43,778 INFO Negative OS: -0.3393372166825237 --- ticker CAT --- day 2019-10-31 --- time 36000
2023-04-20 05:11:46,200 INFO Negative OS: -9.132016355875068 --- ticker CAT --- day 2019-12-13 --- time 36000
2023-04-20 05:11:46,282 INFO t_ofi_add_8: 0.7031658847092654 , std 1.1967029250670955 
2023-04-20 05:11:46,282 INFO t_ofi_add_9: 0.6152845226282333 , std 1.2155844060643561 
2023-04-20 05:11:46,282 INFO t_ofi_add_10: 0.9420081039652447 , std 1.302697230599799 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_1: 2.0530469071981643 , std 1.3820893095861635 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_2: 2.15065226556909 , std 1.2953081211870137 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_3: 1.2973051763199663 , std 1.2163027321128117 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_4: 0.9938763502685899 , std 1.1876278748562168 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_5: 0.6820362723321692 , std 1.200232444568663 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_6: 0.6098026936502028 , std 1.1900322870560778 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_7: 0.49218919592135807 , std 1.1902739049672628 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_8: 0.5416405549882432 , std 1.19646297446156 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_9: 0.46886133615074016 , std 1.2139326907863217 
2023-04-20 05:11:46,282 INFO t_ofi_cancel_10: 0.8692837381382026 , std 1.3030224457786714 
2023-04-20 05:11:46,282 INFO t_ofi_trade_1: 0.5714723992050686 , std 1.2802671296888932 
