2023-04-20 05:04:31,196 INFO Tickers: ['C']
2023-04-20 05:05:03,250 INFO Negative OS: -0.1422228745534131 --- ticker C --- day 2017-09-29 --- time 46800
2023-04-20 05:05:04,330 INFO Negative OS: -0.3603036800487567 --- ticker C --- day 2017-10-09 --- time 52200
2023-04-20 05:05:05,830 INFO Negative OS: -0.42834884451496325 --- ticker C --- day 2017-10-20 --- time 45000
2023-04-20 05:05:05,994 INFO Negative OS: -0.014126290104694572 --- ticker C --- day 2017-10-23 --- time 45000
2023-04-20 05:06:34,186 INFO Negative OS: -0.5458212305949837 --- ticker C --- day 2019-11-04 --- time 46800
2023-04-20 05:06:34,192 INFO Negative OS: -1.7197711828896094 --- ticker C --- day 2019-11-04 --- time 48600
2023-04-20 05:06:39,119 INFO t_ofi_cancel_3: 1.7340983064386455 , std 1.4635674297180847 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_4: 1.6944601809143631 , std 1.4746751516641816 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_5: 1.461840161586488 , std 1.4287273860584722 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_6: 1.8674228296211361 , std 1.5636732601222276 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_7: 1.8368101335892952 , std 1.5178372543781735 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_8: 1.6521494022996914 , std 1.5134460624078185 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_9: 1.3642739888447923 , std 1.5298041876890005 
2023-04-20 05:06:39,119 INFO t_ofi_cancel_10: 1.8316222891398735 , std 1.758455116243476 
2023-04-20 05:06:39,119 INFO t_ofi_trade_1: 0.4188980987800554 , std 1.4044465095910823 
2023-04-20 05:06:39,119 INFO t_ofi_trade_2: 1.326618486155182 , std 1.4974085571008913 
2023-04-20 05:06:39,119 INFO t_ofi_trade_3: 1.3894984693177164 , std 1.569484110794543 
2023-04-20 05:06:39,119 INFO t_ofi_trade_4: 1.3956150002048884 , std 1.53968778197448 
2023-04-20 05:06:39,119 INFO t_ofi_trade_5: 1.3143872002474757 , std 1.568667515713972 
2023-04-20 05:06:39,119 INFO t_ofi_trade_6: 1.7058807516577477 , std 1.63579297333872 
2023-04-20 05:06:39,119 INFO t_ofi_trade_7: 1.6561647186595088 , std 1.5632434595026568 
2023-04-20 05:06:39,119 INFO t_ofi_trade_8: 1.4044119629713134 , std 1.6056891438990688 
2023-04-20 05:06:39,119 INFO t_ofi_trade_9: 1.2203031354178557 , std 1.6207354113586385 
2023-04-20 05:06:39,119 INFO t_ofi_trade_10: 1.6578405087808765 , std 1.8573681181191362 
2023-04-20 05:06:39,119 INFO p_intercept: 0.49096661249388457 , std 0.2925599878165546 
2023-04-20 05:06:39,119 INFO p_ofi_add_1: 0.359996850506074 , std 0.30822729050333225 
2023-04-20 05:06:39,119 INFO p_ofi_add_2: 0.21764820419667003 , std 0.2788349714400384 
2023-04-20 05:06:39,119 INFO p_ofi_add_3: 0.20652705092758353 , std 0.2719612186625631 
2023-04-20 05:06:39,119 INFO p_ofi_add_4: 0.2035394702981342 , std 0.2743515640632394 
2023-04-20 05:06:39,119 INFO p_ofi_add_5: 0.2492138590925196 , std 0.28929058365179927 
2023-04-20 05:06:39,119 INFO p_ofi_add_6: 0.18060500715210928 , std 0.26525222786345765 
2023-04-20 05:06:39,119 INFO p_ofi_add_7: 0.17844312315356672 , std 0.26240210994554497 
2023-04-20 05:06:39,119 INFO p_ofi_add_8: 0.21305780859806758 , std 0.2783436223316439 
2023-04-20 05:06:39,119 INFO p_ofi_add_9: 0.2565565742374944 , std 0.2924744025644974 
2023-04-20 05:06:39,119 INFO p_ofi_add_10: 0.18610147438146818 , std 0.26833722141521366 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_1: 0.38266201470147454 , std 0.3072955952809657 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_2: 0.22605778793520437 , std 0.28273575340840346 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_3: 0.22216781500217894 , std 0.2753432757605305 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_4: 0.2295966650544536 , std 0.2825393534970598 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_5: 0.2720579479735358 , std 0.2952039661427501 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_6: 0.20933779220528273 , std 0.2754673210700116 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_7: 0.2087834746826474 , std 0.2737094186131839 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_8: 0.23518237804142023 , std 0.28587392540173734 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_9: 0.27741820997241107 , std 0.2967513515098351 
2023-04-20 05:06:39,119 INFO p_ofi_cancel_10: 0.21860757417488405 , std 0.28395694405984023 
2023-04-20 05:06:39,119 INFO p_ofi_trade_1: 0.39815555557529 , std 0.3093959337081931 
2023-04-20 05:06:39,119 INFO p_ofi_trade_2: 0.2920304651816902 , std 0.3012923396744284 
2023-04-20 05:06:39,119 INFO p_ofi_trade_3: 0.2794427882549757 , std 0.3000954958688555 
2023-04-20 05:06:39,119 INFO p_ofi_trade_4: 0.27797767950539853 , std 0.2985912927552829 
2023-04-20 05:06:39,119 INFO p_ofi_trade_5: 0.29186170251048055 , std 0.3027223719620713 
2023-04-20 05:06:39,119 INFO p_ofi_trade_6: 0.23350218591605904 , std 0.2856778535736212 
2023-04-20 05:06:39,119 INFO p_ofi_trade_7: 0.2387798120097247 , std 0.2865252680358905 
2023-04-20 05:06:39,119 INFO p_ofi_trade_8: 0.27312382991315926 , std 0.29617282404583467 
2023-04-20 05:06:39,119 INFO p_ofi_trade_9: 0.3012880673645186 , std 0.30504459179101323 
2023-04-20 05:06:39,119 INFO p_ofi_trade_10: 0.24343348478039703 , std 0.2926967209218393 
