2023-04-20 06:30:05,685 INFO Tickers: ['NEE']
2023-04-20 06:30:23,035 INFO Negative OS: -13.290574587762858 --- ticker NEE --- day 2017-09-07 --- time 36000
2023-04-20 06:30:25,067 INFO Negative OS: -0.6579569931625486 --- ticker NEE --- day 2017-11-02 --- time 45000
2023-04-20 06:30:25,668 INFO Negative OS: -0.07027019223408959 --- ticker NEE --- day 2017-11-08 --- time 52200
2023-04-20 06:30:29,423 INFO Negative OS: -0.21040963003609958 --- ticker NEE --- day 2018-01-30 --- time 36000
2023-04-20 06:30:29,843 INFO Negative OS: -12.738745036105449 --- ticker NEE --- day 2018-02-06 --- time 36000
2023-04-20 06:30:30,574 INFO Negative OS: -0.4290876569816924 --- ticker NEE --- day 2018-02-06 --- time 41400
2023-04-20 06:30:31,822 INFO Negative OS: -0.09446736997951999 --- ticker NEE --- day 2018-02-08 --- time 41400
2023-04-20 06:30:32,228 INFO Negative OS: -0.007145855487584285 --- ticker NEE --- day 2018-02-09 --- time 41400
2023-04-20 06:30:32,536 INFO Negative OS: -0.5653574583384562 --- ticker NEE --- day 2018-02-09 --- time 46800
2023-04-20 06:30:33,291 INFO Negative OS: -0.6393730096315464 --- ticker NEE --- day 2018-02-12 --- time 50400
2023-04-20 06:30:44,865 INFO Negative OS: -4.610736599953061 --- ticker NEE --- day 2018-06-25 --- time 45000
2023-04-20 06:30:51,263 INFO Negative OS: -0.05237100959303986 --- ticker NEE --- day 2018-07-27 --- time 46800
2023-04-20 06:31:12,546 INFO Negative OS: -0.017831989419195615 --- ticker NEE --- day 2018-10-15 --- time 45000
2023-04-20 06:31:21,314 INFO Negative OS: -0.5787144733771539 --- ticker NEE --- day 2018-10-29 --- time 36000
2023-04-20 06:31:24,722 INFO Negative OS: -0.638436798548734 --- ticker NEE --- day 2018-11-02 --- time 36000
2023-04-20 06:31:26,112 INFO Negative OS: -0.6244671776146924 --- ticker NEE --- day 2018-11-05 --- time 45000
2023-04-20 06:31:26,209 INFO Negative OS: -4.8276399653824225 --- ticker NEE --- day 2018-11-05 --- time 46800
2023-04-20 06:31:27,585 INFO Negative OS: -0.470095566392992 --- ticker NEE --- day 2018-11-06 --- time 41400
2023-04-20 06:31:46,379 INFO Negative OS: -3.252544503979765 --- ticker NEE --- day 2018-12-11 --- time 46800
2023-04-20 06:31:46,637 INFO Negative OS: -1.021284021582216 --- ticker NEE --- day 2018-12-11 --- time 52200
2023-04-20 06:31:47,519 INFO Negative OS: -0.04228177599319749 --- ticker NEE --- day 2018-12-13 --- time 37800
2023-04-20 06:31:50,768 INFO Negative OS: -4.302623684045518 --- ticker NEE --- day 2018-12-19 --- time 45000
2023-04-20 06:32:04,977 INFO Negative OS: -0.1720477823337856 --- ticker NEE --- day 2019-01-11 --- time 43200
2023-04-20 06:32:06,136 INFO Negative OS: -0.08428138998813073 --- ticker NEE --- day 2019-01-14 --- time 52200
2023-04-20 06:32:23,375 INFO Negative OS: -0.6300954945896269 --- ticker NEE --- day 2019-02-19 --- time 36000
2023-04-20 06:32:25,479 INFO Negative OS: -0.3491140712189078 --- ticker NEE --- day 2019-02-21 --- time 52200
2023-04-20 06:32:26,353 INFO Negative OS: -0.911878602477364 --- ticker NEE --- day 2019-02-25 --- time 50400
2023-04-20 06:32:29,078 INFO Negative OS: -9.8027787885545 --- ticker NEE --- day 2019-03-05 --- time 37800
2023-04-20 06:32:34,920 INFO Negative OS: -2.8001489609395316 --- ticker NEE --- day 2019-03-19 --- time 36000
2023-04-20 06:32:35,473 INFO Negative OS: -3.8613412843874437 --- ticker NEE --- day 2019-03-19 --- time 39600
2023-04-20 06:32:47,827 INFO Negative OS: -13.998395945961239 --- ticker NEE --- day 2019-04-18 --- time 36000
2023-04-20 06:33:20,727 INFO Negative OS: -0.6176010433442825 --- ticker NEE --- day 2019-08-08 --- time 36000
2023-04-20 06:33:25,183 INFO Negative OS: -6.60948976073437 --- ticker NEE --- day 2019-08-19 --- time 46800
2023-04-20 06:33:40,512 INFO Negative OS: -2.02866688613911 --- ticker NEE --- day 2019-10-08 --- time 41400
2023-04-20 06:33:42,969 INFO Negative OS: -0.1357203929454709 --- ticker NEE --- day 2019-10-22 --- time 36000
2023-04-20 06:33:45,344 INFO Negative OS: -0.9993922364838888 --- ticker NEE --- day 2019-11-01 --- time 41400
2023-04-20 06:33:46,402 INFO Negative OS: -1.8836642754565425 --- ticker NEE --- day 2019-11-05 --- time 43200
2023-04-20 06:33:53,152 INFO t_ofi_cancel_5: 0.3838957589820121 , std 0.574205425139102 
2023-04-20 06:33:53,152 INFO t_ofi_cancel_6: 0.2807177315776587 , std 0.49991715167119305 
2023-04-20 06:33:53,152 INFO t_ofi_cancel_7: 0.19050731908425572 , std 0.43384614588638065 
2023-04-20 06:33:53,152 INFO t_ofi_cancel_8: 0.15034452347139396 , std 0.3992940541676014 
2023-04-20 06:33:53,152 INFO t_ofi_cancel_9: 0.12827157476552545 , std 0.3810969841709312 
2023-04-20 06:33:53,152 INFO t_ofi_cancel_10: 0.1743390097800821 , std 0.4496684838761656 
2023-04-20 06:33:53,152 INFO t_ofi_trade_1: 0.821944021830107 , std 0.9680317223578219 
2023-04-20 06:33:53,152 INFO t_ofi_trade_2: 0.487192042181655 , std 0.8041472579599636 
2023-04-20 06:33:53,152 INFO t_ofi_trade_3: 0.4681705383150645 , std 0.7421266693583827 
2023-04-20 06:33:53,152 INFO t_ofi_trade_4: 0.3840961288903936 , std 0.7221019777280914 
2023-04-20 06:33:53,152 INFO t_ofi_trade_5: 0.3355938001613014 , std 0.673985568746739 
2023-04-20 06:33:53,152 INFO t_ofi_trade_6: 0.3373580521163686 , std 0.6646165219956959 
2023-04-20 06:33:53,152 INFO t_ofi_trade_7: 0.37418963535430555 , std 0.6709459030421071 
2023-04-20 06:33:53,152 INFO t_ofi_trade_8: 0.38204730470968523 , std 0.6738124386133876 
2023-04-20 06:33:53,152 INFO t_ofi_trade_9: 0.4301664998885117 , std 0.7157732952506322 
2023-04-20 06:33:53,152 INFO t_ofi_trade_10: 0.4778417294240782 , std 0.7637015537306804 
2023-04-20 06:33:53,152 INFO p_intercept: 0.006468824559207501 , std 0.05776112161732912 
2023-04-20 06:33:53,152 INFO p_ofi_add_1: 0.2171112677203459 , std 0.3253470393604761 
2023-04-20 06:33:53,152 INFO p_ofi_add_2: 0.26208717415497873 , std 0.34575926858854583 
2023-04-20 06:33:53,152 INFO p_ofi_add_3: 0.41508087657368575 , std 0.36983164677019864 
2023-04-20 06:33:53,152 INFO p_ofi_add_4: 0.5709082475922864 , std 0.3591542360852678 
2023-04-20 06:33:53,152 INFO p_ofi_add_5: 0.6987536947225728 , std 0.32264022592537767 
2023-04-20 06:33:53,152 INFO p_ofi_add_6: 0.744446100621092 , std 0.2961585674484932 
2023-04-20 06:33:53,152 INFO p_ofi_add_7: 0.7878020450542813 , std 0.2703594558359976 
2023-04-20 06:33:53,152 INFO p_ofi_add_8: 0.815765878159346 , std 0.25082018238114245 
2023-04-20 06:33:53,152 INFO p_ofi_add_9: 0.8333155455041361 , std 0.2381285250166421 
2023-04-20 06:33:53,152 INFO p_ofi_add_10: 0.7839274347082961 , std 0.27846737147529604 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_1: 0.19142869590750528 , std 0.3060121523600396 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_2: 0.23824526148920858 , std 0.33076649355429427 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_3: 0.43683063812048256 , std 0.3726036182955204 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_4: 0.6025399338038308 , std 0.3598348705260391 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_5: 0.7439156146707088 , std 0.31103058878961093 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_6: 0.788258072354513 , std 0.2820733583471682 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_7: 0.8404546371830091 , std 0.24837966301316955 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_8: 0.8625493950509092 , std 0.22826853063010458 
2023-04-20 06:33:53,152 INFO p_ofi_cancel_9: 0.8669610168940278 , std 0.21798934028696018 
2023-04-20 06:33:53,153 INFO p_ofi_cancel_10: 0.8431337231893038 , std 0.24752658829603366 
2023-04-20 06:33:53,153 INFO p_ofi_trade_1: 0.5490156655645871 , std 0.38691659994154787 
2023-04-20 06:33:53,153 INFO p_ofi_trade_2: 0.6817748156151686 , std 0.36091863005056285 
2023-04-20 06:33:53,153 INFO p_ofi_trade_3: 0.6890376604672436 , std 0.35253348544918983 
2023-04-20 06:33:53,153 INFO p_ofi_trade_4: 0.7203525068787426 , std 0.3408511637436687 
2023-04-20 06:33:53,153 INFO p_ofi_trade_5: 0.7422271341343796 , std 0.3293039470784463 
2023-04-20 06:33:53,153 INFO p_ofi_trade_6: 0.7380460819941569 , std 0.3269609824564056 
2023-04-20 06:33:53,153 INFO p_ofi_trade_7: 0.7376681508105871 , std 0.32848146062465583 
2023-04-20 06:33:53,153 INFO p_ofi_trade_8: 0.7238573379004356 , std 0.33219122364062065 
2023-04-20 06:33:53,153 INFO p_ofi_trade_9: 0.7034018596920362 , std 0.343913258060532 
2023-04-20 06:33:53,153 INFO p_ofi_trade_10: 0.6832053859140722 , std 0.3527560474659265 
