2023-04-26 11:52:15,747 INFO Experiment: neigh_price_impact
2023-04-26 11:52:15,750 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-26 11:53:28,786 INFO Negative OS: -0.5694894642837987 --- ticker AMZN, DHR, GILD, PM, ADP ... --- day 2017-01-05 --- time 37800
2023-04-26 11:53:30,156 INFO Negative OS: -0.6710774585936752 --- ticker AMZN, PM, DHR, GILD, GS ... --- day 2017-01-05 --- time 39600
2023-04-26 11:53:30,207 INFO Negative OS: -0.005921860190055472 --- ticker GOOGL, RTN, DHR, LOW, PM ... --- day 2017-01-05 --- time 39600
2023-04-26 11:53:31,516 INFO Negative OS: -0.34754671035541307 --- ticker AMZN, PG, AXP, D, ADP ... --- day 2017-01-05 --- time 41400
2023-04-26 11:53:31,566 INFO Negative OS: -1.5800339026224663 --- ticker GOOGL, DHR, LOW, XOM, AXP ... --- day 2017-01-05 --- time 41400
2023-04-26 11:53:32,825 INFO Negative OS: -0.9929580531727777 --- ticker AMZN, BRK.B, AVGO, CME, CAT ... --- day 2017-01-05 --- time 43200
2023-04-26 11:53:32,887 INFO Negative OS: -2.8389436980969642 --- ticker GOOGL, UNH, CVS, PEP, AMGN ... --- day 2017-01-05 --- time 43200
2023-04-26 11:53:34,071 INFO Negative OS: -0.8053724622992415 --- ticker AMZN, TGT, UNP, ACN, PEP ... --- day 2017-01-05 --- time 45000
2023-04-26 11:53:35,246 INFO Negative OS: -0.19610896544306144 --- ticker AMZN, UNP, ACN, TGT, ABBV ... --- day 2017-01-05 --- time 46800
2023-04-26 11:53:36,390 INFO Negative OS: -1.3829876140932686 --- ticker AMZN, PM, ADBE, ABBV, HON ... --- day 2017-01-05 --- time 48600
2023-04-26 11:53:37,578 INFO Negative OS: -0.34039896221336674 --- ticker AMZN, BRK.B, MCD, UPS, MDT ... --- day 2017-01-05 --- time 50400
2023-04-26 11:53:38,840 INFO Negative OS: -0.5148033284843401 --- ticker AMZN, UPS, AVGO, COST, TMO ... --- day 2017-01-05 --- time 52200
2023-04-26 11:53:38,894 INFO Negative OS: -0.2354574866334982 --- ticker GOOG, TMO, ABBV, MDT, IBM ... --- day 2017-01-05 --- time 52200
2023-04-26 11:53:42,797 INFO Negative OS: -2.4379684337916747 --- ticker AMZN, PM, MDLZ, DIS, GILD ... --- day 2017-01-06 --- time 36000
2023-04-26 11:53:42,823 INFO Negative OS: -0.659517323317073 --- ticker BRK.B, D, MDT, MS, PYPL ... --- day 2017-01-06 --- time 36000
2023-04-26 11:53:42,849 INFO Negative OS: -0.6720960291838833 --- ticker GOOG, GS, NEE, PNC, MMM ... --- day 2017-01-06 --- time 36000
2023-04-26 11:53:42,862 INFO Negative OS: -0.13512435707036752 --- ticker GOOGL, PM, AMZN, GS, GILD ... --- day 2017-01-06 --- time 36000
2023-04-26 11:53:44,194 INFO Negative OS: -0.26932431679660773 --- ticker GOOG, ACN, PM, MCD, AAPL ... --- day 2017-01-06 --- time 37800
2023-04-26 11:53:44,207 INFO Negative OS: -0.06225607251057852 --- ticker GOOGL, DIS, MA, ABBV, LOW ... --- day 2017-01-06 --- time 37800
2023-04-26 11:53:45,451 INFO Negative OS: -0.7579988670215307 --- ticker AMZN, DUK, PEP, ABBV, HD ... --- day 2017-01-06 --- time 39600
2023-04-26 11:53:45,501 INFO Negative OS: -0.152359074097131 --- ticker GOOG, CVX, LOW, JNJ, ADBE ... --- day 2017-01-06 --- time 39600
2023-04-26 11:53:45,514 INFO Negative OS: -1.3330259636130593 --- ticker GOOGL, ADP, PNC, AXP, IBM ... --- day 2017-01-06 --- time 39600
2023-04-26 11:53:46,758 INFO Negative OS: -1.8823610429227329 --- ticker AMZN, ABBV, DIS, TJX, TXN ... --- day 2017-01-06 --- time 41400
