2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,939 INFO ofi_trade_3_2: -5.890229531641192e-09 , std 8.772631321039507e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_4_2: -9.393085800564228e-09 , std 1.079177369756761e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_5_2: -8.478254297843638e-09 , std 1.0988579932908857e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_6_2: -1.1139155597694804e-08 , std 1.2051307832433742e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_7_2: -1.1633168937271713e-08 , std 1.1053016815896623e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_8_2: -6.458060669657185e-09 , std 7.900759031412682e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_9_2: -2.1215768226774744e-09 , std 6.304554926131118e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_10_2: -3.7418772973093885e-09 , std 7.5822220991691e-07 
2023-05-09 13:32:17,939 INFO ofi_add_1_3: -4.336813336190181e-08 , std 1.9448639460061817e-06 
2023-05-09 13:32:17,939 INFO ofi_add_2_3: -1.1356062116515308e-07 , std 2.819546015416802e-06 
2023-05-09 13:32:17,939 INFO ofi_add_3_3: -1.2223431408523717e-07 , std 3.106522019818332e-06 
2023-05-09 13:32:17,939 INFO ofi_add_4_3: -1.4514608374592101e-07 , std 3.0350126917164473e-06 
2023-05-09 13:32:17,939 INFO ofi_add_5_3: -1.677716671558107e-07 , std 3.3179717889421767e-06 
2023-05-09 13:32:17,939 INFO ofi_add_6_3: -1.553646334010692e-07 , std 3.0025208763255105e-06 
2023-05-09 13:32:17,939 INFO ofi_add_7_3: -1.6616895847756103e-07 , std 2.9377783332038293e-06 
2023-05-09 13:32:17,939 INFO ofi_add_8_3: -1.2647077697895918e-07 , std 2.9164246973070683e-06 
2023-05-09 13:32:17,939 INFO ofi_add_9_3: -1.2880899315042686e-07 , std 2.745525973479927e-06 
2023-05-09 13:32:17,939 INFO ofi_add_10_3: -1.559591635509883e-07 , std 3.185946509357567e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_1_3: -9.46559891686836e-09 , std 1.2156271030573956e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_2_3: -5.743537580481885e-08 , std 2.2044139563952284e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_3_3: -7.827287814217965e-08 , std 2.9277551021546955e-06 
