2023-05-09 14:38:20,940 INFO Starting...
2023-05-09 14:38:20,940 INFO Tickers: ['MMM']
2023-05-09 14:39:53,673 INFO ofi_trade_3_2: -2.6617375778660398e-09 , std 5.346259250108155e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_4_2: -4.521334922083295e-09 , std 6.925033953861808e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_5_2: -7.616881592945638e-09 , std 7.875472815678669e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_6_2: -6.3260143194419475e-09 , std 7.499225452981218e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_7_2: -8.125471050226952e-09 , std 8.243991968901104e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_8_2: -7.666512512130543e-09 , std 8.135826755877473e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_9_2: -7.51718693802491e-09 , std 7.625077238881128e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_10_2: -3.486090467977039e-09 , std 4.905058482628925e-07 
2023-05-09 14:39:53,673 INFO ofi_add_1_3: -5.655838143290833e-08 , std 2.1010605485435784e-06 
2023-05-09 14:39:53,673 INFO ofi_add_2_3: -1.373007433911481e-07 , std 3.2094336204509376e-06 
2023-05-09 14:39:53,673 INFO ofi_add_3_3: -1.580403371270679e-07 , std 3.012468684860767e-06 
2023-05-09 14:39:53,673 INFO ofi_add_4_3: -1.4557834320048715e-07 , std 2.710234962861175e-06 
2023-05-09 14:39:53,673 INFO ofi_add_5_3: -1.542533663055195e-07 , std 2.8555342437026314e-06 
2023-05-09 14:39:53,673 INFO ofi_add_6_3: -1.3960756514278868e-07 , std 2.800604059865254e-06 
2023-05-09 14:39:53,673 INFO ofi_add_7_3: -1.3726222466934113e-07 , std 2.621729848684631e-06 
2023-05-09 14:39:53,673 INFO ofi_add_8_3: -1.3446404201067643e-07 , std 2.508109431022479e-06 
2023-05-09 14:39:53,673 INFO ofi_add_9_3: -1.3125891912473505e-07 , std 2.7711526141115154e-06 
2023-05-09 14:39:53,673 INFO ofi_add_10_3: -1.454813340936342e-07 , std 3.078096566471587e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_1_3: -2.2146133671767574e-08 , std 1.3015074976120664e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_2_3: -6.729864250969195e-08 , std 2.1174584317788677e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_3_3: -6.568418722378797e-08 , std 2.024898640682545e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_4_3: -9.075812818867913e-08 , std 2.3904827938334626e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_5_3: -9.082174721495092e-08 , std 2.5638734014867438e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_6_3: -8.693698231245827e-08 , std 2.1546403952347867e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_7_3: -1.0322667403179896e-07 , std 2.6568526298849956e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_8_3: -8.276052026634909e-08 , std 2.296782948555643e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_9_3: -7.24325220394637e-08 , std 2.6034161081324733e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_10_3: -7.677604626848368e-08 , std 2.524962981405785e-06 
2023-05-09 14:39:53,674 INFO ofi_trade_1_3: -1.710089223070734e-09 , std 3.231295768473726e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_2_3: -3.6559918959324697e-09 , std 4.811729280820848e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_3_3: -4.7932197268662514e-09 , std 7.431162551574541e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_4_3: -5.224162489461114e-09 , std 6.394707863190649e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_5_3: -5.226162952762829e-09 , std 8.452838366869214e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_6_3: -8.074318895799177e-09 , std 7.982803905576328e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_7_3: -5.807081369442586e-09 , std 8.694652751744317e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_8_3: -6.572325999991497e-09 , std 7.70639844330192e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_9_3: -6.391945712452604e-09 , std 7.209164137794671e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_10_3: -3.0828998197036557e-09 , std 6.422425564038527e-07 
2023-05-09 14:39:53,674 INFO ofi_add_1_5: -5.6873778765494524e-08 , std 2.0089421777218884e-06 
2023-05-09 14:39:53,674 INFO ofi_add_2_5: -1.512475642213979e-07 , std 3.092247508702861e-06 
2023-05-09 14:39:53,674 INFO ofi_add_3_5: -1.7623886557961102e-07 , std 2.9412075419237314e-06 
2023-05-09 14:39:53,674 INFO ofi_add_4_5: -1.8980968832837811e-07 , std 2.884099574572581e-06 
2023-05-09 14:39:53,674 INFO ofi_add_5_5: -1.915956506952678e-07 , std 2.9252370649306276e-06 
2023-05-09 14:39:53,674 INFO ofi_add_6_5: -2.0638381218197895e-07 , std 3.148336741613234e-06 
2023-05-09 14:39:53,674 INFO ofi_add_7_5: -1.7492460506868882e-07 , std 2.7068950564182845e-06 
2023-05-09 14:39:53,674 INFO ofi_add_8_5: -1.5820019979389853e-07 , std 2.7754900766417333e-06 
2023-05-09 14:39:53,674 INFO ofi_add_9_5: -1.4557136306939923e-07 , std 2.750880536768197e-06 
2023-05-09 14:39:53,674 INFO ofi_add_10_5: -1.7230716146363866e-07 , std 3.2703206002565384e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_1_5: -2.3605872598415184e-08 , std 1.0610776520048799e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_2_5: -7.604418856279649e-08 , std 2.114077963561047e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_3_5: -7.020249735154849e-08 , std 2.1853193567314375e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_4_5: -1.004658609827221e-07 , std 2.5301822287324657e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_5_5: -1.0124166255575154e-07 , std 2.531851461906109e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_6_5: -9.309536312747706e-08 , std 2.2266120465521434e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_7_5: -9.808303897546357e-08 , std 2.1883337514055873e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_8_5: -8.252071361796022e-08 , std 1.9459718261129702e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_9_5: -8.906808112892379e-08 , std 2.284078054768923e-06 
2023-05-09 14:39:53,674 INFO ofi_cancel_10_5: -8.651492723171172e-08 , std 2.0003360674475872e-06 
2023-05-09 14:39:53,674 INFO ofi_trade_1_5: -1.2518690976790996e-08 , std 1.3486697252529281e-06 
2023-05-09 14:39:53,674 INFO ofi_trade_2_5: -3.551382550332607e-09 , std 5.696609580363081e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_3_5: -1.9640984006003233e-10 , std 4.785493455094179e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_4_5: -4.63619392655704e-09 , std 6.049598555560112e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_5_5: -6.234461707706597e-09 , std 8.245787913314834e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_6_5: -8.521424470141659e-09 , std 9.346744872406534e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_7_5: -7.655537156347866e-09 , std 7.138453921256527e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_8_5: -4.529654425298278e-09 , std 4.954135562038415e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_9_5: -4.818468286488991e-09 , std 5.510086355307291e-07 
2023-05-09 14:39:53,674 INFO ofi_trade_10_5: -8.404031804418816e-09 , std 9.908926383622452e-07 
2023-05-09 14:39:53,674 INFO ofi_add_1_10: -8.188280868221948e-08 , std 2.4206745253961575e-06 
2023-05-09 14:39:53,674 INFO ofi_add_2_10: -1.8786649272683586e-07 , std 2.942095575705409e-06 
2023-05-09 14:39:53,674 INFO ofi_add_3_10: -1.9528206762505943e-07 , std 2.8535163160039444e-06 
2023-05-09 14:39:53,674 INFO ofi_add_4_10: -2.1101325793263525e-07 , std 3.176466487311939e-06 
2023-05-09 14:39:53,674 INFO ofi_add_5_10: -2.517387239254894e-07 , std 3.103511927086477e-06 
2023-05-09 14:39:53,674 INFO ofi_add_6_10: -2.0752965155213788e-07 , std 2.7823008369364844e-06 
2023-05-09 14:39:53,674 INFO ofi_add_7_10: -1.8889309162385576e-07 , std 2.9052625168146953e-06 
2023-05-09 14:39:53,674 INFO ofi_add_8_10: -1.9099163241107084e-07 , std 2.812006526333123e-06 
2023-05-09 14:39:53,675 INFO ofi_add_9_10: -1.818098697771659e-07 , std 2.9309430362012703e-06 
2023-05-09 14:39:53,675 INFO ofi_add_10_10: -2.02679864193699e-07 , std 3.1957723338648967e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_1_10: -2.989275398689528e-08 , std 1.6260661367762057e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_2_10: -1.1378703192616613e-07 , std 2.4602643735151525e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_3_10: -9.45357035140598e-08 , std 2.2941648498857744e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_4_10: -1.284388924099867e-07 , std 2.90174199707121e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_5_10: -1.3107635895630796e-07 , std 2.8424078808888237e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_6_10: -1.0708342733092882e-07 , std 2.23882414861674e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_7_10: -1.179285631523816e-07 , std 2.210636652865519e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_8_10: -1.2013468682013082e-07 , std 2.343463556168526e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_9_10: -1.0487587138748953e-07 , std 2.2121817994541616e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_10_10: -1.1488462329166589e-07 , std 2.34312243024254e-06 
2023-05-09 14:39:53,675 INFO ofi_trade_1_10: -3.209880962305017e-10 , std 8.66698858641589e-08 
2023-05-09 14:39:53,675 INFO ofi_trade_2_10: -2.4884419553250806e-09 , std 3.16851966789422e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_3_10: -3.104589310856435e-09 , std 5.363343111461613e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_4_10: -7.627191652396741e-09 , std 7.984304186921294e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_5_10: -8.087186223198758e-09 , std 7.815841696054089e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_6_10: -1.3020533011017359e-08 , std 1.2295415435179984e-06 
2023-05-09 14:39:53,675 INFO ofi_trade_7_10: -6.770012935070078e-09 , std 7.299162884141947e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_8_10: -1.3980248075890557e-08 , std 1.1846415392025854e-06 
2023-05-09 14:39:53,675 INFO ofi_trade_9_10: -7.030264122031969e-09 , std 6.423610219527536e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_10_10: -1.36455666254829e-08 , std 1.1640564933319412e-06 
2023-05-09 14:39:53,675 INFO ofi_add_1_20: -9.010601389520271e-08 , std 2.490658241099726e-06 
2023-05-09 14:39:53,675 INFO ofi_add_2_20: -2.111056978658144e-07 , std 2.9338526875392597e-06 
2023-05-09 14:39:53,675 INFO ofi_add_3_20: -2.3136858129464957e-07 , std 2.9418490257144492e-06 
2023-05-09 14:39:53,675 INFO ofi_add_4_20: -2.386523453800683e-07 , std 2.8243787249029e-06 
2023-05-09 14:39:53,675 INFO ofi_add_5_20: -2.724376917208631e-07 , std 3.0371988971930223e-06 
2023-05-09 14:39:53,675 INFO ofi_add_6_20: -2.4315388471163146e-07 , std 2.8561712453228373e-06 
