2023-05-09 15:02:25,297 INFO Starting...
2023-05-09 15:02:25,297 INFO Tickers: ['CHTR']
2023-05-09 15:04:03,135 INFO ofi_cancel_6_2: -2.1677875272380825e-08 , std 1.557091000043508e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_7_2: -2.9809877322893404e-08 , std 1.7089982090769716e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_8_2: -2.8058866197527617e-08 , std 1.5854367216629068e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_9_2: -1.8650372801046878e-08 , std 1.7266730095654501e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_10_2: -6.111863261028472e-08 , std 2.4984709609379107e-06 
2023-05-09 15:04:03,135 INFO ofi_trade_1_2: -4.59006775183281e-09 , std 6.409609248024562e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_2_2: 6.198653192521931e-10 , std 6.699402614561337e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_3_2: -1.879160676795195e-09 , std 9.70988914704035e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_4_2: -3.798885124698478e-09 , std 8.84109264870814e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_5_2: -1.1839295867600288e-09 , std 2.493629846063185e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_6_2: -1.0305519840997715e-09 , std 2.6267812153924927e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_7_2: -8.591375420112097e-10 , std 2.1009535348275959e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_8_2: -3.049595080012502e-09 , std 4.932174954357481e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_9_2: -5.200850419717475e-09 , std 9.88486169359367e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_10_2: -8.963402151314679e-10 , std 4.2304839175213064e-07 
2023-05-09 15:04:03,136 INFO ofi_add_1_3: -5.215519391395565e-08 , std 2.4429535128972434e-06 
2023-05-09 15:04:03,136 INFO ofi_add_2_3: -1.353794654109292e-07 , std 2.997537720237777e-06 
2023-05-09 15:04:03,136 INFO ofi_add_3_3: -1.3115293626624473e-07 , std 3.0360443198395238e-06 
2023-05-09 15:04:03,136 INFO ofi_add_4_3: -9.061399472156755e-08 , std 2.3359700148243935e-06 
2023-05-09 15:04:03,136 INFO ofi_add_5_3: -9.363081758146042e-08 , std 2.2706376201425086e-06 
2023-05-09 15:04:03,136 INFO ofi_add_6_3: -8.96821719249355e-08 , std 2.4145432354053164e-06 
2023-05-09 15:04:03,136 INFO ofi_add_7_3: -7.198580893177036e-08 , std 2.1796255679133276e-06 
2023-05-09 15:04:03,136 INFO ofi_add_8_3: -5.757809383501428e-08 , std 2.122705919270306e-06 
2023-05-09 15:04:03,136 INFO ofi_add_9_3: -4.827978732831801e-08 , std 2.121545630310583e-06 
2023-05-09 15:04:03,136 INFO ofi_add_10_3: -6.512755512306057e-08 , std 2.7276586328777947e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_1_3: -1.3999464223608865e-08 , std 9.869566016127983e-07 
2023-05-09 15:04:03,136 INFO ofi_cancel_2_3: -4.873490103657865e-08 , std 2.0767939509207973e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_3_3: -4.2181142212411304e-08 , std 2.1092019868900926e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_4_3: -3.3520106870277324e-08 , std 2.002875862881609e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_5_3: -3.68852643276907e-08 , std 1.658533336825131e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_6_3: -3.28262142043396e-08 , std 1.8882015547620142e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_7_3: -3.6364684406863786e-08 , std 1.6265228256857044e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_8_3: -3.2976804353910914e-08 , std 1.7780796654739037e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_9_3: -2.4094990141170298e-08 , std 1.5797315075381752e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_10_3: -4.581345164677725e-08 , std 2.208116555935739e-06 
