2023-05-09 13:15:11,257 INFO Starting...
2023-05-09 13:15:11,257 INFO Tickers: ['BRK.B']
2023-05-09 13:16:45,761 INFO ofi_trade_3_2: -9.548632486050682e-10 , std 2.6658095354700304e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_4_2: -1.0953508216384705e-09 , std 2.9258693609190197e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_5_2: -2.829481252580401e-09 , std 4.820853145148372e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_6_2: -7.891859905476504e-09 , std 9.233724525714158e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_7_2: -3.0605468138563915e-09 , std 6.121565353210259e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_8_2: -1.8434499789633473e-09 , std 4.261870684126875e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_9_2: -9.66252148477705e-10 , std 2.796497939646829e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_10_2: -1.8256529336659933e-10 , std 5.5246152977429394e-08 
2023-05-09 13:16:45,761 INFO ofi_add_1_3: -5.46646327227466e-08 , std 1.9696331955369668e-06 
2023-05-09 13:16:45,761 INFO ofi_add_2_3: -8.103827243309822e-08 , std 2.058401428414242e-06 
2023-05-09 13:16:45,761 INFO ofi_add_3_3: -8.679730732890215e-08 , std 2.1196992971735445e-06 
2023-05-09 13:16:45,761 INFO ofi_add_4_3: -1.1159662565061293e-07 , std 2.1897348605446915e-06 
2023-05-09 13:16:45,761 INFO ofi_add_5_3: -1.3458037352495858e-07 , std 2.3591038122747007e-06 
2023-05-09 13:16:45,761 INFO ofi_add_6_3: -1.4421972340880415e-07 , std 2.5713220470691466e-06 
2023-05-09 13:16:45,761 INFO ofi_add_7_3: -1.4391469007005493e-07 , std 2.412595067285709e-06 
2023-05-09 13:16:45,761 INFO ofi_add_8_3: -1.4031861046576707e-07 , std 2.3029257934883554e-06 
2023-05-09 13:16:45,761 INFO ofi_add_9_3: -1.0502834681280688e-07 , std 2.0385297288894124e-06 
