2023-05-09 15:33:46,005 INFO Starting...
2023-05-09 15:33:46,005 INFO Tickers: ['MS']
2023-05-09 15:35:14,055 INFO ofi_cancel_7_2: -2.1468756736934467e-08 , std 2.837486869260099e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_8_2: -2.9592951033979273e-09 , std 2.9064049613747057e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_9_2: -1.5926295838113023e-08 , std 1.8302520313557767e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_10_2: -9.926934660215068e-09 , std 1.1952063997326643e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_1_2: -3.955142342925064e-09 , std 1.1096228537181932e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_2_2: -3.797122783987324e-08 , std 4.086732652605047e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_3_2: -5.801561479870653e-08 , std 3.563210789446632e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_4_2: -8.017897909702716e-08 , std 4.434751811048661e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_5_2: -2.8016066707073493e-08 , std 2.466841463372131e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_6_2: -1.984746939913496e-08 , std 2.475125266854662e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_7_2: -1.3074290968372382e-08 , std 2.174799076536323e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_8_2: -1.6439172312999773e-09 , std 4.637814792189751e-07 
2023-05-09 15:35:14,056 INFO ofi_trade_9_2: -3.3738613503234753e-10 , std 1.5055400277848227e-07 
2023-05-09 15:35:14,056 INFO ofi_trade_10_2: 4.3018888530495005e-10 , std 3.6390226665677154e-07 
2023-05-09 15:35:14,056 INFO ofi_add_1_3: -1.6964342025763739e-06 , std 1.24270589640081e-05 
2023-05-09 15:35:14,056 INFO ofi_add_2_3: -4.811014023595385e-07 , std 8.046508405203447e-06 
2023-05-09 15:35:14,056 INFO ofi_add_3_3: -1.6143612200135187e-07 , std 6.2997425192529916e-06 
2023-05-09 15:35:14,056 INFO ofi_add_4_3: -2.556162954905943e-07 , std 7.209613852543111e-06 
2023-05-09 15:35:14,056 INFO ofi_add_5_3: -2.0409056211802697e-07 , std 6.031085320479087e-06 
2023-05-09 15:35:14,056 INFO ofi_add_6_3: -1.3296532388455056e-07 , std 4.675625403910164e-06 
2023-05-09 15:35:14,056 INFO ofi_add_7_3: -1.0783663634333418e-07 , std 4.728931948588612e-06 
2023-05-09 15:35:14,056 INFO ofi_add_8_3: -9.822648116297272e-08 , std 5.357488578446845e-06 
2023-05-09 15:35:14,056 INFO ofi_add_9_3: -9.343745617938992e-08 , std 4.132807919264004e-06 
2023-05-09 15:35:14,056 INFO ofi_add_10_3: -7.119438353199939e-08 , std 3.4208130683635308e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_1_3: -1.9409696347283724e-07 , std 6.404726293781336e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_2_3: -1.3214570296289046e-07 , std 5.945897136266244e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_3_3: -1.8512723801271164e-07 , std 5.914597433967737e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_4_3: -2.675530571435727e-07 , std 6.698522654938063e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_5_3: -1.3294093625387595e-07 , std 5.175565600390819e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_6_3: -5.424415161277292e-08 , std 3.7049550608707005e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_7_3: -2.0341208646281722e-08 , std 2.0417215487933883e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_8_3: -7.887441183807933e-09 , std 3.601950916163792e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_9_3: -1.3948532522500292e-08 , std 1.4480775135919263e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_10_3: -8.773113636635844e-09 , std 1.3599281215055346e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_1_3: -5.881069044285957e-09 , std 1.2259916164168428e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_2_3: -4.390050997848574e-08 , std 3.185677124472185e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_3_3: -7.448981695077697e-08 , std 4.228064426504131e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_4_3: -9.006162966908608e-08 , std 4.060118046307233e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_5_3: -2.698362060360508e-08 , std 2.985086485002723e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_6_3: -1.4069684078029985e-08 , std 1.9844787029316433e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_7_3: -4.310305769673053e-09 , std 1.4097549509024373e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_8_3: 3.5354839450027297e-10 , std 2.705194123953939e-07 
2023-05-09 15:35:14,056 INFO ofi_trade_9_3: -4.068083863586748e-09 , std 1.1863402501070392e-06 
2023-05-09 15:35:14,056 INFO ofi_trade_10_3: 3.2078974117466075e-09 , std 6.523115397149834e-07 
2023-05-09 15:35:14,056 INFO ofi_add_1_5: -2.3701344251992453e-06 , std 1.3617936042661029e-05 
2023-05-09 15:35:14,056 INFO ofi_add_2_5: -6.438439374781569e-07 , std 9.476377189139213e-06 
2023-05-09 15:35:14,056 INFO ofi_add_3_5: -1.784840324620211e-07 , std 5.556248547885242e-06 
2023-05-09 15:35:14,056 INFO ofi_add_4_5: -3.5721894934816206e-07 , std 8.198368493705361e-06 
2023-05-09 15:35:14,056 INFO ofi_add_5_5: -2.0752656437083704e-07 , std 6.035961912114589e-06 
2023-05-09 15:35:14,056 INFO ofi_add_6_5: -1.9329095127536026e-07 , std 5.562033054962421e-06 
2023-05-09 15:35:14,056 INFO ofi_add_7_5: -1.792614197885442e-07 , std 5.252399597738025e-06 
2023-05-09 15:35:14,056 INFO ofi_add_8_5: -1.1719731881207444e-07 , std 4.5967975367174735e-06 
2023-05-09 15:35:14,056 INFO ofi_add_9_5: -8.823865537675784e-08 , std 4.0923941161802785e-06 
2023-05-09 15:35:14,056 INFO ofi_add_10_5: -8.834279634457847e-08 , std 3.846242043908363e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_1_5: -1.216068113031754e-07 , std 6.001812748328022e-06 
