2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,656 INFO ofi_trade_3_2: -2.7667498466431628e-08 , std 2.1728635424179833e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_4_2: -4.63974501781464e-08 , std 3.0822490098888274e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_5_2: -2.1569093280853175e-08 , std 2.4548449023999336e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_6_2: -8.639670741086611e-09 , std 1.7192719986923955e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_7_2: -5.540594594955937e-09 , std 1.2036436227825287e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_8_2: -3.346156108984487e-09 , std 4.7456850594557885e-07 
2023-05-09 13:47:12,656 INFO ofi_trade_9_2: -3.299813918360729e-09 , std 8.550822618572193e-07 
2023-05-09 13:47:12,656 INFO ofi_trade_10_2: -2.0953085140338973e-09 , std 3.742993032375672e-07 
2023-05-09 13:47:12,656 INFO ofi_add_1_3: -1.0373270517729773e-06 , std 8.20996092848863e-06 
2023-05-09 13:47:12,656 INFO ofi_add_2_3: -2.736877464486676e-07 , std 5.66945867198567e-06 
2023-05-09 13:47:12,656 INFO ofi_add_3_3: -9.161776245042329e-08 , std 4.691684237355907e-06 
2023-05-09 13:47:12,656 INFO ofi_add_4_3: -1.6255010872170725e-07 , std 5.7912010710797624e-06 
2023-05-09 13:47:12,656 INFO ofi_add_5_3: -1.3811152470470675e-07 , std 4.302768036007695e-06 
2023-05-09 13:47:12,656 INFO ofi_add_6_3: -4.7061396998425e-08 , std 2.9061289877070186e-06 
2023-05-09 13:47:12,656 INFO ofi_add_7_3: -2.510206293106926e-08 , std 1.7885850557802662e-06 
2023-05-09 13:47:12,656 INFO ofi_add_8_3: -2.4227907170842215e-08 , std 1.631944597783422e-06 
2023-05-09 13:47:12,656 INFO ofi_add_9_3: -2.0823081182431524e-08 , std 2.4548987272688924e-06 
2023-05-09 13:47:12,656 INFO ofi_add_10_3: -1.9657028843975748e-08 , std 2.0408785769830855e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_1_3: -7.187553608201756e-08 , std 3.854806348940944e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_2_3: -2.1631934800196873e-08 , std 2.8361569414992086e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_3_3: -1.4056031965166911e-07 , std 4.708031819822829e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_4_3: -1.0869143192123183e-07 , std 5.136413832187116e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_5_3: -1.4541756182271222e-08 , std 2.036791784801269e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_6_3: -1.4421190432578404e-08 , std 2.596512200272264e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_7_3: -5.9858809610489185e-09 , std 9.516464804512306e-07 
2023-05-09 13:47:12,656 INFO ofi_cancel_8_3: -2.7185806716865644e-09 , std 7.663497916235263e-07 
2023-05-09 13:47:12,656 INFO ofi_cancel_9_3: -1.085989454484279e-08 , std 1.3108236384631455e-06 
2023-05-09 13:47:12,656 INFO ofi_cancel_10_3: -3.740038792352128e-09 , std 8.58083186957214e-07 
