2023-05-09 14:23:58,709 INFO Starting...
2023-05-09 14:23:58,709 INFO Tickers: ['NKE']
2023-05-09 14:25:27,669 INFO ofi_trade_3_2: -5.676283090618151e-08 , std 3.2718624686494792e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_4_2: -8.673790281351909e-08 , std 3.9888905996867425e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_5_2: -7.319084504032232e-08 , std 3.7045165872345993e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_6_2: -3.410649505601977e-08 , std 2.122996193651606e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_7_2: -1.7799069102956506e-08 , std 1.783395064889999e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_8_2: -4.619572461524765e-09 , std 1.9648730398724322e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_9_2: -4.523557441910227e-09 , std 6.074445384366292e-07 
2023-05-09 14:25:27,669 INFO ofi_trade_10_2: -1.1625931689634865e-08 , std 1.0256527204319633e-06 
2023-05-09 14:25:27,669 INFO ofi_add_1_3: -8.068485832817611e-07 , std 8.50275151958725e-06 
2023-05-09 14:25:27,669 INFO ofi_add_2_3: -2.650747949338921e-07 , std 5.553822403577831e-06 
2023-05-09 14:25:27,669 INFO ofi_add_3_3: -1.740407940254751e-07 , std 4.976169045372606e-06 
2023-05-09 14:25:27,669 INFO ofi_add_4_3: -2.9115320945387927e-07 , std 5.8964383329007566e-06 
2023-05-09 14:25:27,669 INFO ofi_add_5_3: -2.0750766052384093e-07 , std 5.081861543016195e-06 
2023-05-09 14:25:27,669 INFO ofi_add_6_3: -1.865444010147987e-07 , std 4.698932895997674e-06 
2023-05-09 14:25:27,669 INFO ofi_add_7_3: -1.717449616266711e-07 , std 4.174131625491718e-06 
2023-05-09 14:25:27,669 INFO ofi_add_8_3: -1.7056583236393035e-07 , std 4.17898229164204e-06 
2023-05-09 14:25:27,669 INFO ofi_add_9_3: -1.3678537666179537e-07 , std 3.699603751768325e-06 
2023-05-09 14:25:27,669 INFO ofi_add_10_3: -1.1750640487683038e-07 , std 3.639906867003488e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_1_3: -4.232574940021569e-08 , std 3.1834967377060308e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_2_3: -1.0510486802981603e-07 , std 4.173262349366109e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_3_3: -2.024642162933748e-07 , std 5.160414876693732e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_4_3: -1.921369397371388e-07 , std 4.482056024811239e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_5_3: -1.5475385153292298e-07 , std 4.126775046934964e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_6_3: -9.273260038866005e-08 , std 3.0233065626628747e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_7_3: -3.2447280249284446e-08 , std 2.1666307499285114e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_8_3: -1.5739561995568307e-08 , std 1.8826178581183758e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_9_3: -1.5861534833975465e-08 , std 1.5334062026687404e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_10_3: -2.508061740639565e-08 , std 2.410054106050666e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_1_3: -1.1106274668982307e-09 , std 3.0217083919208694e-07 
2023-05-09 14:25:27,670 INFO ofi_trade_2_3: -2.624821635990053e-08 , std 2.2711901745195722e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_3_3: -6.750589137980907e-08 , std 3.3017175916124913e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_4_3: -6.814881342161194e-08 , std 3.1008199830808143e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_5_3: -6.305802072852546e-08 , std 3.045549172013478e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_6_3: -2.403642667716812e-08 , std 2.0365249216605383e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_7_3: -1.553082407792609e-08 , std 1.52671927110779e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_8_3: -1.0055189297971946e-08 , std 1.3472393021553694e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_9_3: -3.167713532733222e-09 , std 5.148937121315945e-07 
2023-05-09 14:25:27,670 INFO ofi_trade_10_3: -8.287533655748037e-09 , std 8.588717510699407e-07 
2023-05-09 14:25:27,670 INFO ofi_add_1_5: -1.1054195478831865e-06 , std 9.293789019293305e-06 
2023-05-09 14:25:27,670 INFO ofi_add_2_5: -3.190983672656094e-07 , std 5.50822874871763e-06 
2023-05-09 14:25:27,670 INFO ofi_add_3_5: -1.877806723627026e-07 , std 5.218549636108021e-06 
2023-05-09 14:25:27,670 INFO ofi_add_4_5: -3.0383288817432916e-07 , std 5.968109357909706e-06 
2023-05-09 14:25:27,670 INFO ofi_add_5_5: -2.904420828734638e-07 , std 5.704874369846374e-06 
2023-05-09 14:25:27,670 INFO ofi_add_6_5: -3.054618104648922e-07 , std 5.360046457419333e-06 
2023-05-09 14:25:27,670 INFO ofi_add_7_5: -2.3140742389910692e-07 , std 4.325462123572346e-06 
2023-05-09 14:25:27,670 INFO ofi_add_8_5: -1.5256452442735982e-07 , std 3.65210602892778e-06 
2023-05-09 14:25:27,670 INFO ofi_add_9_5: -1.2735207698659782e-07 , std 3.788146972070674e-06 
2023-05-09 14:25:27,670 INFO ofi_add_10_5: -1.6832388589462087e-07 , std 4.066827197692795e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_1_5: -5.5141007242924784e-08 , std 3.1925405257910367e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_2_5: -1.195520071829624e-07 , std 4.014747212395508e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_3_5: -2.0702001934265455e-07 , std 4.719802730007937e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_4_5: -2.7644488173626727e-07 , std 5.5375414213346756e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_5_5: -1.7934864369876994e-07 , std 4.291026468934747e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_6_5: -8.808985342422078e-08 , std 2.902014632403256e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_7_5: -3.108454767484541e-08 , std 2.1105408176322878e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_8_5: -3.331403364237127e-08 , std 1.86500704999112e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_9_5: -1.9964741176925917e-08 , std 1.2422943986354216e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_10_5: -2.380615986116203e-08 , std 1.246309467676973e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_1_5: -1.3314188928327718e-09 , std 6.325017994859666e-07 
2023-05-09 14:25:27,670 INFO ofi_trade_2_5: -1.2836617387865312e-08 , std 1.376717297548356e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_3_5: -6.202187375837409e-08 , std 3.0795957229157803e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_4_5: -1.1465018258996505e-07 , std 3.6016714336206797e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_5_5: -7.480117495766162e-08 , std 3.440602394992708e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_6_5: -4.468597527864301e-08 , std 2.3190823076063903e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_7_5: -1.2421906565631574e-08 , std 1.4272286809845044e-06 
2023-05-09 14:25:27,670 INFO ofi_trade_8_5: -1.2734156706907569e-08 , std 9.587894169108173e-07 
2023-05-09 14:25:27,670 INFO ofi_trade_9_5: -4.6703245142739435e-09 , std 6.57540125479245e-07 
2023-05-09 14:25:27,670 INFO ofi_trade_10_5: -1.2412870093991037e-08 , std 1.0657190414107578e-06 
2023-05-09 14:25:27,670 INFO ofi_add_1_10: -1.4038867115715556e-06 , std 9.905626743616032e-06 
2023-05-09 14:25:27,670 INFO ofi_add_2_10: -4.288384518933632e-07 , std 6.593459551176486e-06 
2023-05-09 14:25:27,670 INFO ofi_add_3_10: -2.1944331063885141e-07 , std 4.859007236006325e-06 
2023-05-09 14:25:27,670 INFO ofi_add_4_10: -3.83511933633603e-07 , std 6.069814129009047e-06 
2023-05-09 14:25:27,670 INFO ofi_add_5_10: -3.23622628431237e-07 , std 5.818188659991906e-06 
2023-05-09 14:25:27,670 INFO ofi_add_6_10: -2.8835777705287185e-07 , std 4.438998504680301e-06 
2023-05-09 14:25:27,670 INFO ofi_add_7_10: -2.528238827722538e-07 , std 4.028791122789029e-06 
2023-05-09 14:25:27,670 INFO ofi_add_8_10: -1.7350480899299569e-07 , std 3.8015292667256286e-06 
2023-05-09 14:25:27,670 INFO ofi_add_9_10: -2.1958465340344608e-07 , std 4.168699463669399e-06 
2023-05-09 14:25:27,670 INFO ofi_add_10_10: -2.0748854305155108e-07 , std 4.254576593576306e-06 
2023-05-09 14:25:27,670 INFO ofi_cancel_1_10: -2.2858897205797282e-08 , std 3.2466144494382364e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_2_10: -1.460124548001773e-07 , std 3.892185459518106e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_3_10: -2.835509738456047e-07 , std 5.386089926436418e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_4_10: -2.9929340288903825e-07 , std 5.383984127399569e-06 
