2023-05-09 14:17:40,384 INFO Starting...
2023-05-09 14:17:40,384 INFO Tickers: ['TMO']
2023-05-09 14:19:14,486 INFO ofi_trade_3_2: -1.6904042586257643e-09 , std 3.717280906459361e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_4_2: 2.785906919716437e-10 , std 4.879016727902789e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_5_2: -9.894166944620234e-10 , std 5.765873941574537e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_6_2: -3.1789708815528314e-09 , std 5.013842309364944e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_7_2: -1.4805595760736465e-09 , std 3.294264986714507e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_8_2: -9.088504928048221e-09 , std 1.0075689870551564e-06 
2023-05-09 14:19:14,486 INFO ofi_trade_9_2: -7.316845124489032e-09 , std 8.273808626699575e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_10_2: -9.696926259442238e-09 , std 1.1745111959289078e-06 
2023-05-09 14:19:14,486 INFO ofi_add_1_3: -9.890801049950846e-08 , std 2.8108191137817263e-06 
2023-05-09 14:19:14,486 INFO ofi_add_2_3: -1.53357976112944e-07 , std 3.2725896118865673e-06 
2023-05-09 14:19:14,486 INFO ofi_add_3_3: -1.3374235180911563e-07 , std 3.225077114267916e-06 
2023-05-09 14:19:14,486 INFO ofi_add_4_3: -1.2578534717516747e-07 , std 2.669979641120887e-06 
2023-05-09 14:19:14,486 INFO ofi_add_5_3: -1.1764933761972586e-07 , std 3.2160801000389587e-06 
2023-05-09 14:19:14,486 INFO ofi_add_6_3: -9.691717286964042e-08 , std 2.681832097322208e-06 
2023-05-09 14:19:14,486 INFO ofi_add_7_3: -9.50437806878577e-08 , std 3.12044879366483e-06 
2023-05-09 14:19:14,486 INFO ofi_add_8_3: -9.315041800642652e-08 , std 2.9596192053451275e-06 
2023-05-09 14:19:14,486 INFO ofi_add_9_3: -5.93250081614345e-08 , std 2.5295443183411367e-06 
2023-05-09 14:19:14,486 INFO ofi_add_10_3: -1.0471815488992004e-07 , std 3.443842941028628e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_1_3: -1.588939285678079e-08 , std 1.7302128976543904e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_2_3: -5.300527722351983e-08 , std 2.482258505226075e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_3_3: -3.942449343225698e-08 , std 1.6726095795778368e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_4_3: -6.381283072535686e-08 , std 2.8784776265497214e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_5_3: -5.306959579232965e-08 , std 2.722978397323517e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_6_3: -5.5673779948136856e-08 , std 2.36669165920919e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_7_3: -7.024819496368688e-08 , std 2.86505827650384e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_8_3: -5.999390800053911e-08 , std 2.9582740803597634e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_9_3: -4.54112138896334e-08 , std 2.660237555245008e-06 
2023-05-09 14:19:14,486 INFO ofi_cancel_10_3: -7.837275713083696e-08 , std 3.6542622537365926e-06 
2023-05-09 14:19:14,486 INFO ofi_trade_1_3: -5.348180362598669e-09 , std 8.295160179003441e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_2_3: -4.852139293221295e-09 , std 1.126433324158002e-06 
2023-05-09 14:19:14,486 INFO ofi_trade_3_3: -5.960612909369835e-10 , std 5.407761488338108e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_4_3: -2.712776380396579e-09 , std 4.5241516163648554e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_5_3: -4.870059824953634e-09 , std 9.478138445934717e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_6_3: -2.8081324805824954e-09 , std 3.9352733324729256e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_7_3: -2.5917836373785658e-09 , std 5.267222474864855e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_8_3: -8.856026285896708e-09 , std 1.2626594649693626e-06 
2023-05-09 14:19:14,486 INFO ofi_trade_9_3: -3.340404380491304e-09 , std 6.420869759338638e-07 
2023-05-09 14:19:14,486 INFO ofi_trade_10_3: -1.9280754170727928e-08 , std 1.3503311320447357e-06 
2023-05-09 14:19:14,486 INFO ofi_add_1_5: -9.619013721892339e-08 , std 2.6833625518561383e-06 
2023-05-09 14:19:14,486 INFO ofi_add_2_5: -1.7755705725609107e-07 , std 3.5537714894505516e-06 
2023-05-09 14:19:14,486 INFO ofi_add_3_5: -1.7704979116391667e-07 , std 3.2557566756486653e-06 
2023-05-09 14:19:14,487 INFO ofi_add_4_5: -1.8655318578782217e-07 , std 3.045548349396095e-06 
2023-05-09 14:19:14,487 INFO ofi_add_5_5: -1.7057333011921817e-07 , std 3.384830388355656e-06 
2023-05-09 14:19:14,487 INFO ofi_add_6_5: -1.3976782974499825e-07 , std 3.0135814183744093e-06 
2023-05-09 14:19:14,487 INFO ofi_add_7_5: -1.1412090520125416e-07 , std 2.6151665976525595e-06 
2023-05-09 14:19:14,487 INFO ofi_add_8_5: -1.033430065985682e-07 , std 2.67270257691689e-06 
2023-05-09 14:19:14,487 INFO ofi_add_9_5: -1.037475367533141e-07 , std 3.0858934953617726e-06 
2023-05-09 14:19:14,487 INFO ofi_add_10_5: -7.261900023490287e-08 , std 3.19393895618975e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_1_5: -1.87269025445962e-08 , std 1.7792455604421463e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_2_5: -4.522785103390545e-08 , std 2.070195754561938e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_3_5: -6.689877972470076e-08 , std 2.4899749610697316e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_4_5: -5.986815719175042e-08 , std 2.630436295133072e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_5_5: -6.979648462518822e-08 , std 2.3425254248907643e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_6_5: -6.697791447746384e-08 , std 2.2432507770985064e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_7_5: -5.7614105187606534e-08 , std 2.4066129486153164e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_8_5: -7.61650062015886e-08 , std 2.2612756465563696e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_9_5: -4.5965643849426164e-08 , std 2.371372332591374e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_10_5: -8.962548681260932e-08 , std 2.9742125342078676e-06 
2023-05-09 14:19:14,487 INFO ofi_trade_1_5: -2.2508019394410253e-09 , std 3.934779215559038e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_2_5: -4.895811590998245e-09 , std 7.086864300419075e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_3_5: -4.505986056877223e-09 , std 8.765106999754535e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_4_5: -6.279685610007451e-09 , std 1.0092824901372084e-06 
2023-05-09 14:19:14,487 INFO ofi_trade_5_5: -8.573724217357947e-10 , std 3.321162619129145e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_6_5: -1.8736016281311656e-09 , std 5.084750865808052e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_7_5: -6.795408337908658e-09 , std 8.922173724881828e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_8_5: -1.5368977189089392e-09 , std 2.6247523311188296e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_9_5: -1.7086407062700514e-08 , std 1.573926649947772e-06 
2023-05-09 14:19:14,487 INFO ofi_trade_10_5: -1.5924135050414158e-08 , std 1.703672646618087e-06 
2023-05-09 14:19:14,487 INFO ofi_add_1_10: -1.1519306033472059e-07 , std 2.6704225112535474e-06 
2023-05-09 14:19:14,487 INFO ofi_add_2_10: -2.3158225137765978e-07 , std 3.4885135072653103e-06 
2023-05-09 14:19:14,487 INFO ofi_add_3_10: -2.347246699941815e-07 , std 3.3362851027478603e-06 
2023-05-09 14:19:14,487 INFO ofi_add_4_10: -1.9362264114192125e-07 , std 2.8530450308680463e-06 
2023-05-09 14:19:14,487 INFO ofi_add_5_10: -2.0171556175624039e-07 , std 2.9663156350641754e-06 
2023-05-09 14:19:14,487 INFO ofi_add_6_10: -1.6702034927188314e-07 , std 3.0314056075657786e-06 
2023-05-09 14:19:14,487 INFO ofi_add_7_10: -1.4611081286675996e-07 , std 2.8388364829181687e-06 
2023-05-09 14:19:14,487 INFO ofi_add_8_10: -9.982459741580999e-08 , std 2.5398452809355527e-06 
