2023-05-09 14:13:00,326 INFO Starting...
2023-05-09 14:13:00,326 INFO Tickers: ['ACN']
2023-05-09 14:14:31,809 INFO ofi_add_6_5: -2.6419014936090565e-07 , std 3.7268413266067503e-06 
2023-05-09 14:14:31,809 INFO ofi_add_7_5: -1.931928698144815e-07 , std 3.1354142443985947e-06 
2023-05-09 14:14:31,809 INFO ofi_add_8_5: -1.4769777081665519e-07 , std 2.981827905467365e-06 
2023-05-09 14:14:31,809 INFO ofi_add_9_5: -1.3591335535599723e-07 , std 2.9755724615516254e-06 
2023-05-09 14:14:31,809 INFO ofi_add_10_5: -1.6909114682613597e-07 , std 3.6755663777750325e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_1_5: -2.702279674266648e-08 , std 1.6305335855824515e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_2_5: -9.392349825395877e-08 , std 2.550218501460061e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_3_5: -6.83918472854682e-08 , std 2.4289714323116845e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_4_5: -1.0105696701790865e-07 , std 2.525820906082827e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_5_5: -7.426145198846774e-08 , std 2.4705296308726316e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_6_5: -7.645687301390649e-08 , std 2.5155196772439218e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_7_5: -7.615184364265996e-08 , std 2.3774872397614484e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_8_5: -5.972674517864926e-08 , std 1.9361920782839534e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_9_5: -7.2944170967588e-08 , std 2.506382482554125e-06 
2023-05-09 14:14:31,809 INFO ofi_cancel_10_5: -9.460426919569018e-08 , std 2.607631433384391e-06 
2023-05-09 14:14:31,809 INFO ofi_trade_1_5: -4.114311063513313e-09 , std 7.39622224827214e-07 
2023-05-09 14:14:31,809 INFO ofi_trade_2_5: -6.1905392832103646e-09 , std 8.203587267475902e-07 
2023-05-09 14:14:31,809 INFO ofi_trade_3_5: -1.1626686470889875e-08 , std 1.0832121406884847e-06 
2023-05-09 14:14:31,809 INFO ofi_trade_4_5: -8.907937925652515e-09 , std 8.785969223489201e-07 
2023-05-09 14:14:31,809 INFO ofi_trade_5_5: -2.6965847732668414e-08 , std 1.8128166496317049e-06 
2023-05-09 14:14:31,809 INFO ofi_trade_6_5: -1.2441132564433525e-08 , std 9.616619285130898e-07 
2023-05-09 14:14:31,809 INFO ofi_trade_7_5: -1.0883407030531529e-08 , std 1.0295575122125478e-06 
2023-05-09 14:14:31,809 INFO ofi_trade_8_5: -1.6205637223357307e-08 , std 1.5443148921210095e-06 
2023-05-09 14:14:31,809 INFO ofi_trade_9_5: -5.387837610679683e-09 , std 6.792225562619383e-07 
2023-05-09 14:14:31,809 INFO ofi_trade_10_5: -5.4020534733779115e-09 , std 6.077178895145324e-07 
2023-05-09 14:14:31,809 INFO ofi_add_1_10: -1.2208123501918818e-07 , std 2.762536602735266e-06 
2023-05-09 14:14:31,809 INFO ofi_add_2_10: -2.1526929110653725e-07 , std 3.5134892929283236e-06 
2023-05-09 14:14:31,809 INFO ofi_add_3_10: -2.443934340825478e-07 , std 3.469886296293988e-06 
2023-05-09 14:14:31,809 INFO ofi_add_4_10: -2.7766737656228105e-07 , std 3.5556801970832224e-06 
2023-05-09 14:14:31,809 INFO ofi_add_5_10: -3.273170710241041e-07 , std 3.6990836325175814e-06 
2023-05-09 14:14:31,809 INFO ofi_add_6_10: -2.4427348062089344e-07 , std 3.323371220663393e-06 
2023-05-09 14:14:31,809 INFO ofi_add_7_10: -2.0786627909606836e-07 , std 3.1645569895513645e-06 
2023-05-09 14:14:31,810 INFO ofi_add_8_10: -1.7571346379524942e-07 , std 2.690619337301939e-06 
2023-05-09 14:14:31,810 INFO ofi_add_9_10: -1.9302629656392776e-07 , std 3.0649845885999813e-06 
2023-05-09 14:14:31,810 INFO ofi_add_10_10: -1.6846228444179554e-07 , std 3.182216232178171e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_1_10: -4.8547316848989024e-08 , std 2.1215227591468137e-06 
