2023-05-09 14:16:06,876 INFO Starting...
2023-05-09 14:16:06,876 INFO Tickers: ['PYPL']
2023-05-09 14:17:39,693 INFO ofi_cancel_3_2: -1.0844271624535801e-07 , std 4.470052697636589e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_4_2: -1.0534802912474615e-07 , std 3.867059027670394e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_5_2: -7.086635061036995e-08 , std 3.5211024343337337e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_6_2: -8.091329377211985e-08 , std 3.2793053762998633e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_7_2: -5.440994926650987e-08 , std 2.4941386696948694e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_8_2: -4.9905276327710137e-08 , std 2.9315214871307445e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_9_2: -7.751059598378434e-08 , std 2.9146017278480185e-06 
2023-05-09 14:17:39,693 INFO ofi_cancel_10_2: -6.729251284963262e-08 , std 2.3465491944791134e-06 
2023-05-09 14:17:39,693 INFO ofi_trade_1_2: -4.657710470077069e-09 , std 1.1127438431152321e-06 
2023-05-09 14:17:39,693 INFO ofi_trade_2_2: -3.922241769747951e-08 , std 2.8366444752632546e-06 
2023-05-09 14:17:39,693 INFO ofi_trade_3_2: -5.573116602362924e-08 , std 3.195511419539825e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_4_2: -7.287655046756397e-08 , std 3.7196419275869202e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_5_2: -7.922376643350385e-08 , std 3.929277794753421e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_6_2: -6.878547870736893e-08 , std 4.217986575039856e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_7_2: -7.168806669170818e-08 , std 4.188149979067504e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_8_2: -3.6623248432212884e-08 , std 2.2159214002950554e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_9_2: -4.6116349332116566e-08 , std 3.37325835539552e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_10_2: -3.349282411928274e-08 , std 2.2432373479617123e-06 
2023-05-09 14:17:39,694 INFO ofi_add_1_3: -8.958091809900153e-07 , std 1.0024778314672056e-05 
2023-05-09 14:17:39,694 INFO ofi_add_2_3: -3.372680612877523e-07 , std 7.163711292269831e-06 
2023-05-09 14:17:39,694 INFO ofi_add_3_3: -1.520293231915802e-07 , std 4.550397184196876e-06 
2023-05-09 14:17:39,694 INFO ofi_add_4_3: -2.3287031981858904e-07 , std 5.243830811739729e-06 
2023-05-09 14:17:39,694 INFO ofi_add_5_3: -2.268258183506247e-07 , std 5.0838196317654045e-06 
2023-05-09 14:17:39,694 INFO ofi_add_6_3: -2.0314094415934393e-07 , std 4.554965846863468e-06 
2023-05-09 14:17:39,694 INFO ofi_add_7_3: -2.0951801433652024e-07 , std 5.979185548754682e-06 
2023-05-09 14:17:39,694 INFO ofi_add_8_3: -1.4341986581932487e-07 , std 3.956216505766544e-06 
2023-05-09 14:17:39,694 INFO ofi_add_9_3: -1.9581556867043855e-07 , std 5.908707023699688e-06 
2023-05-09 14:17:39,694 INFO ofi_add_10_3: -1.7630437551208457e-07 , std 4.534455856174494e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_1_3: -5.3841963372125e-08 , std 4.191414582122037e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_2_3: -1.2153155377308731e-07 , std 5.2670304862796475e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_3_3: -8.631245506039829e-08 , std 3.944687943647665e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_4_3: -1.3269496903429187e-07 , std 5.366458142379129e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_5_3: -1.4862334456648602e-07 , std 4.369176226437821e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_6_3: -8.457129541857795e-08 , std 3.3336947836019166e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_7_3: -7.492805487611051e-08 , std 3.182923126968605e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_8_3: -8.69818399166319e-08 , std 2.8442979295614304e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_9_3: -8.040833914997587e-08 , std 3.0924783856739666e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_10_3: -6.759027825425556e-08 , std 2.5328725346360366e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_1_3: -5.083712014145861e-09 , std 1.2440633287838193e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_2_3: -5.4727748436553976e-08 , std 4.149137426775999e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_3_3: -7.40412792209647e-08 , std 3.847432433860704e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_4_3: -7.585116681252434e-08 , std 3.7504747305901587e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_5_3: -1.0434228652398927e-07 , std 4.725472257951036e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_6_3: -6.644330342331092e-08 , std 3.925293603238531e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_7_3: -6.547407167714527e-08 , std 3.2809181102500823e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_8_3: -5.660493626674865e-08 , std 2.9497075188802488e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_9_3: -3.715156826987113e-08 , std 2.6175185526420526e-06 
2023-05-09 14:17:39,694 INFO ofi_trade_10_3: -2.7494151724279718e-08 , std 2.5175300647909452e-06 
2023-05-09 14:17:39,694 INFO ofi_add_1_5: -1.0499167083383233e-06 , std 9.95669448926991e-06 
2023-05-09 14:17:39,694 INFO ofi_add_2_5: -4.4571367910401733e-07 , std 8.045756183078152e-06 
2023-05-09 14:17:39,694 INFO ofi_add_3_5: -2.8763895518010247e-07 , std 5.839139927948688e-06 
2023-05-09 14:17:39,694 INFO ofi_add_4_5: -2.720504160726694e-07 , std 5.2368900333828576e-06 
2023-05-09 14:17:39,694 INFO ofi_add_5_5: -2.7446565323813924e-07 , std 5.252305450127151e-06 
2023-05-09 14:17:39,694 INFO ofi_add_6_5: -2.5989851320878986e-07 , std 5.3113112761096926e-06 
2023-05-09 14:17:39,694 INFO ofi_add_7_5: -2.3508513823998155e-07 , std 5.193925144831957e-06 
2023-05-09 14:17:39,694 INFO ofi_add_8_5: -1.9556230926446316e-07 , std 4.708550107373847e-06 
2023-05-09 14:17:39,694 INFO ofi_add_9_5: -1.781202266214206e-07 , std 4.815354004386961e-06 
2023-05-09 14:17:39,694 INFO ofi_add_10_5: -1.7049742125343373e-07 , std 4.794351793728756e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_1_5: -4.364911191404331e-08 , std 5.6572769581136715e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_2_5: -8.436719625654021e-08 , std 3.672493839426982e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_3_5: -1.1333467417604163e-07 , std 3.630975810836242e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_4_5: -1.1722614630468866e-07 , std 3.513290661723265e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_5_5: -1.275474877618291e-07 , std 3.836589971682214e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_6_5: -1.0548174888299227e-07 , std 3.168432108485214e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_7_5: -6.389819231222446e-08 , std 2.1745834327375395e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_8_5: -1.0552663789058179e-07 , std 3.374948526397855e-06 
2023-05-09 14:17:39,694 INFO ofi_cancel_9_5: -8.477366212919245e-08 , std 2.600423617375724e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_10_5: -8.384039686693597e-08 , std 2.3807841197635843e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_1_5: 2.33038480830053e-09 , std 9.249556268082911e-07 
2023-05-09 14:17:39,695 INFO ofi_trade_2_5: -5.1641757095662444e-08 , std 2.900757322461029e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_3_5: -6.423482191365892e-08 , std 3.2154058025830105e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_4_5: -8.137135994995644e-08 , std 3.945695568120093e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_5_5: -8.434991344762981e-08 , std 3.530007717445304e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_6_5: -6.04263394778733e-08 , std 2.950563944228241e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_7_5: -7.262471266612444e-08 , std 3.4509098864508807e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_8_5: -3.599169637655445e-08 , std 2.273539781820148e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_9_5: -4.387514510951853e-08 , std 2.4493564157176467e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_10_5: -4.411124319598118e-08 , std 2.6230778385837965e-06 
2023-05-09 14:17:39,695 INFO ofi_add_1_10: -1.2674706858839212e-06 , std 1.0439115423391683e-05 
2023-05-09 14:17:39,695 INFO ofi_add_2_10: -4.489279818205644e-07 , std 7.215239012898544e-06 
2023-05-09 14:17:39,695 INFO ofi_add_3_10: -2.2109299364521356e-07 , std 4.765984856940749e-06 
2023-05-09 14:17:39,695 INFO ofi_add_4_10: -2.9917845450831867e-07 , std 5.584461260500769e-06 
2023-05-09 14:17:39,695 INFO ofi_add_5_10: -2.905503854706534e-07 , std 5.186166132344275e-06 
2023-05-09 14:17:39,695 INFO ofi_add_6_10: -3.1551283910857313e-07 , std 5.217501447188508e-06 
2023-05-09 14:17:39,695 INFO ofi_add_7_10: -2.566039847884075e-07 , std 4.9652345154149965e-06 
2023-05-09 14:17:39,695 INFO ofi_add_8_10: -2.2830487089466342e-07 , std 5.094566621261386e-06 
2023-05-09 14:17:39,695 INFO ofi_add_9_10: -1.490014094954022e-07 , std 4.302802745215208e-06 
2023-05-09 14:17:39,695 INFO ofi_add_10_10: -2.3623038029229142e-07 , std 5.363496390416881e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_1_10: -3.940209372533271e-08 , std 5.609177220230595e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_2_10: -1.375467521044278e-07 , std 5.368292043696086e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_3_10: -1.3386191328603137e-07 , std 4.251923361746145e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_4_10: -1.1678520304865127e-07 , std 3.610853090192389e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_5_10: -1.3947617373278267e-07 , std 3.976656722179588e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_6_10: -9.860612360098668e-08 , std 3.227736165634341e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_7_10: -9.017756572302175e-08 , std 2.9054005228762265e-06 
