2023-05-09 14:47:44,843 INFO Starting...
2023-05-09 14:47:44,843 INFO Tickers: ['MO']
2023-05-09 14:49:15,523 INFO ofi_trade_4_2: -4.323238780514326e-08 , std 3.014358632689761e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_5_2: -5.1473125138684305e-08 , std 2.801971474339799e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_6_2: -3.63484884144379e-08 , std 2.709425114744591e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_7_2: -1.9113470733601833e-08 , std 3.0306626287462072e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_8_2: -1.4188465625532105e-08 , std 1.3685114561509033e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_9_2: -1.2850916678459754e-08 , std 2.033557898956752e-06 
2023-05-09 14:49:15,523 INFO ofi_trade_10_2: -1.6885638146546064e-08 , std 1.6559542027174625e-06 
2023-05-09 14:49:15,523 INFO ofi_add_1_3: -1.3867025949574931e-06 , std 1.1570527832213983e-05 
2023-05-09 14:49:15,523 INFO ofi_add_2_3: -4.151365905709195e-07 , std 7.323377143484998e-06 
2023-05-09 14:49:15,523 INFO ofi_add_3_3: -2.1625957628458343e-07 , std 5.918450622580262e-06 
2023-05-09 14:49:15,523 INFO ofi_add_4_3: -2.873440369258969e-07 , std 7.1006745520793895e-06 
2023-05-09 14:49:15,523 INFO ofi_add_5_3: -2.435187551536028e-07 , std 5.57264781827503e-06 
2023-05-09 14:49:15,523 INFO ofi_add_6_3: -1.9612419996315007e-07 , std 5.027594494919013e-06 
2023-05-09 14:49:15,524 INFO ofi_add_7_3: -1.5714539165763663e-07 , std 4.85201207200974e-06 
2023-05-09 14:49:15,524 INFO ofi_add_8_3: -1.0610722047506465e-07 , std 4.182309924231118e-06 
2023-05-09 14:49:15,524 INFO ofi_add_9_3: -1.2525770109393362e-07 , std 4.543819726099019e-06 
2023-05-09 14:49:15,524 INFO ofi_add_10_3: -1.5666803866927272e-07 , std 6.048089162117809e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_1_3: -1.418990749188641e-07 , std 5.686840929717768e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_2_3: -1.7762098067642628e-07 , std 5.246998391989032e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_3_3: -2.038115889633626e-07 , std 5.210929308766749e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_4_3: -1.7247620740087856e-07 , std 5.6665293531582376e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_5_3: -1.0980612858193722e-07 , std 4.6241818801167305e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_6_3: -7.562735586806022e-08 , std 3.69577002615713e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_7_3: -5.8502810443057534e-08 , std 2.9059118928553884e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_8_3: -3.428874576431663e-08 , std 2.2811942293303763e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_9_3: -6.524952811397855e-08 , std 3.1080394145092673e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_10_3: -3.791799138882618e-08 , std 2.4903566428283063e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_1_3: -4.048193598151944e-09 , std 1.1584403219297671e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_2_3: -9.106799392491136e-08 , std 4.270414932082699e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_3_3: -1.3524955263036135e-07 , std 4.786391804631265e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_4_3: -6.112771577530358e-08 , std 3.0638926707455625e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_5_3: -6.703386671645005e-08 , std 3.5142473059091024e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_6_3: -4.783898186402149e-08 , std 3.0534422714480317e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_7_3: -1.9107020232551688e-08 , std 1.8975717395219255e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_8_3: -1.3852934967407991e-08 , std 1.503914267245196e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_9_3: -2.3302703649490258e-08 , std 2.1024893306160596e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_10_3: -1.2224952263201716e-08 , std 1.4480142937961439e-06 
2023-05-09 14:49:15,524 INFO ofi_add_1_5: -1.7867352997167385e-06 , std 1.2183288962111441e-05 
2023-05-09 14:49:15,524 INFO ofi_add_2_5: -6.127343147540805e-07 , std 8.620012088576285e-06 
2023-05-09 14:49:15,524 INFO ofi_add_3_5: -2.906910408258854e-07 , std 5.85057532749808e-06 
